ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0007043,cell-cell junction assembly,24,0.9710373818359093,1.5642430817681947,0.009895692392202018,0.8631464184444271,0.8631464184444271,2,"tags=4%, list=0%, signal=4%",Mpp7,BL6-biased
GO:0090090,negative regulation of canonical Wnt signaling pathway,29,0.9569776009578695,1.5607739028206364,0.020749857132256643,0.8631464184444271,0.8631464184444271,5,"tags=7%, list=0%, signal=7%",App/Apoe,BL6-biased
GO:0045913,positive regulation of carbohydrate metabolic process,21,0.9725348928212143,1.5432116163527432,0.014941554593889557,0.8631464184444271,0.8631464184444271,16,"tags=14%, list=1%, signal=14%",App/Gpt2/P2rx7,BL6-biased
GO:0045216,cell-cell junction organization,40,0.9268151698594749,1.5431181729550862,0.03674408077124259,0.8631464184444271,0.8631464184444271,2,"tags=2%, list=0%, signal=3%",Mpp7,BL6-biased
GO:0043297,apical junction assembly,14,0.985828476669584,1.542820222510679,0.012842870110410364,0.8631464184444271,0.8631464184444271,2,"tags=7%, list=0%, signal=7%",Mpp7,BL6-biased
GO:0062013,positive regulation of small molecule metabolic process,33,0.9404436898736482,1.5408506227185796,0.02124716767884884,0.8631464184444271,0.8631464184444271,20,"tags=15%, list=1%, signal=15%",App/Apoe/Gpt2/P2rx7/Pid1,BL6-biased
GO:0043467,regulation of generation of precursor metabolites and energy,24,0.955804603579139,1.539704615536121,0.02939344345853076,0.8631464184444271,0.8631464184444271,16,"tags=8%, list=1%, signal=8%",App/P2rx7,BL6-biased
GO:0045665,negative regulation of neuron differentiation,16,0.9776994274764317,1.5372411524903213,0.02534241545291065,0.8631464184444271,0.8631464184444271,4,"tags=6%, list=0%, signal=6%",App,BL6-biased
GO:0048708,astrocyte differentiation,27,0.9408748621232791,1.5366063271577333,0.038720525160081905,0.8631464184444271,0.8631464184444271,4,"tags=4%, list=0%, signal=4%",App,BL6-biased
GO:0062012,regulation of small molecule metabolic process,57,0.9166239453960774,1.534445044573475,0.012668139897521651,0.8631464184444271,0.8631464184444271,21,"tags=11%, list=1%, signal=11%",App/Apoe/Gpt2/P2rx7/Pid1/Cacna1a,BL6-biased
GO:0006066,alcohol metabolic process,32,0.9328477205189029,1.5340876543457957,0.05279603669911609,0.8631464184444271,0.8631464184444271,15,"tags=9%, list=1%, signal=9%",App/Apoe/Tpk1,BL6-biased
GO:0006509,membrane protein ectodomain proteolysis,16,0.9735607080137697,1.5307338254961362,0.03303242000577945,0.8631464184444271,0.8631464184444271,16,"tags=19%, list=1%, signal=19%",App/Apoe/P2rx7,BL6-biased
GO:0031124,mRNA 3'-end processing,15,0.9737388615738416,1.5295555881004235,0.02614668925092252,0.8631464184444271,0.8631464184444271,4,"tags=7%, list=0%, signal=7%",App,BL6-biased
GO:0046165,alcohol biosynthetic process,15,0.9732371561705185,1.5287675058603938,0.027185615648238307,0.8631464184444271,0.8631464184444271,5,"tags=7%, list=0%, signal=7%",Apoe,BL6-biased
GO:0042157,lipoprotein metabolic process,17,0.9607036987161722,1.5275716704503675,0.03475542192331549,0.8631464184444271,0.8631464184444271,5,"tags=6%, list=0%, signal=6%",Apoe,BL6-biased
GO:0006091,generation of precursor metabolites and energy,42,0.9193774693987435,1.5272853701679023,0.04300538740138238,0.8631464184444271,0.8631464184444271,16,"tags=5%, list=1%, signal=5%",App/P2rx7,BL6-biased
GO:1903828,negative regulation of protein localization,41,0.9209380665232859,1.5261192310689489,0.05401455566069517,0.8631464184444271,0.8631464184444271,47,"tags=15%, list=2%, signal=15%",App/Apoe/Pid1/Pkig/Mdfic/Picalm,BL6-biased
GO:0006090,pyruvate metabolic process,16,0.9702627595617773,1.5255484464964981,0.0403970079816044,0.8631464184444271,0.8631464184444271,16,"tags=12%, list=1%, signal=12%",App/P2rx7,BL6-biased
GO:0006096,glycolytic process,16,0.9702627595617773,1.5255484464964981,0.0403970079816044,0.8631464184444271,0.8631464184444271,16,"tags=12%, list=1%, signal=12%",App/P2rx7,BL6-biased
GO:0043954,cellular component maintenance,22,0.9479939860297208,1.5246678919967542,0.04786979187378231,0.8631464184444271,0.8631464184444271,52,"tags=18%, list=3%, signal=18%",App/Apoe/Neat1/Tanc1,BL6-biased
GO:1902414,protein localization to cell junction,21,0.9599384742047906,1.5232237067396321,0.0384099461244858,0.8631464184444271,0.8631464184444271,2,"tags=5%, list=0%, signal=5%",Mpp7,BL6-biased
GO:0034329,cell junction assembly,87,0.8786376703384192,1.5227490109176347,0.02620735442319844,0.8631464184444271,0.8631464184444271,21,"tags=3%, list=1%, signal=4%",Mpp7/App/Cacna1a,BL6-biased
GO:0030178,negative regulation of Wnt signaling pathway,35,0.9266247564073732,1.5221668380614977,0.025162835462350205,0.8631464184444271,0.8631464184444271,5,"tags=6%, list=0%, signal=6%",App/Apoe,BL6-biased
GO:0006109,regulation of carbohydrate metabolic process,37,0.9325956544246299,1.5203283201205635,0.02947332863942206,0.8631464184444271,0.8631464184444271,48,"tags=11%, list=2%, signal=11%",App/Gpt2/P2rx7/Scarb2,BL6-biased
GO:0006110,regulation of glycolytic process,14,0.9704737659333038,1.5187901211336472,0.03564581310748173,0.8631464184444271,0.8631464184444271,16,"tags=14%, list=1%, signal=14%",App/P2rx7,BL6-biased
GO:1901617,organic hydroxy compound biosynthetic process,24,0.9415181143009224,1.5166905252093879,0.05058716051179718,0.8631464184444271,0.8631464184444271,5,"tags=4%, list=0%, signal=4%",Apoe,BL6-biased
GO:0033619,membrane protein proteolysis,19,0.9629114818962394,1.5166451290520597,0.01834488894861296,0.8631464184444271,0.8631464184444271,16,"tags=16%, list=1%, signal=16%",App/Apoe/P2rx7,BL6-biased
GO:0060828,regulation of canonical Wnt signaling pathway,58,0.9044950969110156,1.516436178474975,0.044927156704444235,0.8631464184444271,0.8631464184444271,5,"tags=3%, list=0%, signal=4%",App/Apoe,BL6-biased
GO:0042158,lipoprotein biosynthetic process,16,0.9618720453383828,1.5123556892538343,0.05655546210674601,0.8631464184444271,0.8631464184444271,5,"tags=6%, list=0%, signal=6%",Apoe,BL6-biased
GO:0043470,regulation of carbohydrate catabolic process,17,0.9506458902799343,1.5115792023724934,0.049997300097430954,0.8631464184444271,0.8631464184444271,48,"tags=18%, list=2%, signal=17%",App/P2rx7/Scarb2,BL6-biased
GO:0051260,protein homooligomerization,19,0.9584787685026601,1.5096633313445316,0.019769691542358272,0.8631464184444271,0.8631464184444271,19,"tags=16%, list=1%, signal=16%",App/Kcnc2/Pkd2,BL6-biased
