ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0009891,positive regulation of biosynthetic process,16,-0.48150741663906,-1.5823661109044824,0.02780175126536307,0.882445635045698,0.8824456350456981,19,"tags=75%, list=31%, signal=70%",Ablim1/Nr3c1/Esrrb/Med13/Paxbp1/Angpt1/Zfp521/Kmt2e/Tead1/Kdm4c/Celf1/Bach1,CAST-biased
GO:0010557,positive regulation of macromolecule biosynthetic process,16,-0.48150741663906,-1.5823661109044824,0.02780175126536307,0.882445635045698,0.8824456350456981,19,"tags=75%, list=31%, signal=70%",Ablim1/Nr3c1/Esrrb/Med13/Paxbp1/Angpt1/Zfp521/Kmt2e/Tead1/Kdm4c/Celf1/Bach1,CAST-biased
GO:0051254,positive regulation of RNA metabolic process,14,-0.4986777531965694,-1.5682556065360305,0.05389221556886228,0.882445635045698,0.8824456350456981,14,"tags=79%, list=23%, signal=79%",Ablim1/Nr3c1/Esrrb/Med13/Paxbp1/Zfp521/Kmt2e/Tead1/Kdm4c/Celf1/Bach1,CAST-biased
GO:0050793,regulation of developmental process,11,-0.5312837544265733,-1.5596080197855715,0.04940711462450593,0.882445635045698,0.8824456350456981,9,"tags=36%, list=15%, signal=38%",Tead1/Kdm4c/Celf1/Rbfox1,CAST-biased
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,15,-0.48343352462731093,-1.5361024520570816,0.053830227743271224,0.882445635045698,0.8824456350456981,14,"tags=73%, list=23%, signal=75%",Ablim1/Nr3c1/Esrrb/Med13/Paxbp1/Zfp521/Kmt2e/Tead1/Kdm4c/Celf1/Bach1,CAST-biased
GO:0009987,cellular process,59,0.6666666666666667,1.4830937663904853,0.03350933493213973,0.882445635045698,0.8824456350456981,60,"tags=100%, list=97%, signal=67%",Ugp2/Aox1/Skap2/Sptan1/Dnajb4/Ctnnal1/Ppip5k1/Tnnc1/Nedd4l/Tnfaip8/Kcnd2/Tbc1d4/Ppm1l/Bzw2/Itpr1/Auts2/Serinc3/Runx1/Tnnt2/Chaserr/Nrp1/Pid1/Pde4dip/Sltm/Foxn3/Mybpc3/Mhrt/Celf2/Slc8a1/Neat1/Camk2d/Pde3a/Ckmt2/Ablim1/Nr3c1/Esrrb/Pam/Dock2/St3gal3/Med13/Myoz2/Man1a/Rab30/Paxbp1/Heatr5a/Angpt1/Ube2h/Rnls/Zfp521/Kcng2/Zcchc7/Camkmt/Kmt2e/Tead1/Kdm4c/Itgb6/Celf1/Bach1/Rbfox1,BL6-biased
GO:0016070,RNA metabolic process,25,-0.38431986047905287,-1.393108190310739,0.09615384615384616,0.882445635045698,0.8824456350456981,14,"tags=32%, list=23%, signal=42%",Zfp521/Zcchc7/Kmt2e/Tead1/Kdm4c/Celf1/Bach1/Rbfox1,CAST-biased
GO:0032774,RNA biosynthetic process,23,-0.382939415057062,-1.3690984475009427,0.11063829787234042,0.882445635045698,0.8824456350456981,10,"tags=26%, list=16%, signal=35%",Kmt2e/Tead1/Kdm4c/Celf1/Bach1/Rbfox1,CAST-biased
GO:0010467,gene expression,29,-0.37090236924784825,-1.3616347834010367,0.12219959266802444,0.882445635045698,0.8824456350456981,14,"tags=31%, list=23%, signal=45%",Zfp521/Zcchc7/Kmt2e/Tead1/Kdm4c/Itgb6/Celf1/Bach1/Rbfox1,CAST-biased
GO:0090304,nucleic acid metabolic process,26,-0.3745814471317217,-1.3576702864777714,0.12008733624454149,0.882445635045698,0.8824456350456981,14,"tags=31%, list=23%, signal=41%",Zfp521/Zcchc7/Kmt2e/Tead1/Kdm4c/Celf1/Bach1/Rbfox1,CAST-biased
GO:0141187,nucleic acid biosynthetic process,24,-0.37528317255601396,-1.3533889248342064,0.11637931034482758,0.882445635045698,0.8824456350456981,10,"tags=25%, list=16%, signal=34%",Kmt2e/Tead1/Kdm4c/Celf1/Bach1/Rbfox1,CAST-biased
