ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0016310,phosphorylation,11,-0.5452801941906623,-1.725321519666651,0.021118896411867098,0.9844236760124611,0.9844236760124611,10,"tags=45%, list=16%, signal=46%",Tlr4/Top1/Hspa4/Grb10/Eif4g3,CAST-biased
GO:0006793,phosphorus metabolic process,14,-0.44182010183633,-1.5121989606333195,0.0743801652892562,0.9844236760124611,0.9844236760124611,10,"tags=36%, list=16%, signal=39%",Tlr4/Top1/Hspa4/Grb10/Eif4g3,CAST-biased
GO:0006796,phosphate-containing compound metabolic process,14,-0.44182010183633,-1.5121989606333195,0.0743801652892562,0.9844236760124611,0.9844236760124611,10,"tags=36%, list=16%, signal=39%",Tlr4/Top1/Hspa4/Grb10/Eif4g3,CAST-biased
GO:0009056,catabolic process,10,0.5297862034781747,1.4510316481044505,0.07855973813420622,0.9844236760124611,0.9844236760124611,23,"tags=70%, list=38%, signal=52%",Abcd3/Aoah/Glud1/Nampt/Marchf6/Znrf1/Appbp2,BL6-biased
GO:0048583,regulation of response to stimulus,12,-0.4376965931614199,-1.4227758407057167,0.11140583554376658,0.9844236760124611,0.9844236760124611,12,"tags=42%, list=20%, signal=42%",Csnk1g3/Tlr4/Pde4b/Hspa4/Grb10,CAST-biased
GO:0006468,protein phosphorylation,10,-0.451849180808274,-1.3942809404492686,0.1096938775510204,0.9844236760124611,0.9844236760124611,10,"tags=40%, list=16%, signal=40%",Tlr4/Top1/Hspa4/Eif4g3,CAST-biased
GO:0007166,cell surface receptor signaling pathway,10,-0.4458518924988394,-1.3757749762041502,0.11479591836734694,0.9844236760124611,0.9844236760124611,12,"tags=60%, list=20%, signal=58%",Ptpn12/Diaph1/Csnk1g3/Tlr4/Pde4b/Grb10,CAST-biased
GO:0007165,signal transduction,16,-0.3702410219267047,-1.3083250057405935,0.14681440443213298,0.9844236760124611,0.9844236760124611,13,"tags=38%, list=21%, signal=40%",Ryr2/Csnk1g3/Tlr4/Pde4b/Magi1/Grb10,CAST-biased
GO:0070887,cellular response to chemical stimulus,11,-0.41077838155562013,-1.2997442215257458,0.17150395778364116,0.9844236760124611,0.9844236760124611,13,"tags=82%, list=21%, signal=79%",Rb1/Comt/Itpr1/Cpeb3/Diaph1/Ryr2/Tlr4/Pde4b/Grb10,CAST-biased
GO:0010467,gene expression,27,-0.31601661616269805,-1.2508289610837795,0.18624641833810887,0.9844236760124611,0.9844236760124611,10,"tags=26%, list=16%, signal=39%",Tlr4/Top1/Pde4b/Hspa4/Cwc27/Grb10/Eif4g3,CAST-biased
GO:0008283,cell population proliferation,12,0.4202330895415979,1.2169342103507972,0.22523961661341854,0.9844236760124611,0.9844236760124611,4,"tags=17%, list=7%, signal=19%",Kcnq1ot1/Srpk2,BL6-biased
GO:0010646,regulation of cell communication,11,-0.37725679714464566,-1.1936785481824854,0.24538258575197888,0.9844236760124611,0.9844236760124611,13,"tags=82%, list=21%, signal=79%",Rb1/Itpr1/Aak1/Cpeb3/Ptpn12/Ryr2/Csnk1g3/Tlr4/Grb10,CAST-biased
GO:0006915,apoptotic process,12,0.39902653518021913,1.1555230979746236,0.28913738019169327,0.9844236760124611,0.9844236760124611,8,"tags=25%, list=13%, signal=27%",Kcnq1ot1/Srpk2/Gbe1,BL6-biased
GO:0008219,cell death,12,0.39902653518021913,1.1555230979746236,0.28913738019169327,0.9844236760124611,0.9844236760124611,8,"tags=25%, list=13%, signal=27%",Kcnq1ot1/Srpk2/Gbe1,BL6-biased
GO:0012501,programmed cell death,12,0.39902653518021913,1.1555230979746236,0.28913738019169327,0.9844236760124611,0.9844236760124611,8,"tags=25%, list=13%, signal=27%",Kcnq1ot1/Srpk2/Gbe1,BL6-biased
GO:0044281,small molecule metabolic process,10,0.42030270572887285,1.1511672516055824,0.2995090016366612,0.9844236760124611,0.9844236760124611,12,"tags=40%, list=20%, signal=38%",Abcd3/Aoah/Glud1/Rhoq,BL6-biased
GO:0009889,regulation of biosynthetic process,22,-0.29715415881016377,-1.1386002352615616,0.298050139275766,0.9844236760124611,0.9844236760124611,10,"tags=27%, list=16%, signal=36%",Tlr4/Top1/Pde4b/Hspa4/Grb10/Eif4g3,CAST-biased
GO:0010556,regulation of macromolecule biosynthetic process,22,-0.29715415881016377,-1.1386002352615616,0.298050139275766,0.9844236760124611,0.9844236760124611,10,"tags=27%, list=16%, signal=36%",Tlr4/Top1/Pde4b/Hspa4/Grb10/Eif4g3,CAST-biased
GO:0009059,macromolecule biosynthetic process,29,-0.28270683052644013,-1.1255463238962946,0.28012048192771083,0.9844236760124611,0.9844236760124611,10,"tags=41%, list=16%, signal=66%",Naa16/Pam/Adarb1/Rbm5/B3galt1/Tlr4/Top1/Pde4b/Hspa4/Cwc27/Grb10/Eif4g3,CAST-biased
