ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0048871,multicellular organismal-level homeostasis,20,0.78505399386190855,1.9006957037406251,1.420604704760645e-4,0.0700358119446998,0.06474966706961677,12,"tags=25%, list=5%, signal=26%",Ubash3b/Nt5e/Slc27a1/Neo1/Stk39
GO:0098609,cell-cell adhesion,21,0.7820002419528679,1.915399038920011,4.347483866437869e-4,0.0755652848204058,0.06986178782371241,8,"tags=14%, list=3%, signal=15%",Ubash3b/Nt5e/Neo1
GO:0010563,negative regulation of phosphorus metabolic process,11,0.8756524401296177,1.8823928803560568,6.131057591919335e-4,0.0755652848204058,0.06986178782371241,3,"tags=18%, list=1%, signal=19%",Ubash3b/Slc27a1
GO:0045936,negative regulation of phosphate metabolic process,11,0.8756524401296177,1.8823928803560568,6.131057591919335e-4,0.0755652848204058,0.06986178782371241,3,"tags=18%, list=1%, signal=19%",Ubash3b/Slc27a1
GO:0031400,negative regulation of protein modification process,10,0.8816933118457667,1.8490791811801552,0.0016733669869284677,0.09209426862942949,0.0851432012737119,1,"tags=10%, list=0%, signal=10%",Ubash3b
GO:0055085,transmembrane transport,27,0.6975021461201002,1.8149017551338966,0.0014387074681575804,0.09209426862942949,0.0851432012737119,35,"tags=33%, list=13%, signal=32%",Ubash3b/Slc27a1/Trpc3/Stk39/Abca6/Cd2ap/Cacnb2/Kcnn2/Ywhae
GO:0019637,organophosphate metabolic process,19,0.7479066881351714,1.7883183046298643,0.0019787777005104683,0.09209426862942949,0.0851432012737119,50,"tags=53%, list=19%, signal=46%",Nt5e/Slc27a1/Dlat/Cox11/Acss1/Fabp3/Vcp/Sdha/Acat1/Rora
GO:0051248,negative regulation of protein metabolic process,19,0.7461313619154666,1.7840733253754288,0.0021784320537495123,0.09209426862942949,0.0851432012737119,13,"tags=16%, list=5%, signal=16%",Ubash3b/Limd1/Spon1
GO:0007155,cell adhesion,32,0.6634810398696639,1.7628384158426027,0.0022416454838806365,0.09209426862942949,0.0851432012737119,26,"tags=22%, list=10%, signal=22%",Ubash3b/Nt5e/Neo1/Spon1/Nuak1/Cd2ap/Egflam
GO:0042592,homeostatic process,41,0.6162605522775015,1.7192336719258623,0.0018979029919767455,0.09209426862942949,0.0851432012737119,42,"tags=29%, list=16%, signal=29%",Ubash3b/Nt5e/Slc27a1/Trpc3/Neo1/Stk39/Cd2ap/Cacnb2/Cox11/Ywhae/Fabp3/Fto
GO:0006793,phosphorus metabolic process,53,0.583569087398646,1.7053858682042087,0.002123005641423076,0.09209426862942949,0.0851432012737119,50,"tags=30%, list=19%, signal=31%",Ubash3b/Nt5e/Slc27a1/Limd1/Stk39/Nuak1/Cd2ap/Dlat/Cox11/Acss1/Fabp3/Vcp/Sdha/Phlpp1/Acat1/Rora
GO:0006796,phosphate-containing compound metabolic process,53,0.583569087398646,1.7053858682042087,0.002123005641423076,0.09209426862942949,0.0851432012737119,50,"tags=30%, list=19%, signal=31%",Ubash3b/Nt5e/Slc27a1/Limd1/Stk39/Nuak1/Cd2ap/Dlat/Cox11/Acss1/Fabp3/Vcp/Sdha/Phlpp1/Acat1/Rora
GO:0055074,calcium ion homeostasis,14,0.7959342088302713,1.7954392805030837,0.0030645107444116954,0.10546600366638689,0.09750566795675353,4,"tags=21%, list=2%, signal=22%",Ubash3b/Nt5e/Trpc3
GO:0045859,regulation of protein kinase activity,12,0.7950687596557152,1.7303798932700334,0.0032089047768677553,0.10546600366638689,0.09750566795675353,1,"tags=8%, list=0%, signal=9%",Ubash3b
GO:0098771,inorganic ion homeostasis,20,0.7135964616736141,1.7276897379190064,0.0027937153536551173,0.10546600366638689,0.09750566795675353,12,"tags=25%, list=5%, signal=26%",Ubash3b/Nt5e/Trpc3/Neo1/Stk39
GO:0019725,cellular homeostasis,22,0.6956380079488087,1.736411916533916,0.0034525174773700593,0.10638069477146495,0.09835132024350234,42,"tags=36%, list=16%, signal=33%",Ubash3b/Trpc3/Neo1/Stk39/Cacnb2/Cox11/Ywhae/Fto
GO:0030003,intracellular monoatomic cation homeostasis,15,0.7699756489521742,1.7310746218279258,0.003827055742883188,0.11098461654361245,0.10260774840052139,42,"tags=47%, list=16%, signal=42%",Ubash3b/Trpc3/Neo1/Cacnb2/Cox11/Ywhae/Fto
GO:0032101,regulation of response to external stimulus,19,0.727809544338492,1.740264061109201,0.004057039379029768,0.11111780077009309,0.10273088018244968,12,"tags=21%, list=5%, signal=22%",Ubash3b/Nt5e/Neo1/Stk39
GO:0051049,regulation of transport,48,0.5721940013948774,1.6373222492768147,0.0043447141299524225,0.11273389821402864,0.10422499824207196,46,"tags=29%, list=17%, signal=29%",Ubash3b/Trpc3/Neo1/Stk39/Ubac2/Cd2ap/Tbc1d4/Cacnb2/Kcnn2/Ywhae/Hip1/Fabp3/Fto/Nedd4l
