ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0016043,cellular component organization,10,0.5999147130072259,1.2634625371350439,0.18271954674220964,0.8137651821862348,0.8137651821862348,9,"tags=70%, list=47%, signal=78%",Airn/Pakap/Cog5/Faf1/Tnnt2/Pln/Cd36,BL6-biased
GO:0071840,cellular component organization or biogenesis,10,0.5999147130072259,1.2634625371350439,0.18271954674220964,0.8137651821862348,0.8137651821862348,9,"tags=70%, list=47%, signal=78%",Airn/Pakap/Cog5/Faf1/Tnnt2/Pln/Cd36,BL6-biased
GO:0009987,cellular process,17,0.6815383609368433,1.1460482350863843,0.28116710875331563,0.8137651821862348,0.8137651821862348,10,"tags=59%, list=53%, signal=265%",Airn/Acss1/Ugp2/Pakap/Cog5/Faf1/Tnnt2/Pln/Cd36/Rbm6,BL6-biased
GO:0044238,primary metabolic process,11,-0.4357822988345367,-1.1346363952350502,0.32196969696969696,0.8137651821862348,0.8137651821862348,8,"tags=55%, list=42%, signal=75%",Psme4/Top1/Pan3/Pfkfb2/Ppp2r3a/Malt1,CAST-biased
GO:0008152,metabolic process,13,0.49108411319040246,1.0068828486390953,0.4675496688741722,0.8137651821862348,0.8137651821862348,3,"tags=23%, list=16%, signal=62%",Airn/Acss1/Ugp2,BL6-biased
GO:0032502,developmental process,11,0.4314783545355896,0.9113956659421444,0.611336032388664,0.8137651821862348,0.8137651821862348,4,"tags=27%, list=21%, signal=51%",Airn/Ugp2/Pakap,BL6-biased
GO:0048856,anatomical structure development,11,0.4314783545355896,0.9113956659421444,0.611336032388664,0.8137651821862348,0.8137651821862348,4,"tags=27%, list=21%, signal=51%",Airn/Ugp2/Pakap,BL6-biased
GO:0050896,response to stimulus,10,-0.3421401249682849,-0.9042440943264587,0.5643564356435643,0.8137651821862348,0.8137651821862348,8,"tags=50%, list=42%, signal=61%",Psme4/Top1/Pfkfb2/Ppp2r3a/Malt1,CAST-biased
GO:0043170,macromolecule metabolic process,10,0.41497276060338517,0.8739617908780494,0.7223796033994334,0.8137651821862348,0.8137651821862348,1,"tags=10%, list=5%, signal=20%",Airn,BL6-biased
GO:0050789,regulation of biological process,11,0.38018891988318737,0.803058902441841,0.8137651821862348,0.8137651821862348,0.8137651821862348,1,"tags=9%, list=5%, signal=20%",Airn,BL6-biased
GO:0050794,regulation of cellular process,11,0.38018891988318737,0.803058902441841,0.8137651821862348,0.8137651821862348,0.8137651821862348,1,"tags=9%, list=5%, signal=20%",Airn,BL6-biased
GO:0065007,biological regulation,11,0.38018891988318737,0.803058902441841,0.8137651821862348,0.8137651821862348,0.8137651821862348,1,"tags=9%, list=5%, signal=20%",Airn,BL6-biased
GO:0006139,nucleobase-containing compound metabolic process,10,-0.28811297449174317,-0.7614554291378073,0.7524752475247525,0.8137651821862348,0.8137651821862348,8,"tags=50%, list=42%, signal=61%",Psme4/Top1/Pan3/Pfkfb2/Malt1,CAST-biased
