ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0060627,regulation of vesicle-mediated transport,19,0.601812984139782,1.8163482277525815,0.005860651636533838,1,1,55,"tags=37%, list=11%, signal=34%",Nrxn1/Plscr1/Arhgap1/Doc2g/Gas6/Stam/Rufy1,BL6-biased
GO:0009611,response to wounding,14,0.6265098977100917,1.709472509960628,0.010619103412640933,1,1,72,"tags=43%, list=14%, signal=38%",1700123M08Rik/Cd44/Hps5/Gas6/Entpd1/Sod2,BL6-biased
GO:0034762,regulation of transmembrane transport,15,0.5774836741345009,1.6455413023680412,0.028601466746953342,1,1,30,"tags=20%, list=6%, signal=19%",Nrxn1/Tmem38b/Tgfb2,BL6-biased
GO:0043410,positive regulation of MAPK cascade,16,0.5657258603127133,1.64474302245439,0.030201523412830288,1,1,58,"tags=38%, list=12%, signal=34%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Gadd45g,BL6-biased
GO:1903829,positive regulation of protein localization,19,0.5286269142709108,1.5954633485529246,0.027653558952623683,1,1,60,"tags=26%, list=12%, signal=24%",Nrxn1/Mark4/Tgfb2/Gas6/Prnp,BL6-biased
GO:1902533,positive regulation of intracellular signal transduction,31,0.4546951275344118,1.5718938776208915,0.024276776276890663,1,1,58,"tags=26%, list=12%, signal=24%",Nrxn1/Cd44/Plscr1/Tgfb2/Raf1/Gas6/Klhl22/Gadd45g,BL6-biased
GO:0045861,negative regulation of proteolysis,10,0.61917655911423,1.5457587014977943,0.06372017748771071,1,1,45,"tags=30%, list=9%, signal=28%",Cd44/Gpi1/Gas6,BL6-biased
GO:0046486,glycerolipid metabolic process,16,-0.5575274639608365,-1.5386370700195149,0.039980578940675346,1,1,127,"tags=62%, list=25%, signal=48%",Pik3r1/Ddhd2/Cav3/Inpp5b/Pigx/Pigl/Serinc5/Pikfyve/Mboat2/Pitpnc1,CAST-biased
GO:0070848,response to growth factor,23,0.4886543204304021,1.532835127934351,0.02684744611339401,1,1,45,"tags=26%, list=9%, signal=25%",Nrxn1/Cd44/Fut8/Tgfb2/Raf1/Gas6,BL6-biased
GO:0071363,cellular response to growth factor stimulus,23,0.4886543204304021,1.532835127934351,0.02684744611339401,1,1,45,"tags=26%, list=9%, signal=25%",Nrxn1/Cd44/Fut8/Tgfb2/Raf1/Gas6,BL6-biased
GO:0031344,regulation of cell projection organization,21,0.4861568376467632,1.5107440568259833,0.029569030775912376,1,1,17,"tags=14%, list=3%, signal=14%",Nrxn1/Cd44/Mark4,BL6-biased
GO:0120035,regulation of plasma membrane bounded cell projection organization,21,0.4861568376467632,1.5107440568259833,0.029569030775912376,1,1,17,"tags=14%, list=3%, signal=14%",Nrxn1/Cd44/Mark4,BL6-biased
GO:0032940,secretion by cell,22,0.4819821054219285,1.5084841318792255,0.04030967973712217,1,1,51,"tags=27%, list=10%, signal=26%",Nrxn1/Tmem38b/Tgfb2/Doc2g/Raf1/Stam,BL6-biased
GO:0043086,negative regulation of catalytic activity,19,0.4982463776784943,1.5037710201185628,0.06914893617021277,1,1,60,"tags=32%, list=12%, signal=29%",Cd44/Gpi1/Tgfb2/Gas6/Gadd45g/Prnp,BL6-biased
GO:0046903,secretion,25,0.4605368511828606,1.4934555384851091,0.031570392365696094,1,1,51,"tags=24%, list=10%, signal=23%",Nrxn1/Tmem38b/Tgfb2/Doc2g/Raf1/Stam,BL6-biased
GO:0002694,regulation of leukocyte activation,12,0.5679423557264912,1.4894060534757265,0.0718232044198895,1,1,60,"tags=33%, list=12%, signal=30%",Cd44/Plscr1/Gas6/Prnp,BL6-biased
GO:0016192,vesicle-mediated transport,49,0.39107018565715124,1.4791688216055103,0.02651020014785149,1,1,63,"tags=24%, list=13%, signal=24%",Nrxn1/Cd44/Plscr1/Arhgap1/Doc2g/Xkr6/Gas6/Usp33/Stam/Rhobtb2/Rufy1/Yipf4,BL6-biased
GO:0046649,lymphocyte activation,17,0.503039498907806,1.4726160397377954,0.06756756756756757,1,1,60,"tags=29%, list=12%, signal=27%",Cd44/Pfdn1/Gas6/Gadd45g/Prnp,BL6-biased
GO:0007268,chemical synaptic transmission,18,0.4902045522075331,1.4612181440967407,0.07349081364829396,1,1,60,"tags=22%, list=12%, signal=20%",Nrxn1/Sorcs2/Doc2g/Prnp,BL6-biased
GO:0098916,anterograde trans-synaptic signaling,18,0.4902045522075331,1.4612181440967407,0.07349081364829396,1,1,60,"tags=22%, list=12%, signal=20%",Nrxn1/Sorcs2/Doc2g/Prnp,BL6-biased
GO:0099537,trans-synaptic signaling,18,0.4902045522075331,1.4612181440967407,0.07349081364829396,1,1,60,"tags=22%, list=12%, signal=20%",Nrxn1/Sorcs2/Doc2g/Prnp,BL6-biased
GO:0099536,synaptic signaling,19,0.4806967315480763,1.4508039531280876,0.07180851063829788,1,1,34,"tags=16%, list=7%, signal=15%",Nrxn1/Sorcs2/Doc2g,BL6-biased
GO:0001934,positive regulation of protein phosphorylation,22,0.4629962637626958,1.4490631688369304,0.0777479892761394,1,1,64,"tags=32%, list=13%, signal=29%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Prnp/Ercc6,BL6-biased
GO:0009615,response to virus,11,-0.5871874204757023,-1.447860693208044,0.0594679186228482,1,1,55,"tags=45%, list=11%, signal=41%",Serinc5/Riok3/Traf3/Rnf135/Fbxl2,CAST-biased
GO:0051607,defense response to virus,11,-0.5871874204757023,-1.447860693208044,0.0594679186228482,1,1,55,"tags=45%, list=11%, signal=41%",Serinc5/Riok3/Traf3/Rnf135/Fbxl2,CAST-biased
GO:0140546,defense response to symbiont,11,-0.5871874204757023,-1.447860693208044,0.0594679186228482,1,1,55,"tags=45%, list=11%, signal=41%",Serinc5/Riok3/Traf3/Rnf135/Fbxl2,CAST-biased
GO:0035295,tube development,29,0.4264847390788909,1.446774475466037,0.05412477801195653,1,1,30,"tags=17%, list=6%, signal=17%",Nrxn1/Tmem38b/Cd44/Nkiras1/Tgfb2,BL6-biased
GO:0071495,cellular response to endogenous stimulus,54,0.37060247862048623,1.4415356514799258,0.03591366808019049,1,1,61,"tags=19%, list=12%, signal=18%",Nrxn1/Tmem38b/Cd44/Fut8/Tgfb2/Raf1/Gas6/Klhl22/Prnp/Thra,BL6-biased
GO:0006650,glycerophospholipid metabolic process,14,-0.5324692769479107,-1.438377146727262,0.07956318252730109,1,1,127,"tags=57%, list=25%, signal=44%",Pik3r1/Inpp5b/Pigx/Pigl/Serinc5/Pikfyve/Mboat2/Pitpnc1,CAST-biased
GO:0006935,chemotaxis,10,-0.6006419926674827,-1.4328236199785658,0.060842433697347896,1,1,117,"tags=60%, list=23%, signal=47%",Oxsr1/Dusp1/Slit2/Slit3/Pikfyve/Fgfr1,CAST-biased
GO:0042330,taxis,10,-0.6006419926674827,-1.4328236199785658,0.060842433697347896,1,1,117,"tags=60%, list=23%, signal=47%",Oxsr1/Dusp1/Slit2/Slit3/Pikfyve/Fgfr1,CAST-biased
GO:0140352,export from cell,24,0.4495993594254961,1.430422656982498,0.07103825136612021,1,1,51,"tags=25%, list=10%, signal=24%",Nrxn1/Tmem38b/Tgfb2/Doc2g/Raf1/Stam,BL6-biased
GO:0010628,positive regulation of gene expression,37,0.3966003388938514,1.429592380443067,0.06855781596823433,1,1,30,"tags=16%, list=6%, signal=16%",Nrxn1/Cd44/Plscr1/Zcchc4/Gpi1/Tgfb2,BL6-biased
GO:0009101,glycoprotein biosynthetic process,11,0.5544505137386715,1.4274607860108233,0.0881542699724518,1,1,54,"tags=36%, list=11%, signal=33%",Man1c1/Fam20b/Fut8/Tet3,BL6-biased
GO:0098609,cell-cell adhesion,23,0.4543955616740626,1.425370552946264,0.07945205479452055,1,1,30,"tags=13%, list=6%, signal=13%",Nrxn1/Cd44/Tgfb2,BL6-biased
GO:0048638,regulation of developmental growth,14,-0.5248631966491997,-1.4178305864814797,0.09204368174726989,1,1,145,"tags=50%, list=29%, signal=37%",Ybx3/Cav3/Rnf6/Acacb/Slit2/P2rx5/Fgfr1,CAST-biased
GO:0009719,response to endogenous stimulus,56,0.36044927530291976,1.410240686495442,0.030932365216537694,1,1,61,"tags=18%, list=12%, signal=18%",Nrxn1/Tmem38b/Cd44/Fut8/Tgfb2/Raf1/Gas6/Klhl22/Prnp/Thra,BL6-biased
GO:0051649,establishment of localization in cell,70,0.3449330463607235,1.4075477380493844,0.03611948296960181,1,1,63,"tags=20%, list=13%, signal=20%",Nrxn1/Tmem38b/Vps37b/Arhgap1/Mapre1/Sorcs2/Doc2g/Hps5/Raf1/Gas6/Mlxip/Stam/Prnp/Yipf4,BL6-biased
GO:0050804,modulation of chemical synaptic transmission,16,0.4840215594379335,1.4072029200909832,0.10160427807486631,1,1,21,"tags=12%, list=4%, signal=12%",Nrxn1/Sorcs2,BL6-biased
GO:0099177,regulation of trans-synaptic signaling,16,0.4840215594379335,1.4072029200909832,0.10160427807486631,1,1,21,"tags=12%, list=4%, signal=12%",Nrxn1/Sorcs2,BL6-biased
GO:0051049,regulation of transport,52,0.3644131915573221,1.4070580822573633,0.047033706292693676,1,1,75,"tags=25%, list=15%, signal=24%",Nrxn1/Tmem38b/Plscr1/Arhgap1/Tgfb2/Doc2g/Gas6/Stam/Rufy1/Prnp/Entpd1/Riok2/Plcb1,BL6-biased
GO:0043408,regulation of MAPK cascade,24,0.44122896473123696,1.4037918311871636,0.07923497267759563,1,1,58,"tags=25%, list=12%, signal=23%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Gadd45g,BL6-biased
GO:0009967,positive regulation of signal transduction,51,0.36402029194137353,1.397487170659008,0.04736964223596352,1,1,61,"tags=20%, list=12%, signal=19%",Nrxn1/Cd44/Mark4/Plscr1/Tgfb2/Raf1/Gas6/Klhl22/Gadd45g/Thra,BL6-biased
GO:0006954,inflammatory response,16,0.4803839654431608,1.396627290159346,0.10427807486631016,1,1,18,"tags=19%, list=4%, signal=19%",Cd44/Mark4/Plscr1,BL6-biased
GO:0051402,neuron apoptotic process,11,0.5409906070789314,1.392807578079627,0.09917355371900827,1,1,72,"tags=36%, list=14%, signal=32%",Gpi1/Tgfb2/Prnp/Sod2,BL6-biased
GO:0042327,positive regulation of phosphorylation,24,0.43673732917090474,1.389501469918372,0.08196721311475409,1,1,64,"tags=29%, list=13%, signal=27%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Prnp/Ercc6,BL6-biased
GO:0045321,leukocyte activation,21,0.4470631762550192,1.3892595645106505,0.0968586387434555,1,1,60,"tags=29%, list=12%, signal=26%",Cd44/Pfdn1/Plscr1/Gas6/Gadd45g/Prnp,BL6-biased
GO:0072659,protein localization to plasma membrane,14,0.5074996940342749,1.3847455226740437,0.09141274238227147,1,1,60,"tags=21%, list=12%, signal=19%",Nrxn1/Gas6/Prnp,BL6-biased
GO:0044092,negative regulation of molecular function,33,0.39248067566305506,1.3830221017234716,0.08776595744680851,1,1,61,"tags=27%, list=12%, signal=26%",Cd44/Plscr1/Gpi1/Tgfb2/Gas6/Usp33/Gadd45g/Prnp/Thra,BL6-biased
GO:0032409,regulation of transporter activity,11,0.535354938695653,1.3782982658493155,0.1046831955922865,1,1,1,"tags=9%, list=0%, signal=9%",Nrxn1,BL6-biased
GO:0044255,cellular lipid metabolic process,28,-0.43677505289710267,-1.3775717448612894,0.08661417322834646,1,1,129,"tags=54%, list=26%, signal=42%",Mapk9/Pik3r1/Ddhd2/Cav3/Inpp5b/Pigx/Acacb/Acadsb/Pigl/Dhrs3/Serinc5/Mmut/Pikfyve/Mboat2/Pitpnc1,CAST-biased
GO:0021543,pallium development,10,-0.5772821476118206,-1.3770990150335338,0.0842433697347894,1,1,120,"tags=50%, list=24%, signal=39%",Tra2b/Sun2/Wdr47/Slit2/Fgfr1,CAST-biased
GO:0030031,cell projection assembly,16,0.4734922589755549,1.3765909317027378,0.10962566844919786,1,1,20,"tags=19%, list=4%, signal=19%",Nrxn1/Mark4/Mapre1,BL6-biased
GO:0120031,plasma membrane bounded cell projection assembly,16,0.4734922589755549,1.3765909317027378,0.10962566844919786,1,1,20,"tags=19%, list=4%, signal=19%",Nrxn1/Mark4/Mapre1,BL6-biased
GO:1905475,regulation of protein localization to membrane,10,0.550040372324079,1.3731619506257429,0.11634349030470914,1,1,1,"tags=10%, list=0%, signal=10%",Nrxn1,BL6-biased
GO:0048872,homeostasis of number of cells,17,0.46897821198194645,1.3729037953314673,0.10270270270270271,1,1,75,"tags=29%, list=15%, signal=26%",Cd44/Gpi1/Tgfb2/Thra/Plcb1,BL6-biased
GO:0043523,regulation of neuron apoptotic process,10,0.5470142184828257,1.3656072336983451,0.12188365650969529,1,1,72,"tags=40%, list=14%, signal=35%",Gpi1/Tgfb2/Prnp/Sod2,BL6-biased
GO:0031346,positive regulation of cell projection organization,13,0.5084257033355877,1.3653530291791707,0.1293800539083558,1,1,17,"tags=15%, list=3%, signal=15%",Nrxn1/Mark4,BL6-biased
GO:0031401,positive regulation of protein modification process,32,0.38845725587064095,1.357738854446169,0.09473684210526316,1,1,66,"tags=25%, list=13%, signal=23%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Prnp/Ercc6/Dcun1d2,BL6-biased
GO:0022898,regulation of transmembrane transporter activity,10,0.5438086978648901,1.357604732125784,0.1329639889196676,1,1,1,"tags=10%, list=0%, signal=10%",Nrxn1,BL6-biased
GO:0032412,regulation of monoatomic ion transmembrane transporter activity,10,0.5438086978648901,1.357604732125784,0.1329639889196676,1,1,1,"tags=10%, list=0%, signal=10%",Nrxn1,BL6-biased
GO:0032102,negative regulation of response to external stimulus,15,0.4759175753926969,1.3561284273624996,0.12834224598930483,1,1,5,"tags=13%, list=1%, signal=14%",Nrxn1/Cd44,BL6-biased
GO:0044089,positive regulation of cellular component biogenesis,19,0.4486512103643434,1.3540864891593114,0.11702127659574468,1,1,20,"tags=16%, list=4%, signal=16%",Nrxn1/Mark4/Mapre1,BL6-biased
GO:0007267,cell-cell signaling,41,0.36652495120848766,1.3520157523419736,0.08157894736842106,1,1,75,"tags=24%, list=15%, signal=23%",Nrxn1/Cd44/Sorcs2/Doc2g/Raf1/Prnp/Thra/Entpd1/Rbms3/Plcb1,BL6-biased
GO:0051668,localization within membrane,26,0.4125830956991199,1.3509494353651714,0.10455764075067024,1,1,19,"tags=12%, list=4%, signal=12%",Nrxn1/Vps37b/Arhgap1,BL6-biased
GO:0000165,MAPK cascade,28,0.4022618834890158,1.3425749314728441,0.10899182561307902,1,1,64,"tags=25%, list=13%, signal=23%",Nrxn1/Cd44/Tgfb2/Raf1/Gas6/Gadd45g/Ercc6,BL6-biased
GO:0007626,locomotory behavior,10,-0.5619206122605321,-1.3404542733085794,0.10764430577223089,1,1,121,"tags=50%, list=24%, signal=39%",Arrdc3/Ddhd2/Wdr47/Aplp2/Selenop,CAST-biased
GO:0048588,developmental cell growth,10,-0.5611433191113258,-1.338600050664431,0.11076443057722309,1,1,110,"tags=50%, list=22%, signal=40%",Cav3/Rnf6/Raph1/Slit2/Slit3,CAST-biased
