ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:1901565,organonitrogen compound catabolic process,13,0.7077726176172867,1.811184728965143,0.003917849034466324,0.6254782143867851,0.6254782143867851,3,"tags=23%, list=2%, signal=25%",P2rx7/Pde1a/Xdh
GO:0034097,response to cytokine,14,-0.610218601646198,-1.7203971905854913,0.014574314835250773,0.6254782143867851,0.6254782143867851,25,"tags=43%, list=17%, signal=39%",Ext1/Lifr/Tpr/Casp4/Zfp36l2/Ccl2
GO:0071345,cellular response to cytokine stimulus,14,-0.610218601646198,-1.7203971905854913,0.014574314835250773,0.6254782143867851,0.6254782143867851,25,"tags=43%, list=17%, signal=39%",Ext1/Lifr/Tpr/Casp4/Zfp36l2/Ccl2
GO:0051247,positive regulation of protein metabolic process,22,0.5856270564714114,1.6687380762891546,0.007013980650159863,0.6254782143867851,0.6254782143867851,33,"tags=41%, list=22%, signal=37%",P2rx7/Xdh/Kitl/Fgd4/Arnt/Cd74/Hip1/Pdgfc/Samd4
GO:0043549,regulation of kinase activity,11,0.646061061888092,1.5632960675586156,0.047619047619047616,0.6254782143867851,0.6254782143867851,32,"tags=45%, list=22%, signal=38%",P2rx7/Kitl/Fgd4/Cd74/Pdgfc
GO:0071396,cellular response to lipid,13,-0.5652974925250646,-1.559894153729246,0.05257095951831578,0.6254782143867851,0.6254782143867851,10,"tags=31%, list=7%, signal=31%",Lpar1/Zfp36l2/Plscr4/Ccl2
GO:0051338,regulation of transferase activity,12,0.6234828302735697,1.5491222973317367,0.05090909090909091,0.6254782143867851,0.6254782143867851,32,"tags=42%, list=22%, signal=36%",P2rx7/Kitl/Fgd4/Cd74/Pdgfc
GO:0016310,phosphorylation,27,0.5186005503552539,1.5439699116526842,0.0451505016722408,0.6254782143867851,0.6254782143867851,35,"tags=37%, list=24%, signal=35%",P2rx7/Xdh/Bmp2k/Dgkh/Kitl/Cdk14/Fgd4/Cd74/Pdgfc/Ywhaz
GO:0001932,regulation of protein phosphorylation,17,0.5518012592415538,1.509382321941145,0.0627177700348432,0.6254782143867851,0.6254782143867851,32,"tags=35%, list=22%, signal=31%",P2rx7/Xdh/Kitl/Fgd4/Cd74/Pdgfc
GO:0001934,positive regulation of protein phosphorylation,13,0.5894964265000275,1.5085168582118023,0.05786618444846293,0.6254782143867851,0.6254782143867851,32,"tags=38%, list=22%, signal=33%",P2rx7/Kitl/Fgd4/Cd74/Pdgfc
GO:0042327,positive regulation of phosphorylation,13,0.5894964265000275,1.5085168582118023,0.05786618444846293,0.6254782143867851,0.6254782143867851,32,"tags=38%, list=22%, signal=33%",P2rx7/Kitl/Fgd4/Cd74/Pdgfc
GO:0031344,regulation of cell projection organization,10,0.6362774082945982,1.4986438930905357,0.0600375234521576,0.6254782143867851,0.6254782143867851,10,"tags=20%, list=7%, signal=20%",P2rx7/Scarb2
GO:0044248,cellular catabolic process,16,0.5522131327657894,1.4851852264704581,0.06866197183098592,0.6254782143867851,0.6254782143867851,3,"tags=19%, list=2%, signal=21%",P2rx7/Pde1a/Xdh
GO:0042325,regulation of phosphorylation,18,0.541533916944545,1.4808843071668087,0.0683453237410072,0.6254782143867851,0.6254782143867851,32,"tags=33%, list=22%, signal=30%",P2rx7/Xdh/Kitl/Fgd4/Cd74/Pdgfc
