ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0048513,animal organ development,16,-0.6136550164740721,-1.6109963350091094,0.025128946718369623,0.4020713689090805,0.38090971791386585,10,"tags=31%, list=18%, signal=36%",Lama2/Clic4/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0009888,tissue development,11,-0.6717718909345758,-1.6004156781395966,0.0314846070059207,0.4020713689090805,0.38090971791386585,10,"tags=36%, list=18%, signal=37%",Lama2/Clic4/Prkg1/Fmn1,CAST-biased
GO:0009653,anatomical structure morphogenesis,15,-0.6099457882772256,-1.5638896380760314,0.031055882481891638,0.4020713689090805,0.38090971791386585,13,"tags=40%, list=23%, signal=42%",Thsd7a/Efna5/Lama2/Clic4/Prkg1/Fmn1,CAST-biased
GO:0007275,multicellular organism development,20,-0.5328939456099177,-1.455174992639131,0.04020713689090805,0.4020713689090805,0.38090971791386585,13,"tags=35%, list=23%, signal=42%",Thsd7a/Efna5/Lama2/Clic4/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0048731,system development,20,-0.5328939456099177,-1.455174992639131,0.04020713689090805,0.4020713689090805,0.38090971791386585,13,"tags=35%, list=23%, signal=42%",Thsd7a/Efna5/Lama2/Clic4/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0042592,homeostatic process,10,0.8387635209286263,1.5001730069163721,0.0622154779969651,0.5184623166413759,0.4911748262918298,1,"tags=10%, list=2%, signal=12%",Grm1,BL6-biased
GO:0141124,intracellular signaling cassette,10,0.812296700497203,1.4528356959825761,0.09711684370257967,0.5363984674329503,0.5081669691470055,1,"tags=10%, list=2%, signal=12%",Grm1,BL6-biased
GO:0010646,regulation of cell communication,11,0.7964078545522787,1.434903448724838,0.11094452773613193,0.5363984674329503,0.5081669691470055,1,"tags=9%, list=2%, signal=11%",Grm1,BL6-biased
GO:0023051,regulation of signaling,10,0.7979324586642811,1.4271444882406001,0.12898330804248861,0.5363984674329503,0.5081669691470055,1,"tags=10%, list=2%, signal=12%",Grm1,BL6-biased
GO:0035556,intracellular signal transduction,12,0.7742481622250894,1.4084896744807796,0.13636363636363635,0.5363984674329503,0.5081669691470055,1,"tags=8%, list=2%, signal=10%",Grm1,BL6-biased
GO:0051239,regulation of multicellular organismal process,14,0.743280403599687,1.3714673712267238,0.1753155680224404,0.5363984674329503,0.5081669691470055,1,"tags=7%, list=2%, signal=9%",Grm1,BL6-biased
GO:0006810,transport,13,0.7235339828582957,1.3264513156175024,0.2471590909090909,0.5363984674329503,0.5081669691470055,1,"tags=8%, list=2%, signal=10%",Grm1,BL6-biased
GO:0051234,establishment of localization,13,0.7235339828582957,1.3264513156175024,0.2471590909090909,0.5363984674329503,0.5081669691470055,1,"tags=8%, list=2%, signal=10%",Grm1,BL6-biased
GO:0007165,signal transduction,16,0.71334044964072,1.3240984529512025,0.22664835164835165,0.5363984674329503,0.5081669691470055,1,"tags=6%, list=2%, signal=9%",Grm1,BL6-biased
GO:0065008,regulation of biological quality,14,0.7153953595008109,1.3200151495058028,0.2482468443197756,0.5363984674329503,0.5081669691470055,1,"tags=7%, list=2%, signal=9%",Grm1,BL6-biased
GO:0030029,actin filament-based process,11,-0.552157186564139,-1.3154480413661138,0.14626865671641792,0.5363984674329503,0.5081669691470055,13,"tags=36%, list=23%, signal=35%",Thsd7a/Efna5/Pdlim3/Fmn1,CAST-biased
GO:0023052,signaling,17,0.6980764218185471,1.2986788334652761,0.25170998632010944,0.5363984674329503,0.5081669691470055,1,"tags=6%, list=2%, signal=8%",Grm1,BL6-biased
GO:0048522,positive regulation of cellular process,15,0.7003960714829605,1.2986406959158148,0.27448275862068966,0.5363984674329503,0.5081669691470055,1,"tags=7%, list=2%, signal=9%",Grm1,BL6-biased
GO:0007154,cell communication,18,0.6913629146908503,1.2931132308979922,0.24324324324324326,0.5363984674329503,0.5081669691470055,1,"tags=6%, list=2%, signal=8%",Grm1,BL6-biased
GO:0051179,localization,15,0.6927977198287949,1.28455219787629,0.2896551724137931,0.5363984674329503,0.5081669691470055,4,"tags=13%, list=7%, signal=17%",Grm1/Airn,BL6-biased
GO:0016043,cellular component organization,16,-0.4744614801006954,-1.2455788432025523,0.17153284671532848,0.5363984674329503,0.5081669691470055,13,"tags=38%, list=23%, signal=40%",Thsd7a/Efna5/Lama2/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0071840,cellular component organization or biogenesis,16,-0.4744614801006954,-1.2455788432025523,0.17153284671532848,0.5363984674329503,0.5081669691470055,13,"tags=38%, list=23%, signal=40%",Thsd7a/Efna5/Lama2/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0051716,cellular response to stimulus,22,0.6459720463896468,1.2225626356770944,0.287001287001287,0.5363984674329503,0.5081669691470055,1,"tags=5%, list=2%, signal=7%",Grm1,BL6-biased
GO:0050896,response to stimulus,24,0.6398357062560287,1.213904361205408,0.28227848101265823,0.5363984674329503,0.5081669691470055,1,"tags=4%, list=2%, signal=7%",Grm1,BL6-biased
GO:0072359,circulatory system development,12,-0.492331284829413,-1.1953240346630798,0.2398753894080997,0.5363984674329503,0.5081669691470055,9,"tags=33%, list=16%, signal=36%",Thsd7a/Clic4/Pdlim3/Prkg1,CAST-biased
GO:0032502,developmental process,22,-0.4013939527245754,-1.133901378434685,0.23555555555555555,0.5363984674329503,0.5081669691470055,11,"tags=32%, list=20%, signal=42%",Thsd7a/Efna5/Lama2/Clic4/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0048856,anatomical structure development,22,-0.4013939527245754,-1.133901378434685,0.23555555555555555,0.5363984674329503,0.5081669691470055,11,"tags=32%, list=20%, signal=42%",Thsd7a/Efna5/Lama2/Clic4/Pdlim3/Prkg1/Fmn1,CAST-biased
GO:0043170,macromolecule metabolic process,13,-0.4749068384554975,-1.1478557315809013,0.30434782608695654,0.542036673970707,0.5135084279722487,6,"tags=31%, list=11%, signal=36%",Efna5/Grb10/Prkg1/Fmn1,CAST-biased
GO:0009058,biosynthetic process,13,-0.4694157979439351,-1.1345838184114925,0.31438127090301005,0.542036673970707,0.5135084279722487,6,"tags=23%, list=11%, signal=27%",Grb10/Prkg1/Fmn1,CAST-biased
GO:0048518,positive regulation of biological process,16,0.6597405086619798,1.224606549801772,0.3489010989010989,0.5815018315018315,0.5508964719491036,1,"tags=6%, list=2%, signal=9%",Grm1,BL6-biased
GO:0032501,multicellular organismal process,24,0.5982451043890267,1.1349981474729263,0.41265822784810124,0.6655777868517762,0.6305473770174723,1,"tags=4%, list=2%, signal=7%",Grm1,BL6-biased
GO:0008152,metabolic process,18,-0.37058945845226143,-0.9987271400013378,0.4580152671755725,0.7156488549618321,0.6779831257533147,6,"tags=28%, list=11%, signal=37%",Pde7b/Efna5/Grb10/Prkg1/Fmn1,CAST-biased
GO:0050794,regulation of cellular process,28,0.5477593213607386,1.0484540199579908,0.5320665083135392,0.7462686567164178,0.7069913589945013,4,"tags=7%, list=7%, signal=13%",Grm1/Airn,BL6-biased
GO:0050789,regulation of biological process,30,0.5413497379406161,1.0399196739777692,0.5328638497652582,0.7462686567164178,0.7069913589945013,1,"tags=3%, list=2%, signal=7%",Grm1,BL6-biased
GO:0065007,biological regulation,30,0.5413497379406161,1.0399196739777692,0.5328638497652582,0.7462686567164178,0.7069913589945013,1,"tags=3%, list=2%, signal=7%",Grm1,BL6-biased
GO:0009059,macromolecule biosynthetic process,11,-0.39446055957002457,-0.9397548073428816,0.5373134328358209,0.7462686567164178,0.7069913589945013,6,"tags=18%, list=11%, signal=20%",Grb10/Fmn1,CAST-biased
GO:0010467,gene expression,10,-0.4071695176486155,-0.9364574001125407,0.5568513119533528,0.7525017729099363,0.7128964164409923,6,"tags=20%, list=11%, signal=22%",Grb10/Fmn1,CAST-biased
GO:0044238,primary metabolic process,14,-0.3648652077796122,-0.9134213476232523,0.6020761245674741,0.7922054270624659,0.750510404585494,12,"tags=29%, list=21%, signal=30%",Pde7b/Efna5/Grb10/Prkg1,CAST-biased
GO:0009987,cellular process,39,0.4749222260995753,0.9038451802419138,0.7040358744394619,0.9026100954352076,0.8551043009386178,1,"tags=3%, list=2%, signal=8%",Grm1,BL6-biased
GO:0048468,cell development,12,-0.3337098530789431,-0.8102093453747449,0.7476635514018691,0.9345794392523364,0.8853910477127398,11,"tags=33%, list=20%, signal=34%",Efna5/Lama2/Clic4/Prkg1,CAST-biased
GO:0008150,biological_process,46,0.4544823939531732,0.8366762995939211,0.7967914438502673,0.9384775808133472,0.8890840239284343,2,"tags=4%, list=4%, signal=23%",Grm1/Gm13481,BL6-biased
