ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0016579,protein deubiquitination,19,-0.9675991990588522,-1.6935765952097015,2.9063210444150933e-6,0.007727907657099733,0.00744630044432246,80,"tags=58%, list=4%, signal=56%",Usp15/Usp24/Usp25/Usp34/Usp37/Usp4/Usp47/Usp54/Usp8/Vcp/Zranb1
GO:0070646,protein modification by small protein removal,22,-0.8879183504590394,-1.5721367204309027,2.4155211563103304e-5,0.032114353773145844,0.030944097339259707,249,"tags=59%, list=12%, signal=53%",Senp6/Senp7/Usp15/Usp24/Usp25/Usp34/Usp37/Usp4/Usp47/Usp54/Usp8/Vcp/Zranb1
GO:0090304,nucleic acid metabolic process,688,-0.5485065347758565,-1.0594180262132924,8.968110738333242e-5,0.07948735484409364,0.07659081241088811,991,"tags=52%, list=47%, signal=41%",Ago3/Ahnak/Ambra1/Anxa2/Anxa3/Ap3b1/Apaf1/Apbb2/Apoe/App/Arf4/Arhgef11/Arhgef2/Arid1b/Arid2/Arid4b/Arnt/Ascc3/Ash1l/Asxl2/Atad2b/Atf6/Atf7/Atxn1/Atxn7/Banp/Baz1b/Bcas3/Bdp1/Bhlhe40/Bicra/Bptf/Brwd1/Btaf1/Camk1d/Camta1/Cbfb/Ccar1/Ccnd3/Ccnl1/Ccnl2/Ccnt1/Ccnt2/Cd36/Cdc73/Cdk13/Cdk6/Cdk8/Cdyl/Cebpd/Cflar/Chaserr/Chd6/Chd7/Clk1/Clk4/Cnot1/Cnot6l/Cpeb1/Creb1/Crebbp/Crem/Crtc3/Csde1/Cst3/Cstf3/Cul3/Cux1/Cytl1/Dcaf6/Dcp1b/Ddx10/Ddx17/Ddx5/Dnajb4/Dnajb6/Dnmt3a/Ebf2/Egln1/Egr1/Elf2/Elk3/Elp4/Emsy/Eng/Epc2/Erc1/Esrrb/Ets1/Fabp4/Faf1/Fars2/Fbxw7/Fer/Fhl2/Fli1/Fnip1/Fnip2/Foxn3/Foxo1/Foxp1/Fto/Fubp1/Fus/Fxr1/Fzd6/Gigyf2/Gpbp1/Gpbp1l1/Hand2os1/Hdac4/Hdac7/Herc2/Hipk2/Hipk3/Hmbox1/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Hsp90ab1/Id1/Ifrd1/Igf1r/Impact/Ino80d/Insr/Ints6/Itga6/Ivns1abp/Jarid2/Jph2/Kat6a/Kdm2a/Klf4/Klf6/Klf7/Kmt2c/Kmt2e/Larp4b/Limd1/Lims1/Lin52/Litaf/Lrp6/Lrrfip1/Lrrfip2/Luc7l3/Malat1/Map2k4/Map3k1/Mapk1/Mapkapk2/Marf1/Mbnl1/Mdm4/Med13/Med13l/Meis1/Meis2/Mga/Mideas/Mllt10/Morf4l1/Mtdh/Myo1c/N4bp2l2/Naa15/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Nedd4/Nek7/Neo1/Nfat5/Nfkb1/Nfkbia/Nfyc/Nktr/Nlk/Notch1/Nr1d2/Nr3c1/Nr4a1/Nsd1/Nsmce2/Nudt3/Nup98/Oga/Orc4/Osgepl1/Pan3/Pbrm1/Pbx1/Pcbp2/Pds5a/Pds5b/Peli1/Per3/Phf20l1/Phf21a/Pias1/Pias2/Pkd1/Pkd2/Pkia/Pkig/Pou2f1/Pparg/Ppargc1a/Ppm1a/Ppm1b/Ppm1h/Ppp2ca/Ppp3cb/Prickle1/Prkd2/Prpf39/Psme4/Pspc1/Ptbp3/Pten/Pum1/Pura/Pwwp2a/Qki/Ralgapa1/Rarb/Rb1/Rbfox2/Rbm20/Rbm25/Rbm33/Rbm39/Rbm4/Rbm5/Rbm6/Rbpms/Rc3h1/Rcor1/Rev3l/Rhoa/Rnf111/Rnf169/Rprd1a/Rptor/Rreb1/Runx1/S100a10/Sarnp/Scaf4/Scaf8/Scmh1/Setd2/Setd3/Setd5/Sf3b1/Sfmbt1/Sfpq/Sik1/Slc38a2/Slf2/Sltm/Smad3/Smad4/Smad7/Smg1/Smyd1/Snd1/Son/Sox6/Spop/Srrm1/Srsf2/Ss18/Ssbp2/Ssh2/Stat5b/Suz12/Syk/Tacc1/Taf15/Taok1/Tasor/Tcf12/Tcf20/Tcf25/Tcf4/Tef/Tent2/Tet2/Tfdp2/Tgfbr3/Thrap3/Tle1/Tle4/Tnks2/Tnrc6a/Tnrc6b/Top1/Top2b/Tra2a/Trerf1/Trim44/Trip12/Trmt1l/Tshz1/Tut7/U2surp/Ube2b/Ube2d3/Ubr2/Ubr5/Upf2/Uri1/Usp15/Usp25/Usp37/Usp4/Usp47/Uvrag/Vcp/Vegfa/Vps54/Wac/Wdr33/Wwc2/Xpo1/Xrn1/Xrn2/Yap1/Yes1/Ythdf3/Ywhaq/Ywhaz/Zbtb16/Zbtb46/Zbtb7c/Zc3h7a/Zcchc7/Zeb2/Zfhx3/Zfp148/Zfp236/Zfp407/Zfp609/Zfp638/Zfp644/Zfp704/Zfp710/Zfp809/Zhx1/Zhx2/Zhx3/Zkscan3/Zmym2/Zmym5/Zmynd8
GO:0006470,protein dephosphorylation,29,-0.7755882570080748,-1.4008480843992275,1.9838585910391684e-4,0.10550159987146296,0.10165709074924918,485,"tags=52%, list=23%, signal=40%",Mtmr3/Nceh1/Ppm1a/Ppm1b/Ppp2ca/Ppp2r2a/Ppp2r5a/Ppp3cb/Pten/Ptpn3/Ptpn9/Ptprb/Ptprm/Ssh2/Ubash3b
GO:0006139,nucleobase-containing compound metabolic process,761,-0.5475936722804622,-1.0577727948367819,1.6891173739061704e-4,0.10550159987146296,0.10165709074924918,1013,"tags=52%, list=48%, signal=43%",Ablim1/Acsl1/Acss1/Actn1/Acvr1/Adcy6/Adcy9/Adk/Adss2/Aebp2/Ago3/Ahnak/Ambra1/Anxa2/Anxa3/Ap3b1/Apaf1/Apbb2/Apoe/App/Arf4/Arhgef11/Arhgef2/Arid1b/Arid2/Arid4b/Arnt/Ascc3/Ash1l/Asxl2/Atad2b/Atf6/Atf7/Atp5f1a/Atp5f1b/Atp5f1c/Atp5pb/Atxn1/Atxn7/Banp/Baz1b/Bcas3/Bcl2l13/Bdp1/Bhlhe40/Bicra/Bptf/Brwd1/Btaf1/Camk1d/Camta1/Cbfb/Ccar1/Ccnd3/Ccnl1/Ccnl2/Ccnt1/Ccnt2/Cd36/Cdc73/Cdk13/Cdk6/Cdk8/Cdyl/Cebpd/Cflar/Chaserr/Chd6/Chd7/Clk1/Clk4/Cnot1/Cnot6l/Cpeb1/Creb1/Crebbp/Crem/Crtc3/Csde1/Cst3/Cstf3/Cul3/Cux1/Cytl1/Dcaf6/Dcp1b/Ddx10/Ddx17/Ddx5/Dlat/Dnajb4/Dnajb6/Dnm1l/Dnmt3a/Ebf2/Egln1/Egr1/Elf2/Elk3/Elp4/Emsy/Eng/Epc2/Erc1/Esrrb/Ets1/Fabp4/Faf1/Far1/Fars2/Fbxw7/Fer/Fhl2/Fli1/Fmo1/Fnip1/Fnip2/Foxn3/Foxo1/Foxp1/Fto/Fubp1/Fus/Fxr1/Fzd6/Gda/Gigyf2/Got1/Gpbp1/Gpbp1l1/Hand2os1/Hdac4/Hdac7/Herc2/Hipk2/Hipk3/Hk2/Hmbox1/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Hsp90ab1/Id1/Ifrd1/Igf1r/Impact/Ino80d/Insr/Ints6/Itga6/Ivns1abp/Jarid2/Jph2/Kat6a/Kdm2a/Klf4/Klf6/Klf7/Kmt2c/Kmt2e/Larp4b/Limd1/Lims1/Lin52/Litaf/Lrp6/Lrrfip1/Lrrfip2/Luc7l3/Malat1/Map2k4/Map3k1/Mapk1/Mapkapk2/Marf1/Mbnl1/Mdh1/Mdm4/Med13/Med13l/Meis1/Meis2/Mfn1/Mga/Mideas/Mllt10/Morf4l1/Mpc1/Mtch2/Mtdh/Myh7/Myo1c/N4bp2l2/Naa15/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Ndufs4/Nedd4/Nek7/Neo1/Nfat5/Nfkb1/Nfkbia/Nfyc/Nktr/Nlk/Nos3/Notch1/Nr1d2/Nr3c1/Nr4a1/Nsd1/Nsmce2/Nt5c2/Nt5e/Nudt3/Nup98/Oga/Opa1/Orc4/Osgepl1/Pan3/Pank1/Pbrm1/Pbx1/Pcbp2/Pds5a/Pds5b/Peli1/Per3/Pfkfb2/Phf20l1/Phf21a/Pias1/Pias2/Pkd1/Pkd2/Pkia/Pkig/Pou2f1/Pparg/Ppargc1a/Ppm1a/Ppm1b/Ppm1h/Ppp2ca/Ppp3cb/Prickle1/Prkd2/Prpf39/Psme4/Pspc1/Ptbp3/Pten/Pum1/Pura/Pwwp2a/Qki/Ralgapa1/Rarb/Rb1/Rbfox2/Rbm20/Rbm25/Rbm33/Rbm39/Rbm4/Rbm5/Rbm6/Rbpms/Rc3h1/Rcor1/Rev3l/Rhoa/Rnf111/Rnf169/Rprd1a/Rptor/Rreb1/Runx1/S100a10/Sarnp/Scaf4/Scaf8/Scmh1/Sdhb/Setd2/Setd3/Setd5/Sf3b1/Sfmbt1/Sfpq/Sik1/Slc25a12/Slc38a2/Slf2/Sltm/Smad3/Smad4/Smad7/Smg1/Smyd1/Snd1/Son/Sox6/Spop/Srbd1/Srrm1/Srsf2/Ss18/Ssbp2/Ssh2/Stat5b/Sucla2/Suz12/Syk/Tacc1/Taf15/Taok1/Tasor/Tcf12/Tcf20/Tcf25/Tcf4/Tef/Tent2/Tet2/Tfdp2/Tgfbr3/Thrap3/Tle1/Tle4/Tnks2/Tnrc6a/Tnrc6b/Top1/Top2b/Tra2a/Trerf1/Trim44/Trip12/Trmt1l/Tshz1/Tut7/U2surp/Ube2b/Ube2d3/Ubr2/Ubr5/Upf2/Uri1/Usp15/Usp25/Usp37/Usp4/Usp47/Uvrag/Vcp/Vegfa/Vps54/Wac/Wdr33/Wwc2/Xpo1/Xrn1/Xrn2/Yap1/Yes1/Ythdf3/Ywhaq/Ywhaz/Zbtb16/Zbtb46/Zbtb7c/Zc3h7a/Zcchc7/Zeb2/Zfhx3/Zfp148/Zfp236/Zfp407/Zfp609/Zfp638/Zfp644/Zfp704/Zfp710/Zfp809/Zhx1/Zhx2/Zhx3/Zkscan3/Zmym2/Zmym5/Zmynd8
GO:0048523,negative regulation of cellular process,884,-0.5486832887451993,-1.0603811330167026,4.1240166503953533e-4,0.15665371819144633,0.15094521093326752,1007,"tags=51%, list=48%, signal=46%",Acvr1/Adamts12/Adcy6/Adgrf5/Adipor2/Aebp2/Ago3/Ahsg/Airn/Akt3/Ambra1/Anxa2/Apbb2/Apc/Apoe/App/Appl1/Aqp1/Arf4/Arhgap10/Arhgap12/Arhgap29/Arhgap35/Arhgap42/Arhgef2/Arid2/Arid4b/Arpc2/Asb3/Ash1l/Asxl2/Atf7/Atp5f1a/Atp5f1b/Atxn1/Atxn2/Atxn7/Axl/B2m/B4galt1/Banp/Baz1b/Bhlhe40/Bicc1/Bicra/Birc6/Bptf/Braf/Btaf1/Cacna1c/Cadm1/Camk1d/Cast/Cbfb/Cblb/Ccar1/Ccnd3/Cd2ap/Cd36/Cd9/Cdc73/Cdk13/Cdk6/Cdk8/Cdyl/Cebpd/Cep85/Cflar/Cgnl1/Chaserr/Chd7/Chordc1/Cish/Clec16a/Cltc/Cnot1/Cnot6l/Col4a3/Cpeb1/Cpeb2/Creb1/Crebbp/Crem/Crim1/Crk/Crtc3/Csde1/Cst3/Ctnna1/Ctnnd1/Ctsh/Cul3/Cux1/Dag1/Dapk1/Dcaf5/Dcbld2/Dcp1b/Ddx17/Ddx5/Ddx6/Dip2b/Dlc1/Dleu2/Dnaja1/Dnajb4/Dnajb6/Dnajc3/Dnajc5/Dnm1l/Dnm3/Dnmt3a/Dock7/Dpysl3/Dusp16/Egfl7/Egln1/Egr1/Eif3a/Elf2/Elk3/Eml4/Eng/Esrrb/Ets1/Fabp4/Fbxo11/Fbxw7/Fer/Fhl2/Flt1/Fmo1/Fndc3b/Fnip1/Fnip2/Foxn3/Foxo1/Foxp1/Fto/Fus/Fxr1/Fzd6/G3bp1/Garem1/Gigyf2/Gna13/Gnaq/Golph3/Got1/Grb14/Grk5/Hapstr1/Hdac4/Hdac7/Hectd1/Herc1/Herc2/Hipk2/Hipk3/Hk2/Hmbox1/Hmg20a/Hnrnpa2b1/Hnrnpc/Homer2/Hsp90ab1/Hsp90b1/Hspa4/Hspg2/Ibtk/Id1/Ide/Ifrd1/Igf1r/Il15/Il6st/Impact/Insr/Intu/Ipo7/Iqgap1/Ireb2/Itga6/Itgb1/Itpr1/Ivns1abp/Jam2/Jarid2/Jph2/Kank1/Kat6a/Kdm2a/Kdr/Klf4/Klf7/Krit1/Larp4b/Lifr/Lima1/Limch1/Limd1/Lims1/Litaf/Lmod2/Lnpep/Lrch1/Lrp6/Lrrfip1/Ltbp1/Map2k4/Map3k1/Map3k3/Mapk1/Mapk8ip3/Mapkapk2/Mapt/Mark3/Mdm4/Meis1/Meis2/Mfhas1/Mfn1/Mib1/Mideas/Mtch2/Mtdh/Mycbp2/Myh9/N4bp2l2/Naa15/Naa16/Naca/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Nedd4/Nedd4l/Neo1/Nfkb1/Nfkbia/Nlk/Nos3/Notch1/Nr1d2/Nr3c1/Nr4a1/Nrxn1/Nsd1/Ntn1/Numb/Oga/Opa1/Optn/Pan3/Pard3/Pbrm1/Pbx1/Pcbp2/Pds5a/Pds5b/Pecam1/Peli1/Per3/Phf20l1/Phf21a/Phldb2/Pias1/Pias2/Pik3c2a/Pik3ca/Pip4k2a/Pkd2/Pkia/Pkig/Plxnd1/Podxl/Pou2f1/Pparg/Ppargc1a/Ppfia1/Ppm1a/Ppm1b/Ppp1r13b/Ppp1r9a/Ppp2ca/Ppp2r5a/Ppp2r5c/Ppp3cb/Prickle1/Prkce/Pspc1/Ptbp3/Pten/Ptpn14/Ptpn3/Ptpn9/Ptprb/Ptprg/Ptprm/Pum1/Pura/Qki/Rab11fip3/Ralgapa1/Ramp2/Ranbp9/Rarb/Rasa2/Rasa3/Rb1/Rbfox2/Rbm20/Rbm33/Rbm4/Rbms3/Rc3h1/Rcor1/Rgs3/Rhoa/Rhob/Ric1/Rin3/Ripor2/Rnf169/Rpl3l/Rps6ka2/Rps6kb1/Rptor/Rreb1/Rtn4/Runx1/Sarnp/Scaf4/Scaf8/Scmh1/Sec14l1/Sema5a/Sema6a/Sema6d/Sestd1/Setd5/Sfmbt1/Sfpq/Sgk3/Sh3rf1/Shoc2/Sik1/Slc25a12/Slc25a4/Slmap/Smad3/Smad4/Smad7/Smg1/Smurf1/Smurf2/Smyd1/Snd1/Snta1/Son/Sox6/Sparc/Spop/Spred1/Spred2/Sptan1/Sptbn1/Srgap1/Srgap2/Ss18/Ssh2/St6gal1/Stat5b/Stk40/Suz12/Taf15/Taok1/Tasor/Tbc1d4/Tcf25/Tcf4/Tcim/Tek/Tent2/Tfdp2/Tgfbr3/Thrap3/Tjp1/Tle1/Tle4/Tmod1/Tmod3/Tnks2/Tnrc6a/Tnrc6b/Tns3/Trerf1/Trim44/Trip12/Ttc39b/Tut7/Ubac2/Ubash3b/Ube2b/Ubr2/Ubr3/Ubr5/Upf2/Uri1/Usp15/Usp25/Usp4/Usp47/Usp8/Vcp/Vegfa/Vps13a/Vps54/Wac/Wasf2/Wwc2/Xpo1/Xrn1/Xrn2/Yap1/Ythdf3/Ywhae/Ywhag/Ywhaq/Ywhaz/Zbtb16/Zbtb46/Zbtb7c/Zc3h7a/Zcchc7/Zeb2/Zfand6/Zfhx3/Zfp148/Zfp809/Zhx1/Zhx2/Zhx3/Zkscan3/Zmym2/Zmym5/Zmynd8
GO:0010605,negative regulation of macromolecule metabolic process,455,-0.5429578302432893,-1.04675586655653,4.078447871863099e-4,0.15665371819144633,0.15094521093326752,999,"tags=52%, list=47%, signal=35%",Adipor2/Aebp2/Ago3/Airn/Anxa2/Apbb2/Apc/Apoe/App/Arid4b/Asxl2/Atf7/Atxn1/Axl/Banp/Bhlhe40/Bptf/Btaf1/Cadm1/Cast/Cbfb/Ccar1/Ccnd3/Cd2ap/Cd36/Cdc73/Cdk6/Cdyl/Cebpd/Cep85/Chaserr/Chordc1/Clec16a/Cltc/Cnot1/Cnot6l/Cpeb1/Cpeb2/Creb1/Crebbp/Crem/Csde1/Cst3/Cul3/Cux1/Dapk1/Dcp1b/Ddx17/Ddx5/Ddx6/Dnaja1/Dnajb4/Dnajb6/Dnajc3/Dnmt3a/Egr1/Elf2/Elk3/Eng/Esrrb/Fabp4/Fbxw7/Fhl2/Flt1/Fnip1/Fnip2/Foxn3/Foxo1/Foxp1/Fto/Fus/Fxr1/Garem1/Gigyf2/Gnaq/Hdac4/Hdac7/Hipk2/Hipk3/Hmbox1/Hmg20a/Hnrnpa2b1/Hnrnpc/Homer2/Hsp90ab1/Hspa4/Hspg2/Ibtk/Id1/Ide/Impact/Insr/Ireb2/Ivns1abp/Jarid2/Jph2/Kat6a/Kdm2a/Kdr/Klf4/Klf7/Larp4b/Limd1/Lims1/Lrp6/Lrrfip1/Mapkapk2/Mapt/Mdm4/Mideas/Mtdh/Mycbp2/N4bp2l2/Nbas/Ncoa2/Ncor1/Ndfip1/Nedd4/Nfkb1/Notch1/Nr1d2/Nr3c1/Nrxn1/Nsd1/Oga/Optn/Pan3/Pard3/Pds5a/Pecam1/Per3/Phf20l1/Phf21a/Pias1/Pik3ca/Pkia/Pkig/Pou2f1/Pparg/Ppargc1a/Ppm1b/Prickle1/Prkce/Pspc1/Ptbp3/Pten/Ptpn3/Ptprb/Pum1/Pura/Qki/Ralgapa1/Rarb/Rb1/Rbfox2/Rbm20/Rbm33/Rbm4/Rbms3/Rc3h1/Rcor1/Ric1/Rnf169/Rreb1/Rtn4/Runx1/Sarnp/Scaf4/Scaf8/Scmh1/Setd5/Sfmbt1/Sfpq/Sik1/Smad3/Smad4/Smad7/Smg1/Smyd1/Snd1/Snta1/Sox6/Spop/Spred1/Spred2/Suz12/Taf15/Tasor/Tcf25/Tcf4/Tent2/Tfdp2/Tgfbr3/Thrap3/Tle1/Tle4/Tnks2/Tnrc6a/Tnrc6b/Trerf1/Trim44/Trip12/Tut7/Ubash3b/Ube2b/Ubr2/Ubr5/Upf2/Uri1/Usp25/Usp4/Usp47/Usp8/Vegfa/Wac/Wwc2/Xpo1/Xrn1/Xrn2/Yap1/Ythdf3/Ywhaq/Ywhaz/Zbtb16/Zbtb46/Zc3h7a/Zcchc7/Zeb2/Zfhx3/Zfp148/Zfp809/Zhx1/Zhx2/Zhx3/Zkscan3/Zmym2/Zmym5/Zmynd8
GO:0007265,Ras protein signal transduction,27,-0.7356399547682785,-1.322415963746072,6.548600972352129e-4,0.15829754532258464,0.1525291365234936,563,"tags=33%, list=27%, signal=25%",Ksr1/Notch1/Ntn1/Rasa2/Rasa3/Rb1/Rgl1/Shoc2/Usp8
GO:0016311,dephosphorylation,42,-0.6751389468632135,-1.2416456837149448,6.365426351452923e-4,0.15829754532258464,0.1525291365234936,486,"tags=43%, list=23%, signal=34%",Mtmr10/Mtmr3/Nceh1/Plpp1/Ppm1a/Ppm1b/Ppp2ca/Ppp2r2a/Ppp2r5a/Ppp3cb/Pten/Ptpn3/Ptpn9/Ptprb/Ptprm/Ssh2/Ubash3b/Uri1
GO:0048519,negative regulation of biological process,905,-0.549122273842403,-1.06124718295132,6.273839074630094e-4,0.15829754532258464,0.1525291365234936,1007,"tags=51%, list=48%, signal=46%",Acvr1/Adamts12/Adcy6/Adgrf5/Adipor2/Aebp2/Ago3/Ahsg/Airn/Akt3/Ambra1/Anxa2/Apbb2/Apc/Apoe/App/Appl1/Aqp1/Arf4/Arhgap10/Arhgap12/Arhgap29/Arhgap35/Arhgap42/Arhgef2/Arid2/Arid4b/Ark2n/Arnt/Arpc2/Asb3/Ash1l/Asxl2/Atf7/Atp2a2/Atp5f1a/Atp5f1b/Atxn1/Atxn2/Atxn7/Axl/B2m/B4galt1/Banp/Baz1b/Bhlhe40/Bicc1/Bicra/Birc6/Bptf/Braf/Btaf1/Cacna1c/Cadm1/Camk1d/Cast/Cbfb/Cblb/Ccar1/Ccnd3/Cd2ap/Cd36/Cd9/Cdc73/Cdk13/Cdk6/Cdk8/Cdyl/Cebpd/Cep85/Cflar/Cgnl1/Chaserr/Chd7/Chordc1/Cish/Clec16a/Cltc/Cnot1/Cnot6l/Col4a3/Cpeb1/Cpeb2/Creb1/Crebbp/Crem/Crim1/Crk/Crtc3/Csde1/Cst3/Ctnna1/Ctnnd1/Ctsh/Cul3/Cux1/Dag1/Dapk1/Dcaf5/Dcbld2/Dcp1b/Ddx17/Ddx5/Ddx6/Dip2b/Dlc1/Dleu2/Dnaja1/Dnajb4/Dnajb6/Dnajc3/Dnajc5/Dnm1l/Dnm3/Dnmt3a/Dock7/Dpysl3/Dusp16/Egfl7/Egln1/Egr1/Eif3a/Elf2/Elk3/Eml4/Eng/Esrrb/Ets1/Fabp4/Fbxo11/Fbxo32/Fbxw7/Fer/Fhl2/Flt1/Fmo1/Fndc3b/Fnip1/Fnip2/Foxn3/Foxo1/Foxp1/Fto/Fus/Fxr1/Fzd6/G3bp1/Garem1/Gigyf2/Gna13/Gnaq/Golph3/Got1/Grb14/Grk5/Hapstr1/Hdac4/Hdac7/Hectd1/Herc1/Herc2/Hipk2/Hipk3/Hk2/Hmbox1/Hmg20a/Hnrnpa2b1/Hnrnpc/Homer2/Hs3st5/Hsp90ab1/Hsp90b1/Hspa4/Hspg2/Ibtk/Id1/Ide/Ifrd1/Igf1r/Il15/Il6st/Impact/Insr/Intu/Ipo7/Iqgap1/Ireb2/Itga6/Itga9/Itgb1/Itpr1/Ivns1abp/Jam2/Jarid2/Jph2/Kank1/Kat6a/Kdm2a/Kdr/Klf4/Klf7/Krit1/Larp4b/Lifr/Lima1/Limch1/Limd1/Lims1/Litaf/Lmod2/Lnpep/Lrch1/Lrp6/Lrrfip1/Ltbp1/Map2k4/Map3k1/Map3k3/Mapk1/Mapk8ip3/Mapkapk2/Mapt/Mark3/Mdm4/Meis1/Meis2/Mfhas1/Mfn1/Mib1/Mideas/Mtch2/Mtdh/Mycbp2/Myh9/N4bp2l2/Naa15/Naa16/Naca/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Nedd4/Nedd4l/Neo1/Nfkb1/Nfkbia/Nlk/Nos3/Notch1/Nr1d2/Nr3c1/Nr4a1/Nrxn1/Nsd1/Nt5c2/Nt5e/Ntn1/Numb/Oga/Opa1/Optn/Pan3/Pard3/Pbrm1/Pbx1/Pcbp2/Pds5a/Pds5b/Pecam1/Peli1/Per3/Phf20l1/Phf21a/Phldb2/Pias1/Pias2/Pik3c2a/Pik3ca/Pip4k2a/Pkd2/Pkia/Pkig/Plxnd1/Podxl/Pou2f1/Pparg/Ppargc1a/Ppfia1/Ppm1a/Ppm1b/Ppp1r13b/Ppp1r9a/Ppp2ca/Ppp2r5a/Ppp2r5c/Ppp3cb/Prickle1/Prkce/Pspc1/Ptbp3/Pten/Ptpn14/Ptpn3/Ptpn9/Ptprb/Ptprg/Ptprm/Pum1/Pura/Qki/Rab11fip3/Ralgapa1/Ramp2/Ranbp9/Rap1gds1/Rarb/Rasa2/Rasa3/Rb1/Rbfox2/Rbm20/Rbm33/Rbm4/Rbms3/Rc3h1/Rcor1/Rgs3/Rhoa/Rhob/Ric1/Rin3/Ripor2/Rnf169/Rpl3l/Rps6ka2/Rps6kb1/Rptor/Rreb1/Rtn4/Runx1/Sarnp/Scaf4/Scaf8/Scmh1/Sec14l1/Sema5a/Sema6a/Sema6d/Sestd1/Setd5/Sfmbt1/Sfpq/Sgk3/Sh3rf1/Shoc2/Sik1/Slc25a12/Slc25a4/Slmap/Smad3/Smad4/Smad7/Smg1/Smurf1/Smurf2/Smyd1/Snd1/Snta1/Son/Sox6/Sparc/Spop/Spred1/Spred2/Sptan1/Sptbn1/Srgap1/Srgap2/Ss18/Ssh2/St6gal1/Stab1/Stat5b/Stk40/Suz12/Taf15/Taok1/Tasor/Tbc1d4/Tcf25/Tcf4/Tcim/Tek/Tent2/Tfdp2/Tgfbr3/Thrap3/Tjp1/Tle1/Tle4/Tmod1/Tmod3/Tnks2/Tnrc6a/Tnrc6b/Tns3/Trerf1/Trim44/Trip12/Ttc39b/Tut7/Ubac2/Ubash3b/Ube2b/Ubr2/Ubr3/Ubr5/Upf2/Uri1/Usp15/Usp25/Usp4/Usp47/Usp8/Vcp/Vegfa/Vps13a/Vps54/Wac/Wasf2/Wwc2/Xpo1/Xrn1/Xrn2/Yap1/Ythdf3/Ywhae/Ywhag/Ywhaq/Ywhaz/Zbtb16/Zbtb46/Zbtb7c/Zc3h7a/Zcchc7/Zeb2/Zfand6/Zfhx3/Zfp148/Zfp809/Zhx1/Zhx2/Zhx3/Zkscan3/Zmym2/Zmym5/Zmynd8
