ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0090304,nucleic acid metabolic process,401,-0.5875487995244607,-1.0923970695882295,8.128008474134813e-6,0.015036815677149405,0.014621859455048838,544,"tags=52%, list=44%, signal=43%",Apoe/App/Arid4b/Arnt/Ascc3/Ash1l/Asph/Asxl1/Atxn7/Babam2/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc42/Cdc73/Cdk8/Cdkal1/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpped1/Csde1/Cul3/Cux1/Cwf19l2/Dcp1b/Ddx17/Ddx5/Dlg1/Dnajb6/Dpf3/Elf1/Elf2/Ell2/Eprs1/Erc1/Etv6/Eya3/Fars2/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Luc7l2/Maf/Malat1/Malt1/Map2k4/Map2k5/Mapk14/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mitf/Mllt3/Mnat1/Nampt/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nsmce2/Nup98/Pam/Pbrm1/Pds5a/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rbms1/Rcor1/Rere/Rnf111/Rnf169/Rock2/Scaf8/Setd2/Setd5/Slc30a9/Slc38a3/Smg1/Smg6/Smg7/Snd1/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tnrc6a/Tpr/Tra2a/Trip12/Tut4/Tut7/U2surp/Ube2b/Ube2d3/Ube3a/Ubr2/Ubr5/Uri1/Usp13/Usp15/Usp25/Usp28/Usp3/Uvrag/Vegfa/Virma/Wnk1/Wwp1/Xrn1/Yes1/Ythdf3/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0016070,RNA metabolic process,368,-0.5818128299600709,-1.0813920908190384,4.51814659522443e-5,0.03791264099903632,0.036866403110869465,544,"tags=51%, list=44%, signal=41%",Apoe/App/Arid4b/Arnt/Ash1l/Asph/Asxl1/Atxn7/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc73/Cdk8/Cdkal1/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpped1/Csde1/Cul3/Cux1/Cwf19l2/Dcp1b/Ddx17/Ddx5/Dlg1/Dnajb6/Dpf3/Elf1/Elf2/Ell2/Eprs1/Erc1/Etv6/Fars2/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Luc7l2/Maf/Malat1/Malt1/Map2k5/Mapk14/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mitf/Mllt3/Mnat1/Nampt/Nbas/Ncoa2/Ncoa3/Ncor1/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nup98/Pam/Pbrm1/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rcor1/Rere/Rock2/Scaf8/Setd2/Setd5/Slc30a9/Slc38a3/Smg1/Smg6/Smg7/Snd1/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tnrc6a/Tpr/Tra2a/Tut4/Tut7/U2surp/Ube3a/Uri1/Usp13/Usp15/Usp25/Usp3/Vegfa/Virma/Wnk1/Wwp1/Xrn1/Yes1/Ythdf3/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0019219,regulation of nucleobase-containing compound metabolic process,362,-0.5786319933665333,-1.0755033704379298,6.147995837681566e-5,0.03791264099903632,0.036866403110869465,544,"tags=51%, list=44%, signal=40%",Apoe/App/Arid4b/Arnt/Ash1l/Asph/Asxl1/Atxn7/Babam2/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc42/Cdc73/Cdk8/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Cpped1/Csde1/Cul3/Cux1/Dcp1b/Ddx17/Ddx5/Dlg1/Dnajb6/Dnm1l/Dpf3/Elf1/Elf2/Ell2/Entpd1/Erc1/Etv6/Eya3/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Maf/Malat1/Malt1/Map2k4/Map2k5/Mapk14/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mitf/Mllt3/Mnat1/Nampt/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nup98/Pam/Pbrm1/Pdk4/Pds5a/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rcor1/Rere/Rnf169/Rock2/Scaf8/Setd2/Setd5/Slc30a9/Slc38a3/Slc4a4/Smg1/Smg6/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tnrc6a/Tpr/Tra2a/Tut4/Tut7/Ube2b/Ube3a/Uri1/Usp13/Usp3/Vegfa/Wnk1/Wwp1/Yes1/Ythdf3/Zeb2/Zfp148/Zfp445/Zfp568/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0032774,RNA biosynthetic process,345,-0.5785817143279088,-1.0750361420877241,8.291281479950309e-5,0.03834717684477018,0.03728894749798705,544,"tags=51%, list=44%, signal=40%",Apoe/App/Arid4b/Arnt/Ash1l/Asph/Asxl1/Atxn7/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc73/Cdk8/Cdkal1/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpped1/Cul3/Cux1/Cwf19l2/Ddx17/Ddx5/Dlg1/Dnajb6/Dpf3/Elf1/Elf2/Ell2/Erc1/Etv6/Fars2/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Luc7l2/Maf/Malat1/Malt1/Map2k5/Mapk14/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mitf/Mllt3/Mnat1/Nampt/Ncoa2/Ncoa3/Ncor1/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nup98/Pam/Pbrm1/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rcor1/Rere/Scaf8/Setd2/Setd5/Slc30a9/Slc38a3/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tpr/Tra2a/Tut4/Tut7/U2surp/Ube3a/Uri1/Usp13/Usp15/Usp3/Vegfa/Virma/Wnk1/Wwp1/Xrn1/Yes1/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0070646,protein modification by small protein removal,16,-0.9242067590129129,-1.5465180512521517,1.2583433361419748e-4,0.04655870343725307,0.045273868662455474,101,"tags=56%, list=8%, signal=52%",Tank/Usp13/Usp15/Usp24/Usp25/Usp28/Usp3/Usp54/Usp8
GO:0016579,protein deubiquitination,14,-0.924330657625725,-1.5253166758498962,3.759466581236611e-4,0.06552654275671958,0.06371827116428663,101,"tags=64%, list=8%, signal=60%",Tank/Usp13/Usp15/Usp24/Usp25/Usp28/Usp3/Usp54/Usp8
GO:0045814,"negative regulation of gene expression, epigenetic",21,-0.8185373196077628,-1.3980262377626183,3.713897850670966e-4,0.06552654275671958,0.06371827116428663,74,"tags=33%, list=6%, signal=32%",Tpr/Trip12/Tut4/Tut7/Ubr2/Ubr5/Zfp445
GO:0010468,regulation of gene expression,423,-0.5774501695342693,-1.0739733669908427,3.167073717635276e-4,0.06552654275671958,0.06371827116428663,553,"tags=50%, list=45%, signal=42%",Airn/Ambra1/Apoe/App/Arfgef2/Arid4b/Arnt/Ash1l/Asph/Asxl1/Atxn7/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Braf/Camk1d/Ccar1/Ccnt1/Ccnt2/Cd2ap/Cdc73/Cdk8/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpeb2/Cpped1/Csde1/Cul3/Cux1/Cyfip1/Cyrib/Dcp1b/Ddx17/Ddx5/Dennd1b/Dlg1/Dnajb6/Dnajc1/Dnm1l/Dpf3/Dtnbp1/Elf1/Elf2/Ell2/Eprs1/Erc1/Etv6/Fhl2/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Helz/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Homer2/Il15/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Maf/Malat1/Malt1/Map2k5/Map3k20/Mapk14/Mast2/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mir133a-1hg/Mitf/Mllt3/Mnat1/Mycbp2/Nampt/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Neo1/Nf1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nup98/Opa1/Pam/Pbrm1/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Prkacb/Prkca/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rcor1/Rere/Rock2/Rps6ka2/Scaf8/Serpine1/Setd2/Setd5/Slc30a9/Slc38a3/Smg1/Smg6/Smg7/Snd1/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tank/Tbc1d23/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tmem135/Tnks/Tnrc6a/Tpr/Tra2a/Trip12/Ttn/Tut4/Tut7/Ube3a/Ubr2/Ubr5/Uri1/Usp13/Usp3/Vegfa/Wnk1/Wwp1/Xrn1/Yes1/Ythdf3/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0006139,nucleobase-containing compound metabolic process,452,-0.5760691924420929,-1.0716732925424197,2.893662221131449e-4,0.06552654275671958,0.06371827116428663,525,"tags=49%, list=43%, signal=45%",Ascc3/Ash1l/Asph/Asxl1/Atp5f1b/Atp5f1c/Atxn7/Babam2/Bach1/Baz1b/Bcas3/Bcl2l13/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc42/Cdc73/Cdk8/Cdkal1/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpped1/Csde1/Cul3/Cux1/Cwf19l2/Dcp1b/Ddx17/Ddx5/Dgat2/Dlg1/Dnajb6/Dnm1l/Dpf3/Elf1/Elf2/Ell2/Entpd1/Eprs1/Erc1/Etv6/Eya3/Fars2/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Hipk3/Hk2/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Hsd17b4/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Luc7l2/Maf/Malat1/Malt1/Map2k4/Map2k5/Mapk14/Mbnl1/Mbnl2/Mdh1/Med13/Med13l/Mef2d/Mfn1/Mical2/Mitf/Mllt3/Mnat1/Mpc1/Myh7/Nampt/Nbas/Ncoa2/Ncoa3/Ncor1/Ndfip1/Ndufs4/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nsmce2/Nup98/Opa1/Pals1/Pam/Pank1/Pbrm1/Pdk4/Pds5a/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rbms1/Rcor1/Rere/Rnf111/Rnf169/Rock2/Scaf8/Sdha/Setd2/Setd5/Slc30a9/Slc38a3/Slc4a4/Smg1/Smg6/Smg7/Snd1/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Suclg2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tnrc6a/Tpr/Tra2a/Trip12/Tut4/Tut7/U2surp/Ube2b/Ube2d3/Ube3a/Ubr2/Ubr5/Uri1/Usp13/Usp15/Usp25/Usp28/Usp3/Uvrag/Vegfa/Virma/Wnk1/Wwp1/Xrn1/Yes1/Ythdf3/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
GO:0141187,nucleic acid biosynthetic process,350,-0.5761456259532337,-1.0708328010466979,3.8961728125617046e-4,0.06552654275671958,0.06371827116428663,544,"tags=51%, list=44%, signal=39%",Apoe/App/Arid4b/Arnt/Ash1l/Asph/Asxl1/Atxn7/Bach1/Baz1b/Bcas3/Bicral/Bmpr2/Camk1d/Ccar1/Ccnt1/Ccnt2/Cdc73/Cdk8/Cdkal1/Celf1/Cflar/Chaserr/Chd6/Chd7/Cipc/Clk1/Cpped1/Cul3/Cux1/Cwf19l2/Ddx17/Ddx5/Dlg1/Dnajb6/Dpf3/Elf1/Elf2/Ell2/Erc1/Etv6/Fars2/Fhl2/Fip1l1/Fli1/Fnip1/Fnip2/Foxo3/Fus/Gpbp1/Gsk3b/Hand2os1/Hipk3/Hmg20a/Hnrnpa2b1/Hnrnpc/Hnrnph1/Ino80/Jmjd1c/Jph2/Kdm4c/Kdm7a/Khdrbs3/Klf13/Klf7/Kmt2c/Kmt2e/Limd1/Lims1/Lrrfip1/Luc7l2/Maf/Malat1/Malt1/Map2k5/Mapk14/Mbnl1/Mbnl2/Med13/Med13l/Mef2d/Mical2/Mitf/Mllt3/Mnat1/Nampt/Ncoa2/Ncoa3/Ncor1/Neo1/Nfe2l2/Nfia/Nipbl/Nktr/Nr1d2/Nr6a1/Nrip1/Nsd1/Nup98/Pam/Pbrm1/Per3/Phf14/Phf20l1/Pias1/Pias2/Pkia/Pkig/Ppard/Ppargc1a/Ppig/Ppm1b/Ppm1h/Ppm1l/Ppp1r12a/Pptc7/Prdm16/Ptbp2/Pten/Ptprk/Qki/Qrich1/Ralgapa1/Rbm39/Rbm5/Rcor1/Rere/Scaf8/Setd2/Setd5/Slc30a9/Slc38a3/Snrnp70/Snx6/Son/Spop/Sqstm1/Srsf2/Syk/Tacc1/Tbx20/Tcf20/Tcf25/Tcf4/Tcf7l2/Tead1/Tef/Tet2/Tgfbr3/Tnks/Tpr/Tra2a/Tut4/Tut7/U2surp/Ube3a/Uri1/Usp13/Usp15/Usp3/Vegfa/Virma/Wnk1/Wwp1/Xrn1/Yes1/Zeb2/Zfp148/Zfp445/Zfp568/Zfp638/Zfp644/Zfp809/Zhx2/Zkscan3/Zmiz1/Zmynd8
