ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0030073,insulin secretion,14,-0.8513684761027911,-1.2761601689574544,0.012953984223828435,0.8166515321041906,0.8166515321041906,82,"tags=14%, list=15%, signal=12%",Stim1/Pde3b
GO:0050796,regulation of insulin secretion,14,-0.8513684761027911,-1.2761601689574544,0.012953984223828435,0.8166515321041906,0.8166515321041906,82,"tags=14%, list=15%, signal=12%",Stim1/Pde3b
GO:0008286,insulin receptor signaling pathway,11,-0.8683729433272395,-1.2698987071478,0.03707414829659319,0.8166515321041906,0.8166515321041906,75,"tags=27%, list=13%, signal=24%",Sorbs1/Phip/Prkca
GO:0021954,central nervous system neuron development,12,-0.8461509362920451,-1.2509916679033855,0.035035035035035036,0.8166515321041906,0.8166515321041906,90,"tags=42%, list=16%, signal=36%",Nrp1/Plxna4/Prkca/Pten/Zmiz1
GO:0097530,granulocyte migration,10,-0.8594344872693948,-1.247709114080758,0.050200803212851405,0.8166515321041906,0.8166515321041906,81,"tags=40%, list=15%, signal=35%",Vav3/Pde4b/Prkca/Rtn4
GO:1990266,neutrophil migration,10,-0.8594344872693948,-1.247709114080758,0.050200803212851405,0.8166515321041906,0.8166515321041906,81,"tags=40%, list=15%, signal=35%",Vav3/Pde4b/Prkca/Rtn4
GO:0006109,regulation of carbohydrate metabolic process,13,-0.8359162544701978,-1.2442317950516824,0.031031031031031032,0.8166515321041906,0.8166515321041906,95,"tags=38%, list=17%, signal=33%",Ncoa2/Ncor1/Nfkb1/Prkag2/Stat3
GO:0140694,non-membrane-bounded organelle assembly,12,-0.8406446171587543,-1.2428508515772232,0.035035035035035036,0.8166515321041906,0.8166515321041906,94,"tags=50%, list=17%, signal=42%",Ncor1/Pgm5/Prkd1/Pten/Senp6/Stag1
GO:0007548,sex differentiation,10,-0.8412311764389285,-1.2212819260099372,0.05923694779116466,0.8166515321041906,0.8166515321041906,91,"tags=40%, list=16%, signal=34%",Zfpm2/Nipbl/Pbx1/Schip1
GO:0042445,hormone metabolic process,10,-0.8374061226096021,-1.215728792414073,0.06224899598393574,0.8166515321041906,0.8166515321041906,92,"tags=30%, list=16%, signal=26%",Pcsk6/Nfkb1/Schip1
GO:0061351,neural precursor cell proliferation,13,-0.8081581466955278,-1.2029148328811052,0.04904904904904905,0.8166515321041906,0.8166515321041906,110,"tags=38%, list=20%, signal=32%",Lims1/Lyn/Rere/Tacc1/Zfp423
GO:0002521,leukocyte differentiation,29,-0.7558146939235391,-1.1910091377228145,0.009341161878413572,0.8166515321041906,0.8166515321041906,144,"tags=48%, list=26%, signal=38%",Fgl2/Foxp1/Hdac9/Hectd1/Lyn/Ncor1/Pbx1/Prkca/Rb1/Sh3pxd2a/Stat3/Zbtb16/Zbtb46/Zmiz1
GO:0021953,central nervous system neuron differentiation,16,-0.777954163402789,-1.1807793310425652,0.043,0.8166515321041906,0.8166515321041906,127,"tags=38%, list=23%, signal=30%",Herc1/Nrp1/Plxna4/Prkca/Pten/Zmiz1
GO:1903131,mononuclear cell differentiation,20,-0.7542595801246683,-1.1644690983749404,0.03896103896103896,0.8166515321041906,0.8166515321041906,144,"tags=55%, list=26%, signal=42%",Fgl2/Foxp1/Hdac9/Hectd1/Lyn/Ncor1/Pbx1/Stat3/Zbtb16/Zbtb46/Zmiz1
GO:0000209,protein polyubiquitination,15,-0.7697313338614431,-1.1612610694108385,0.064,0.8166515321041906,0.8166515321041906,130,"tags=33%, list=23%, signal=26%",Ubr5/Hectd1/Tnks2/Ube2d3/Ube2h
GO:0031047,regulatory ncRNA-mediated gene silencing,10,-0.7956204379562044,-1.155065204493838,0.09939759036144578,0.8166515321041906,0.8166515321041906,117,"tags=50%, list=21%, signal=40%",Tnrc6b/Kcnq1ot1/Nfkb1/Stat3/Tnrc6c
GO:0033044,regulation of chromosome organization,13,-0.7743090167437036,-1.1525315995181065,0.07907907907907907,0.8166515321041906,0.8166515321041906,129,"tags=38%, list=23%, signal=30%",Hecw2/Rb1/Senp6/Smg1/Tnks2
GO:0019439,aromatic compound catabolic process,17,-0.7541471458415698,-1.1509587450631948,0.058941058941058944,0.8166515321041906,0.8166515321041906,139,"tags=35%, list=25%, signal=27%",Zcchc7/Fto/Samd4/Smg1/Tnrc6c/Xdh
GO:0034655,nucleobase-containing compound catabolic process,17,-0.7541471458415698,-1.1509587450631948,0.058941058941058944,0.8166515321041906,0.8166515321041906,139,"tags=35%, list=25%, signal=27%",Zcchc7/Fto/Samd4/Smg1/Tnrc6c/Xdh
GO:0044270,cellular nitrogen compound catabolic process,17,-0.7541471458415698,-1.1509587450631948,0.058941058941058944,0.8166515321041906,0.8166515321041906,139,"tags=35%, list=25%, signal=27%",Zcchc7/Fto/Samd4/Smg1/Tnrc6c/Xdh
