ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0000209,protein polyubiquitination,35,-0.7560645199530306,-1.2656262630913637,5.357967813335759e-4,0.5980397313567438,0.5980397313567438,117,"tags=34%, list=11%, signal=32%",Rnf213/Sash1/Shprh/Tcf25/Tnks2/Ube2d3/Ube2e2/Ube2h/Ube2k/Ube3c/Ube4b/Ubr5
GO:0051246,regulation of protein metabolic process,194,-0.610195176893466,-1.0640036232072085,9.66438317610917e-4,0.5980397313567438,0.5980397313567438,435,"tags=49%, list=41%, signal=35%",Anxa2/Apc/Apoe/App/Arnt/Bcar3/Cav1/Cblb/Ccny/Cd36/Cdon/Csnk1a1/Cst3/Dapk1/Dlg1/Dnajc3/Dyrk1a/Egfr/Egr1/Epas1/Errfi1/Ezr/Fabp4/Faf1/Fbn1/Fbxo33/Fer/Flt1/Fnip1/Foxo1/Fyn/Gab1/Gas1/Gas6/Gnaq/Hspa5/Hspb1/Igf2bp2/Il6ra/Il6st/Itgb1/Kdr/Klf4/Lsm14a/Map2k4/Mapk1/Mdm4/Mycbp2/Ndfip1/Nfkbia/Niban1/Nrdc/Nrp1/Nsd1/Pawr/Pdgfd/Phf20l1/Phip/Phlpp1/Pid1/Prex2/Prkca/Prkce/Ptprb/Pum1/Qki/Rapgef2/Rasa1/Rasal2/Rbms3/Rock1/Rspo1/Rtn3/S100a10/Samd4/Sash1/Serping1/Serpinh1/Sh3rf1/Shb/Smad3/Spag9/Spred1/Stat3/Tcf25/Tcf7l2/Timp2/Timp3/Tnrc6b/Ube2k/Ubr3/Usp25/Wnk1/Wwtr1/Xdh
GO:0006950,response to stress,278,-0.605872105589744,-1.0604537259825788,0.001058477400631405,0.5980397313567438,0.5980397313567438,443,"tags=50%, list=42%, signal=39%",Akt3/Aldh1a1/Ankhd1/Ankrd17/Ano1/Anxa2/Apc/Apoe/App/Aqp1/Arfgef1/Arnt/Ash1l/Atp2a2/Atxn7/B2m/Babam2/Bach1/Baz1b/Bcas3/Bmpr1a/Bnc1/Cav1/Cd200/Cd36/Cdc42/Cdh8/Celf1/Cert1/Clasp2/Creb3l2/Crebbp/Csnk1a1/Cst3/Dapk1/Dcbld2/Dnajc3/Dst/Dyrk1a/Egfr/Egr1/Epas1/Errfi1/Fabp4/Faf1/Fam168a/Fer/Flt1/Fnip1/Foxn3/Foxo1/Foxp1/Fto/Fyn/Gab1/Gas6/Gnaq/Gnb1/Gpx3/Gsdma3/Hdac9/Hspa5/Hspb1/Igfbp6/Il16/Il6ra/Itgb1/Itpr1/Itpr2/Kank1/Kdr/Klf4/Lsm14a/Map2k4/Map3k3/Map4k4/Mapk1/Mcu/Mdm4/Mrtfa/Msrb3/Mtmr3/Mtss1/Myof/Ndfip1/Neat1/Nfe2l2/Nfkb1/Nfkbia/Niban1/Nipbl/Nlk/Npepps/Nrp1/Parp4/Pawr/Pdgfd/Pdia3/Pja2/Ppl/Prkca/Prkce/Psme4/Pum1/Qrich1/Rap1gds1/Rbm47/Rbms3/Rbpj/Rnf213/Ryr2/S100a10/Sel1l/Serinc3/Serping1/Shprh/Smad3/Smg1/Spred1/Stat3/Stk39/Susd6/Tcf7l2/Tlk1/Tnfaip8/Tsc22d2/Ube2d3/Ube2e2/Ube2k/Ube4b/Ubr5/Usp25/Vav3/Vim/Vps54/Wnk1/Ywhae/Zmiz1
GO:0035725,sodium ion transmembrane transport,12,-0.9206750063622011,-1.4251403049885647,0.0022058108261628863,0.866059284526868,0.866059284526868,87,"tags=25%, list=8%, signal=23%",Slc6a6/Stk39/Wnk1
GO:0045582,positive regulation of T cell differentiation,11,-0.9135802469135802,-1.400539753490171,0.007862319826003817,0.866059284526868,0.866059284526868,94,"tags=27%, list=9%, signal=25%",Zfp609/Shb/Zmiz1
GO:0007265,Ras protein signal transduction,10,-0.881404174573055,-1.33775842945699,0.021564235925289686,0.866059284526868,0.866059284526868,129,"tags=30%, list=12%, signal=27%",Rapgef2/Rras2/Timp2
GO:0070936,protein K48-linked ubiquitination,18,-0.8252868068833652,-1.3278058778093411,0.003978386999351749,0.866059284526868,0.866059284526868,60,"tags=39%, list=6%, signal=37%",Tcf25/Ube2d3/Ube2e2/Ube2h/Ube2k/Ube3c/Ubr5
GO:0000956,nuclear-transcribed mRNA catabolic process,13,-0.8391934496296983,-1.3099805126044473,0.020919086423042462,0.866059284526868,0.866059284526868,174,"tags=31%, list=16%, signal=26%",Pan3/Samd4/Smg1/Tnrc6b
GO:0016311,dephosphorylation,17,-0.8107720155927775,-1.2992877827952067,0.008294975472318156,0.866059284526868,0.866059284526868,206,"tags=41%, list=19%, signal=34%",Mtmr3/Plpp1/Ptpn12/Ptprb/Ptprm/Rock1/Ssh2
GO:0009880,embryonic pattern specification,13,-0.8277757521986803,-1.2921574932040367,0.025132936511255373,0.866059284526868,0.866059284526868,186,"tags=31%, list=17%, signal=26%",Nrp1/Pcsk6/Smad3/Zbtb16
GO:0008645,hexose transmembrane transport,14,-0.8179329021332129,-1.286241991078961,0.016705251595590893,0.866059284526868,0.866059284526868,197,"tags=43%, list=19%, signal=35%",Nfe2l2/Pid1/Prkca/Rasa1/Septin7/Upk3b
GO:0015749,monosaccharide transmembrane transport,14,-0.8179329021332129,-1.286241991078961,0.016705251595590893,0.866059284526868,0.866059284526868,197,"tags=43%, list=19%, signal=35%",Nfe2l2/Pid1/Prkca/Rasa1/Septin7/Upk3b
GO:1904659,D-glucose transmembrane transport,14,-0.8179329021332129,-1.286241991078961,0.016705251595590893,0.866059284526868,0.866059284526868,197,"tags=43%, list=19%, signal=35%",Nfe2l2/Pid1/Prkca/Rasa1/Septin7/Upk3b
GO:0008347,glial cell migration,11,-0.8383828114664,-1.2852603370841273,0.026026026026026026,0.866059284526868,0.866059284526868,176,"tags=45%, list=17%, signal=38%",Pafah1b1/Ptprb/Rras2/Vim/Zmiz1
GO:0021761,limbic system development,12,-0.8279086382726387,-1.2815444767122948,0.012504718188063637,0.866059284526868,0.866059284526868,186,"tags=33%, list=17%, signal=28%",Nrp1/Pafah1b1/Vps13b/Ywhae
GO:0019933,cAMP-mediated signaling,11,-0.8296655101706667,-1.2718965115755612,0.03003003003003003,0.866059284526868,0.866059284526868,183,"tags=36%, list=17%, signal=30%",Nucb2/Pde1a/Pde4b/Rapgef2
GO:0099518,vesicle cytoskeletal trafficking,10,-0.8358633776091081,-1.2686385106045297,0.03811434302908726,0.866059284526868,0.866059284526868,176,"tags=30%, list=17%, signal=25%",Wasl/Pafah1b1/Tanc2
GO:0046323,D-glucose import,12,-0.8182793375612101,-1.266638994910486,0.028028028028028028,0.866059284526868,0.866059284526868,197,"tags=50%, list=19%, signal=41%",Nfe2l2/Pid1/Prkca/Rasa1/Septin7/Upk3b
