ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0043408,regulation of MAPK cascade,11,0.9395823156078137,1.2769136494398037,0.008602479447483984,0.5653495440729482,0.5653495440729482,3,"tags=18%, list=2%, signal=19%",Ptprc/Grap2
GO:0000165,MAPK cascade,13,0.9054428737071953,1.2389153417570504,0.031,0.5653495440729482,0.5653495440729482,3,"tags=15%, list=2%, signal=17%",Ptprc/Grap2
GO:0043086,negative regulation of catalytic activity,10,0.9154575348985695,1.2384946777276253,0.035,0.5653495440729482,0.5653495440729482,1,"tags=10%, list=1%, signal=11%",Ptprc
GO:0060284,regulation of cell development,15,0.8921909908907769,1.2241090564514892,0.03296703296703297,0.5653495440729482,0.5653495440729482,5,"tags=13%, list=3%, signal=14%",Ptprc/Atxn1
GO:0097190,apoptotic signaling pathway,11,0.9003960654725568,1.2236586478961626,0.05,0.5653495440729482,0.5653495440729482,10,"tags=18%, list=7%, signal=18%",Ptprc/Serinc3
GO:0042326,negative regulation of phosphorylation,11,0.8979414270053775,1.22032273861912,0.054,0.5653495440729482,0.5653495440729482,5,"tags=18%, list=3%, signal=19%",Ptprc/Atxn1
GO:2001233,regulation of apoptotic signaling pathway,10,0.900807165164232,1.2186746377464925,0.053,0.5653495440729482,0.5653495440729482,10,"tags=20%, list=7%, signal=20%",Ptprc/Serinc3
GO:0006897,endocytosis,12,0.8929211965809366,1.218385759284002,0.046,0.5653495440729482,0.5653495440729482,1,"tags=8%, list=1%, signal=9%",Ptprc
GO:0010563,negative regulation of phosphorus metabolic process,13,0.8873041715019822,1.2140961984470018,0.047,0.5653495440729482,0.5653495440729482,5,"tags=15%, list=3%, signal=16%",Ptprc/Atxn1
GO:0045936,negative regulation of phosphate metabolic process,13,0.8873041715019822,1.2140961984470018,0.047,0.5653495440729482,0.5653495440729482,5,"tags=15%, list=3%, signal=16%",Ptprc/Atxn1
GO:0098657,import into cell,14,0.8857514112348487,1.2106924523988323,0.04,0.5653495440729482,0.5653495440729482,1,"tags=7%, list=1%, signal=8%",Ptprc
GO:0009894,regulation of catabolic process,11,0.8871243153308218,1.2056220388344294,0.066,0.5653495440729482,0.5653495440729482,11,"tags=27%, list=7%, signal=27%",Pde3b/Mycbp2/Pan3
GO:0001525,angiogenesis,11,0.8840505561674082,1.201444730507469,0.075,0.5653495440729482,0.5653495440729482,15,"tags=27%, list=10%, signal=26%",Pde3b/Rora/Ptprm
GO:0045597,positive regulation of cell differentiation,19,0.8653964308718044,1.2013170334481373,0.03896103896103896,0.5653495440729482,0.5653495440729482,5,"tags=11%, list=3%, signal=12%",Ptprc/Atxn1
GO:0051049,regulation of transport,24,0.8589713229070195,1.2003574808367365,0.018774579714689394,0.5653495440729482,0.5653495440729482,4,"tags=8%, list=3%, signal=10%",Ptprc/Pde3b
GO:0031400,negative regulation of protein modification process,12,0.8785522938555539,1.1987794754101522,0.067,0.5653495440729482,0.5653495440729482,1,"tags=8%, list=1%, signal=9%",Ptprc
GO:0001933,negative regulation of protein phosphorylation,10,0.8856055411404392,1.1981088225900638,0.085,0.5653495440729482,0.5653495440729482,1,"tags=10%, list=1%, signal=11%",Ptprc
GO:0051248,negative regulation of protein metabolic process,15,0.8707724487631057,1.1947222640918251,0.05094905094905095,0.5653495440729482,0.5653495440729482,7,"tags=13%, list=5%, signal=14%",Ptprc/Mycbp2
GO:0051093,negative regulation of developmental process,17,0.8633204327676818,1.1911894069095594,0.04695304695304695,0.5653495440729482,0.5653495440729482,15,"tags=24%, list=10%, signal=24%",Pde3b/Ldlrad4/Rora/Ptprm
GO:0050803,regulation of synapse structure or activity,11,0.876456735681894,1.1911245564596251,0.086,0.5653495440729482,0.5653495440729482,9,"tags=18%, list=6%, signal=18%",Mycbp2/Malat1
GO:0050807,regulation of synapse organization,11,0.876456735681894,1.1911245564596251,0.086,0.5653495440729482,0.5653495440729482,9,"tags=18%, list=6%, signal=18%",Mycbp2/Malat1
GO:0031401,positive regulation of protein modification process,13,0.8683111573658323,1.18810810214321,0.075,0.5653495440729482,0.5653495440729482,17,"tags=23%, list=11%, signal=22%",Ptprc/Mycbp2/Ccnd3
GO:0051649,establishment of localization in cell,22,0.8515918628484868,1.1859839833515688,0.03896103896103896,0.5653495440729482,0.5653495440729482,5,"tags=9%, list=3%, signal=10%",Pde3b/Atxn1
GO:0098542,defense response to other organism,11,0.8672022945713688,1.1785475613675858,0.104,0.5653495440729482,0.5653495440729482,10,"tags=18%, list=7%, signal=18%",Ptprc/Serinc3
GO:0051247,positive regulation of protein metabolic process,14,0.8618904592856769,1.1780780257487637,0.075,0.5653495440729482,0.5653495440729482,17,"tags=21%, list=11%, signal=21%",Ptprc/Mycbp2/Ccnd3
GO:0051050,positive regulation of transport,16,0.8562809732678369,1.1768087979978692,0.061938061938061936,0.5653495440729482,0.5653495440729482,1,"tags=6%, list=1%, signal=7%",Ptprc
GO:0032880,regulation of protein localization,15,0.8573746696354798,1.1763401654897205,0.06993006993006994,0.5653495440729482,0.5653495440729482,7,"tags=13%, list=5%, signal=14%",Pde3b/Mycbp2
GO:0001934,positive regulation of protein phosphorylation,10,0.8694004174636104,1.176185403249926,0.121,0.5653495440729482,0.5653495440729482,17,"tags=20%, list=11%, signal=19%",Ptprc/Ccnd3
GO:0010562,positive regulation of phosphorus metabolic process,10,0.8694004174636104,1.176185403249926,0.121,0.5653495440729482,0.5653495440729482,17,"tags=20%, list=11%, signal=19%",Ptprc/Ccnd3
GO:0042327,positive regulation of phosphorylation,10,0.8694004174636104,1.176185403249926,0.121,0.5653495440729482,0.5653495440729482,17,"tags=20%, list=11%, signal=19%",Ptprc/Ccnd3
GO:0045937,positive regulation of phosphate metabolic process,10,0.8694004174636104,1.176185403249926,0.121,0.5653495440729482,0.5653495440729482,17,"tags=20%, list=11%, signal=19%",Ptprc/Ccnd3
GO:0044238,primary metabolic process,95,0.8284744078909473,1.1756987811411068,0.008444430482592233,0.5653495440729482,0.5653495440729482,32,"tags=28%, list=21%, signal=61%",Ptprc/Pde3b/Atxn1/Mycbp2/Pitpnc1/Malat1/Pan3/Rora/St6galnac3/Man1a/Ptprm/Ccnd3/Rbms1/Celf2/Plcl1/Ssh2/Ebf1/Ncoa2/Ankrd11/Skap1/Stat4/Igf1r/Nr3c1/Mllt3/Nlk/Camk1d/Heg1
GO:0045765,regulation of angiogenesis,10,0.8686383451877342,1.1751544188276708,0.122,0.5653495440729482,0.5653495440729482,15,"tags=20%, list=10%, signal=19%",Pde3b/Ptprm
GO:1901342,regulation of vasculature development,10,0.8686383451877342,1.1751544188276708,0.122,0.5653495440729482,0.5653495440729482,15,"tags=20%, list=10%, signal=19%",Pde3b/Ptprm
GO:0044092,negative regulation of molecular function,14,0.8564876636038454,1.1706931953427617,0.081,0.5653495440729482,0.5653495440729482,1,"tags=7%, list=1%, signal=8%",Ptprc
GO:0045595,regulation of cell differentiation,26,0.8352135673533638,1.1694691699064435,0.04395604395604396,0.5653495440729482,0.5653495440729482,12,"tags=15%, list=8%, signal=17%",Ptprc/Atxn1/Ldlrad4/Rora
GO:0050865,regulation of cell activation,12,0.8568351618636234,1.1691465756058068,0.105,0.5653495440729482,0.5653495440729482,12,"tags=17%, list=8%, signal=17%",Ptprc/Rora
GO:0001819,positive regulation of cytokine production,11,0.8572895992907518,1.1650759839482414,0.122,0.5653495440729482,0.5653495440729482,12,"tags=18%, list=8%, signal=18%",Ptprc/Rora
GO:0045596,negative regulation of cell differentiation,11,0.8571432519310329,1.1648770945714617,0.123,0.5653495440729482,0.5653495440729482,12,"tags=18%, list=8%, signal=18%",Ldlrad4/Rora
GO:0046907,intracellular transport,13,0.8508384095351893,1.1642001826281947,0.108,0.5653495440729482,0.5653495440729482,5,"tags=8%, list=3%, signal=8%",Atxn1
GO:0009607,response to biotic stimulus,16,0.8467200860689476,1.1636690266803078,0.07892107892107893,0.5653495440729482,0.5653495440729482,10,"tags=12%, list=7%, signal=13%",Ptprc/Serinc3
GO:0043207,response to external biotic stimulus,16,0.8467200860689476,1.1636690266803078,0.07892107892107893,0.5653495440729482,0.5653495440729482,10,"tags=12%, list=7%, signal=13%",Ptprc/Serinc3
GO:0044419,biological process involved in interspecies interaction between organisms,16,0.8467200860689476,1.1636690266803078,0.07892107892107893,0.5653495440729482,0.5653495440729482,10,"tags=12%, list=7%, signal=13%",Ptprc/Serinc3
GO:0051707,response to other organism,16,0.8467200860689476,1.1636690266803078,0.07892107892107893,0.5653495440729482,0.5653495440729482,10,"tags=12%, list=7%, signal=13%",Ptprc/Serinc3
GO:0001817,regulation of cytokine production,13,0.8498287430219199,1.1628186583270246,0.108,0.5653495440729482,0.5653495440729482,12,"tags=15%, list=8%, signal=15%",Ptprc/Rora
GO:0002694,regulation of leukocyte activation,10,0.857870358550994,1.1605867369516103,0.144,0.5653495440729482,0.5653495440729482,12,"tags=20%, list=8%, signal=20%",Ptprc/Rora
GO:0022407,regulation of cell-cell adhesion,12,0.8493845034015087,1.1589801956360077,0.121,0.5653495440729482,0.5653495440729482,1,"tags=8%, list=1%, signal=9%",Ptprc
GO:0009628,response to abiotic stimulus,15,0.8439556743334335,1.1579289577489715,0.0979020979020979,0.5653495440729482,0.5653495440729482,12,"tags=20%, list=8%, signal=20%",Ptprc/Atxn1/Rora
GO:0140352,export from cell,13,0.8453519226099295,1.1566930355497453,0.119,0.5653495440729482,0.5653495440729482,4,"tags=8%, list=3%, signal=8%",Pde3b
GO:2000026,regulation of multicellular organismal development,29,0.8226235695899162,1.153128636798671,0.04695304695304695,0.5653495440729482,0.5653495440729482,15,"tags=14%, list=10%, signal=15%",Ptprc/Pde3b/Atxn1/Ptprm
GO:0001501,skeletal system development,19,0.830151702864887,1.1523913728103845,0.09090909090909091,0.5653495440729482,0.5653495440729482,1,"tags=5%, list=1%, signal=6%",Ptprc
GO:0001816,cytokine production,15,0.8361250258230034,1.1471851059757818,0.10989010989010989,0.5653495440729482,0.5653495440729482,12,"tags=13%, list=8%, signal=14%",Ptprc/Rora
GO:0032940,secretion by cell,10,0.8458211614003361,1.1442857443079328,0.17,0.5653495440729482,0.5653495440729482,4,"tags=10%, list=3%, signal=10%",Pde3b
GO:0046903,secretion,10,0.8458211614003361,1.1442857443079328,0.17,0.5653495440729482,0.5653495440729482,4,"tags=10%, list=3%, signal=10%",Pde3b
GO:1901135,carbohydrate derivative metabolic process,12,0.8370038112817477,1.1420868135250712,0.152,0.5653495440729482,0.5653495440729482,17,"tags=33%, list=11%, signal=32%",Rora/St6galnac3/Man1a/Ccnd3
GO:0051241,negative regulation of multicellular organismal process,22,0.8199781110014146,1.141956550751559,0.0989010989010989,0.5653495440729482,0.5653495440729482,20,"tags=23%, list=13%, signal=23%",Ptprc/Pde3b/Ldlrad4/Ptprm/Plcl1
GO:0015031,protein transport,12,0.8333226341561514,1.1370638688302848,0.161,0.5653495440729482,0.5653495440729482,4,"tags=8%, list=3%, signal=9%",Pde3b
GO:0060341,regulation of cellular localization,17,0.8235530594352594,1.1363193122654,0.11888111888111888,0.5653495440729482,0.5653495440729482,7,"tags=12%, list=5%, signal=13%",Pde3b/Mycbp2
GO:0055082,intracellular chemical homeostasis,13,0.8301482242246072,1.135889851022044,0.15,0.5653495440729482,0.5653495440729482,4,"tags=15%, list=3%, signal=16%",Ptprc/Pde3b
GO:0006873,intracellular monoatomic ion homeostasis,11,0.8341126825732083,1.133578029147532,0.189,0.5653495440729482,0.5653495440729482,1,"tags=9%, list=1%, signal=10%",Ptprc
GO:0006874,intracellular calcium ion homeostasis,11,0.8341126825732083,1.133578029147532,0.189,0.5653495440729482,0.5653495440729482,1,"tags=9%, list=1%, signal=10%",Ptprc
GO:0030003,intracellular monoatomic cation homeostasis,11,0.8341126825732083,1.133578029147532,0.189,0.5653495440729482,0.5653495440729482,1,"tags=9%, list=1%, signal=10%",Ptprc
GO:0055074,calcium ion homeostasis,11,0.8341126825732083,1.133578029147532,0.189,0.5653495440729482,0.5653495440729482,1,"tags=9%, list=1%, signal=10%",Ptprc
