ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0009719,response to endogenous stimulus,629,-0.746422717246606,-1.3505245932207421,7.705422932215272e-7,0.0031730931634862494,0.002861550747879525,529,"tags=13%, list=8%, signal=13%",Smad7/Cpeb2/Irs2/Ghr/Bmpr1a/Yes1/Cdh13/Htra1/Skil/Osbpl8/Prkd1/Tgfb2/Nqo1/Adcy8/Slit2/Ncor1/Sin3a/Lncbate10/Ehd4/Agtr1a/Ptpn12/Prkca/Ccn1/Ddx5/Slc27a1/Jak1/Stat5b/Adamts3/Nr3c2/Lbh/Ptprk/Ubr5/Gclc/Trp63/Hadha/Tbx20/Insr/Ptgds/Sh3gl2/Pik3r1/Stxbp4/Nrp1/Mapkapk2/Smyd3/Foxo1/Nfe2l2/Igf1r/Prlr/Tlr4/Sorbs1/Cpeb1/Ext1/Cidea/Vegfa/Tbc1d4/Ddx17/Crim1/Atp1a1/Trim63/Rapgef2/Irs1/Ccbe1/Grb14/Fbxo32/Pde3a/Gja1/Epha4/Lpl/Adra1a/Pdgfd/Ednra/Csrp3/Wwox/Angpt1/Fstl4/Efna5/Grb10/Serpine1/Ppargc1a/Myocd/Ankrd1/Pdk4/Fhl2
GO:0048468,cell development,1143,-0.687698155227183,-1.2461162279643812,1.805719182626681e-6,0.0037179757970283362,0.0033529354085825953,707,"tags=15%, list=11%, signal=16%",Arf4/Bcl2/Agtpbp1/Kmt2e/Psme4/Arl3/Dhrs7b/Raph1/Nedd4/Sclt1/Rabgap1l/Runx1/Plcb1/Hectd1/Sdk1/Wdpcp/Lrp12/Rgs2/Rab11a/Cdin1/Tiam1/Myo6/Twf2/Edn1/Hspb1/Rilpl1/Kidins220/Nr3c1/Mef2c/Slit3/Itgb6/Hdgfl3/Pmp22/Synpo2l/Sorbs2/Stau2/Myo5b/Cdyl/Sycp2/Mafb/Tfrc/Smad7/Runx1t1/Clip1/Adar/Tenm3/Bmpr1a/Mlf1/Qki/Nebl/Gab2/Poc1b/Ppp1r12b/Mfhas1/Skil/Ntm/Rapgef4/Prkd1/Plxna4/Tgfb2/Myom2/Pgm5/Hdac4/Snx10/Prkg1/Slit2/Nedd9/Ncor1/Ntn1/Sin3a/Nexn/Prkca/Pbx3/Map4/Myo1e/Myo18b/Plcl2/Mfn1/Stat5b/Nrap/Pacrg/Mitf/Myoz2/Arb2a/Sipa1l1/Ndufs4/Clu/Alpk2/Cntn5/Ptprk/Myl2/Mllt3/Zfp608/Frmd6/Trp63/Sema3a/Rfx3/Trak2/Tbx20/Ripor2/Sh3gl2/Pik3r1/Prickle1/Ank2/Zbtb16/Il15/Atxn2/Ube2b/Xrcc4/Nrp1/Smyd3/Tpm1/Akap13/Crppa/Kcnip2/Cabcoco1/Homer1/Cdh4/Ror1/Nfe2l2/Igf1r/Clic4/Tlr4/Magi1/Actc1/Cpeb1/Shroom3/Dleu2/Tox/Ext1/Vegfa/Man2a1/Tnnt2/Kif5b/Zpbp/Auts2/Ttn/Cebpb/Myh6/Myom1/Trim63/Hecw2/Rapgef2/Tiparp/Tgm2/Ldb3/Flnc/Hcn1/Enah/Grb14/Pde3a/Gja1/Msi2/Epha4/Adra1a/Mbd1/Rora/Slc8a1/Cdh2/Ednra/Csrp3/Myot/Lrrc10/Kcnq1ot1/Lama2/Angpt1/Fstl4/Efna5/Adamts1/Myocd/Ankrd1/Airn/Fhl2
GO:0030154,cell differentiation,1608,-0.6588902411937968,-1.1943599816442214,5.841345737829926e-6,0.008018220582794545,0.00723097114493473,741,"tags=15%, list=11%, signal=17%",Golga4/Dst/Nhsl1/Svil/Dct/Ank3/Ccnt2/Itga1/Adra1b/Got1/Rbm24/Arf4/Bcl2/Dock5/Agtpbp1/Kmt2e/Zfp64/Psme4/Arl3/Dhrs7b/Raph1/Nedd4/Fto/Sclt1/Rabgap1l/Runx1/Plcb1/Rgs6/Hectd1/Ipo7/Sdk1/Wdpcp/Tnni3/Lrp12/Rgs2/Rab11a/Cdin1/Tiam1/Myo6/Twf2/Edn1/Hspb1/Rilpl1/Kidins220/Nr3c1/Wnt5b/Mef2c/Slit3/Itgb6/Scube2/Hdgfl3/Bbs9/Pmp22/Synpo2l/Sorbs2/Stau2/Myo5b/Pcnt/Cdyl/Sycp2/Mafb/Tfrc/Smad7/Runx1t1/Clip1/Adar/Tenm3/Bmpr1a/Mlf1/Qki/Nebl/Pfkfb3/Yes1/Mcl1/Gab2/Poc1b/Zfp521/Plaat3/Hopx/Ppp1r12b/Mfhas1/Asb4/Htra1/Skil/Tacc2/Ntm/Osbpl8/Rapgef4/Prkd1/Plxna4/Tgfb2/Lnx2/Tnfaip2/Myom2/Pgm5/Hdac4/Snx10/Prkg1/Slit2/Retreg1/Nedd9/Mga/Ncor1/Ntn1/Fabp3/Sin3a/Itga5/Lncbate10/Nexn/Agtr1a/Prkca/Pbx3/Map4/Ccn1/Myo1e/Myo18b/Ddx5/Epm2a/Plcl2/Arhgap24/Jak1/Mfn1/Stat5b/Nrap/Pacrg/Mitf/Myoz2/Arb2a/Sipa1l1/Ndufs4/Clu/Lbh/Alpk2/Cntn5/Ptprk/Creb5/Myl2/Mllt3/Clasp1/Zfp608/Frmd6/Trp63/Sema3a/Rfx3/Trak2/Tbx20/Ripor2/Sh3gl2/Pik3r1/Prickle1/Ctnnd1/Ank2/Zbtb16/Il15/Atxn2/Trp53inp1/Ube2b/Xrcc4/Nrp1/Smyd3/Foxo1/Tpm1/Akap13/Crppa/Kcnip2/Cabcoco1/Homer1/Cdh4/Ror1/Nfe2l2/Igf1r/Clic4/Grk5/Popdc3/Prlr/Tlr4/Magi1/Actc1/Cpeb1/Mast2/Shroom3/Dleu2/Tox/Elf1/Ext1/Vegfa/Man2a1/Ddx17/Tnnt2/Kif5b/Ackr3/Zpbp/Auts2/Rbfox1/Ttn/Crim1/Cebpb/Myh6/Myom1/Trim63/Hecw2/Rapgef2/Tiparp/Tgm2/Ldb3/Thsd7a/Adamts9/Flnc/Hcn1/Enah/Grb14/Pde3a/Gja1/Msi2/Epha4/Lpl/Adra1a/Mbd1/Rora/Slc8a1/Cdh2/Ednra/Csrp3/Wwox/Myot/Corin/Lrrc10/Kcnq1ot1/Lama2/Angpt1/Fstl4/Efna5/Adamts1/Serpine1/Myocd/Ankrd1/Airn/Fhl2
GO:0072359,circulatory system development,539,-0.7447182253407404,-1.3496318107688257,1.2712947387967424e-5,0.011614676844603043,0.010474318117573562,670,"tags=19%, list=10%, signal=19%",Nedd4/Runx1/Hectd1/Wdpcp/Tnni3/Rgs2/Hspb7/Edn1/Hspb1/Cplane1/Nr3c1/Mef2c/Slit3/Invs/Synpo2l/Sorbs2/Setdb2/Pcnt/Smad7/Bmpr1a/Qki/Hk2/Nebl/Cpe/Cdh13/Hopx/Asb4/Prkd1/Plxna4/Tgfb2/Tnfaip2/Prkg1/Slit2/Arl13b/Itga5/Tmed2/Agtr1a/Prkca/Ccn1/Myo1e/Myo18b/Arhgap24/Jak1/Gys1/Smyd4/Nrap/Acacb/Adam19/Alpk2/Dlc1/Myl2/Adamts6/Glul/Tbx20/Insr/Prickle1/Ank2/Nrp1/Foxo1/Tpm1/Akap13/Nfe2l2/Clic4/Popdc3/Stard13/Actc1/Ext1/Vegfa/Tnnt2/Ackr3/Tmem65/Ttn/Cacna1c/Pdlim1/Myh6/Rbm20/Pdlim3/Hbegf/Rapgef2/Tiparp/Tgm2/Ldb3/Thsd7a/Adamts9/Ccbe1/Gja1/Xirp2/Adra1a/Rora/Pdgfd/Slc8a1/Cdh2/Ryr2/Rnls/Ednra/Csrp3/Lrrc10/Angpt1/Adamts1/Serpine1/Myocd/Ankrd1/Fhl2
GO:0048869,cellular developmental process,1609,-0.6588670366530514,-1.1943811886016995,1.4102327397526763e-5,0.011614676844603043,0.010474318117573562,741,"tags=15%, list=11%, signal=17%",Golga4/Dst/Nhsl1/Svil/Dct/Ank3/Ccnt2/Itga1/Adra1b/Got1/Rbm24/Arf4/Bcl2/Dock5/Agtpbp1/Kmt2e/Zfp64/Psme4/Arl3/Dhrs7b/Raph1/Nedd4/Fto/Sclt1/Rabgap1l/Runx1/Plcb1/Rgs6/Hectd1/Ipo7/Sdk1/Wdpcp/Tnni3/Lrp12/Rgs2/Rab11a/Cdin1/Tiam1/Myo6/Twf2/Edn1/Hspb1/Rilpl1/Kidins220/Nr3c1/Wnt5b/Mef2c/Slit3/Itgb6/Scube2/Hdgfl3/Bbs9/Pmp22/Synpo2l/Sorbs2/Stau2/Myo5b/Pcnt/Cdyl/Sycp2/Mafb/Tfrc/Smad7/Runx1t1/Clip1/Adar/Tenm3/Bmpr1a/Mlf1/Qki/Nebl/Pfkfb3/Yes1/Mcl1/Gab2/Poc1b/Zfp521/Plaat3/Hopx/Ppp1r12b/Mfhas1/Asb4/Htra1/Skil/Tacc2/Ntm/Osbpl8/Rapgef4/Prkd1/Plxna4/Tgfb2/Lnx2/Tnfaip2/Myom2/Pgm5/Hdac4/Snx10/Prkg1/Slit2/Retreg1/Nedd9/Mga/Ncor1/Ntn1/Fabp3/Sin3a/Itga5/Lncbate10/Nexn/Agtr1a/Prkca/Pbx3/Map4/Ccn1/Myo1e/Myo18b/Ddx5/Epm2a/Plcl2/Arhgap24/Jak1/Mfn1/Stat5b/Nrap/Pacrg/Mitf/Myoz2/Arb2a/Sipa1l1/Ndufs4/Clu/Lbh/Alpk2/Cntn5/Ptprk/Creb5/Myl2/Mllt3/Clasp1/Zfp608/Frmd6/Trp63/Sema3a/Rfx3/Trak2/Tbx20/Ripor2/Sh3gl2/Pik3r1/Prickle1/Ctnnd1/Ank2/Zbtb16/Il15/Atxn2/Trp53inp1/Ube2b/Xrcc4/Nrp1/Smyd3/Foxo1/Tpm1/Akap13/Crppa/Kcnip2/Cabcoco1/Homer1/Cdh4/Ror1/Nfe2l2/Igf1r/Clic4/Grk5/Popdc3/Prlr/Tlr4/Magi1/Actc1/Cpeb1/Mast2/Shroom3/Dleu2/Tox/Elf1/Ext1/Vegfa/Man2a1/Ddx17/Tnnt2/Kif5b/Ackr3/Zpbp/Auts2/Rbfox1/Ttn/Crim1/Cebpb/Myh6/Myom1/Trim63/Hecw2/Rapgef2/Tiparp/Tgm2/Ldb3/Thsd7a/Adamts9/Flnc/Hcn1/Enah/Grb14/Pde3a/Gja1/Msi2/Epha4/Lpl/Adra1a/Mbd1/Rora/Slc8a1/Cdh2/Ednra/Csrp3/Wwox/Myot/Corin/Lrrc10/Kcnq1ot1/Lama2/Angpt1/Fstl4/Efna5/Adamts1/Serpine1/Myocd/Ankrd1/Airn/Fhl2
GO:0009653,anatomical structure morphogenesis,1093,-0.6817060873815354,-1.2356887347541672,2.1083487257010044e-5,0.012968924180101324,0.011695601980367955,618,"tags=14%, list=9%, signal=16%",Lmbr1/Tiam1/Myo6/Twf2/Edn1/Hspb1/Cplane1/Rilpl1/Kidins220/Nr3c1/Wnt5b/Mef2c/Slit3/Itgb6/Scube2/Pmp22/Synpo2l/Stau2/Myo5b/Setdb2/Pcnt/Sycp2/Mafb/Tfrc/Smad7/Tenm3/Bmpr1a/Sh3d19/Qki/Hk2/Nebl/Cpe/Cdh13/Poc1b/Hopx/Ppp1r12b/Asb4/Skil/Prkd1/Plxna4/Tgfb2/Tnfaip2/Myom2/Pgm5/Snx10/Prkg1/Ttc39c/Slit2/Arl13b/Ntn1/Pdgfc/Sin3a/Itga5/Tmed2/Nexn/Agtr1a/Prkca/Pbx3/Ccn1/Myo1e/Myo18b/Arhgap24/Jak1/Mfn1/Pakap/Nrap/Mcu/Myoz2/Tshz1/Sipa1l1/Clu/Alpk2/Cntn5/Dlc1/Myl2/Clasp1/Frmd6/Trp63/Sema3a/Glul/Trak2/Tbx20/Insr/Ripor2/Sh3gl2/Prickle1/Ctnnd1/Zbtb16/Atxn2/Zfp568/Nrp1/Fmnl2/Foxo1/Tpm1/Akap13/Crppa/Cdh4/Nfe2l2/Igf1r/Clic4/Hs2st1/Lrig1/Magi1/Stard13/Actc1/Shroom3/Ext1/Vegfa/Man2a1/Tnnt2/Kif5b/Ackr3/Ank/Zpbp/Auts2/Ttn/Cacna1c/Cebpb/Myh6/Rbm20/Myom1/Hecw2/Hbegf/Rapgef2/Tiparp/Tgm2/Ldb3/Thsd7a/Adamts9/Flnc/Hcn1/Enah/Ccbe1/Gja1/Xirp2/Sptbn1/Epha4/Rora/Slc8a1/Cdh2/Ryr2/Rnls/Ednra/Csrp3/Wwox/Myot/Lama2/Angpt1/Fstl4/Efna5/Adamts1/Serpine1/Ppargc1a/Myocd/Ankrd1/Fhl2
GO:0048513,animal organ development,1147,-0.6790467868620117,-1.2308852756999202,2.8343933370789684e-5,0.012968924180101324,0.011695601980367955,733,"tags=16%, list=11%, signal=17%",Svil/Dct/Parva/Ccnt2/Adra1b/Rbm24/Bicc1/Bcl2/Agtpbp1/Zfp64/Arl3/Dhrs7b/Nedd4/Fto/Runx1/Orai1/Plcb1/Hectd1/Sdk1/Wdpcp/Tnni3/Rgs2/Ccdc141/Atf6/Tiam1/Myo6/Hspb7/Edn1/Cplane1/Nr3c1/Wnt5b/Mef2c/Slit3/Itgb6/Scube2/Pmp22/Invs/Synpo2l/Sorbs2/Stau2/Setdb2/Pcnt/Sycp2/Mafb/Smad7/Irs2/Tenm3/Bmpr1a/Qki/Hk2/Nebl/Cpe/Plaat3/Hopx/Plce1/Htra1/Skil/Tacc2/Plxna4/Tgfb2/Hdac4/Snx10/Prkg1/Ttc39c/Slit2/Arl13b/Ncor1/Ntn1/Ptpn3/Pdgfc/Sin3a/Tmed2/Agtr1a/Prkca/Pbx3/Ccn1/Myo1e/Myo18b/Ddx5/Gys1/Smyd4/Stat5b/Nrap/Birc6/Acacb/Adam19/Mitf/Myoz2/Arb2a/Tshz1/Ndufs4/Clu/Lbh/Alpk2/Creb5/Dlc1/Myl2/Clasp1/Trp63/Adamts6/Sema3a/Rfx3/Bnc2/Tbx20/Insr/Ripor2/Prickle1/Ctnnd1/Ank2/Stox2/Zbtb16/Il15/Atxn2/Zfp568/Arrdc3/Nrp1/Mapkapk2/Foxo1/Tpm1/Akap13/Homer1/Ror1/Igf1r/Clic4/Popdc3/Hs2st1/Lrig1/Prlr/Actc1/Tox/Ext1/Ugp2/Vegfa/Man2a1/Ddx17/Tnnt2/Ank/Tmem65/Rbfox1/Ttn/Cacna1c/Dgat2/Pdlim1/Cebpb/Jph1/Myh6/Rbm20/Myom1/Pdlim3/Rapgef2/Tiparp/Irs1/Tgm2/Ldb3/Slc38a2/Adamts9/Hcn1/Ccbe1/Gja1/Xirp2/Epha4/Lpl/Adra1a/Rora/Pdgfd/Slc8a1/Cdh2/Ryr2/Rnls/Ednra/Csrp3/Wwox/Lrrc10/Lama2/Angpt1/Adamts1/Serpine1/Ppargc1a/Myocd/Gpcpd1/Ankrd1/Fhl2
GO:0007165,signal transduction,1837,-0.6444069601142087,-1.1691744559749764,2.2200477286368384e-5,0.012968924180101324,0.011695601980367955,725,"tags=14%, list=11%, signal=18%",Ank3/F3/Ik/Itga1/Xpa/Adra1b/Got1/Fnip2/Rint1/Adcy5/Arf4/Bicc1/Bcl2/Dock5/Kmt2e/Rnf152/Arl3/Rhobtb1/Strn3/Eif2a/Nedd4/Runx1/Orai1/Plcb1/Rgs6/Prkar2a/Npm1/Map3k14/Wdpcp/Tnni3/Bicd1/Rgs2/Pde8a/Atf6/Lmbr1/Tiam1/Myo6/Twf2/Mat2a/Edn1/Hspb1/E130311K13Rik/Prdx1/Plcl1/Rilpl1/Kidins220/Nr3c1/Wnt5b/Gpr180/Mef2c/Ywhaq/Phkg1/Arhgef12/Slit3/Itgb6/Scube2/Bclaf1/Hdgfl3/Ppm1e/Dock4/Hus1/Pmp22/Invs/Synpo2l/Sorbs2/Arhgap42/Peli1/Pcnt/Tfrc/Smad7/Irs2/Sh3rf2/Adar/Ghr/Tenm3/Bmpr1a/Pex5l/Mlf1/Cpe/Ncald/Yes1/Cdh13/Mcl1/Gab2/Ubac2/Ppp1r12b/Plce1/Mfhas1/Asb4/Htra1/Plpp1/Skil/Osbpl8/Ralgapa1/Mapkapk3/Rapgef4/Rgs7bp/Prkd1/Dnajc3/Plxna4/Tgfb2/Acot11/Hdac4/Prkg1/Adcy8/Slit2/Acaa2/Arl13b/Nedd9/Ncor1/Unc13b/Ntn1/Nrg4/Pdgfc/Trabd2b/Sin3a/Itga5/Mylk4/Tmed2/Asb8/Agtr1a/Ptpn12/Prkca/Sesn1/Olfml2b/Ccn1/Myo1e/Ddx5/Epm2a/Slc27a1/Plcl2/Arhgap24/Jak1/Rpap2/Pakap/Sgk3/Chmp4c/Stat5b/Birc6/Mitf/Mcu/Myoz2/Gpat3/Adamts3/Sipa1l1/Nr3c2/Clu/Lbh/Cradd/Hivep2/Alpk2/Ptprk/Ubr5/Dlc1/Gclc/Mllt3/Myh7b/Ankrd6/Frmd6/Trp63/Sema3a/Tbx20/Insr/Sfpq/Pde7a/Ripor2/Pik3r1/Pde4b/Slmap/Prickle1/Ctnnd1/Stxbp4/Pdia3/Adgrl2/Ank2/Grm1/Il15/D7Ertd443e/Cab39l/Arrdc3/Ube2b/Nrp1/Mapkapk2/Cnksr3/Foxo1/Elmo1/Akap13/Kcnip2/Pitpnc1/Ivns1abp/Homer1/Mapre2/Ror1/Nfe2l2/Igf1r/Grk5/Cdk14/Prlr/Tlr4/Magi1/Stard13/Sorbs1/Mast2/Kctd8/Nampt/Lrrfip2/Elf1/Ext1/Cidea/Vegfa/Ddx17/Ackr3/Auts2/Rab30/Ttn/Cacna1c/Crim1/Myzap/Mapk4/Atp1a1/Cebpb/Pde10a/Myom1/Pkia/Hbegf/Rapgef2/Tiparp/Irs1/Tgm2/Zfp385b/Cmya5/Lmcd1/Ccbe1/Lrrc2/Grb14/Pde3a/Gja1/Sptbn1/Epha4/Lpl/Adra1a/Ctnnal1/Rora/Ppm1l/Pdgfd/Slc8a1/Cdh2/Ryr2/Mapk10/Ednra/Csrp3/Wwox/Abra/Pde7b/Lama2/Angpt1/Fstl4/Efna5/Grb10/Kcnip4/Chrm2/Serpine1/Myocd/Ankrd1/Pdk4/Fhl2
GO:0023052,signaling,1998,-0.6395659094906284,-1.1614422446560941,2.6668443898435536e-5,0.012968924180101324,0.011695601980367955,725,"tags=14%, list=11%, signal=19%",Ank3/F3/Ik/Itga1/Xpa/Adra1b/Got1/Fnip2/Rint1/Adcy5/Arf4/Bicc1/Bcl2/Dock5/Kmt2e/Rnf152/Kcnd3/Arl3/Rhobtb1/Strn3/Eif2a/Nedd4/Fchsd2/Fto/Runx1/Orai1/Plcb1/Rgs6/Abtb3/Prkar2a/Npm1/Map3k14/Wdpcp/Tnni3/Bicd1/Rgs2/Rab11a/Pde8a/Napb/Atf6/Lmbr1/Tiam1/Myo6/Twf2/Mat2a/Edn1/Hspb1/E130311K13Rik/Prdx1/Plcl1/Rilpl1/Kidins220/Nr3c1/Wnt5b/Gpr180/Mef2c/Ywhaq/Phkg1/Arhgef12/Slit3/Itgb6/Scube2/Bclaf1/Hdgfl3/Ppm1e/Dock4/Hus1/Pmp22/Invs/Synpo2l/Sorbs2/Stau2/Arhgap42/Myo5b/Peli1/Pcnt/Tfrc/Smad7/Cpeb2/Irs2/Sh3rf2/Adar/Ghr/Tenm3/Bmpr1a/Pex5l/Mlf1/Cpe/Ncald/Yes1/Cdh13/Mcl1/Syn3/Gab2/Ubac2/Ppp1r12b/Plce1/Mfhas1/Asb4/Htra1/Plpp1/Skil/Osbpl8/Ralgapa1/Mapkapk3/Rapgef4/Rgs7bp/Prkd1/Dnajc3/Plxna4/Tgfb2/Acot11/Hdac4/Prkg1/Adcy8/Slit2/Acaa2/Arl13b/Nedd9/Ncor1/Unc13b/Ntn1/Nrg4/Pdgfc/Trabd2b/Sin3a/Itga5/Mylk4/Tmed2/Asb8/Agtr1a/Ptpn12/Prkca/Sesn1/Olfml2b/Ccn1/Myo1e/Ddx5/Epm2a/Slc27a1/Plcl2/Arhgap24/Jak1/Rpap2/Pakap/Sgk3/Chmp4c/Stat5b/Birc6/Mitf/Mcu/Myoz2/Gpat3/Slc16a1/Adamts3/Sipa1l1/Nr3c2/Clu/Lbh/Cradd/Hivep2/Alpk2/Ptprk/Ubr5/Dlc1/Gclc/Mllt3/Myh7b/Ankrd6/Frmd6/Trp63/Sema3a/Slc16a10/Rfx3/Glul/Tbx20/Insr/Sfpq/Pde7a/Ripor2/Pik3r1/Pde4b/Slmap/Prickle1/Ctnnd1/Stxbp4/Pdia3/Adgrl2/Ank2/Grm1/Il15/D7Ertd443e/Cab39l/Arrdc3/Ube2b/Nrp1/Mapkapk2/Cnksr3/Foxo1/Elmo1/Akap13/Kcnip2/Pitpnc1/Ivns1abp/Homer1/Mapre2/Ror1/Nfe2l2/Igf1r/Grk5/Cdk14/Prlr/Tlr4/Magi1/Stard13/Sorbs1/Cpeb1/Mast2/Kctd8/Nampt/Lrrfip2/Elf1/Ext1/Cidea/Vegfa/Ddx17/Pfkfb2/Kif5b/Ackr3/Auts2/Rab30/Ttn/Cacna1c/Crim1/Myzap/Mapk4/Atp1a1/Cebpb/Pde10a/Myom1/Pkia/Hbegf/Cacna2d1/Rapgef2/Kcnn2/Tiparp/Irs1/Tgm2/Zfp385b/Cmya5/Slc38a2/Lmcd1/Oxct1/Ccbe1/Lrrc2/Grb14/Pde3a/Gja1/Sptbn1/Epha4/Lpl/Cacnb2/Adra1a/Ctnnal1/Rora/Ppm1l/Pdgfd/Slc8a1/Cdh2/Ryr2/Dlgap1/Mapk10/Ednra/Csrp3/Wwox/Abra/Pde7b/Lama2/Angpt1/Fstl4/Efna5/Grb10/Kcnip4/Chrm2/Serpine1/Myocd/Ankrd1/Pdk4/Fhl2
GO:0071495,cellular response to endogenous stimulus,531,-0.7398731442131841,-1.3413959723167876,4.181394831926825e-5,0.014775604102000153,0.013324897439190343,695,"tags=18%, list=11%, signal=17%",Kmt2e/Kcnd3/Atp5f1a/Strn3/Nedd4/Runx1/Plcb1/Pde8a/Ucp3/Twf2/Edn1/Hspb1/Kidins220/Nr3c1/Mef2c/Slit3/Itgb6/Smad7/Cpeb2/Irs2/Ghr/Bmpr1a/Yes1/Htra1/Skil/Osbpl8/Prkd1/Tgfb2/Adcy8/Slit2/Ncor1/Sin3a/Lncbate10/Ehd4/Agtr1a/Ptpn12/Prkca/Ccn1/Ddx5/Slc27a1/Jak1/Stat5b/Adamts3/Nr3c2/Lbh/Ptprk/Ubr5/Gclc/Trp63/Tbx20/Insr/Sh3gl2/Pik3r1/Stxbp4/Nrp1/Mapkapk2/Smyd3/Foxo1/Nfe2l2/Igf1r/Prlr/Tlr4/Sorbs1/Cpeb1/Ext1/Cidea/Vegfa/Tbc1d4/Ddx17/Crim1/Atp1a1/Trim63/Rapgef2/Irs1/Ccbe1/Grb14/Fbxo32/Pde3a/Gja1/Epha4/Lpl/Pdgfd/Ednra/Csrp3/Wwox/Angpt1/Fstl4/Efna5/Grb10/Serpine1/Ppargc1a/Myocd/Ankrd1/Pdk4
