celltype,condition,age_group,test,method1,method2,glm_total,aspen_total,glm_positive,aspen_positive,odds_ratio,p_value
Cardiomyocyte,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,1147,2437,51,86,1.2719474340829104,0.19133762626045414
Cardiomyocyte,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,1147,2437,316,493,1.4993287369775197,1.5459641902370608e-6
Cardiomyocyte,F1_Young,F1_Young,sex_chr,GLM,ASPEN,1790,2719,138,158,1.3538885425795417,0.013851007588011662
Cardiomyocyte,F1_Young,F1_Young,sex_effect,GLM,ASPEN,1790,2719,378,478,1.2549988939738355,0.0031866570457949736
Coronary_EC,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,32,152,0,0,0,1
Coronary_EC,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,32,152,3,17,0.8223387884435277,1.0000000000000002
Coronary_EC,F1_Young,F1_Young,sex_chr,GLM,ASPEN,25,94,0,0,0,1
Coronary_EC,F1_Young,F1_Young,sex_effect,GLM,ASPEN,25,94,0,8,0,0.20125533627846656
Endocardial_EC,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,61,215,0,4,0,0.5788210308680001
Endocardial_EC,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,61,215,13,25,2.0521971867303526,0.06001589216762785
Endocardial_EC,F1_Young,F1_Young,sex_chr,GLM,ASPEN,137,214,24,26,1.5337472318610181,0.16315348167584567
Endocardial_EC,F1_Young,F1_Young,sex_effect,GLM,ASPEN,137,214,13,15,1.3894842190490821,0.42422810905072583
Fibroblast,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,429,1058,13,24,1.346082784112161,0.46199915727671903
Fibroblast,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,429,1058,139,211,1.9231767606338657,5.35514153707513e-7
Fibroblast,F1_Young,F1_Young,sex_chr,GLM,ASPEN,515,747,46,50,1.3668781612313476,0.16009660662765682
Fibroblast,F1_Young,F1_Young,sex_effect,GLM,ASPEN,515,747,97,112,1.3153703356788486,0.07651635653855521
Lymphatic_EC,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,3,38,0,0,0,1
Lymphatic_EC,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,3,38,0,1,0,1
Lymphatic_EC,F1_Young,F1_Young,sex_chr,GLM,ASPEN,7,33,3,5,4.008552362917569,0.12817509102338837
Lymphatic_EC,F1_Young,F1_Young,sex_effect,GLM,ASPEN,7,33,0,4,0,1
Mesothelial,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,63,152,3,6,1.2154823819423128,0.7234234887203699
Mesothelial,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,63,152,3,8,0.9004350015961782,0.9999999999999998
Mesothelial,F1_Young,F1_Young,sex_chr,GLM,ASPEN,120,175,12,19,0.9125382698243789,0.8494246924562512
Mesothelial,F1_Young,F1_Young,sex_effect,GLM,ASPEN,120,175,11,17,0.9381286118172825,0.9999999999999998
Myeloid,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,136,399,1,1,2.940834266649982,0.44414575238895304
Myeloid,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,136,399,33,48,2.3385805903264805,0.00127255683334496
Myeloid,F1_Young,F1_Young,sex_chr,GLM,ASPEN,160,247,12,14,1.3483763689926758,0.5348568878895587
Myeloid,F1_Young,F1_Young,sex_effect,GLM,ASPEN,160,247,19,17,1.8203723436777919,0.10695158182358258
Pericytes,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,175,323,3,9,0.6090853043781053,0.553760306708865
Pericytes,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,175,323,28,38,1.4275711142409588,0.21277996497924612
Pericytes,F1_Young,F1_Young,sex_chr,GLM,ASPEN,115,208,0,0,0,1
Pericytes,F1_Young,F1_Young,sex_effect,GLM,ASPEN,115,208,8,13,1.1210876211050635,0.8165760296536544
Smooth_Muscle,F1_Aged,F1_Aged,sex_chr,GLM,ASPEN,1,3,0,0,0,1
Smooth_Muscle,F1_Aged,F1_Aged,sex_effect,GLM,ASPEN,1,3,0,0,0,1
Smooth_Muscle,F1_Young,F1_Young,sex_chr,GLM,ASPEN,1,3,0,0,0,1
Smooth_Muscle,F1_Young,F1_Young,sex_effect,GLM,ASPEN,1,3,0,0,0,1
