"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"0610005C13Rik",0.224,0.2225,0.7285,0.788734984958977,0.782131233694011,0.0233476394849785,125
"0610040B10Rik",0.66030534351145,0.6543,0.7989,0.805714932330482,0.767233273312756,0.024206008583691,131
"0610040J01Rik",0.687878787878788,0.6885,0.332,0.557871865553776,0.659496295989135,0.0321030042918455,165
"0610043K17Rik",0.527050610820244,0.5387,2e-04,0.397778129703922,0.60742379676779,0.0375965665236052,191
"1110002E22Rik",0.510825780463243,0.5086,1.0368,0.665793526850947,0.415544646677013,0.138025751072961,662
"1110002L01Rik",0.950520833333333,0.9527,0.2077,0.47935496338503,0.611668814076736,0.0370815450643777,192
"1110004F10Rik",0.440251572327044,0.4432,0.1204,0.374122898777874,0.501578374066739,0.0700429184549356,371
"1110019D14Rik",0.540962441314554,0.5386,1.2292,0.719815184082433,0.386461724488568,0.16206008583691,710
"1110059E24Rik",0.442928039702233,0.4429,0.7656,0.616179249672663,0.49706310733338,0.07931330472103,403
"1200007C13Rik",0.422535211267606,0.4222,2.5542,1.62477153851666,1.00013172982778,0.0147639484978541,71
"1500002F19Rik",0.624537037037037,0.6256,1.4317,0.871763036652137,0.501086744646696,0.0710729613733906,360
"1500004A13Rik",0.454098360655738,0.4508,0.9675,0.653875749753359,0.43753622845663,0.123261802575107,610
"1500009L16Rik",0.554907677356657,0.5533,1.0737,0.734569053321809,0.499185800773509,0.0751931330472103,343
"1500026H17Rik",0.291970802919708,0.2949,1.7274,1.14549438597432,0.747659758844779,0.0254077253218884,137
"1600010M07Rik",0.476684515841142,0.4719,0.3499,0.392432913912682,0.39643387051597,0.152961373390558,747
"1600014C10Rik",0.446127946127946,0.4492,0.3566,0.474689989006768,0.518181843209671,0.0551072961373391,297
"1600020E01Rik",0.300226537216828,0.3016,0.4338,0.465587324806505,0.459503040754469,0.109699570815451,515
"1700017G19Rik",0,0,2e-04,0.368654093020667,0.562941684740232,0.0441201716738197,210
"1700025G04Rik",0.574480803498109,0.5698,0.5453,0.365291508219213,0.241647896886812,0.52206008583691,1618
"1700037F03Rik",0.575129533678757,0.5833,0.947,0.75641333868763,0.606035305955573,0.0377682403433476,193
