"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5286,0.5390625,64,0.6356,0.380853885913583,0.0911478880581953,-0.13566421247787,0.602442042608045,0.832730637720668
"2210408F21Rik",0.4271,0.423529411764706,85,0.2677,0.234278719312689,-0.407657968913246,-0.95729204318063,0.166454938798009,0.469383347467031
"2610037D02Rik",0.4549,0.444444444444444,63,0.2861,0.270506530644847,-0.222392421336448,-0.237623822917982,0.490582860310015,0.775411281165515
"2610307P16Rik",0.4369,0.41786318588349,197,0.0895,0.149287303126112,-0.352452961900821,-2.19458981356158,0.0361677120831411,0.196410769784836
"4632427E13Rik",0.553,0.565789473684211,76,0.8079,0.450101947475224,0.192645077942396,-0.467651695886481,0.333488623230492,0.647736792653273
"4732440D04Rik",0.249,0.244588744588745,77,0.699,0.404326628138077,-1.58496250072116,-11.1361760664108,2.36588627165763e-06,0.000105120628661152
"4930523C07Rik",0.4439,0.416666666666667,62,0.0163,0.161612906283507,-0.321928094887363,-0.464550360217899,0.335096711378466,0.647736792653273
"5031425E22Rik",0.5771,0.594036697247706,109,0.1931,0.202245892066722,0.444302093784038,-1.76521844394163,0.0602519099365322,0.265298387220542
"9530026P05Rik",0.4684,0.463662159659926,237,0.2173,0.201315851603517,-0.149895430483059,-0.604425236218788,0.271559902431826,0.593274190985582
"A930015D03Rik",0.6326,0.625,48,0.0168,0.23832710621021,0.788495894806288,-1.950280655284,0.0482699778324098,0.233006930030521
"AW554918",0.4401,0.450730994152047,114,0.1038,0.161466386758018,-0.364572432295856,-0.937250560671373,0.170960449595307,0.470743209801163
"Aak1",0.483,0.476086956521739,115,0.6806,0.385622254196313,-0.0365258760251139,-0.0253068004753061,0.821998981638003,0.940427709795999
"Abca1",0.4361,0.430275229357798,109,0.2453,0.217405103211278,-0.351985328743543,-1.0225203298892,0.15270290420537,0.454866269954896
"Abca6",0.6061,0.583585858585859,36,0.7474,0.456444155535212,0.884522782580064,-1.36838588869938,0.0980626884972234,0.350479992709455
"Abca8a",0.6863,0.701425217974514,71,0.2387,0.209588211484553,1,-10.1223593840767,6.81413089551125e-06,0.000261208350994598
"Abca8b",0.4616,0.470833333333333,40,0.4971,0.39918773320101,-0.180572245641821,-0.121970734843856,0.621373758957043,0.83889803909957
"Abca9",0.6108,0.54874213836478,53,0.1822,0.22279517196922,0.793549122532574,-1.79252163788077,0.058301898158605,0.260228792009298
"Abcc4",0.5853,0.587301587301587,63,2.1884,0.992898935708138,0.371968777386958,-1.05973111209614,0.14543760370903,0.440140116487853
"Abcc5",0.4069,0.414855072463768,92,0.36,0.26693140919053,-0.584962500721156,-1.87519476233666,0.0527952066409687,0.245165389508536
"Abcg2",0.5773,0.596794871794872,52,0.3413,0.326650850756733,0.302562770020431,-0.792949220947953,0.207913112191058,0.529948023902892
"Abhd17b",0.3178,0.302380952380952,70,0.244,0.232145025154089,-1.04580368961313,-5.5690270286156,0.000845745677285617,0.013242674341535
"Abi1",0.6878,0.667431561996779,207,0.1322,0.166667551113561,1.16871923869692,-25.8064370534544,6.75968704577737e-13,7.77364010264398e-11
"Ablim1",0.4331,0.420223858267337,299,0.1295,0.170222985534553,-0.367731784500487,-4.77501887319642,0.00199945305711093,0.025382667056181
"Ablim3",0.493,0.5,50,1.0996,0.563993375158843,-0.166009951438929,-0.00337299467425822,0.934540178665759,0.984919703122134
"Abtb2",0.4773,0.476608187134503,57,1.118,0.56344055218871,-0.180572245641821,-0.0427249238444958,0.770043452343143,0.915681181872447
"Acap2",0.5244,0.524390243902439,82,0.06,0.158470023048872,0.14017765804826,-0.162890855266113,0.568153590986566,0.81194464208972
"Acbd6",0.3996,0.4,45,1.8708,0.955115109283099,-0.605721060887953,-0.936184215677677,0.171204066473866,0.470750984467521
"Acer2",0.5982,0.610133713638387,214,0.4893,0.304077905991238,0.450815058835674,-7.22869064682803,0.000143366900551418,0.00350352863222528
"Acer3",0.5482,0.513235294117647,68,0.007,0.143497915364643,0.280107919192735,-0.398646667019747,0.371903852200116,0.683338375048145
"Ackr3",0.5358,0.525525525525526,111,0.4766,0.298663110597402,0.382247564161174,-0.637237118729928,0.25892899114584,0.588611834523391
"Actn1",0.5671,0.577477870388318,134,0.0662,0.139194856873155,0.315305152693627,-2.3965095413995,0.0285752979517353,0.170319230169642
"Actn4",0.5318,0.527777777777778,78,1e-04,0.138921564846938,0.180572245641821,-0.236446375795254,0.491659369091173,0.775782136055886
"Actr2",0.5047,0.517647058823529,85,0.0049,0.136266053512542,0.026967047600269,-0.0168344712924124,0.854412789465486,0.954007175083102
