"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.6428,0.641141141141141,111,1e-04,0.442648113450112,0.84799690655495,-4.12308407715743,0.0040838118714312,0.0220892038812006
"1110059E24Rik",0.4338,0.433076923076923,130,0.8588,0.743309929607556,-0.330645311988471,-1.54530962170837,0.0787448359667983,0.209175279904238
"1500002F19Rik",0.6486,0.65,60,35.1429,13.8638146055206,0.82312223791592,-2.43710811535612,0.0272608180451788,0.0978466226098146
"1500004A13Rik",0.3912,0.390873015873016,210,0.6671,0.583504984344736,-0.653442238603922,-6.35732700658872,0.000362801406746653,0.00287849779025169
"1600010M07Rik",0.5127,0.513888888888889,228,0.1405,0.372074288910937,0.0650950282218847,-0.00873412639089111,0.894851792674269,0.952779894879204
"1600020E01Rik",0.3353,0.334532374100719,139,7.252,3.16083880819138,-0.919080004616433,-8.68158660874916,3.08750757540728e-05,0.000328476500383608
"1700025G04Rik",0.4964,0.496860961365678,424,0.3657,0.39756518726983,-0.0196958013409199,-0.164857785386687,0.56582661831822,0.741701164584525
"2210408F21Rik",0.4857,0.487140992167102,766,0.3713,0.365202290649326,-0.0963939550615236,-1.02823734455467,0.151560453646878,0.329645942805523
"2210408I21Rik",0.6179,0.616573033707865,178,3.3981,1.61079412045334,0.751612370130608,-4.95869806018118,0.00163723846977645,0.0104510388987397
"2610035D17Rik",0.6486,0.650713557594292,327,1.4301,0.815409213556837,0.807354922057604,-14.4581301725868,7.55758088628112e-08,1.28907239975313e-06
"2610037D02Rik",0.5055,0.504712301587302,336,1.0359,0.677454772954601,0.0446229914206278,-0.0085635198212799,0.895877896988194,0.952779894879204
"2610307P16Rik",0.558,0.557807807807808,111,0.3515,0.531466002051052,0.345135486048687,-0.619009337944007,0.265853245234405,0.477221867137857
"2700049A03Rik",0.6448,0.646723646723647,117,0.7011,0.705356857535891,0.851477475289912,-4.54485455216754,0.00257051754264994,0.0152741350588198
"2700097O09Rik",0.6223,0.622047244094488,127,37.7727,14.7730445579236,0.815575428862573,-3.31683718572494,0.0100068635530546,0.0452834759925014
"2900026A02Rik",0.4611,0.464912280701754,114,3e-04,0.44038789920631,-0.225881407416328,-0.520260595262499,0.30770028776677,0.522688047798151
"2900093K20Rik",0.5867,0.587301587301587,63,2e-04,0.513641264374841,0.505235308250422,-0.812948848461801,0.202271394916496,0.398209993823923
"3110056K07Rik",0.4521,0.451830443159923,173,0.1638,0.439325222530015,-0.274174963438994,-1.20150520100795,0.121102005185848,0.281275010515029
"3110082I17Rik",0.5095,0.516393442622951,122,0.1725,0.496698564554736,0.0424352663203971,-0.000256724419941179,0.981921954024072,1
"4632427E13Rik",0.5032,0.505374280230326,521,0.2131,0.334083960799744,0.0135042643497472,-0.039236629463403,0.779377163785264,0.885468243810979
"4732440D04Rik",0.3087,0.311473429951691,460,1.0701,0.662974011203439,-1.15277028040325,-42.6847571456543,2.47507267250015e-20,1.60422787219125e-18
"4732471J01Rik",0.3703,0.367424242424242,132,1.8836,1.12935217042493,-0.696607856550065,-5.29724856737766,0.00113424744924162,0.00770207633675151
"4833420G17Rik",0.668,0.675595238095238,168,0.7109,0.650823985209231,0.930737337562886,-8.97714329068235,2.26274261132357e-05,0.000249553262343095
"4930438E09Rik",0.6087,0.597849462365591,155,0.3779,0.542470208125275,0.686500527183219,-3.08681380407924,0.0129668455582625,0.0554049901997565
"4930503L19Rik",0.5047,0.503164556962025,158,0.7847,0.688252332287473,0.0327899351176697,-0.00669747671190635,0.907861323048047,0.959563410436884
"4930523C07Rik",0.4394,0.439416419386746,337,0.9655,0.64573597497804,-0.329622486677363,-3.66580811942697,0.00677521037282416,0.0335416701535937
"4930578G10Rik",0.8015,0.797585886722377,359,0.6087,0.505436115685899,2.051743575094,-75.48986432984,1.05881200921215e-34,1.27450714137451e-32
"4930599N23Rik",0.5131,0.508403361344538,119,1.1442,0.87018950645871,0.131244533278253,-0.00536643724294095,0.917487115200105,0.963452945248764
"4933406I18Rik",0.3125,0.314634146341463,205,0.6163,0.560347914191884,-1.16580889297008,-17.938673340846,2.10137781775151e-09,4.25630035874381e-08
"5031425E22Rik",0.5855,0.591091414668057,685,0.2196,0.314217784768199,0.483856689114781,-9.79353062472512,9.61179311393059e-06,0.000115041148832357
"5033421B08Rik",0.3894,0.377551020408163,49,1.0795,0.946669304855295,-0.526068811667588,-1.51689563228652,0.0815472644006481,0.215051627736346
