"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.6589,0.652777777777778,72,3e-04,0.471551580389442,0.584962500721156,-2.37656156213893,0.0292451701636879,0.125678138974822
"1110059E24Rik",0.4478,0.445378151260504,119,1.7219,1.05082850539254,-0.0524674198941355,-0.444034993203772,0.346000859670103,0.638175267010067
"1500004A13Rik",0.4563,0.457746478873239,142,3.0541,1.51468872736894,-0.216317906926764,-0.584031702193684,0.279799516328378,0.562711557382956
"1600010M07Rik",0.4911,0.489795918367347,196,1.1922,0.750410176304671,0.0634253801416333,0.147969436193733,1,1
"1600020E01Rik",0.4122,0.403846153846154,104,0.5742,0.638044829981013,-0.655351828612554,-2.17573898340472,0.036976843434014,0.151316586251249
"1700025G04Rik",0.4849,0.490051282051282,325,0.5322,0.443071843870179,-0.179549420330713,-0.387254631955074,0.37882568023022,0.673251799259252
"2210408F21Rik",0.5136,0.511947565543071,445,0.5447,0.428406548251124,0.160464672193246,-0.393617674618326,0.374937406482195,0.66977982520194
"2210408I21Rik",0.5612,0.560833333333333,100,1.5479,0.986340446745454,0.189033824390017,-0.423697772904319,0.357290170824003,0.651294449848253
"2610035D17Rik",0.6201,0.624034334763949,233,0.6809,0.528943611263358,0.725140158769416,-6.25697577911535,0.000403924390353545,0.00395025368935806
"2610037D02Rik",0.4137,0.414448669201521,263,0.8877,0.606850295083233,-0.463246592321464,-3.71181715567727,0.00643726638231842,0.039654477251933
"2610307P16Rik",0.4783,0.473086419753086,135,0.5614,0.528148458877869,0.0740005814437774,0.249795966779317,1,1
"2700097O09Rik",0.6109,0.614341085271318,86,1.9498,1.18945851148464,0.347923303420306,-0.836352443995004,0.195896628392289,0.451226964400601
"2900093K20Rik",0.5233,0.528571428571429,70,0,0.469746745480633,0,-0.00945246482981332,0.890639387603104,1
"3110056K07Rik",0.4318,0.422514619883041,114,0.0811,0.432533866296047,-0.218180170049533,-0.409879398085693,0.365250697593314,0.659279413486994
"4632427E13Rik",0.5242,0.521872265966754,381,0.4858,0.423852841900233,0.0142842260062475,0.190214046038335,1,1
"4732440D04Rik",0.3285,0.327134646962233,406,0.4195,0.387534911478022,-1.08109842529424,-27.3586594159563,1.39174413685022e-13,7.41264338734686e-12
"4732471J01Rik",0.4446,0.447058823529412,85,1.7401,1.11313910166763,-0.519374159093579,-0.523598199279412,0.306153666138069,0.592456116361093
"4833420G17Rik",0.7632,0.764462809917355,121,4.411,2.06575983530863,1.6724253419715,-15.0184472715732,4.2390373248414e-08,1.10342460290232e-06
"4930438E09Rik",0.5853,0.581683168316832,101,0.2766,0.530149922266368,0.797507136101258,-1.97299138838507,0.0469834025199056,0.176225936645627
"4930503L19Rik",0.462,0.468503937007874,127,0.5467,0.584907460098492,-0.241008099503795,-0.485805652607212,0.324278652563599,0.611799833882931
"4930523C07Rik",0.4704,0.46969696969697,198,1.7004,0.949233223889706,-0.335603031784439,-1.00269905828796,0.156740139525868,0.391793763926755
"4930578G10Rik",0.77,0.770422535211268,213,1.1288,0.70530500287413,2.02236781302845,-38.5785229306404,1.57890359763446e-18,1.24231005795693e-16
"4930590L20Rik",0.6417,0.641176470588235,85,0.5211,0.65348095570054,0.777607578663552,-3.01878440834842,0.01400455716076,0.0716156231765896
"4930599N23Rik",0.5158,0.513636363636364,110,0.7977,0.711186715490457,0.373458395527444,-0.172304855450193,0.5571804181245,0.829524272343513
"4933406I18Rik",0.2721,0.274193548387097,93,6.854,3.01770916769567,-1.76081233612057,-9.00692533836207,2.19303539492267e-05,0.000303691541488891
"5031425E22Rik",0.5869,0.593967721316715,596,0.1996,0.282871017690756,0.541190098692251,-10.9881268370476,2.76044795872986e-06,4.77833541656138e-05
"5330438D12Rik",0.4474,0.45398773006135,163,1.3401,0.839891731274432,-0.15200309344505,-1.27510936806966,0.110278986547015,0.313226475311354
"5430405H02Rik",0.5458,0.545454545454545,88,45.4202,17.6972053469277,0.596644305768791,-0.145460351119084,0.58963112592225,0.86313021477498
"6720427I07Rik",0.5675,0.561930783242259,183,0.2106,0.398585885453824,0.309684499132615,-1.03361753454418,0.150494142548467,0.380577590579103
"6820431F20Rik",0.7175,0.718660968660969,234,0.3246,0.408804710263054,1.13750352374993,-15.5559235983835,2.4358018092883e-08,6.6399573730363e-07
"9330159M07Rik",0.1604,0.159420289855072,69,16.0398,6.56250094747805,-2.16046467219325,-14.8075241892103,5.2694255059729e-08,1.34137875747634e-06
"9530026P05Rik",0.4488,0.449550975505714,707,0.7319,0.472723986801939,-0.329673327419909,-6.69716453081992,0.000252386204214045,0.0026160510149372
"9630014M24Rik",0.424,0.413690476190476,56,0.2939,0.600174974094057,-0.459431618637297,-0.414902508466106,0.362328916445809,0.655835446290113
"A4galt",0.6763,0.678571428571429,105,1.5913,1.01255380409805,1.22239242133645,-7.6062175437718,9.60687316891524e-05,0.00114774824576487
"A730049H05Rik",0.5262,0.531446540880503,53,0.6629,0.758794374867488,-0.0524674198941355,0.0784894355976746,1,1
"A830012C17Rik",0.5228,0.523584905660377,106,1.2257,0.860820618863326,0.169925001442313,-0.107996793793987,0.642109707799049,0.906970138066221
"A930015D03Rik",0.7493,0.745098039215686,119,0.3329,0.518659533781206,1.67459971320583,-13.0182445221306,3.35025162079242e-07,7.31138648940931e-06
"AU040320",0.5961,0.607007575757576,176,0.4817,0.505416008386574,0.269186632815388,-0.271422260298266,0.461256249856817,0.747774398014461
"AW554918",0.5131,0.507201646090535,324,0.9314,0.599006139745814,0.101879614019214,-0.042221491580591,0.771364336458752,1
"Aak1",0.4935,0.494270833333333,320,0.6683,0.502542679231066,0,0.111565690680777,1,1
"Aatf",0.5075,0.516239316239316,195,0.1568,0.363627503185732,0.0941221773645502,-0.042395806830072,0.770906013411634,1
"Abca1",0.4665,0.475254416282642,496,0.3548,0.348801773717309,-0.200762405364905,-1.89486032726074,0.0515682540928394,0.188123599230147
"Abca5",0.5185,0.51865671641791,67,6.2298,2.83891557071733,0.0931094043914813,-0.000911765036491374,0.965938438708506,1
"Abca6",0.5481,0.547222648979396,743,0.4327,0.355455035800797,0.264972210075286,-5.35962477623957,0.00106026665875955,0.00901877929392029
"Abca8a",0.6552,0.652367574169281,1508,0.2717,0.239994714371564,1.03233286278243,-178.279032842609,1.58148519877191e-79,6.84387719768543e-77
"Abca8b",0.5291,0.527104852914205,834,1.1619,0.626520782205675,0.200333257032983,-1.90345299827118,0.051041652812615,0.187387276815772
"Abca9",0.4514,0.456507413509061,607,0.6797,0.459586505049416,-0.261348029205907,-3.64104904296619,0.00696451449593859,0.041932433365112
"Abcb1b",0.6219,0.619402985074627,67,6.2873,2.85732902396165,0.830074998557688,-1.70970055361668,0.0644343847512218,0.217207244409669
"Abcc1",0.4789,0.473922902494331,147,0.5179,0.548068192612651,-0.167727445738066,-0.316331686403828,0.426380051061484,0.715524836051797
"Abcc4",0.5786,0.584848484848485,110,1.106,0.828262664857546,-0.246160587269397,0.971830191721779,1,1
"Abcc5",0.4459,0.450851749539595,362,0.7678,0.527423460615296,-0.278600663223262,-1.07986795828634,0.141669036330331,0.366560690415252
"Abcd2",0.3631,0.358649789029536,79,5.2564,2.45487402254449,-0.510194732319183,-1.51771237810827,0.0814652256665978,0.254575771336021
"Abcd3",0.5839,0.592503987240829,209,0.4276,0.460055745924924,0.84799690655495,-6.05904072381179,0.000499352529057463,0.00473632453588202
"Abce1",0.5896,0.597389558232932,166,0.3833,0.476549959122533,0.905140813658559,-4.61670547814175,0.00237638543087397,0.0176925728208294
"Abhd17b",0.4913,0.490631163708087,169,0.9029,0.666984555602539,0.0749620576812227,0.0721595484962592,1,1
"Abhd18",0.5,0.508333333333333,120,50,19.3780383163213,0.239187663879426,0.029945814017097,1,1
"Abi1",0.6946,0.659912901800554,780,0.4477,0.35614038158229,1.40265377482301,-78.4650806820268,5.30164460449456e-36,1.07966433063295e-33
"Abi2",0.5009,0.503639010189229,229,2.0401,1.05678836017838,0.0493277123635689,0.00878605871415061,1,1
"Abi3bp",0.6697,0.680959965608922,527,0.9507,0.566331189032235,0.803370674728634,-31.2077346841114,2.78129934127064e-15,1.75070151263254e-13
"Abl2",0.5133,0.515602836879433,235,1.5392,0.864352175056428,0.0647056893878153,-0.0813351081652911,0.686709918040994,0.939679737651353
"Ablim1",0.4244,0.411196530475231,662,0.2283,0.281784740783885,-0.390290836943158,-10.6893105282575,3.76951130818533e-06,6.39708242594981e-05
"Ablim3",0.4883,0.459333333333333,75,0.2903,0.531936062980285,-0.765534746362976,-0.318906186419682,0.424504080552823,0.713216933609442
"Abtb2",0.4776,0.483924289140116,278,0.9616,0.605417750957282,-0.261492241025388,-0.129134436728691,0.61131196393719,0.882633640732734
"Acaca",0.4718,0.470833333333333,352,0.1399,0.291634012324198,-0.115477217419936,-0.857764262419977,0.190269640959945,0.444176329739264
"Acadl",0.4662,0.472463768115942,115,0.7365,0.670380088473189,-0.096215315259303,-0.451891824405465,0.341769197732501,0.632391749091352
"Acadsb",0.5503,0.546587926509186,254,0.1796,0.341470157631563,0.293731203056711,-1.27849324468332,0.109807715644185,0.313226475311354
"Acap2",0.5005,0.495220282626766,401,0.1451,0.286427330548149,0.16082279433506,0.0556001880408985,1,1
"Acat1",0.5327,0.535087719298246,114,2.0412,1.17849335092169,0.127755547198373,-0.133111562783768,0.605876658646822,0.877548969479695
"Acbd3",0.5806,0.56989247311828,217,0.1737,0.359435063886067,0.358793388639224,-1.67421431437835,0.0672692000741774,0.223070853119542
