"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.6096,0.611627906976744,43,0.3961,0.225477072276188,0.704544116473829,-1.47746899424396,0.0856155906936786,0.4233543346715
"5031425E22Rik",0.5474,0.544573643410853,43,0.2379,0.165919920801355,0.31194400631474,-0.254329915183462,0.475719581446774,0.830544944356753
"9530026P05Rik",0.567,0.537202380952381,40,0.1021,0.11122406361631,0.432959407276106,-0.619658576596088,0.265602695642559,0.665656808400821
"AW554918",0.5533,0.55982905982906,39,0.7287,0.353084195600932,0.214124805352848,-0.206011020975467,0.520944976908449,0.842452920638798
"Aak1",0.3893,0.430232558139535,43,0.1488,0.132111379175153,-0.724365557386573,-1.49598383108263,0.0836784336609421,0.416648867603441
"Abca1",0.4875,0.483506944444444,48,0.3838,0.218938698347972,0.0291463456595165,-0.0123124642110426,0.875305280689709,0.970570489026735
"Abca8a",0.6304,0.61494708994709,21,0.0789,0.102177632981447,0.781359713524659,-1.97576298752373,0.0468288843565665,0.31454245192967
"Abhd17b",0.4982,0.464539007092199,47,1.2062,0.53056396360664,0.556393348524385,0.0172148724354315,1,1
"Abi1",0.6672,0.644383394383394,52,0.7085,0.347980041547157,1.39854937649027,-5.06383165338708,0.00146060455588807,0.0402789794835287
"Abi3bp",0.4328,0.457818532818533,74,0.2175,0.17051233496744,-0.420331798948357,-1.27846413043709,0.109811760915256,0.475734359920634
"Ablim1",0.4384,0.4375,32,0.0584,0.0957838448865669,-0.404390255079335,-0.484432798768424,0.324963258614264,0.723598311883314
"Ablim2",0.5106,0.486111111111111,30,0,0.0851654505787202,0.0614005446641435,0.00124481679116073,1,1
"Ablim3",0.4181,0.41875,40,0.3082,0.192998925411649,-0.476438043942987,-0.715636557882853,0.231556777670429,0.646016379726449
"Ackr3",0.5895,0.58,35,0.4068,0.230441963386333,0.584962500721156,-0.793263198017456,0.207823117751635,0.615740394330259
"Adam10",0.4706,0.480392156862745,51,0.4695,0.253213288394899,-0.241008099503795,-0.165097943248334,0.56554376577171,0.866642239118187
"Adam12",0.7037,0.691666666666667,35,0.6845,0.33540254686852,1.55639334852439,-4.85659134330067,0.00182950901700774,0.0452330332825706
"Adam19",0.3112,0.321428571428571,28,0.1367,0.178443607321063,-1.16992500144231,-2.67422825181796,0.0207406234065804,0.193659698639474
"Adamts5",0.3969,0.431972789115646,28,0.5462,0.287188909523235,-0.830074998557688,-1.0444750728622,0.148367999035973,0.537271996509054
"Adamts9",0.6858,0.625850340136054,21,0.8077,0.382413939391556,1.45066140900957,-3.06135644966017,0.0133455833590975,0.170871129794159
"Adamtsl1",0.5398,0.550273224043716,61,0.2419,0.180035785785901,0.208946890271496,-0.328167348610037,0.417856923034325,0.820831270727701
"Adgrl4",0.4741,0.4953125,32,0.1033,0.11492026850548,-0.206450877467427,-0.073471705101074,0.701473627077131,0.916092122629333
"Adk",0.4628,0.459770114942529,29,0.9699,0.459220052045758,-0.192645077942396,-0.115760794008892,0.630397881992013,0.885991054692441
"Afap1l1",0.4293,0.390243902439024,41,0.1806,0.14420788137562,-0.321928094887362,-0.572006007216288,0.284806162099121,0.676989301875666
"Aff1",0.3581,0.325036075036075,33,1e-04,0.075503812691305,-0.841302253980941,-2.47171027136589,0.0261901580871385,0.215979899351164
"Agap1",0.4362,0.395772594752187,49,0.0397,0.0873592254052167,-0.337034987277571,-0.774283774962178,0.213347033929381,0.626925505440024
"Agfg1",0.5846,0.595238095238095,35,0.1023,0.114416402636049,0.485426827170242,-0.740232516908225,0.22370177762408,0.638668474880975
"Ago3",0.4994,0.489035087719298,38,0.2423,0.167580959598074,0,-0.000518446837020292,0.974311891538485,1
"Agps",0.5384,0.557692307692308,26,1.5646,0.685055495083732,-0.321928094887362,-0.0194687386521259,0.843572578953968,0.964362975344793
"Ahnak",0.3737,0.412962962962963,45,0.1549,0.134209138684297,-0.782408564927373,-2.10231702169993,0.0403136720076919,0.286187156727872
"Aig1",0.4731,0.455357142857143,28,0.5517,0.314077859978015,-0.137503523749935,-0.055666335970642,0.738631979146417,0.92893251473321
"Airn",0.3565,0.355353508924938,63,1.1583,0.528256333222822,-0.868210127444459,-4.51223522587516,0.00266389087654335,0.0578225618762064
"Akap13",0.5182,0.523688458434221,59,0.1051,0.118153558880472,0.146841388329271,-0.0461789729058069,0.761200648475279,0.932468488303251
"Akt3",0.3197,0.302482269503546,47,0.127,0.120392706854335,-1.04890960048095,-5.25285953060783,0.00119005639740414,0.0352196500511418
"Ank2",0.6048,0.626262626262626,33,0.3026,0.190424790451147,0.6463630453853,-0.972442361686319,0.163139138567337,0.562359434388368
"Ankhd1",0.4632,0.476666666666667,50,0.6806,0.332062325899225,-0.404390255079335,-0.30802185009582,0.432521282495112,0.826388884340532
"Ankrd11",0.5372,0.520138888888889,48,0.3851,0.218942450316142,0.241008099503795,-0.210433258149607,0.516504985891809,0.842452920638798
"Ankrd12",0.5287,0.524122807017544,38,0.2853,0.184704448765489,0.106915203916512,-0.0570207483819942,0.735589044038188,0.92893251473321
"Ankrd17",0.4755,0.451242236024845,69,0.0813,0.108131014815221,-0.125530882083859,-0.157223010683261,0.574964657831806,0.872159451828903
"Ankrd44",0.5166,0.516666666666667,30,0.5724,0.305137235110926,0.125530882083859,-0.0178563875285391,0.850109871735373,0.966172374466074
"Anks1",0.4103,0.458333333333333,22,1e-04,0.126570189599544,-0.523561956057013,-0.385455015552385,0.379935674083516,0.776107915435558
"Ano6",0.3569,0.30982905982906,39,1e-04,0.0752206891040273,-0.84799690655495,-2.8548008776341,0.0168723666059165,0.180559505320032
