"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.6375,0.649470899470899,36,0.8218,0.378396681297703,0.652076696579693,-1.78348083041042,0.0589400616586353,0.388593197214491
"5031425E22Rik",0.6589,0.613333333333333,25,0.662,0.387659119626915,0.362570079384708,0.0297997768954339,1,1
"9530026P05Rik",0.5196,0.530148423005566,28,0.1516,0.124606027724464,-0.137503523749935,0.0970132265314874,1,1
"AW554918",0.5617,0.546875,32,0.7154,0.406828977119076,0.289506617194985,-0.267599283542054,0.464429436318672,0.892681043404941
"Abca1",0.4407,0.401515151515151,33,1e-04,0.0712211758063007,-0.169925001442313,0.0220469105985792,1,1
"Abca8a",0.6948,0.688746438746439,21,0.7107,0.347898989005306,1.54748779530249,-3.83930255039204,0.00558793450830212,0.0960108747335547
"Abhd17b",0.6105,0.568181818181818,33,0.1335,0.133375423170775,0.514573172829758,-0.541838782044088,0.297876314155558,0.781121837103507
"Abi1",0.5478,0.519503546099291,47,0.047,0.0982696582955995,-0.125530882083859,0.427767240099328,1,1
"Abi3bp",0.541,0.532490014693405,59,0.3381,0.197118300795186,0.211504105193712,-0.641448377256722,0.25736112681663,0.729618794525145
"Ablim1",0.3923,0.385507246376812,23,1.1472,0.531305484861847,-0.758991900496205,-0.647614151746239,0.255086671906576,0.729618794525145
"Acyp2",0.4244,0.421320346320346,22,0.1492,0.135816185099829,0,0.198453314725079,1,1
"Adam12",0.7193,0.736111111111111,24,1.3114,0.6242425420508,0.884522782580064,-2.00897840653183,0.0450182202892999,0.33272435722883
"Adamtsl1",0.5549,0.576798941798942,45,0.8588,0.4120884803131,-0.125530882083859,-0.586550371428402,0.278765036184816,0.765776708452371
"Adgrf5",0.4529,0.480392156862745,34,1e-04,0.0909963693475592,-0.15200309344505,0.00924933350321666,1,1
"Agap1",0.5103,0.475609756097561,41,0.3069,0.18209742271296,-0.299560281858908,0.197809516071111,1,1
"Agfg1",0.5447,0.523529411764706,34,0.1111,0.163831390222715,0.125530882083859,0.104710860113407,1,1
"Ago3",0.4014,0.41260162601626,41,0.3648,0.204852377500235,-1,-1.66793708215184,0.0677843783890685,0.41086171653769
"Ahnak",0.4492,0.479166666666667,40,0,0.0693898749353939,-0.214124805352848,-0.172658479664797,0.556776132941875,0.989630305260323
"Airn",0.8543,0.867149758454106,46,2.6714,1.10565728519867,2.34395440121736,-16.5503647924155,8.75058805233712e-09,2.48079171283757e-06
"Akap13",0.4932,0.487172011661808,49,0.199,0.167439363355712,-0.249978253008348,0.00469090897777846,1,1
"Akt3",0.3912,0.387619047619048,40,0.1176,0.118308150718753,-0.605721060887954,-0.691435123790107,0.239612844210135,0.718838532630404
"Ambra1",0.4809,0.5,33,0.7784,0.428603240501477,0.160464672193246,0.0401905391177237,1,1
