"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Arhgap15",0.525210084033613,17,-19.9381093297416,-19.9307421416401,-0.00736718810146897,0.903385908139687,1
"Bcl2",0.669230769230769,13,-14.9417666586786,-14.6840402267912,-0.257726431887413,0.472787832828712,1
"Ccnd3",0.394117647058824,17,-16.2165878817344,-16.1584488994272,-0.0581389823072627,0.733106932338037,1
"Dock2",0.545098039215686,17,-22.3365955131542,-22.3302769842554,-0.00631852889886275,0.91049462490059,1
"Gm2682",0.431565656565657,11,-18.2204509956696,-18.2230333838708,0.00258238820119416,1,1
"Malat1",0.533635959608197,20,-44.9600384325786,-44.9600386782276,2.45649061980657e-07,1,1
"Pde3b",0.380952380952381,14,-14.4761278939968,-14.4758844057251,-0.000243488271735259,0.982394075485979,1
"Pitpnc1",0.603535353535353,16,-17.0957230812339,-17.0442012229468,-0.0515218582870354,0.74820718427784,1
"Skap1",0.528703703703704,18,-20.6254919985813,-20.5412812095817,-0.0842107889995667,0.681518427833474,1
"St6galnac3",0.605922865013774,11,-14.9574118301033,-14.878099727455,-0.079312102648327,0.69042634875493,1
"Zeb1",0.600915750915751,13,-15.1795092463034,-15.1678567696741,-0.0116524766293065,0.87866672232226,1
