"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"0610005C13Rik",18,0.222222222222222,2,0,0.0673560878407214,0.235746307441415,0.222222222223036,3.29921510210822,1.7673994028562,1,42.6925375824191,29.2052045012932,42.6925375824191,-39.3933224803109,0.247422680412371,18,-1.70043971814109,-151.553532335023,-124.675368264549,-26.8781640704739,2.26962000739866e-13
"0610038B21Rik",17,0.676470588235294,2.11764705882353,0.110294117647059,0.000667334000666834,0.000333667000334168,0.666666666666166,998.999999999999,2.1582577943933,2,16.7556632826896,390.33762327544,16.7556632826896,982.24433671731,0.587301587301587,17,0.517848304862603,-130.475589694976,-130.727366533586,0.251776838610311,1
"0610040B10Rik",15,0.611111111111111,2.13333333333333,0.123809523809524,0.171321560813,0.102792936487807,0.624999999999985,3.64811058826496,1.86624929788073,3,14.8766823654684,11.1256568136155,14.8766823654684,-11.2285717772034,0.640718562874251,15,0.90122184552184,-120.958528563086,-115.117175709299,-5.84135285378673,0.000630837271389159
"0610040J01Rik",24,0.6875,2.08333333333333,0.0797101449275362,0.0915091302417443,0.0392181986750361,0.699999999999985,7.64950992486497,1.96749653958052,4,21.8072413001196,17.1828614512492,21.8072413001196,-14.1577313752546,0.663873370577281,24,0.961005868384126,-136.496567206246,-128.379323156282,-8.11724404996465,5.59659410615284e-05
"0610043K17Rik",33,0.611111111111111,2.03030303030303,0.0303030303030303,6.65279648449418,4.21884655213778,0.611940298451449,0.0919824166991598,1.08677886196191,5,33.2927741700453,21.8329052630276,33.2927741700453,-33.2007917533461,0.546368352788586,33,0.319880266238516,-205.056190054309,-206.942753189142,1.88656313483318,1
"1110002E22Rik",232,0.511350574712644,2.35775862068966,0.92340274667861,0.0996842964131998,0.095056096947725,0.511882998143321,5.13504149160589,2.13656745910289,6,3.259968104119,4.08443398248608,3.259968104119,1.87507338748689,0.489890710382514,232,-0.0287003122533065,-789.147487071666,-789.37393768258,0.226450610914299,1
"1110002L01Rik",46,0.956521739130435,2.10869565217391,0.143478260869565,958762.886597699,41237.1134023013,0.958762886597699,1e-06,0.492282800032419,7,NA,1e-06,17.9209691333729,-17.9209681333729,0.957494407158837,46,4.58094943821446,-250.661217114888,-60.4593426795327,-190.201874435355,1.01638651110837e-84
"1110004F10Rik",81,0.522633744855967,2.12345679012346,0.134567901234568,0.343707855042274,0.335806525041302,0.505813953488373,1.47163920192094,1.67127727016327,8,16.0333866752565,11.0564845563318,16.0333866752565,-14.5617474733356,0.448286604361371,81,-0.287211889431267,-406.080374467082,-405.683490722289,-0.396883744793683,0.372963345102117
"1110019D14Rik",312,0.522916666666667,2.41666666666667,0.636120042872456,0.0368133030560052,0.0339959584559462,0.519893899045844,14.1224463953944,2.32184226530214,9,2.61618803891351,7.07586661822935,2.61618803891351,11.5062583564809,0.545982942908346,312,0.18773330646145,-829.119734786905,-827.737130079654,-1.38260470725106,0.0963340794907441
"1110020A21Rik",15,0.566666666666667,2.13333333333333,0.123809523809524,0.000563063063063063,0.000437937937937938,0.5625,998.999999999999,2.26305368076907,10,14.8766823654684,389.10738696997,14.8766823654684,984.123317634531,0.471774193548387,15,-0.0565835283663585,-93.1890856267983,-94.9074323307319,1.71834670393359,1
"1110038F14Rik",23,0.492753623188406,2.08695652173913,0.08300395256917,0.0226018376493387,0.0245672148362712,0.479166666666327,21.2003410563541,2.04123942154924,11,21.1993943127419,21.9307674326237,21.1993943127419,0.000946743612235679,0.473084886128364,23,-0.248820546614094,-234.837565662868,-234.037581379113,-0.799984283755293,0.205907665230523
"1110046J04Rik",13,0.974358974358974,2.15384615384615,0.141025641025641,964285.714156387,35714.2858436129,0.964285714156387,1e-06,0.192254345351116,12,NA,1e-06,12.7033147279101,-12.7033137279101,0.78169014084507,13,2.00000000000001,-109.212654146366,-111.285574888578,2.07292074221186,1
"1110059E24Rik",87,0.403256704980843,2.17241379310345,0.260625501202887,0.0318329485199685,0.046302470574499,0.407407407407411,12.7982931631937,2.09207308262324,13,11.009160674058,12.0682043051356,11.009160674058,1.78913248913572,0.440476190476191,87,-0.308666195478448,-416.022958164241,-412.362505159783,-3.66045300445774,0.00681570439942332
"1110065P20Rik",11,0.909090909090909,2,0,6.3828700933926,0.638287013448023,0.909090908558912,0.142426666257861,1.12467029216361,14,42.6925375824191,28.0064240826159,42.6925375824191,-42.5501109161612,0.818181818181818,11,2.27301849440646,-37.7381948530594,-28.3677737684687,-9.37042108459068,1.49740721028048e-05
"1200007C13Rik",15,0.366666666666667,2.06666666666667,0.0666666666666667,0.00035519390517672,0.000645807095824281,0.354838711271543,998.999999999999,2.42239080940505,15,24.8708461838502,395.650925043987,24.8708461838502,974.129153816149,0.4375,15,-0.405256478486296,-56.0780623614734,-56.4281554691284,0.350093107654963,1
"1500002F19Rik",109,0.64908256880734,2.28440366972477,0.31651376146789,0.000651253663301018,0.000349747337699984,0.650602409637717,998.999999999999,2.40831279725839,16,4.79566936701671,382.506985617863,4.79566936701671,994.204330632982,0.602909550917141,109,0.628683878150469,-424.793799028279,-418.300072676288,-6.49372635199148,0.000313585293483822
"1500004A13Rik",231,0.481034838177695,2.31168831168831,0.389384528514962,0.100819184056532,0.109483332630221,0.479400749191712,4.75505484078207,2.08373850454999,17,4.07583784440524,4.47431448192417,4.07583784440524,0.679216996376822,0.484854631507775,231,-0.127220550488084,-788.651127775788,-787.589908482743,-1.06121929304425,0.145155263897123
"1500009L16Rik",109,0.560091743119266,2.5045871559633,0.770812096500171,0.000568333901667235,0.000432667099333767,0.567765567765568,998.999999999999,2.63252255154312,18,2.02364740865364,380.692043261886,2.02364740865364,996.976352591345,0.551008968609865,109,0.272433103836048,-374.898510858585,-373.728970972666,-1.16953988591894,0.126164064153919
"1500015A07Rik",11,0.227272727272727,2,0,0.0541592638453949,0.184141496766417,0.227272727566403,4.19637770954908,1.8075582538655,19,42.6925375824191,29.5458991623467,42.6925375824191,-38.49615987287,0.411184210526316,11,-0.479992941119621,-109.724396698002,-119.697527449944,9.97313075194134,1
"1500026H17Rik",19,0.263157894736842,2.05263157894737,0.0526315789473684,0.157581161094645,0.456985365296206,0.256410257193908,1.62716314191838,1.61936128653952,20,27.8117295135773,18.8272484521322,27.8117295135773,-26.1845663716589,0.227272727272727,19,-1.81173336256818,-130.591497873829,-101.570087952899,-29.0214099209308,2.56473867189962e-14
"1600010M07Rik",259,0.483471226328369,2.29343629343629,0.417437370925744,0.356785894154616,0.402822783718325,0.469696969699832,1.3164673194627,1.73505440499117,21,4.5345704104156,3.46887044240766,4.5345704104156,-3.21810309095289,0.502078159717684,259,-0.052175465012859,-887.383426383234,-889.564495251909,2.18106886867531,1
"1600014C10Rik",44,0.460227272727273,2.11363636363636,0.149577167019027,0.548579750718074,0.637883431067527,0.46236559139785,0.842841156263292,1.50989339653238,22,17.2738766404035,11.6298938308836,17.2738766404035,-16.4310354841403,0.463818321785989,44,-0.288389980110679,-337.741301691764,-335.871457675036,-1.86984401672748,0.0531343648030811
"1600020E01Rik",159,0.2520964360587,2.30188679245283,0.553857176976355,0.214551634430342,0.638990737325064,0.251366120218604,1.17158799971862,1.70295491271725,23,4.31111024724019,3.26754558298362,4.31111024724019,-3.13952224752157,0.293257142857143,159,-1.39023410827828,-583.776840455428,-513.073311339067,-70.7035291163604,1.31079032957641e-32
"1700016K05Rik",12,0.541666666666667,2,0,0.000542208875542206,0.000458792125458796,0.541666666666664,998.999999999999,2.71657559768399,24,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.467514124293785,12,-0.0418201756946415,-94.2840605514265,-95.2078319689135,0.92377141748706,1
"1700025G04Rik",1264,0.560404171470232,3.27927215189873,3.36375053870126,0.41889179918829,0.315897243772013,0.570084438794388,1.36093482827564,2.31740443871484,25,0.790852549681168,1.03461026849479,0.790852549681168,0.570082278594468,0.551078919268152,1264,0.405846076112933,-2431.35282928384,-2418.90189953215,-12.4509297516929,6.03242100958518e-07
"1700030K09Rik",12,0.708333333333333,2,0,708333.333333223,291666.666666777,0.708333333333223,1e-06,0.977596922119707,26,NA,1e-06,42.6125396164181,-42.6125386164181,0.810126582278481,12,2.11864449649864,-123.397588389926,-91.381891484838,-32.0156969050877,1.22452305981855e-15
"1700037C18Rik",18,0.638888888888889,2,0,0.000639528417303955,0.000361472583697047,0.63888888888665,998.999999999999,2.42948340996716,27,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.545454545454545,18,0.299560281858906,-164.239596761716,-167.767960826717,3.52836406500094,1
"1700037F03Rik",50,0.555,2.12,0.148571428571429,0.0077966815293768,0.00597745584941362,0.566037735428878,72.5998276697757,2.10525813320265,28,16.4592005440724,38.3459846742966,16.4592005440724,56.1406271257033,0.544808743169399,50,0.311201688294302,-237.846506212458,-237.307323041546,-0.539183170911429,0.299063304106286
"1700040D17Rik",12,0.347222222222222,2.16666666666667,0.151515151515151,0.000346500346500436,0.000654500654500566,0.346153846153935,998.999999999999,2.28738507619194,29,11.5217762325908,386.910809405886,11.5217762325908,987.478223767408,0.424924924924925,12,-0.621488376746285,-89.4927439547597,-89.3801579353446,-0.11258601941509,0.635127029646882
"1700081N11Rik",34,0.529411764705882,2.14705882352941,0.129233511586453,1.18892977835011,1.03650288368984,0.534246575342466,0.449350823800414,1.35520058980378,30,13.4019523196206,8.94537917771161,13.4019523196206,-12.9526014958202,0.543535620052771,34,0.295984827635078,-289.514440412273,-288.562514863875,-0.951925548398151,0.167647891493684
"1700084C06Rik",22,0.613636363636364,2.09090909090909,0.181818181818182,0.000587544065711634,0.000413456935289368,0.586956521645922,998.999999999999,2.29931144843383,31,20.5588218046777,392.827687781325,20.5588218046777,978.441178195321,0.538587848932677,22,0.249978253008351,-146.763841600251,-147.338348941922,0.574507341670682,1
"1700086O06Rik",19,0.701754385964912,2.15789473684211,0.140350877192982,1.27811687896641,0.528875949917168,0.707317073170719,0.553405627302813,1.41037369205145,32,12.3337134846163,8.28547932024354,12.3337134846163,-11.7803078573135,0.609831029185868,19,0.613531652917926,-153.81289540217,-153.98834715522,0.175451753049941,1
"1700087I21Rik",213,0.0933936955063716,2.31924882629108,0.435335282133048,91093.1174203573,908906.882579643,0.0910931174203573,1e-06,0.935330023335807,33,NA,1e-06,3.90947572660895,-3.90947472660895,0.103417665335109,213,-3.12538910084047,-715.919491363689,-328.788269601762,-387.131221761927,2.1280580311849e-170
"1700093J21Rik",12,0.541666666666667,2,0,0.000542208875540304,0.000458792125460698,0.541666666664763,998.999999999999,2.42333003949908,34,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.564625850340136,12,0.477321777533157,-86.059112414934,-85.5409898516601,-0.518122563273977,0.308696366978846
"1700096K18Rik",23,0.514492753623188,2.08695652173913,0.08300395256917,520833.333315989,479166.666684011,0.520833333315989,1e-06,0.550825235896633,35,NA,1e-06,21.1546714089642,-21.1546704089642,0.474206349206349,23,-0.0347654181606538,-102.412501570769,-102.577814273536,0.165312702767551,1
"1700109H08Rik",86,0.333333333333333,2.18604651162791,0.294391244870042,0.154381907302163,0.299114945397815,0.340425531914988,2.2050869681814,1.82554223975595,36,9.86286011277336,7.29494361915227,9.86286011277336,-7.65777314459196,0.397687280040221,86,-0.639410284743533,-497.08365635342,-485.167782414288,-11.9158739391322,1.05134043799087e-06
"1700109K24Rik",12,0.388888888888889,2.16666666666667,0.151515151515151,0.161130423899398,0.257808678239004,0.384615384615414,2.38698177108719,1.78677771321253,37,11.5217762325908,8.45016957212225,11.5217762325908,-9.13479446150363,0.5,12,0.11547721741993,-94.2903887954263,-97.918414852543,3.62802605711667,1
"1700110C19Rik",15,0.6,2,0,0.000600600600600505,0.000400400400400497,0.599999999999904,998.999999999999,2.8833853796928,38,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.567873303167421,15,0.324434950497925,-158.738955371409,-157.689240169605,-1.04971520180388,0.147354023126256
"1700113H08Rik",10,1,2.3,0.233333333333333,999999.999994832,5.16831022423503e-06,0.999999999994832,1e-06,3.39631814734566e-11,39,NA,1e-06,4.35694426909471,-4.35694326909471,1,10,Inf,-38.4993506595492,0,-38.4993506595492,1.71070412122252e-18
"1700120C14Rik",64,0.766927083333333,2.15625,0.197420634920635,0.814743484671979,0.236047177802164,0.775362318840578,0.951664337828666,1.56781980599773,40,12.490830627822,8.53958704305717,12.490830627822,-11.5391662899934,0.758619158619159,64,1.63662462054364,-317.971541621955,-262.659733849543,-55.311807772412,7.15422120080344e-26
"1700123M08Rik",49,0.671428571428571,2.20408163265306,0.332482993197279,0.072695806981376,0.0348541540759678,0.675925925650646,9.29800429650381,2.09340589514419,41,8.51807307662195,9.10797614704986,8.51807307662195,0.77993121988186,0.632347140039448,49,0.838410857725745,-251.585171734844,-242.362634263322,-9.22253747152206,1.74872189845969e-05
"1810024B03Rik",34,0.61764705882353,2,0,0.00061826532414745,0.000382735676853552,0.617647058823302,998.999999999999,2.15384044501213,42,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.608571428571429,34,0.705714660181792,-150.754082156424,-147.416162482282,-3.3379196741418,0.00977284798547129
"1810034E14Rik",21,0.694444444444444,2.19047619047619,0.261904761904762,0.245580296148581,0.107441379565004,0.695652173913043,2.83268725065858,1.88941363631242,43,9.5136921358291,7.30466002261747,9.5136921358291,-6.68100488517052,0.653558052434457,21,0.989804232894137,-130.736564774004,-123.66923285467,-7.06733191933465,0.000170178758076675
