"","AR","N","log2FC","llr","pval"
"1110002E22Rik",0.618181818181818,11,0.137503523749935,-13.1925827977084,2.79680236073776e-07
"1110059E24Rik",0.477272727272727,11,-0.263034405833793,-14.4382475234134,7.71433956438563e-08
"1600010M07Rik",0.586458333333333,16,-0.0331668639351994,-20.9566919993225,9.54073495721842e-11
"1600020E01Rik",0.0833333333333333,12,-1.85414913353654,-8.36337477696618,4.3168034470557e-05
"1700025G04Rik",0.487065637065637,74,-0.0925121387895381,1.56480014335453,1
"2210408F21Rik",0.519776781723684,113,0,0.998567732203952,1
"2310014F06Rik",0.4625,16,-0.814444346843923,-3.85040687769232,0.00551959354600375
"2310039L15Rik",0.630952380952381,14,0.308122295362332,-26.160737238477,4.71193541055815e-13
"2610035D17Rik",0.973684210526316,19,3.75488750216347,-3.48445012801773,0.00829384539217476
"2610037D02Rik",0.576,25,0.0901978089715785,-0.908460154706589,0.177680298483637
"2610307P16Rik",0.541560807134578,61,0.172467196004766,0.339237236385031,1
"2700097O09Rik",0.709821428571429,16,1.23132554610646,-10.3070783505204,5.61791539736841e-06
"2900026A02Rik",0.472222222222222,12,-0.0443941193584534,-14.7560523130963,5.5568566687147e-08
"3222401L13Rik",0.311111111111111,15,-0.434402824145775,-18.5533614876075,1.11837468519692e-09
"4632427E13Rik",0.468783068783069,63,0.150779952175609,3.10495391210063,1
"4732440D04Rik",0.380116514690983,94,-0.663436558744241,-2.59807178848988,0.0226370561597503
"4732471J01Rik",0.339473684210526,19,-1.08406426478847,-4.78778598792445,0.00197183410814323
"4930506C21Rik",0.444444444444444,12,-0.39231742277876,-15.9432739342463,1.63445173221968e-08
"4930512H18Rik",0.333333333333333,11,-0.214124805352848,-20.5736684850744,1.41175475076011e-10
"4930523C07Rik",0.45625,16,-0.375509135092206,-23.7537755544692,5.4792477883597e-12
"4933431K23Rik",0.34,20,-0.174029399775049,0.796739263834461,1
"5031425E22Rik",0.527092660425994,63,0.178597303456763,0.288857827826874,1
"5330438D12Rik",0.561728395061728,27,0.407175381505874,-0.606617613270345,0.270692338777929
"5430431A17Rik",0.576881720430108,31,0.614108846380673,-3.40854912824182,0.00902891546774697
"6720427I07Rik",0.458333333333333,12,-0.0406419844973458,-31.0847090869023,3.15144138005439e-15
"6820431F20Rik",0.705882352941176,17,1.03952836418664,-23.0840600559645,1.08528618717445e-11
"9330159M07Rik",0.0935028248587571,59,-3.49032562658308,-4.96766083916859,0.0016213709844595
"9530026P05Rik",0.563906774648962,128,0.459934037253167,0.678862639325132,1
"9630014M24Rik",0.454545454545455,22,0,0.528809326149698,1
"A330102I10Rik",0.25,14,-2.03562390973072,-2.8867698343767,0.0162692329735214
"AU040320",0.590909090909091,22,0.69389687227432,-22.493191736106,1.98409300769757e-11
"AW554918",0.361764705882353,34,-0.461580085215874,0.316448092595309,1
"Aak1",0.44962326702833,79,-0.210217707390346,1.23586744133351,1
"Aamdc",0.313333333333333,10,-1,-11.7294656398814,1.27608925344734e-06
"Abca1",0.586231884057971,23,0.134929580086109,-10.5335612261055,4.4347219616987e-06
"Abca5",0.4,10,-0.874469117916141,-11.3706384859475,1.85343553244049e-06
"Abca8a",0.643746617965368,32,0.941106310946431,-0.736165564202665,0.224978254037344
"Abca8b",0.541666666666667,12,0.584962500721156,-16.2302521746256,1.21639677312728e-08
"Abcb4",0.515151515151515,11,0.131244533278252,-14.6984923456398,5.8969323433056e-08
"Abcc1",0.361111111111111,15,-0.736965594166206,2.83246486631949,1
"Abcc4",0.75,16,1.67807190511264,-19.933519399262,2.71852300084996e-10
"Abcc5",0.448496240601504,57,-0.46948528330122,2.21840752234108,1
"Abcc9",0.45,10,-0.199308808223406,-14.641564142017,6.25378390160291e-08
"Abcd3",0.6520964360587,53,0.869213392464646,5.00126009540698,1
"Abcg2",0.506410256410256,13,0.129283016944966,-17.5148139922889,3.2472657803063e-09
"Abhd12",0.590909090909091,11,0.369233809665719,-20.7448040953478,1.18499163539261e-10
"Abhd17b",0.475,10,0.142019004872428,-12.9561192663399,3.57296683529143e-07
"Abhd18",0.526848985208118,57,0.129635280416596,-0.273599733070867,0.459464253898298
"Abhd2",0.166666666666667,12,-1.67807190511264,-14.0130826524765,1.196861730485e-07
"Abhd6",0.266666666666667,10,-1.37851162325373,-12.5777823524789,5.28868259707991e-07
"Abi1",0.618181818181818,55,0.702798991015014,1.54763134034728,1
"Abl2",0.294117647058823,17,-0.306661338234052,-13.7676759478506,1.54249156407869e-07
"Ablim1",0.463105400302835,226,-0.267104070142841,-1.18655399960551,0.123441072407032
"Ablim2",0.712121212121212,11,0.724365557386573,-14.3525065899055,8.42852612186736e-08
"Ablim3",0.41703431372549,68,-0.473931188332412,-1.03773886057701,0.149683067367901
"Abra",0.327450980392157,51,-1.05585323473352,-0.379735154930216,0.383494338658447
"Abtb2",0.587442396313364,62,0.538866086131702,0.337884799788284,1
"Acaca",0.555555555555556,15,-0.415037499278844,-17.0303928084719,5.34169962358074e-09
"Acacb",0.483324789245842,114,-0.0751874963942193,-1.97152411909386,0.0470654211408228
"Acad10",0.383333333333333,15,-0.285402218862248,-9.65789359629015,1.10786550671942e-05
"Acadl",0.42796234772979,43,-0.775784843056734,1.82396120254391,1
"Acadm",0.526262626262626,33,-0.0558532347335174,-0.370630797106465,0.389257044001513
"Acadsb",0.5,17,-0.370368449945115,-23.3457524057883,8.30884182981128e-12
"Acap2",0.424242424242424,11,0.0458036896131251,-16.7411955000119,7.19121183119361e-09
"Acat1",0.547549019607843,34,0.125530882083859,-11.1829867343222,2.25331054221869e-06
"Acbd6",0.314583333333333,16,-0.499571009490511,-13.8357633072794,1.43763283880424e-07
"Acer2",0.529761904761905,25,0.113656781795567,11.9473497220321,1
"Acer3",0.323529411764706,17,-0.321928094887362,-5.53724772941851,0.000875232315424789
"Acin1",0.383333333333333,10,-0.0759488532332981,-17.4808338861103,3.36260354519253e-09
"Ackr3",0.673809523809524,37,0.839535327806754,-0.246814900805461,0.482312585630286
"Aco2",0.534176297765278,79,-0.0582146139452956,-0.943592212349927,0.169519832714752
"Acot11",0.588888888888889,18,0.178337241258512,3.94398439768421,1
"Acot13",0.575925925925926,27,-0.142019004872428,1.86930508215494,1
"Acox1",0.599221611721612,52,0.371968777386958,21.4400334430014,1
"Acsl1",0.453869047619048,48,-0.165059246270496,-4.48850353011738,0.00273398102841448
"Acsm5",0.108796296296296,18,-2.58496250072116,-1.84091739120924,0.0550082859784512
"Acss1",0.616095666861823,79,0.492280498211304,-0.112280155080484,0.635586944973286
"Actc1",0.440062753783684,86,-0.314433558340438,-0.339814482423577,0.409714518009134
"Actc1dt",0.476543209876543,18,-0.241008099503795,-24.3575374656491,2.95982608762159e-12
"Actn1",0.573737373737374,15,0.20163386116965,-4.75715942389401,0.00203874766885567
"Actn2",0.482009762787416,160,-0.102615066482886,-0.703758113125218,0.235469151768138
"Actn4",0.401515151515151,22,-0.169925001442313,-12.1880231973805,7.92479661469712e-07
"Actr10",0.508333333333333,10,-0.39231742277876,-13.1574031942573,2.90056433851883e-07
"Actr2",0.495833333333333,20,0.173331602885562,-9.2486017656716,1.70153776339506e-05
"Actr3",0.54647266313933,27,0.192645077942396,2.53911328963746,1
"Actr3b",0.423076923076923,13,-0.454565863465481,-22.8351895820113,1.3992273341544e-11
