"","AR","N","log2FC","llr","pval"
"1110002E22Rik",0.618181818181818,11,0.137503523749935,-13.1925827977084,2.79680236073776e-07
"1110059E24Rik",0.477272727272727,11,-0.263034405833793,-14.4382475234134,7.71433956438563e-08
"1600010M07Rik",0.586458333333333,16,-0.0331668639351994,-20.9566919993225,9.54073495721842e-11
"1600020E01Rik",0.0833333333333333,12,-1.85414913353654,-8.36337477696618,4.3168034470557e-05
"1700025G04Rik",0.487065637065637,74,-0.0925121387895381,0.343211796286624,1
"2210408F21Rik",0.519776781723684,113,0,1.38386148496713,1
"2310014F06Rik",0.4625,16,-0.814444346843923,-20.524988627732,1.48385895484789e-10
"2310039L15Rik",0.630952380952381,14,0.308122295362332,-26.160737238477,4.71193541055815e-13
"2610035D17Rik",0.973684210526316,19,3.75488750216347,-3.37010267117973,0.00942637743045486
"2610037D02Rik",0.576,25,0.0901978089715785,-15.1353627634215,3.7575455025637e-08
"2610307P16Rik",0.541560807134578,61,0.172467196004766,0.232640180380827,1
"2700097O09Rik",0.709821428571429,16,1.23132554610646,-8.11042394774175,5.63703404692885e-05
"2900026A02Rik",0.472222222222222,12,-0.0443941193584534,-14.7560523130963,5.5568566687147e-08
"3222401L13Rik",0.311111111111111,15,-0.434402824145775,-3.7143964040442,0.00641883882024904
"4632427E13Rik",0.468783068783069,63,0.150779952175609,1.00305792919296,1
"4732440D04Rik",0.380116514690983,94,-0.663436558744241,-4.04182398518685,0.00446664418629669
"4732471J01Rik",0.339473684210526,19,-1.08406426478847,-8.69581348304552,3.04162933093632e-05
"4930506C21Rik",0.444444444444444,12,-0.39231742277876,-15.9432739342463,1.63445173221968e-08
"4930512H18Rik",0.333333333333333,11,-0.214124805352848,-20.5736684850744,1.41175475076011e-10
"4930523C07Rik",0.45625,16,-0.375509135092206,-23.7537755544692,5.4792477883597e-12
"4933431K23Rik",0.34,20,-0.174029399775049,-10.7706996596327,3.46272122078516e-06
"5031425E22Rik",0.527092660425994,63,0.178597303456763,-0.509531063890833,0.31274157840194
"5330438D12Rik",0.561728395061728,27,0.407175381505874,-1.53682662819782,0.079570471651097
"5430431A17Rik",0.576881720430108,31,0.614108846380673,-2.65172449564023,0.0212832412244169
"6720427I07Rik",0.458333333333333,12,-0.0406419844973458,-31.0847090869023,3.15144138005439e-15
"6820431F20Rik",0.705882352941176,17,1.03952836418664,-10.5477591265264,4.36948875143205e-06
"9330159M07Rik",0.0935028248587571,59,-3.49032562658308,-4.59833985320294,0.00242454504620434
"9530026P05Rik",0.563906774648962,128,0.459934037253167,0.55606921384549,1
"9630014M24Rik",0.454545454545455,22,0,3.4759622705461,1
"A330102I10Rik",0.25,14,-2.03562390973072,-12.5168007049393,5.6339874831336e-07
"AU040320",0.590909090909091,22,0.69389687227432,-16.1210717552659,1.36106317959742e-08
"AW554918",0.361764705882353,34,-0.461580085215874,0.129616439238418,1
"Aak1",0.44962326702833,79,-0.210217707390346,1.12183361001223,1
"Aamdc",0.313333333333333,10,-1,-11.7294656398814,1.27608925344734e-06
"Abca1",0.586231884057971,23,0.134929580086109,-9.29527016297293,1.62022548745838e-05
"Abca5",0.4,10,-0.874469117916141,-11.3706384859475,1.85343553244049e-06
"Abca8a",0.643746617965368,32,0.941106310946431,-1.37232378566362,0.0975805898120238
"Abca8b",0.541666666666667,12,0.584962500721156,-1.60393677553394,0.0732846693094199
"Abcb4",0.515151515151515,11,0.131244533278252,-14.6984923456398,5.8969323433056e-08
"Abcc1",0.361111111111111,15,-0.736965594166206,-17.368757385965,3.77290595321446e-09
"Abcc4",0.75,16,1.67807190511264,-6.17780018298746,0.00043966558006597
"Abcc5",0.448496240601504,57,-0.46948528330122,1.80434783007144,1
"Abcc9",0.45,10,-0.199308808223406,-14.641564142017,6.25378390160291e-08
"Abcd3",0.6520964360587,53,0.869213392464646,1.5717203502109,1
"Abcg2",0.506410256410256,13,0.129283016944966,-0.760613880555024,0.217433790905428
"Abhd12",0.590909090909091,11,0.369233809665719,-20.7448040953478,1.18499163539261e-10
"Abhd17b",0.475,10,0.142019004872428,-12.9561192663399,3.57296683529143e-07
"Abhd18",0.526848985208118,57,0.129635280416596,1.36404791075176,1
"Abhd2",0.166666666666667,12,-1.67807190511264,-3.11419873119083,0.0125717459591084
"Abhd6",0.266666666666667,10,-1.37851162325373,-12.5777823524789,5.28868259707991e-07
"Abi1",0.618181818181818,55,0.702798991015014,0.0483959679971377,1
"Abl2",0.294117647058823,17,-0.306661338234052,-25.6585992494615,7.85841461453056e-13
"Ablim1",0.463105400302835,226,-0.267104070142841,-1.02349381049322,0.152507683099041
"Ablim2",0.712121212121212,11,0.724365557386573,-14.3525065899055,8.42852612186736e-08
"Ablim3",0.41703431372549,68,-0.473931188332412,-1.05964208914742,0.145454512878421
"Abra",0.327450980392157,51,-1.05585323473352,-0.389848822942028,0.377233626367723
"Abtb2",0.587442396313364,62,0.538866086131702,-1.20036493545562,0.121278654471997
"Acaca",0.555555555555556,15,-0.415037499278844,-17.0303928084719,5.34169962358074e-09
"Acacb",0.483324789245842,114,-0.0751874963942193,-1.77826636061215,0.0593115079117354
"Acad10",0.383333333333333,15,-0.285402218862248,-9.76788555325418,9.87333996010651e-06
"Acadl",0.42796234772979,43,-0.775784843056734,1.13346381327064,1
"Acadm",0.526262626262626,33,-0.0558532347335174,-0.425027557349111,0.356536746555932
"Acadsb",0.5,17,-0.370368449945115,-5.62769313920933,0.000793922988017614
"Acap2",0.424242424242424,11,0.0458036896131251,-16.7411955000119,7.19121183119361e-09
"Acat1",0.547549019607843,34,0.125530882083859,-1.6927898597346,0.0657690464155568
"Acbd6",0.314583333333333,16,-0.499571009490511,-7.71417343422365,8.5693162132535e-05
"Acer2",0.529761904761905,25,0.113656781795567,-0.702571349732871,0.235864409344009
"Acer3",0.323529411764706,17,-0.321928094887362,-12.8028024453352,4.18821093515289e-07
"Acin1",0.383333333333333,10,-0.0759488532332981,-17.4808338861103,3.36260354519253e-09
"Ackr3",0.673809523809524,37,0.839535327806754,-1.69848805486161,0.0653160548325006
"Aco2",0.534176297765278,79,-0.0582146139452956,-1.55778819599277,0.0775470377024363
"Acot11",0.588888888888889,18,0.178337241258512,12.1487565968156,1
"Acot13",0.575925925925926,27,-0.142019004872428,0.908858553019591,1
"Acox1",0.599221611721612,52,0.371968777386958,1.96223327450438,1
"Acsl1",0.453869047619048,48,-0.165059246270496,-2.54803336461242,0.0239801608589873
"Acsm5",0.108796296296296,18,-2.58496250072116,-4.60596693944467,0.00240442566267957
"Acss1",0.616095666861823,79,0.492280498211304,-1.92571529995722,0.0497035790520309
"Actc1",0.440062753783684,86,-0.314433558340438,-0.74011317899388,0.223739109855534
"Actc1dt",0.476543209876543,18,-0.241008099503795,-8.94164599509108,2.34874111640169e-05
"Actn1",0.573737373737374,15,0.20163386116965,-20.2702859546357,1.92575509918903e-10
"Actn2",0.482009762787416,160,-0.102615066482886,-0.662293018008995,0.249770656174499
"Actn4",0.401515151515151,22,-0.169925001442313,-17.4654915985034,3.41601516829884e-09
"Actr10",0.508333333333333,10,-0.39231742277876,-13.1574031942573,2.90056433851883e-07
"Actr2",0.495833333333333,20,0.173331602885562,-10.4357571023967,4.91144508980131e-06
"Actr3",0.54647266313933,27,0.192645077942396,2.78671207165031,1
