"","AR","N","log2FC","llr","pval"
"1110019D14Rik",0.4,10,0.222392421336448,-14.8247484817449,5.17660616741195e-08
"1600010M07Rik",0.422101449275362,23,-0.408084738637077,3.04398804806842,1
"1600020E01Rik",0.32051282051282,13,-1.55639334852439,-19.0790530813022,6.52381552186365e-10
"1700025G04Rik",0.468433179723502,62,0.0238467419543678,1.20117920507793,1
"2210408F21Rik",0.532203673519463,95,0.0887042252714804,-2.99656400977628,0.0143617130749805
"2210408I21Rik",0.591666666666667,10,0.206450877467427,-13.2432312609605,2.65391426944507e-07
"2310014F06Rik",0.558823529411765,17,0.0801703486839833,-18.9198120784945,7.68057957429508e-10
"2610035D17Rik",0.904166666666667,16,2.69187770463767,-3.68410099716253,0.00663872796928707
"2610037D02Rik",0.432323232323232,33,-0.643856189774725,4.87879059518167,1
"2610307P16Rik",0.397968336640212,96,-0.644586483407575,-2.79500451774692,0.0180632029928418
"2700049A03Rik",0.606060606060606,11,0.807354922057605,-13.0383427903221,3.2812225876152e-07
"2700097O09Rik",0.616666666666667,10,0.427421223734676,-10.9730313428159,2.8042162302365e-06
"2900026A02Rik",0.564705882352941,17,0.495957494662411,-21.6387377562464,4.75020396623511e-11
"3110056K07Rik",0.426190476190476,14,-0.394278939112046,-18.5825893721834,1.08534630873418e-09
"3110082I17Rik",0.416666666666667,14,-0.347923303420307,-17.6453309330708,2.8399045972396e-09
"3222401L13Rik",0.453508771929825,19,-0.33014860169233,-12.735744494738,4.48968874751726e-07
"4632427E13Rik",0.53459595959596,66,0.0703893278913981,0.451815418535844,1
"4732440D04Rik",0.343241695303551,97,-0.808737476107723,0.806014768956317,1
"4732471J01Rik",0.541666666666667,16,-0.306661338234052,-20.4732854335913,1.56448277469428e-10
"4833420G17Rik",0.818181818181818,11,2.53051471669878,-10.444565861898,4.86647919553603e-06
"4930506C21Rik",0.465277777777778,12,-0.163498732282879,-14.6340074773305,6.30275152477073e-08
"4930523C07Rik",0.416,25,-0.509013647487858,-6.61285476884073,0.000276135171893416
"4933431K23Rik",0.357142857142857,14,-0.343954401217362,-14.8958680172696,4.81038099924656e-08
"5031425E22Rik",0.474422077922078,100,0.00757321970480085,0.883298907014989,1
"5330438D12Rik",0.584285714285714,25,0.21864028647534,-13.1464217691684,2.93373763667848e-07
"5430431A17Rik",0.536904761904762,14,-0.367731784500487,-6.015851844917,0.000523032479338555
"6720427I07Rik",0.522222222222222,15,0.42449782852791,-9.09799359527764,1.99298306530522e-05
"6820431F20Rik",0.761363636363636,22,1.35548065459839,-9.42952564908245,1.4074167063013e-05
"9330159M07Rik",0.0695833333333333,40,-3.69116190455308,-0.747619764883833,0.221405293397744
"9530026P05Rik",0.503507589019249,169,0.0190667318026888,0.0929915010206628,1
"9630014M24Rik",0.708333333333333,12,0.146841388329271,-10.0137139653275,7.63393046177551e-06
"A930015D03Rik",0.590909090909091,11,0.888968687611256,-18.9276853628469,7.61883497861101e-10
"AU040320",0.604166666666667,24,0.584962500721156,-11.7476576159038,1.25218300176588e-06
"AW554918",0.398095238095238,70,-0.487265826834023,4.51751833178243,1
"Aak1",0.464734950584007,106,-0.0688950812110674,-0.501519543084669,0.316576253711889
"Aatf",0.769230769230769,13,0.704544116473829,-12.3258427178629,6.86846579384454e-07
"Abca1",0.468798003072197,62,-0.356934544715276,0.616964555698829,1
"Abca6",0.646153846153846,13,0.485426827170242,-18.1058474716376,1.77005138793719e-09
"Abca8a",0.651978375891419,69,0.753562104696901,-2.25109822288645,0.0338513454083906
"Abca8b",0.458121693121693,30,0.233199176293031,0.664783303214904,1
"Abca9",0.777173913043478,23,1.04580368961312,0.0420828142416596,1
"Abcc1",0.586206896551724,29,0.299560281858908,-3.73704855416867,0.00625929469798767
"Abcc4",0.563492063492063,21,0.295455883526171,2.24444847411508,1
"Abcc5",0.521264367816092,58,-0.0733731863302194,0.757765864448231,1
"Abcc9",0.483333333333333,16,-0.505235308250422,-6.08376107990816,0.000486288638722865
"Abcd3",0.549259259259259,45,0.42349907802704,0.611518461017042,1
"Abce1",0.333333333333333,10,-0.389946518316013,-18.0996814362164,1.78128782559656e-09
"Abcg2",0.571969696969697,22,0.440572591385981,0.468005916589487,1
"Abhd17b",0.40625,32,-0.439285045525521,15.0336073713438,1
"Abhd18",0.423346560846561,42,-0.364274385596957,0.785913124312991,1
"Abhd2",0.589285714285714,14,0.0641303374197157,-19.9365409468313,2.71012506362486e-10
"Abhd6",0.385416666666667,16,-0.910732661902913,-7.1487353148434,0.000156074455284154
"Abi1",0.691394980782226,137,1.29879159608943,-1.85163191232064,0.054306141570627
"Abi2",0.464285714285714,14,-0.447458976971221,-0.145417320369127,0.589686168720184
"Abi3bp",0.478869047619048,20,-0.0655883416275769,-10.674296994658,3.82901470292448e-06
"Abl2",0.583333333333333,24,0.161751069996612,35.3381956851303,1
"Ablim1",0.485090280792373,251,-0.194525627903504,-3.10003082195755,0.0127745863612026
"Ablim2",0.470695970695971,13,0.106915203916512,-17.4789029125583,3.36927963224518e-09
"Ablim3",0.611111111111111,24,0.477321777533187,1.00564290130514,1
"Abr",0.6,13,0.111031312388744,-19.7109404590532,3.414493472801e-10
"Abra",0.419941558441558,50,-0.379493382421177,0.320407878898791,1
"Abtb2",0.529324494949495,72,0.193879733594035,-2.81905405906464,0.0175741608905509
"Acaca",0.545138888888889,24,-0.117356950638158,-0.53876625551348,0.299250206591903
"Acacb",0.465482938114517,95,-0.0964628395012912,-0.808708144383388,0.20345242588611
"Acad10",0.384615384615385,13,-0.772589503896928,-24.8315437584532,1.8254829241939e-12
"Acadl",0.510204081632653,49,-0.203091865377512,2.15746202543258,1
"Acadm",0.550574712643678,29,0.473931188332412,6.2871183875908,1
"Acadsb",0.516666666666667,20,-0.438884241233212,-17.7669532962242,2.50649345952961e-09
"Acap2",0.4140625,32,-0.135655099357566,14.6310052536435,1
"Acat1",0.51360153256705,29,0.0204641025597154,-1.3541398251138,0.0998285956042494
"Acbd3",0.595238095238095,14,0.384663850235325,-18.6402539669651,1.02302015373722e-09
"Acbd5",0.450980392156863,17,-0.569365645670138,-13.7925266378493,1.5033599835924e-07
"Acbd6",0.414393939393939,22,-0.649092838140872,-8.84145166390407,2.60961626460536e-05
"Acer2",0.544450844854071,124,0.232780190131201,-0.260858466892785,0.470110204474709
"Acer3",0.598648648648649,37,0.420575682820274,-1.48723478409847,0.0845878512703175
"Acin1",0.731884057971015,23,0.659924558402378,-12.6043547472864,5.1449329703089e-07
"Ackr3",0.583399470899471,72,0.686500527183219,1.53691298850926,1
"Aco2",0.502944559466299,69,0.0951572330403403,-0.286336837947431,0.449198420618959
"Acot11",0.446969696969697,11,-0.46394709975979,-14.3687221819964,8.2885542126043e-08
"Acot13",0.427777777777778,15,-0.140862535839849,-20.4185946924419,1.65454304628861e-10
"Acox1",0.528465608465609,45,0.188761643455168,2.51190030484484,1
"Acsl1",0.412254901960784,34,-0.35267161831847,0.113576658098324,1
"Acss1",0.595847388542194,77,0.477773254626807,-1.43243151919269,0.0905334159751336
"Actb",0.633333333333333,10,0,-15.024084571305,4.214462488325e-08
"Actc1",0.459159211159211,75,-0.239187663879426,0.11341715432205,1
"Actc1dt",0.428,25,-0.369233809665719,-0.519666194926813,0.30797679119954
"Actn1",0.568198215925489,66,0.256098358623417,-1.38483627281055,0.0960658116923982
"Actn2",0.510304957163838,120,0.0619277491432018,-0.453148274585089,0.341098966504019
"Actn4",0.32,25,-0.133266530863464,-3.2802267390721,0.0104269791367644
"Actr10",0.507894736842105,19,-0.178337241258512,3.72948502736136,1
"Actr1a",0.602941176470588,17,0.459431618637297,-5.68274615939313,0.000748212420465991
"Actr2",0.5421875,32,0.178337241258512,15.7537827093994,1
"Actr3",0.592460317460317,42,0.41046476948902,0.477599894196736,1
"Actr3b",0.363636363636364,11,-0.906890595608518,-18.1769824593856,1.64544131464523e-09
"Acvr1",0.542676767676768,66,0.256908303036953,2.48396368095858,1
"Acvr2a",0.549242424242424,22,0.304854581528421,-14.3578061537588,8.38252201799296e-08
"Acyp2",0.412724296123365,172,-0.407532329621974,-0.0891448254676561,0.672847226272993
"Adam10",0.480606060606061,55,-0.123382415505282,0.94290065174367,1
"Adam12",0.624242424242424,11,0.137503523749935,-13.8238446705436,1.45545822068884e-07
"Adam15",0.636904761904762,14,0.618909832644494,-16.8636580267413,6.34040833970411e-09
"Adam17",0.617283950617284,27,0.275634442613427,7.59964851499934,1
"Adam19",0.365740740740741,36,-0.716207033999409,8.14805233406096,1
"Adam22",0.65,20,1.35908109330483,-8.61810635867923,3.30084201650995e-05
"Adam9",0.302083333333333,16,-0.335603031784439,-12.5836676543923,5.25650139903296e-07
"Adamts1",0.657051282051282,39,0.935294310612185,26.1439744931622,1
"Adamts10",0.681818181818182,11,0.598637437618232,-25.8526732202048,6.44869063218627e-13
"Adamts12",0.284848484848485,22,-1.44360665147561,1.17181798471047,1
"Adamts2",0.486111111111111,18,0.0365258760251139,-0.348014039497489,0.404121544427897
"Adamts3",0.433333333333333,10,0.321928094887363,-12.3146397905629,6.9487881888354e-07
"Adamts5",0.564761904761905,25,0.681824039973745,-10.3399245915128,5.42842855660094e-06
"Adamts6",0.493589743589744,26,-0.252766070379967,2.14165840357483,1
"Adamts9",0.554438656082306,89,0.15200309344505,-3.96531288617683,0.00486049843583475
"Adamtsl1",0.5625,16,0.169925001442313,-7.64593249614457,9.21123432385346e-05
"Adamtsl3",0.502891156462585,28,0.338168735894573,-0.74920906731036,0.220914918246788
"Adamtsl4",0.625,10,1,-15.0687965703819,4.02453630036056e-08
"Adamtsl5",0.371491228070175,38,-0.509674373416919,-5.11648820178865,0.00137951874744358
"Adarb1",0.477333333333333,50,-0.0146467759644013,4.40558601609147,1
"Adck1",0.649074074074074,18,0.746243407754217,-6.77033938353389,0.000233447950684555
"Adcy4",0.376666666666667,10,-0.415037499278844,-13.9208864754174,1.31652689224215e-07
"Adcy5",0.348484848484848,11,-0.454565863465481,-16.8500686734223,6.42961479538765e-09
"Adcy6",0.435353535353535,33,-0.31748218985617,-1.60431433245783,0.0732508530588656
"Adcy9",0.599603174603175,42,0.506959988719883,-0.999611606855709,0.157379842990924
"Add1",0.428571428571429,21,-0.283792966000591,-9.00895800340004,2.18835719452954e-05
"Adgra2",0.657575757575758,22,0.630050390249694,-6.40748468782257,0.000343857037054989
"Adgra3",0.333333333333333,15,-0.236067358233524,-14.3244710268161,8.67613793170294e-08
"Adgrd1",0.590977443609023,19,0.166009951438929,-9.89501794882154,8.64320809769225e-06
"Adgrf5",0.570857856251115,89,0.286470961070461,-2.60805737036719,0.0223784957164402
"Adgrg6",0.364035087719298,38,-0.643856189774725,15.2063457384649,1
"Adgrl2",0.53425407199917,90,0.285402218862248,-0.87231905386075,0.186552219278709
"Adgrl3",0.303030303030303,11,-0.362570079384708,-14.6888223360552,5.95607686518463e-08
"Adgrl4",0.564992424242424,100,0.35267161831847,0.966323729019081,1
"Adh6b",0.895833333333333,16,2.51096191927738,-3.47182026483337,0.00841177407620754
"Adhfe1",0.652777777777778,12,0.526068811667588,-13.5342243402633,1.96377082440004e-07
"Adipor2",0.611111111111111,33,0.399930606888635,-3.1050188158268,0.0127027929541102
"Adk",0.488173436442453,172,-0.094710862293427,-2.18636316762348,0.0365185194415259
"Adprhl1",0.510340802987862,51,0.100526875953964,-0.241275881609653,0.48726874067162
"Adra1a",0.390460234210234,64,-0.644283591656354,0.260141451687531,1
"Adss2",0.53422619047619,24,0.392317422778761,-0.364243350008369,0.393374148106813
"Aebp2",0.412457912457912,33,-0.584962500721156,1.72328967010218,1
"Afap1",0.4375,16,-0.389042290745899,-25.2666584294719,1.17158895061388e-12
"Afap1l1",0.675987841945289,47,0.830074998557687,-2.82257758380381,0.0175036671423223
"Afdn",0.429487179487179,13,0.208586621811417,-18.2116706333836,1.58790183781797e-09
"Aff1",0.483956457540886,129,-0.294183104404458,1.06996981542133,1
"Aff4",0.519871794871795,26,0.247927513443586,-0.446462498777123,0.34468589034205
"Afg1l",0.446865079365079,60,-0.498602215917975,-0.0813478837672506,0.686686619742996
"Afg2a",0.536929057337221,49,0.0857298740258841,4.01451600718583,1
"Afg3l1",0.525641025641026,13,-0.356143810225275,-17.6879416391104,2.71831987668663e-09
"Afg3l2",0.469503546099291,47,-0.250808103500535,-1.56176067213909,0.0771698525490815
"Aftph",0.589068100358423,31,0.304854581528421,2.48203887049674,1
"Agap1",0.507651410078595,103,0.0790715709911988,-3.29545409963393,0.0102500867501103
"Agfg1",0.430555555555556,42,-0.375509135092206,-2.50547572172466,0.0251874606930573
"Agl",0.525696316262354,53,0.129283016944966,1.04430295884816,1
"Agmo",0.749612403100775,43,1.68038206579984,-0.515884031040862,0.30974376223108
"Ago2",0.484848484848485,22,0.0242475462466771,-8.98318188233618,2.24843113923922e-05
"Ago3",0.532769423558897,76,0.226770861847022,-0.627426056790853,0.262627769325994
"Agpat4",0.622549019607843,17,0.554588851677638,-5.90416668624662,0.000589661932676334
"Agps",0.366111111111111,30,-0.524661990453342,-7.31118904772936,0.000131345577609719
"Agrn",0.37962962962963,18,-0.495957494662411,-8.72269731654282,2.95679748934375e-05
"Agtpbp1",0.621354166666667,64,0.873169977764517,1.5956888228725,1
"Agtr1a",0.772727272727273,11,0.807354922057604,-11.3492302967736,1.89519638309487e-06
"Ahcyl2",0.450549450549451,13,0.0780025120012731,-17.359747540024,3.80799058420412e-09
"Ahnak",0.508872707659115,103,0.166510337029548,-2.566131088936,0.0234850996377259
"Ahsa2",0.340909090909091,11,-0.479167836698559,-16.8883711331949,6.18134533405457e-09
"Ahsg",0.65063025210084,34,0.736965594166206,-0.651982902915059,0.253490092265074
"Aig1",0.512934724451578,89,0.0974658094356174,0.783182031043935,1
"Airn",0.54102185618847,258,0.163046193056807,-149.523421814739,5.31414161171227e-67
"Ak3",0.470238095238095,14,0.180572245641821,-16.1185668652153,1.36457704556556e-08
"Akap10",0.457516339869281,51,-0.337695410745679,1.65152671978653,1
"Akap11",0.505555555555556,15,0.0874628412503395,-6.09733625288275,0.000479261888777576
"Akap12",0.5,10,-0.222392421336448,-8.53875801783731,3.58846365621759e-05
"Akap13",0.515178571428571,148,0.0290485325104984,-2.38485195920825,0.0289648066048183
"Akap6",0.481215754436198,123,-0.0945833686569227,-3.37128510609878,0.00941389011934515
"Akap9",0.584615384615385,13,0.109624491174498,-16.3644577150516,1.05949335278706e-08
