"","AR","N","log2FC","llr","pval"
"1110019D14Rik",0.4,10,0.222392421336448,-14.8247484817449,5.17660616741195e-08
"1600010M07Rik",0.422101449275362,23,-0.408084738637077,3.88957772105044,1
"1600020E01Rik",0.32051282051282,13,-1.55639334852439,-19.0790530813022,6.52381552186365e-10
"1700025G04Rik",0.468433179723502,62,0.0238467419543678,1.36051493322735,1
"2210408F21Rik",0.532203673519463,95,0.0887042252714804,-2.89480391494118,0.0161211851258836
"2210408I21Rik",0.591666666666667,10,0.206450877467427,-13.2432312609605,2.65391426944507e-07
"2310014F06Rik",0.558823529411765,17,0.0801703486839833,-18.9198120784945,7.68057957429508e-10
"2610035D17Rik",0.904166666666667,16,2.69187770463767,-11.5105917002014,1.60226156241522e-06
"2610037D02Rik",0.432323232323232,33,-0.643856189774725,8.70395896598946,1
"2610307P16Rik",0.397968336640212,96,-0.644586483407575,-1.81981801304505,0.0564192671401706
"2700049A03Rik",0.606060606060606,11,0.807354922057605,-13.0383427903221,3.2812225876152e-07
"2700097O09Rik",0.616666666666667,10,0.427421223734676,-10.9730313428159,2.8042162302365e-06
"2900026A02Rik",0.564705882352941,17,0.495957494662411,-21.6387377562464,4.75020396623511e-11
"3110056K07Rik",0.426190476190476,14,-0.394278939112046,-18.5825893721834,1.08534630873418e-09
"3110082I17Rik",0.416666666666667,14,-0.347923303420307,-17.6453309330708,2.8399045972396e-09
"3222401L13Rik",0.453508771929825,19,-0.33014860169233,-18.875613589784,8.03661462097648e-10
"4632427E13Rik",0.53459595959596,66,0.0703893278913981,-0.0761934066492387,0.696264789814527
"4732440D04Rik",0.343241695303551,97,-0.808737476107723,-1.04889672263937,0.147511883768156
"4732471J01Rik",0.541666666666667,16,-0.306661338234052,-1.79230220500057,0.0583173000213948
"4833420G17Rik",0.818181818181818,11,2.53051471669878,-10.444565861898,4.86647919553603e-06
"4930506C21Rik",0.465277777777778,12,-0.163498732282879,-14.6340074773305,6.30275152477073e-08
"4930523C07Rik",0.416,25,-0.509013647487858,-11.2078965382022,2.19561150983931e-06
"4933431K23Rik",0.357142857142857,14,-0.343954401217362,-14.8958680172696,4.81038099924656e-08
"5031425E22Rik",0.474422077922078,100,0.00757321970480085,0.31053052339206,1
"5330438D12Rik",0.584285714285714,25,0.21864028647534,-11.6211111100914,1.42826898314342e-06
"5430431A17Rik",0.536904761904762,14,-0.367731784500487,-5.06183455999964,0.00146377314728824
