"","AR","N","log2FC","llr_var","pval_var"
"1110019D14Rik",0.4,10,0.222392421336448,-11859.0552244993,0
"1600010M07Rik",0.422101449275362,23,-0.408084738637077,6558.73281904319,1
"1600020E01Rik",0.32051282051282,13,-1.55639334852439,-5624.40506481589,0
"1700025G04Rik",0.468433179723502,62,0.0238467419543678,5475.11035432649,1
"2210408F21Rik",0.532203673519463,95,0.0887042252714804,5595.96185392845,1
"2210408I21Rik",0.591666666666667,10,0.206450877467427,-5099.10350528495,0
"2310014F06Rik",0.558823529411765,17,0.0801703486839833,-6785.87751069623,0
"2610035D17Rik",0.904166666666667,16,2.69187770463767,-6567.14274669665,0
"2610037D02Rik",0.432323232323232,33,-0.643856189774725,8143.18768808766,1
"2610307P16Rik",0.397968336640212,96,-0.644586483407575,5538.23318339192,1
"2700049A03Rik",0.606060606060606,11,0.807354922057605,-4646.64662787854,0
"2700097O09Rik",0.616666666666667,10,0.427421223734676,-7261.36085194866,0
"2900026A02Rik",0.564705882352941,17,0.495957494662411,-5263.15911704707,0
"3110056K07Rik",0.426190476190476,14,-0.394278939112046,-10862.4054903125,0
"3110082I17Rik",0.416666666666667,14,-0.347923303420307,-9166.53703144414,0
"3222401L13Rik",0.453508771929825,19,-0.33014860169233,-1387.08276810712,0
"4632427E13Rik",0.53459595959596,66,0.0703893278913981,5392.32269641168,1
"4732440D04Rik",0.343241695303551,97,-0.808737476107723,5357.85078566492,1
"4732471J01Rik",0.541666666666667,16,-0.306661338234052,-3253.10394478253,0
"4833420G17Rik",0.818181818181818,11,2.53051471669878,-4352.16446273024,0
"4930506C21Rik",0.465277777777778,12,-0.163498732282879,-5075.45791915569,0
"4930523C07Rik",0.416,25,-0.509013647487858,212.190506485377,1
"4933431K23Rik",0.357142857142857,14,-0.343954401217362,-5926.8694322848,0
"5031425E22Rik",0.474422077922078,100,0.00757321970480085,5311.07102666771,1
"5330438D12Rik",0.584285714285714,25,0.21864028647534,-46.8427998384877,3.69841922094592e-22
"5430431A17Rik",0.536904761904762,14,-0.367731784500487,55.5767373740573,1
"6720427I07Rik",0.522222222222222,15,0.42449782852791,-5365.52457787436,0
"6820431F20Rik",0.761363636363636,22,1.35548065459839,3947.81614098074,1
"9330159M07Rik",0.0695833333333333,40,-3.69116190455308,5356.46666487297,1
"9530026P05Rik",0.503507589019249,169,0.0190667318026888,6449.08610977828,1
"9630014M24Rik",0.708333333333333,12,0.146841388329271,-4546.17178093074,0
"A930015D03Rik",0.590909090909091,11,0.888968687611256,-4473.36069109323,0
"AU040320",0.604166666666667,24,0.584962500721156,4406.13158458534,1
"AW554918",0.398095238095238,70,-0.487265826834023,6128.43705956479,1
"Aak1",0.464734950584007,106,-0.0688950812110674,5213.83829524404,1
"Aatf",0.769230769230769,13,0.704544116473829,-6130.30916004578,0
"Abca1",0.468798003072197,62,-0.356934544715276,5459.29218912617,1
"Abca6",0.646153846153846,13,0.485426827170242,250.636079180715,1
"Abca8a",0.651978375891419,69,0.753562104696901,6232.2714407653,1
"Abca8b",0.458121693121693,30,0.233199176293031,-114.5010280644,9.8396469380848e-52
"Abca9",0.777173913043478,23,1.04580368961312,-19.4292439972132,4.55668263854843e-10
"Abcc1",0.586206896551724,29,0.299560281858908,5435.65392855607,1
"Abcc4",0.563492063492063,21,0.295455883526171,1103.26802744159,1
"Abcc5",0.521264367816092,58,-0.0733731863302194,5419.25713479554,1
"Abcc9",0.483333333333333,16,-0.505235308250422,-667.600288763551,2.53349831702075e-292
"Abcd3",0.549259259259259,45,0.42349907802704,5228.37262243778,1
"Abce1",0.333333333333333,10,-0.389946518316013,-6486.85869749397,0
"Abcg2",0.571969696969697,22,0.440572591385981,1206.46513348508,1
"Abhd17b",0.40625,32,-0.439285045525521,7387.47968169079,1
"Abhd18",0.423346560846561,42,-0.364274385596957,5654.48880924218,1
"Abhd2",0.589285714285714,14,0.0641303374197157,-5411.90753502983,0
"Abhd6",0.385416666666667,16,-0.910732661902913,-4869.27754832499,0
"Abi1",0.691394980782226,137,1.29879159608943,5661.72465480212,1
"Abi2",0.464285714285714,14,-0.447458976971221,104.789143294893,1
"Abi3bp",0.478869047619048,20,-0.0655883416275769,5939.67451969849,1
"Abl2",0.583333333333333,24,0.161751069996612,5617.36822240105,1
"Ablim1",0.485090280792373,251,-0.194525627903504,7437.16616093626,1
"Ablim2",0.470695970695971,13,0.106915203916512,9.33373252105321,1
"Ablim3",0.611111111111111,24,0.477321777533187,5648.52790101004,1
"Abr",0.6,13,0.111031312388744,-5557.03532735551,0
"Abra",0.419941558441558,50,-0.379493382421177,6026.94644875612,1
"Abtb2",0.529324494949495,72,0.193879733594035,5494.40640703837,1
"Acaca",0.545138888888889,24,-0.117356950638158,5936.48603261117,1
"Acacb",0.465482938114517,95,-0.0964628395012912,5565.69174297156,1
"Acad10",0.384615384615385,13,-0.772589503896928,-6547.67655568041,0
"Acadl",0.510204081632653,49,-0.203091865377512,6206.17752359298,1
"Acadm",0.550574712643678,29,0.473931188332412,5983.06027889158,1
"Acadsb",0.516666666666667,20,-0.438884241233212,-2615.1922355642,0
"Acap2",0.4140625,32,-0.135655099357566,5583.07887201534,1
"Acat1",0.51360153256705,29,0.0204641025597154,-28.864065574171,3.00967604471046e-14
"Acbd3",0.595238095238095,14,0.384663850235325,-301.956500003116,2.35882088759e-133
"Acbd5",0.450980392156863,17,-0.569365645670138,577.000802710406,1
"Acbd6",0.414393939393939,22,-0.649092838140872,12139.6809389119,1
"Acer2",0.544450844854071,124,0.232780190131201,5992.72461000436,1
"Acer3",0.598648648648649,37,0.420575682820274,5612.16851792864,1
"Acin1",0.731884057971015,23,0.659924558402378,-62.4433135729014,5.38871328744309e-29
"Ackr3",0.583399470899471,72,0.686500527183219,5724.01642780934,1
"Aco2",0.502944559466299,69,0.0951572330403403,5363.93891222222,1
"Acot11",0.446969696969697,11,-0.46394709975979,-7022.40287292491,0
"Acot13",0.427777777777778,15,-0.140862535839849,-205.651718759524,1.90722831199165e-91
"Acox1",0.528465608465609,45,0.188761643455168,5430.46632003731,1
"Acsl1",0.412254901960784,34,-0.35267161831847,5224.08716981301,1
"Acss1",0.595847388542194,77,0.477773254626807,5757.64490218504,1
"Actb",0.633333333333333,10,0,-4214.82960138674,0
"Actc1",0.459159211159211,75,-0.239187663879426,5803.92245622866,1
"Actc1dt",0.428,25,-0.369233809665719,5712.81665260124,1
"Actn1",0.568198215925489,66,0.256098358623417,5431.20852781465,1
"Actn2",0.510304957163838,120,0.0619277491432018,7805.81904248557,1
"Actn4",0.32,25,-0.133266530863464,5200.59553146744,1
"Actr10",0.507894736842105,19,-0.178337241258512,731.75474774395,1
"Actr1a",0.602941176470588,17,0.459431618637297,-465.145278935748,2.55350810283892e-204
"Actr2",0.5421875,32,0.178337241258512,5992.658417009,1
"Actr3",0.592460317460317,42,0.41046476948902,5375.515605624,1
"Actr3b",0.363636363636364,11,-0.906890595608518,-5965.81765682608,0
"Acvr1",0.542676767676768,66,0.256908303036953,5364.65660340693,1
"Acvr2a",0.549242424242424,22,0.304854581528421,5763.67156968651,1
"Acyp2",0.412724296123365,172,-0.407532329621974,6985.60535295587,1
"Adam10",0.480606060606061,55,-0.123382415505282,5145.07406481114,1
"Adam12",0.624242424242424,11,0.137503523749935,-4978.38113646996,0
"Adam15",0.636904761904762,14,0.618909832644494,-5035.23164690935,0
"Adam17",0.617283950617284,27,0.275634442613427,72.1219097756002,1
"Adam19",0.365740740740741,36,-0.716207033999409,6615.42229190908,1
"Adam22",0.65,20,1.35908109330483,-262.676774774016,2.89612727742159e-116
