"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"0610005C13Rik",11,0.181818181818182,2,0,0.322491998801705,1.45121399460751,0.181818181818198,0.563791295578764,1.36052847791949,1,32.233752135298,21.3186934221303,32.233752135298,-31.6699608397192,0.206185567010309,11,-2.10579466402259,-75.8750921996506,-57.504867838336,-18.3702243613146,1.34950167450452e-09
"0610038B21Rik",10,0.75,2,0,24.5067612375792,8.16892041727881,0.749999999890919,0.0306037991972947,1.02969501880464,2,32.233752135298,21.1162171576816,32.233752135298,-32.2031483361007,0.629411764705882,10,0.889817082249575,-61.9024700985524,-62.4651615071699,0.562691408617525,1
"0610040B10Rik",10,0.45,2.1,0.1,0.000476667143312039,0.000524333857688963,0.476190476168726,998.999999999999,2.28839897328857,3,17.6916127176813,390.950422992807,17.6916127176813,981.308387282318,0.656862745098039,10,0.788495894806281,-82.1529577222011,-84.3067175430948,2.15375982089365,1
"0610040J01Rik",18,0.611111111111111,2.11111111111111,0.104575163398693,0.000632211158509477,0.000368789842491525,0.631578947350967,998.999999999999,2.21874251105347,4,16.4654028521728,390.147579344504,16.4654028521728,982.534597147826,0.655291005291005,18,0.78587519464715,-112.05082018542,-106.573485552129,-5.47733463329176,0.000933680360630694
"0610043K17Rik",19,0.640350877192982,2.05263157894737,0.0526315789473684,1.61493969546211,0.904366232181093,0.641025640332962,0.396934722785134,1.29956352235344,5,23.7720794294465,15.7151690759463,23.7720794294465,-23.3751447066614,0.475128205128205,19,-0.0524674198941417,-106.199298399542,-113.654008483323,7.45471008378146,1
"1110002E22Rik",116,0.52198275862069,2.46551724137931,1.50314842578711,0.0791357546162081,0.0737887441698858,0.517482517480085,6.53917461190289,2.27338825389155,6,2.32287435027697,4.00410014743386,2.32287435027697,4.21630026162592,0.489980732177264,116,-0.040641984497336,-422.489443980838,-422.92524587916,0.43580189832187,1
"1110002L01Rik",22,0.977272727272727,2.13636363636364,0.218614718614719,978723.404111362,21276.5958886383,0.978723404111362,1e-06,0.281230933900044,7,NA,1e-06,13.9292810256577,-13.9292800256577,0.964583333333333,22,4.77760757866354,-133.830786522478,-29.981567275041,-103.849219247437,4.36530086299324e-47
"1110004F10Rik",44,0.462121212121212,2.13636363636364,0.167019027484144,0.297572246024273,0.368422780718603,0.44680851068751,1.50151271382703,1.68256890788644,8,13.9408475366757,9.69776838325758,13.9408475366757,-12.4393348228487,0.448979591836735,44,-0.397876948120658,-219.526072966035,-217.507308633765,-2.01876433227051,0.0444989412335369
"1110019D14Rik",176,0.529640151515152,2.375,0.635714285714286,0.0203597046127302,0.0181486959742131,0.52870813387231,25.9683597541847,2.32098623645324,9,3.15282960371161,11.9256732395059,3.15282960371161,22.8155301504731,0.545229244114002,176,0.289885625483223,-461.406293084401,-460.329254972835,-1.0770381115654,0.14219193980581
"1110038F14Rik",11,0.727272727272727,2,0,0.0654315354792683,0.0245368259135317,0.727272726393177,11.1150184855987,1.91745782301622,10,32.233752135298,25.3254885575809,32.233752135298,-21.1187336496992,0.523287671232877,11,0.269186632815378,-105.631819045124,-119.239268799002,13.6074497538784,1
