"","AR","N","log2FC","llr_mean","pval_mean"
"0610043K17Rik",0.571428571428571,14,0.555518722828673,-2.40671260468662,0.0282388632523538
"1110002E22Rik",0.500718390804598,116,-0.056413308905269,-0.0212442956926679,0.836691232598936
"1110002L01Rik",0.9375,24,4.12101540096138,-86.619073584443,1.45198081111505e-39
"1110004F10Rik",0.594594594594595,37,-0.217029236569366,7.88359221636352,1
"1110019D14Rik",0.51421568627451,136,0.14767716804226,-0.147160844661641,0.587464307515425
"1110038F14Rik",0.277777777777778,12,-0.365871442474957,14.3487274145334,1
"1110059E24Rik",0.3,35,-0.541893778829275,5.6223408329115,1
"1500002F19Rik",0.645833333333333,56,0.630354403535169,-2.48476254070061,0.0257977300469632
"1500004A13Rik",0.529310966810967,132,0.0777921606061542,0.150137123365539,1
"1500009L16Rik",0.488888888888889,30,0.163975735111118,-0.109191882072025,0.640274177975893
"1600010M07Rik",0.48989417989418,135,-0.0601209924375734,0.0990519839313038,1
"1600014C10Rik",0.488095238095238,21,-0.0113153132278363,-0.0428516344416607,0.769712326555996
"1600020E01Rik",0.232291666666667,64,-1.40952049431127,-36.2722053976303,1.63315099339831e-17
"1700025G04Rik",0.582117175669588,601,0.480739577753879,-2.7367152287527,0.0193076912158635
"1700037C18Rik",0.545454545454545,11,0.326810316267103,-0.597746540613016,0.274224330430255
"1700037F03Rik",0.5625,24,0.10153802646207,1.45723431127408,1
"1700081N11Rik",0.596491228070175,19,0.37255416795733,0.21515890374144,1
"1700087I21Rik",0.096745027124774,79,-3.20858662181141,-176.743793545291,7.37358517738668e-79
"1700109H08Rik",0.26984126984127,42,-0.691413442351803,6.48066003027935,1
"1700120C14Rik",0.737654320987654,27,1.70231945135932,-29.859385322181,1.09427867474681e-14
"1700123M08Rik",0.55,20,0.567040592723902,-2.53418471794473,0.0243662933551676
"1810024B03Rik",0.78125,16,0.899071091149217,3.24194617225413,1
"1810034E14Rik",0.659090909090909,11,1,-4.62396393786403,0.00235762044936222
"1810037I17Rik",0.15,10,-2.72047747137764,-48.2806302538789,8.6524796913786e-23
"1810062O18Rik",0.595238095238095,21,0.392317422778754,-0.973088257025523,0.16299946423876
"2010001K21Rik",1,25,5.77258950389693,-32.8264366850706,5.37765142208391e-16
"2010109A12Rik",0.208333333333333,12,-0.906890595608519,2.54635296540593,1
"2210408F21Rik",0.488764026263064,1528,-0.0682558395367682,-2.42639796340154,0.0276013573371701
"2210408I21Rik",0.573924731182796,62,0.192645077942413,-0.259241339339013,0.47148964667738
"2310002L09Rik",0.366666666666667,35,-0.270357746639651,5.34962799453851,1
"2310014F06Rik",0.334420928865373,297,-0.878908183082633,-29.0071981620833,2.60206527397375e-14
"2310015A10Rik",0.575,50,0.509788110264378,-3.85004545436971,0.00552180443094839
"2310016D03Rik",0.81578947368421,19,1.4093909361377,-3.40406600150843,0.00907436443981535
"2310022A10Rik",0.577916666666667,80,0.218941821650619,3.44512974861766,1
"2310039L15Rik",0.621376811594203,92,0.525883267967134,-2.48866983888297,0.0256814455523703
"2310057M21Rik",0.505228758169935,51,0.0408337175085784,0.146627601853822,1
"2310069G16Rik",0.35,15,-1.76081233612058,-19.8965408905637,2.82343430997511e-10
"2500002B13Rik",0.569444444444444,12,0.526068811667587,-2.96956665648227,0.0148082987410871
"2510039O18Rik",0.333333333333333,10,-0.53841991478413,0.201006546334028,1
"2610005L07Rik",0.6,15,1.57718515012944,-19.6555854235682,3.61367980739423e-10
"2610008E11Rik",0.736742424242424,88,1.58496250072116,-60.3158333789721,4.60094823832082e-28
"2610020C07Rik",0.448717948717949,13,-0.239670412768286,-0.56297763734915,0.288639733397342
"2610035D17Rik",0.952107279693487,87,4.8462278137019,-269.557093296724,2.93859432860128e-119
"2610037D02Rik",0.466948198198198,296,-0.246706235929792,-4.97093023756634,0.00161562177537784
"2610307P16Rik",0.445833333333333,20,-0.199308808223391,0.405950511637926,1
"2700049A03Rik",0.585714285714286,70,0.559178474950924,-7.04103309263229,0.000175004454888342
"2700062C07Rik",0.5,10,0.555518722828677,2.08682215881146,1
"2700097O09Rik",0.683035714285714,168,0.754574993759598,-12.352449534977,6.68141210735287e-07
"2810001G20Rik",0.487179487179487,13,0.214738848793023,0.792177619355527,1
"2810002D19Rik",0.458333333333333,12,0.249027547839922,1.65143448250085,1
"2810013P06Rik",0.6,40,0.380604002214969,-0.310359870111654,0.430779951720968
"2810030D12Rik",0.714285714285714,14,0.794681092022487,-1.67756693369542,0.06699576337687
"2810449D17Rik",0.636363636363636,11,1.81762325751144,-19.4318963095408,4.54431696743279e-10
"2900076A07Rik",0.673333333333333,25,0.0897966703506432,14.8932953224931,1
"2900089D17Rik",0.75,13,1.47393118833242,-8.01622712871999,6.22659502444581e-05
"2900093K20Rik",0.507936507936508,21,0.0412226627265193,0.0140372850000858,1
"3110056K07Rik",0.42910447761194,67,-0.404113850242594,-4.81058078630298,0.00192348038147142
"3110082I17Rik",0.432692307692308,52,-0.249119659255161,-1.18547879389945,0.123611206343538
"3222401L13Rik",0.413899613899614,259,-0.563473077746936,-19.6276338861471,3.71863753571883e-10
"3300002I08Rik",0.287037037037037,18,-1.24207478719814,-14.2285636139829,9.5796461608979e-08
"3425401B19Rik",0.575268817204301,62,0.432384742842734,-3.28617053775918,0.0103575620469512
"4631405J19Rik",0.364583333333333,16,-0.970252656605939,-6.86410470343601,0.000211257472877874
"4632427E13Rik",0.501925025329281,752,-1.77635683940025e-15,-0.165552305194296,0.565009376260521
"4732440D04Rik",0.346290097066495,1449,-0.875712927839625,-158.755149977405,5.04915074919302e-71
"4732463B04Rik",0.811111111111111,15,1.58496250072115,-9.92640124261379,8.3640022702459e-06
"4732471J01Rik",0.28,50,-1.06856428648306,-15.2490208103889,3.34203705805678e-08
"4732491K20Rik",0.535714285714286,49,0.0157673158583171,1.45609124033712,1
"4833420G17Rik",0.903225806451613,31,2.77478705960117,-74.5180202561896,2.81619499934547e-34
"4833439L19Rik",0.468253968253968,21,0.220500361995236,1.9812779260707,1
"4921511C10Rik",0.5,13,-0.349584437790226,-0.22088286090279,0.506271445607508
