"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"0610043K17Rik",TRUE,4,192.308322463462,190.518708432767,148,147,0.00930596246574422
"1110002E22Rik",TRUE,3,787.849349799706,787.828647976305,519,518,2.6276373022549e-05
"1110002L01Rik",TRUE,5,69.3756466468501,69.1141341661474,157,156,0.00376951413561422
"1110004F10Rik",TRUE,3,418.848143606171,417.969797992621,291,290,0.00209705027217677
"1110019D14Rik",TRUE,3,824.17868591438,819.295805550406,503,502,0.0059245409368438
"1110038F14Rik",TRUE,4,294.852130941812,292.672289713404,207,206,0.00739299804768556
"1110059E24Rik",TRUE,4,424.400019157977,424.316650050727,295,294,0.000196439923389469
"1500002F19Rik",TRUE,4,461.95152083985,460.421997699096,296,295,0.00331100358317382
"1500004A13Rik",TRUE,3,875.119775026989,874.551916680516,566,565,0.00064889214331243
"1500009L16Rik",TRUE,3,299.040991913631,298.608182177451,191,190,0.00144732577768092
"1600010M07Rik",TRUE,3,845.368243694714,842.443720139584,594,593,0.00345946701563826
"1600014C10Rik",TRUE,3,316.410990830247,316.371070481154,229,228,0.00012616612649341
"1600020E01Rik",TRUE,4,510.229211211297,510.09900522264,398,397,0.000255191168588742
"1700025G04Rik",TRUE,3,2266.33378628249,2266.26135959124,1228,1227,3.19576452867398e-05
"1700037C18Rik",TRUE,4,177.136638487415,175.560519073054,121,120,0.00889776066555081
"1700037F03Rik",TRUE,3,256.218174847541,255.009269897507,173,172,0.00471826384195095
"1700081N11Rik",TRUE,3,327.754872811099,327.596440202839,234,233,0.000483387499020993
"1700087I21Rik",TRUE,4,255.170945756113,254.851859366627,356,355,0.00125048088269097
"1700109H08Rik",TRUE,4,488.896506759926,488.076615366122,342,341,0.00167702444682538
"1700120C14Rik",TRUE,4,251.569024426695,251.377041661909,216,215,0.000763141508473231
"1700123M08Rik",TRUE,4,259.939436826162,257.584354147013,177,176,0.0090601207262162
"1810024B03Rik",TRUE,4,128.816698614944,127.416408472859,89,88,0.0108704085506099
"1810034E14Rik",TRUE,4,132.308783047548,132.29121327257,99,98,0.000132793716128621
"1810037I17Rik",TRUE,4,121.833513930744,121.788950665927,156,155,0.000365771809245019
"1810062O18Rik",TRUE,4,270.419799570817,268.766465408022,198,197,0.00611395380596547
"2010001K21Rik",TRUE,7,30.0620712888505,29.9248894368508,134,133,0.00456328676362849
"2010109A12Rik",TRUE,4,145.828227441746,145.737248073296,102,101,0.000623880369710617
"2210408F21Rik",TRUE,3,3487.65072481619,3486.34834948427,2224,2223,0.000373424816496826
"2210408I21Rik",TRUE,3,427.916596784375,427.020229169188,237,236,0.00209472505138397
"2310002L09Rik",TRUE,3,359.60935050924,358.047312810828,246,245,0.00434370712607979
"2310014F06Rik",TRUE,4,1387.0124865139,1385.69665967725,852,851,0.000948676994215747
"2310015A10Rik",TRUE,4,438.956870357294,433.103049040045,309,308,0.0133357550879299
"2310016D03Rik",TRUE,4,134.518300637899,134.431551377369,95,94,0.000644888168513935
"2310022A10Rik",TRUE,3,783.168222599841,782.514128882289,550,549,0.000835189297365813
"2310039L15Rik",TRUE,4,631.906345435072,627.87881461237,416,415,0.00637361984382134
"2310057M21Rik",TRUE,3,519.922627927636,519.915920399184,355,354,1.29010127501994e-05
"2310069G16Rik",TRUE,4,148.451318462378,147.796181582467,139,138,0.0044131428854729
"2500002B13Rik",TRUE,4,318.140975291088,318.067200025467,230,229,0.000231894887331885
"2510039O18Rik",TRUE,4,129.89904975611,128.211331722021,91,90,0.0129925356440828
"2610005L07Rik",TRUE,4,256.16080949173,255.991993970162,230,229,0.000659021658711234
"2610008E11Rik",TRUE,4,594.342896464107,592.487707883913,497,496,0.00312141121098752
"2610020C07Rik",TRUE,3,237.537907428074,236.817847483442,166,165,0.00303134751176337
"2610035D17Rik",TRUE,6,127.294227283843,120.693899613831,396,395,0.0518509582944002
"2610037D02Rik",TRUE,3,1402.38125311791,1402.23423043036,937,936,0.000104837887145548
"2610307P16Rik",TRUE,4,133.717035565359,124.149487219786,84,83,0.0715507063488254
"2700049A03Rik",TRUE,4,622.273529989259,622.271530310025,424,423,3.21350521481634e-06
"2700062C07Rik",TRUE,4,208.943854796901,208.746130390106,151,150,0.000946304005861931
"2700097O09Rik",TRUE,4,1007.10555025988,1006.92650100923,692,691,0.000177785983404788
"2810001G20Rik",TRUE,3,226.725468850806,226.315520021599,160,159,0.0018081287086289
"2810002D19Rik",TRUE,3,205.437267810108,205.418670754276,136,135,9.05242560442776e-05
"2810013P06Rik",TRUE,3,461.887341080202,461.855696448371,322,321,6.85115806737802e-05
"2810030D12Rik",TRUE,4,157.243438660152,156.978603809285,117,116,0.00168423466901713
