"","AR","N","log2FC","llr_var","pval_var","padj_var"
"0610043K17Rik",0.597315436241611,149,0.555518722828674,-0.161257734855667,0.570099846929029,1
"1110002E22Rik",0.484775641025641,520,-0.0564133089052667,-0.506130573716405,0.314361746844233,1
"1110002L01Rik",0.94620253164557,158,4.12101540096137,0,1,1
"1110004F10Rik",0.448630136986301,292,-0.217029236569355,-0.223077534144579,0.504166529230636,1
"1110019D14Rik",0.533597883597884,504,0.14767716804226,-1.64930064161638,0.0693389026342896,0.381810352273792
"1110038F14Rik",0.448717948717949,208,-0.365871442474959,-0.0780380421028326,0.69279517042375,1
"1110059E24Rik",0.420608108108108,296,-0.54189377882927,-0.145188476959788,0.589979070579073,1
"1500002F19Rik",0.59652076318743,297,0.630354403535171,-0.0969454754522303,0.659697752195405,1
"1500004A13Rik",0.511232888217015,567,0.0777921606061511,-6.32631536761062,0.000375037571376954,0.00448855600817754
"1500009L16Rik",0.524305555555556,192,0.163975735111126,-0.0432313827502924,0.768723123158122,1
"1600010M07Rik",0.494345738295318,595,-0.0601209924375707,-1.70327112003849,0.0649383846279823,0.360830491151147
"1600014C10Rik",0.496739130434783,230,-0.0113153132278345,-0.162382470664028,0.568758062982021,1
"1600020E01Rik",0.282873851294904,399,-1.40952049431128,-0.27634631916078,0.457219566065846,1
"1700025G04Rik",0.5531752828132,1229,0.480739577753883,31.6831390515954,1,1
"1700037C18Rik",0.557377049180328,122,0.326810316267109,-0.0399743653333218,0.7773669014002,1
"1700037F03Rik",0.508620689655172,174,0.101538026462062,-0.125291208361858,0.616665278213294,1
"1700081N11Rik",0.55886524822695,235,0.372554167957331,-0.144711651998477,0.590590327804284,1
"1700087I21Rik",0.0970388155262105,357,-3.20858662181142,0,1,1
"1700109H08Rik",0.397473275024295,343,-0.691413442351799,-0.0937778497402064,0.664958821635694,1
"1700120C14Rik",0.764592933947773,217,1.70231945135931,-2.79583039166545,0.0180461782280245,0.121221186735892
"1700123M08Rik",0.601123595505618,178,0.567040592723894,-0.0358647510082051,0.788835073350966,1
"1810024B03Rik",0.627777777777778,90,0.899071091149219,-0.306935307187345,0.433334166397361,1
"1810034E14Rik",0.6625,100,1,-0.0352070517932077,0.790734797530253,1
"1810037I17Rik",0.130573248407643,157,-2.72047747137764,0,1,1
"1810062O18Rik",0.565326633165829,199,0.392317422778761,-0.196384318154259,0.530847667464068,1
"2010001K21Rik",0.977777777777778,135,5.77258950389693,0,1,1
"2010109A12Rik",0.364077669902913,103,-0.906890595608518,-0.00684637455341885,0.906847357995255,1
"2210408F21Rik",0.484868059384252,2225,-0.0682558395367625,11.4482489838961,1,1
"2210408I21Rik",0.536064425770308,238,0.192645077942396,-1.24172413361492,0.115049768272685,0.581595164278388
"2310002L09Rik",0.468960863697706,247,-0.270357746639653,-0.240778521031132,0.487717885797926,1
"2310014F06Rik",0.373180557881613,853,-0.878908183082638,-85.6527363251637,3.83746534860169e-39,2.10404617190426e-37
"2310015A10Rik",0.586290322580645,310,0.509788110264382,-0.290467908784649,0.445945743941839,1
"2310016D03Rik",0.703125,96,1.4093909361377,-0.0152099325100181,0.861540964948941,1
"2310022A10Rik",0.528554143980641,551,0.218941821650624,-0.376115370438129,0.385770882772568,1
"2310039L15Rik",0.580735411670664,417,0.525883267967134,-2.41212553285123,0.0280620541707753,0.176488311279925
"2310057M21Rik",0.510580524344569,356,0.040833717508578,-0.451184216450088,0.342147440123337,1
"2310069G16Rik",0.216071428571429,140,-1.76081233612057,-0.510693314257594,0.312190322643741,1
"2500002B13Rik",0.592352092352092,231,0.526068811667588,-0.123667048533321,0.618958508674393,1
"2510039O18Rik",0.416666666666667,92,-0.538419914784126,-0.0279918043473799,0.812960482064192,1
"2610005L07Rik",0.757575757575758,231,1.57718515012944,-0.206489417638721,0.520461425379199,1
"2610008E11Rik",0.750669344042838,498,1.58496250072116,4.77781124436547,1,1
"2610020C07Rik",0.460079840319361,167,-0.239670412768284,-0.0908777471302074,0.669868916997798,1
"2610035D17Rik",0.969353484466835,397,4.84622781370189,0,1,1
"2610037D02Rik",0.4522565742715,938,-0.246706235929794,-1.38809305918608,0.0956757562116723,0.499804540796318
"2610307P16Rik",0.481372549019608,85,-0.199308808223407,-1.12995284046814,0.132762146707437,0.655774058673806
"2700049A03Rik",0.60235294117647,425,0.559178474950923,-0.33428400874152,0.413551307184853,1
"2700062C07Rik",0.605263157894737,152,0.555518722828674,-0.0980661510645007,0.657861021253549,1
"2700097O09Rik",0.617243867243867,693,0.754574993759585,-7.39326108238288,0.000120392901583785,0.00167531553939258
"2810001G20Rik",0.542443064182195,161,0.214738848793013,-0.0994513835301518,0.655607962257729,1
"2810002D19Rik",0.551094890510949,137,0.249027547839915,-0.0230326504176759,0.830057139360899,1
"2810013P06Rik",0.560371517027864,323,0.38060400221497,-0.153717937473346,0.579257913751868,1
"2810030D12Rik",0.627118644067797,118,0.794681092022493,-0.158162941004747,0.573824066781981,1
"2810449D17Rik",0.788235294117647,170,1.81762325751143,-0.27077127345666,0.461794147187532,1
"2900076A07Rik",0.491539763113367,197,0.0897966703506459,-0.0069089212613278,0.906424763575115,1
"2900089D17Rik",0.726470588235294,85,1.47393118833241,-0.0855278305018317,0.679175307537036,1
"2900093K20Rik",0.50997150997151,117,0.0412226627265131,3.9633517769459,1,1
"3110056K07Rik",0.430525164113786,457,-0.404113850242608,-0.223866241537166,0.503413733496916,1
"3110082I17Rik",0.459269662921348,356,-0.249119659255166,-0.34651932907235,0.405132739560807,1
"3222401L13Rik",0.397954545454545,880,-0.563473077746937,-3.81098567885556,0.00576614222200344,0.0444055250349965
"3300002I08Rik",0.295940170940171,156,-1.24207478719815,-0.019145299917767,0.844860764596048,1
"3425401B19Rik",0.575591985428051,366,0.432384742842741,-0.0520189880631392,0.747036683475272,1
"4631405J19Rik",0.33994708994709,126,-0.970252656605948,-0.103688527448895,0.648831055303295,1
"4632427E13Rik",0.496152332515969,1573,0,20.7566180369263,1,1
"4732440D04Rik",0.348366242191543,2158,-0.875712927839627,-2.78561868758061,0.0182578540603517,0.122386764678324
"4732463B04Rik",0.734741784037559,71,1.58496250072116,-0.159880969100698,0.571750746495559,1
"4732471J01Rik",0.332179930795848,289,-1.06856428648307,0.0272836371328822,1,1
"4732491K20Rik",0.494354838709677,310,0.0157673158583163,-0.156124268962571,0.576303659272328,1
"4833420G17Rik",0.867579908675799,219,2.77478705960117,0,1,1
"4833439L19Rik",0.546383647798742,212,0.220500361995239,-0.136280905689233,0.601618441731326,1
"4921511C10Rik",0.43359375,128,-0.349584437790228,-0.0813028502897879,0.686768754765116,1
"4921524J17Rik",0.452808988764045,445,-0.229133999215503,-0.488186719572013,0.323095788672012,1
"4930402D18Rik",0.847328244274809,131,2.56293619439116,0,1,1
"4930412C18Rik",0.951612903225806,93,3.85085656069419,0,1,1
"4930432B10Rik",0.588068181818182,176,0.710493382805016,-0.0746482149905034,0.699208623640042,1
"4930453N24Rik",0.487280701754386,190,-0.0544477840223765,-0.176125951582691,0.552841142131953,1
"4930470G03Rik",0.523923444976077,209,0.179821037584812,-0.0849872249865484,0.68013451579136,1
"4930473A02Rik",0.343468468468468,148,-0.924711872695762,-0.0635824695648921,0.721389829642947,1
"4930481A15Rik",0.893065998329156,399,3.02147972741045,0,1,1
"4930506C21Rik",0.428541136556404,786,-0.374107235223962,0.76919300781924,1,1
"4930511M06Rik",0.487179487179487,130,-0.039528364186638,-0.0642941505862211,0.719900250268678,1
"4930512B01Rik",0.545454545454546,121,0.235628248493142,-0.18098141806604,0.547418142333977,1
"4930512H18Rik",0.483644859813084,535,-0.0973967627945793,-0.702623018761074,0.235847183993234,1
"4930517O19Rik",0.667989417989418,189,0.951090399519054,-0.181679579780308,0.546646537236093,1
"4930522O17Rik",0.992753623188406,69,6.5077946401987,0,1,1
"4930523C07Rik",0.324960127591706,209,-1.03562390973072,-0.0267461719128903,0.817094083244029,1
"4930527F14Rik",0.523584905660377,106,0.21864028647534,-0.0501318075183406,0.751513514774857,1
"4930544I03Rik",0.911111111111111,45,3.53605290024021,-4.13488037475854,0.00403108180486563,0.0327334047825481
"4930549G23Rik",0.497995418098511,291,-0.0263112771158474,-0.143165866085042,0.592580889450896,1
"4930551O13Rik",0.635869565217391,138,0.833350130590548,-0.108122307268843,0.641916353339464,1
"4930558N01Rik",0.545945945945946,185,0.273565073325964,-0.120289686930221,0.623787973290499,1
"4930581F22Rik",0.442675159235669,157,-0.310340120612151,-0.16971885989355,0.560153960634723,1
"4930599N23Rik",0.467857142857143,140,-0.0864147518174736,-0.0272244575877494,0.815495138186342,1
"4931414P19Rik",0.408239700374532,178,-0.555697906215961,-0.17139111445934,0.558227652295633,1
"4932441J04Rik",0.453763440860215,155,-0.168122758808327,-0.0860642485436358,0.678227031732331,1
"4933424G05Rik",0.505555555555556,90,0.0840642647884744,-0.048472561141935,0.755526870249266,1
"4933431K23Rik",0.459910581222057,671,-0.372125651745933,-0.73308851827403,0.225949841181081,0.988049237339219
"4933434E20Rik",0.57937616387337,358,0.273018494406416,-0.284826688429121,0.450396688057897,1
"5031425E22Rik",0.523446217123676,1637,0.130538175079873,23.3127649415449,1,1
"5031439G07Rik",0.540540540540541,111,0.263034405833793,9.82636387902858e-05,1,1
"5330438D12Rik",0.529645191409897,714,0.197599959885161,-3.3798001988921,0.00932446389632352,0.0681280591058261
"5430402O13Rik",0.401960784313725,340,-0.612618843624021,-0.1132323237062,0.634157720788672,1
"5430405H02Rik",0.489520958083832,334,-0.0221389772692486,-0.185822510869912,0.542108953010634,1
"5430427G11Rik",0.607246376811594,115,0.689070904061895,-0.12644240377243,0.615051080983205,1
"5430431A17Rik",0.539021615472127,879,0.249916849971974,-11.945654061363,1.01930948061086e-06,2.19425178460359e-05
"5730480H06Rik",0.476331360946746,169,-0.0297473433940523,-0.168782169563769,0.561238516836299,1
"5830417I10Rik",0.926041666666667,480,3.70314392706947,0,1,1
"5830418P13Rik",0.670316301703163,137,1.10128333583718,-0.0936306919637957,0.665205785480669,1
"6030443J06Rik",0.71264367816092,406,1.36369061927862,0.0602488975165443,1,1
"6030458C11Rik",0.520768431983385,321,0.0995356735509141,-0.220538497195719,0.506603093605062,1
"6230400D17Rik",0.510628019323671,345,0.0755510330071769,-0.201906090147133,0.525127026375515,1
"6430548M08Rik",0.353689567430025,131,-0.784271308944563,-1.49048863971642,0.0842483885240172,0.450512870415043
"6430590A07Rik",0.543478260869565,299,0.26617411336436,-0.111685132090372,0.63648385825346,1
"6530409C15Rik",0.43037037037037,225,-0.39540869252991,-0.0926390448733514,0.666876029175629,1
"6720427I07Rik",0.527737047898338,682,0.18844508941311,-0.189954139204474,0.537652328274042,1
"6820431F20Rik",0.73570611778159,583,1.50622583011624,-0.859218365269385,0.189894396475163,0.870289370211742
"9230114K14Rik",0.353125,160,-0.8912937405575,-0.0663283778732762,0.715693172296176,1
"9330111N05Rik",0.690677966101695,118,1.28379296600059,-0.112752998885398,0.634876272551702,1
"9330136K24Rik",0.53921568627451,153,0.230612928141417,-0.0333618140208785,0.796168308624641,1
"9330158H04Rik",0.291431261770245,177,-1.18259141327847,-0.181785881717474,0.546529230176184,1
"9330159M07Rik",0.0872676210358882,1437,-3.62969235698296,0,1,1
"9330162G02Rik",0.298826979472141,341,-1.16864203555884,-0.228996271960966,0.498563657802482,1
"9430037G07Rik",0.147972116603295,263,-2.61143471208235,18.2737810018249,1,1
"9430038I01Rik",0.484412470023981,139,-0.0179219079972617,-0.0659749352078336,0.716418851704422,1
"9530026P05Rik",0.631120694600365,1697,0.79918402630204,-0.787721818137925,0.209418223570328,0.935527788442654
"9530052E02Rik",0.571428571428572,70,0.106915203916511,0.0001833669563851,1,1
"9530062K07Rik",0.734177215189873,79,1.4594316186373,0.000285817683646883,1,1
"9630050E16Rik",0.586580086580087,154,0.450165722682446,-0.0973371465580044,0.659054387931243,1
"9930024M15Rik",0.690573770491803,244,1.10877634591733,-0.123974025364845,0.618523638277979,1
"A230057D06Rik",0.981132075471698,53,6.4093909361377,0,1,1
"A330023F24Rik",0.51063829787234,141,0.113956189297086,-0.202271661666316,0.524752174068354,1
"A330032B11Rik",0.476701030927835,485,-0.0897546527583293,-1.6913587920684,0.0658833387335804,0.364975490480068
"A330102I10Rik",0.183203553958271,477,-1.84799690655495,-8.73017717575141,2.93362046922505e-05,0.000476434817976676
"A430033K04Rik",0.524822695035461,141,0.207804885113402,-0.0378775654531864,0.783134546546532,1
"A430046D13Rik",0.55668016194332,247,0.28080910756177,-0.101201648338787,0.652787927601233,1
