"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Ablim1",TRUE,3,175.192108746164,173.763802607646,81,80,0.00815279951100445
"Acyp2",TRUE,4,85.3615203395553,84.8520751216951,53,52,0.00596808978839358
"Adk",TRUE,4,103.66594251868,102.557698894111,50,49,0.0106905276471991
"Airn",TRUE,4,351.663707601065,322.069262887334,55,54,0.0841555272098282
"Akap6",TRUE,4,73.6997591248356,68.1268760213584,52,51,0.0756160287313503
"Ank2",TRUE,3,147.241307929966,146.690624730483,58,57,0.00374000480724257
"Arhgap26",TRUE,4,134.687400214006,131.762356544777,61,60,0.0217172776709675
"Atp2a2",TRUE,3,130.030691160814,129.967545528297,77,76,0.000485620986504953
"Cacna1c",TRUE,3,172.400358322242,172.307258837451,80,79,0.000540019091008315
"Cacnb2",TRUE,3,178.814937859668,178.041592475182,66,65,0.00432483658101224
"Cd36",TRUE,3,132.398587971264,128.884723437091,80,79,0.0265400453888229
"Cdh13",TRUE,4,82.4441294265785,82.107830575768,58,57,0.00407911215934376
"Cdh2",TRUE,3,148.522490036123,148.22619968263,61,60,0.00199491910902427
"Celf2",TRUE,4,146.004706182088,143.435748958181,55,54,0.0175950302636337
"Cpeb3",TRUE,3,121.046835877716,120.491436504735,50,49,0.00458830145334743
"D830005E20Rik",TRUE,4,155.469356691152,154.557631451772,64,63,0.00586434046415252
"Fhl2",TRUE,4,548.272291627893,544.19821638736,77,76,0.00743075165888185
"Fhod3",TRUE,4,120.96891736087,112.432945138512,69,68,0.0705633513846687
"Fry",TRUE,3,52.3465695167761,52.3465581590862,53,52,2.16971046906878e-07
"Gpcpd1",TRUE,3,156.17719940405,156.065011797823,56,55,0.000718335369406797
"Grm1",TRUE,19,24.0907074543393,21.7217347298484,52,51,0.0983355399164169
"Lama2",TRUE,4,167.81087742539,161.875678509858,56,55,0.0353683802062887
"Ldb3",TRUE,4,78.0296295116194,76.7284872279407,56,55,0.0166749770801475
"Limch1",TRUE,3,122.893152109761,122.876060109118,62,61,0.000139080171272954
"Lmo7",TRUE,3,137.251214652721,137.014193225938,60,59,0.0017269167881836
"Lncpint",TRUE,3,179.091513208092,177.846817209492,63,62,0.00695005573577312
"Luc7l2",TRUE,4,66.5434762362216,66.491415455587,54,53,0.000782357393680377
"Magi1",TRUE,4,96.3662735230058,95.4580338595173,54,53,0.00942487065530961
"Malat1",TRUE,3,263.726305150097,261.377329907117,118,117,0.00890686744973423
"Mast2",TRUE,3,97.2811835399537,93.8820853934482,59,58,0.0349409620937586
"Mbnl2",TRUE,3,131.272919086991,131.19857177555,49,48,0.000566356808074042
"Mhrt",TRUE,4,82.3882237387361,78.4975148164948,58,57,0.0472240903576134
"Mir99ahg",TRUE,3,74.7187473654378,71.8975157143122,51,50,0.0377580159009803
"Mlip",TRUE,4,105.371569313657,104.892525181126,50,49,0.0045462370509618
"Myh6",TRUE,4,286.330443497514,282.036977607628,76,75,0.0149947935589437
"Myocd",TRUE,3,174.277733787449,174.268202715239,50,49,5.46889840881137e-05
"Myom1",TRUE,3,83.4666476344319,83.3193675816687,58,57,0.00176453777571417
"Neat1",TRUE,3,144.126470494145,144.125955913638,78,77,3.57034003284351e-06
"Nfib",TRUE,3,88.3517816675977,88.3039998878596,54,53,0.00054081286009422
"Palld",TRUE,4,178.87588762132,178.105259868871,58,57,0.00430817010999318
"Pcdh7",TRUE,3,128.250255546857,128.012408196395,79,78,0.00185455654218569
"Pde4b",TRUE,3,123.701310602928,123.052954385291,56,55,0.00524130435220671
"Pdlim5",TRUE,3,123.697696263107,123.600077133604,77,76,0.000789175000441067
"Pln",TRUE,3,101.350233469239,100.560001430562,59,58,0.00779704211453369
"Ptprg",TRUE,4,184.046916328877,182.368207239221,84,83,0.00912109326872146
"Ptprm",TRUE,3,170.668986995862,169.341482947204,98,97,0.00777823828467783
"Qki",TRUE,3,75.2997355692351,75.2930733448774,50,49,8.84760657839934e-05
"Rbm20",TRUE,4,137.550437947816,136.631369809893,76,75,0.00668168092835875
"Rora",TRUE,4,140.470975818386,132.503112304897,53,52,0.0567224899454742
"Ryr2",TRUE,3,596.280597301905,554.634107971316,81,80,0.0698437774414165
"Slc8a1",TRUE,3,250.384511546036,250.356543623255,80,79,0.000111699891531036
"Sorbs1",TRUE,3,107.668557692928,103.954105319349,78,77,0.0344989517197126
"Sorbs2",TRUE,3,89.6626360695114,87.9021312701602,58,57,0.0196347651209623
"Sptbn1",TRUE,3,135.839753487691,133.757154318225,98,97,0.0153312937928313
"Trdn",TRUE,3,116.200743829149,116.133814235883,68,67,0.000575982485654603
"Ttn",TRUE,4,365.694667880129,346.935792451691,82,81,0.0512965516756926
"Zbtb16",TRUE,3,111.128887957766,110.953237757087,76,75,0.0015805989235288
"Zfpm2",TRUE,4,93.3364469708102,92.4769152321323,49,48,0.00920896141404126
