"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.533809523809524,70,0.133266530863464,0.0309356189079466,1,1
"2210408F21Rik",0.550678119349005,79,0.0797271924707338,-0.0804834045314919,0.688267954781817,1
"2310014F06Rik",0.303225806451613,31,-1.06413033741971,-1.93521297124921,0.0491440479727992,0.391705765786908
"2610037D02Rik",0.452651515151515,44,-0.054447784022376,0.0085737891759976,1,1
"2610307P16Rik",0.543817807706697,54,0.0946368741380752,-0.173834387915996,0.55543575530268,1
"4632427E13Rik",0.57037037037037,63,0.180572245641821,-0.178195955258388,0.550516936659221,1
"4732440D04Rik",0.399216027874564,82,-0.690671941892271,-1.64334610443245,0.0698435959534469,0.462956143285103
"4933431K23Rik",0.521739130434783,23,-0.115477217419937,0.0647598321629808,1,1
"5031425E22Rik",0.49531746031746,70,0.0259952085329442,0.133545267131069,1,1
"5330438D12Rik",0.586274509803922,34,0.485426827170242,-0.624600798122085,0.263705022866161,0.82683821678785
"5430431A17Rik",0.536904761904762,28,0.691877704637668,-0.133277617015569,0.605651967444112,1
"9330159M07Rik",0.0927884615384615,52,-4,-40.6253517577425,1.98824800471976e-19,8.91232168115631e-17
"9530026P05Rik",0.567260864135864,88,0.220599139513397,0.176346661087976,1,1
"A330102I10Rik",0.230769230769231,13,-1.84799690655495,-2.40061990826581,0.0284392641056179,0.271427084207088
"AU040320",0.682291666666667,32,1.16992500144231,-1.26524535745558,0.111665484893561,0.588702499620367
"AW554918",0.443650793650794,42,-0.748461233004036,-0.360869009431568,0.395574398583569,0.910807463444086
"Aak1",0.492047619047619,75,-0.156725503687453,-0.083750256389564,0.68234280194489,1
"Abca8a",0.669047619047619,27,0.648527629498623,-2.42088270680395,0.027778443213458,0.269004596724277
"Abcc5",0.364870509607352,57,-0.896164189015459,-2.16200390734492,0.0375783160483256,0.333554062745781
"Abcd3",0.580555555555555,60,0.270089163367745,-0.164455725011209,0.566300769833274,1
"Abhd18",0.431388888888889,60,-0.210217707390346,-0.199767567975158,0.527329429680259,1
"Abi1",0.558095238095238,70,0.36564947231668,0.0471188385818948,1,1
"Abl2",0.472222222222222,30,-0.719892080807266,0.621723048964284,1,1
"Ablim1",0.489748954394032,124,-0.223774975386567,-1.46546446173721,0.0868974799135258,0.524603304663137
"Ablim3",0.428739316239316,78,-0.787270676014271,-1.24618669646991,0.11439909217323,0.593031472726316
"Abra",0.33844696969697,44,-1.58496250072116,-3.10703141049192,0.01267394271382,0.162316994899138
"Abtb2",0.516250944822373,63,0.208586621811417,0.0957081112978742,1,1
"Acacb",0.505051892551893,78,-0.0571439071036091,-0.0238116667661643,0.827251695662972,1
"Acadl",0.277293844367015,41,-0.874469117916141,-3.22463575268588,0.0110997846124081,0.155483701640998
"Acadm",0.445454545454545,44,-0.415037499278844,-0.543730944568118,0.297034257109184,0.853177443365014
"Acat1",0.57051282051282,39,0.131244533278252,0.104780388912083,1,1
"Acbd6",0.365151515151515,22,-1.44057259138598,-1.32364089123821,0.103727126383429,0.57049919510886
"Acer2",0.476934523809524,32,0.624490864907793,-0.104356159633447,0.647778552342695,1
"Ackr3",0.713768115942029,46,1.03562390973072,-1.98148742010173,0.0465114377138545,0.379068217367914
"Aco2",0.46310309408901,71,0.0450878895285377,-0.00321771261792492,0.936061407131135,1
"Acot11",0.625,28,0.584962500721157,-0.722081165369243,0.229466970713013,0.770737802284754
"Acot13",0.431111111111111,45,-0.334419039070559,-0.3556680617585,0.399000607820352,0.911689746416481
"Acox1",0.568292682926829,41,-0.253756592245783,0.0145928725079045,1,1
"Acsl1",0.465625,48,-0.197036847059554,-0.376867469079997,0.385296297483527,0.90775919826461
