"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.533809523809524,70,0,4.63256146953432,1,1
"2210408F21Rik",0.550678119349005,79,0.071553261025034,1.83133127870813,1,1
"2310014F06Rik",0.303225806451613,31,-0.881355503501381,0.193449553779089,1,1
"2610037D02Rik",0.452651515151515,44,-0.192645077942396,-3.44662835677875,0.0086521496078162,0.0596163100576777
"2610307P16Rik",0.543817807706697,54,0.123382415505282,7.84257854450929,1,1
"4632427E13Rik",0.57037037037037,63,0.185555653156077,0.463231076977905,1,1
"4732440D04Rik",0.399216027874564,82,-0.852442811586142,-0.0363165963977821,0.78754074138407,1
"4933431K23Rik",0.521739130434783,23,0.211504105193712,8.15907729716858,1,1
"5031425E22Rik",0.49531746031746,70,0.195256291398934,0.782063907633074,1,1
"5330438D12Rik",0.586274509803922,34,0.447458976971221,-5.79641442639361,0.000662066242368254,0.00732768378127333
"5430431A17Rik",0.536904761904762,28,0.334419039070559,2.6094391587627,1,1
"9330159M07Rik",0.0927884615384615,52,-4,-1.78813618871746,0.0586105318888561,0.264041918785726
"9530026P05Rik",0.567260864135864,88,0.572787786775054,0.066692713915387,1,1
"A330102I10Rik",0.230769230769231,13,-1.77760757866355,-5.43006632768366,0.000982566562336529,0.0098421332193821
"AU040320",0.682291666666667,32,0.91253715874966,-7.9908251800016,6.39594199876662e-05,0.00115837616199884
"AW554918",0.443650793650794,42,-0.175086706558091,-3.44417731949056,0.00867590901962599,0.0596163100576777
"Aak1",0.492047619047619,75,-0.210566985939658,4.72169140651364,1,1
"Abca8a",0.669047619047619,27,0.854149133536545,-0.463755122794332,0.335510722983456,1
"Abcc5",0.364870509607352,57,-0.551015168797818,6.06439046214967,1,1
"Abcd3",0.580555555555555,60,0.46948528330122,-5.54784805457372,0.000865282981476647,0.00896793286582444
"Abhd18",0.431388888888889,60,-0.100928908850781,4.20291582434345,1,1
"Abi1",0.558095238095238,70,0.489805267680816,5.17548981432104,1,1
"Abl2",0.472222222222222,30,-0.719892080807265,-9.07575112738065,2.04008430271536e-05,0.000573870476515146
"Ablim1",0.489748954394032,124,-0.260460462169967,-2.33318384327271,0.0307589159527616,0.163037660358762
"Ablim3",0.428739316239316,78,-0.45567948377619,-15.6921873730026,2.11677587821732e-08,2.57466447576307e-06
"Abra",0.33844696969697,44,-1.4594316186373,6.51815730300416,1,1
"Abtb2",0.516250944822373,63,0.296393002780225,11.0760842169264,1,1
"Acacb",0.505051892551893,78,0.110182917750423,-0.290180287176725,0.4461710220016,1
"Acadl",0.277293844367015,41,-1.03242147769238,0.834358490974388,1,1
"Acadm",0.445454545454545,44,-0.277533975528909,1.54441042294907,1,1
"Acat1",0.57051282051282,39,0.400537929583729,-8.07002146992976,5.88270130203402e-05,0.001076294228015
"Acbd6",0.365151515151515,22,-1,-7.958650483892,6.61710780225162e-05,0.00117063807646197
"Acer2",0.476934523809524,32,0.369233809665719,11.4798987522714,1,1
"Ackr3",0.713768115942029,46,1.55458885167764,-0.750203295885079,0.220608811736334,0.741925642564987
"Aco2",0.46310309408901,71,-0.0159415438690215,0.222197498156802,1,1
"Acot11",0.625,28,0.308122295362332,9.80919421884301,1,1
"Acot13",0.431111111111111,45,-0.351472370501377,8.13659935967198,1,1
"Acox1",0.568292682926829,41,0.0824621601919728,0.0029336522200083,1,1
"Acsl1",0.465625,48,-0.249359468936717,2.49644209526171,1,1
"Acss1",0.609173807657305,59,0.661831264105427,2.41749983322386,1,1
"Actc1",0.499436090225564,57,-0.120294233717712,0.393666716036293,1,1
"Actn2",0.491741844575178,90,-0.0963683944722311,0.154925059332953,1,1
"Actr3",0.55995115995116,39,0.387023123109247,-0.539413266030422,0.298960217144119,0.952105984617062
"Acvr2a",0.648148148148148,36,0.961525852185364,8.38646029263525,1,1
"Acyp2",0.38430302901166,107,-0.446683125895309,-1.20662610371568,0.120312184416313,0.468498960589801
"Adam10",0.427083333333333,56,-0.358453970912476,19.0931260183417,1,1
"Adam19",0.225490196078431,51,-1.56390088519333,-9.8963429665606,8.6312328489663e-06,0.00030344706859209
"Adam22",0.75,27,1.58496250072116,-4.18562221769054,0.00381204497517423,0.0303777628466106
"Adamts6",0.490740740740741,36,-0.283792966000591,3.75567553603913,1,1
"Adamts9",0.521864442746796,85,0.172315548867307,0.453318446283049,1,1
"Adamtsl3",0.356481481481482,36,-0.970853654340483,3.51027117795984,1,1
"Adamtsl5",0.355333333333333,50,-0.53051471669878,-0.797192111217996,0.206700867425559,0.70727987651532
"Adarb1",0.507309941520468,57,-0.0324214776923775,11.8720801369096,1,1
"Adcy6",0.47108843537415,49,-0.269186632815389,3.27894752970231,1,1
"Adcy9",0.494318181818182,44,-0.0801703486839831,13.1967425652605,1,1
"Adgrf5",0.632316468253968,64,0.681470481574503,4.15504632052132,1,1
"Adgrl2",0.649451264880952,64,0.578173335058517,1.94041259707923,1,1
"Adgrl4",0.565310846560847,96,0.293196376344046,-1.0263432194037,0.151937887471681,0.565196332441336
"Adhfe1",0.637931034482759,29,0.893084796083488,-1.48632796160913,0.0846827199538482,0.360572063063608
"Adipor2",0.479251700680272,49,-0.0331668639351992,16.5936700899844,1,1
"Adk",0.460733915039628,104,-0.0250909809628304,0.634804755110281,1,1
"Adprhl1",0.314545454545455,55,-0.678071905112638,6.36912441803656,1,1
"Adra1a",0.392629295307867,56,-0.850252880495318,-2.7962681451928,0.0180371609897727,0.10534407053636
"Aebp2",0.521929824561404,38,0.106915203916512,5.37660531500651,1,1
"Afap1l1",0.568910256410256,52,0.584962500721156,1.799250402699,1,1
"Aff1",0.46099679541238,77,-0.209923069374231,4.75400364485327,1,1
"Afg1l",0.476545842217484,67,0.0406419844973458,20.6778789756856,1,1
"Afg2a",0.366666666666667,55,-0.415037499278844,7.24496226195305,1,1
"Afg3l2",0.419871794871795,52,-0.45567948377619,2.09654625755661,1,1
"Aftph",0.574561403508772,38,0.283792966000591,-9.03694833513209,2.12494747027478e-05,0.000573870476515146
"Agap1",0.523611111111111,60,0,4.48438603526458,1,1
"Agfg1",0.434188034188034,39,-0.299560281858908,-5.15522049037814,0.00132279670309013,0.0127948629322368
"Agl",0.508908045977011,58,-0.117356950638159,5.80069883129651,1,1
"Agmo",0.864285714285714,35,3.08746284125034,-3.44706186209336,0.00864795430996727,0.0596163100576777
"Ago3",0.509836065573771,61,0.0588936890535685,0.272159463033404,1,1
