"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1600010M07Rik",0.401595744680851,47,-0.691877704637668,1.72988829592025,1,1
"1700025G04Rik",0.531659226190476,64,0,0.614810341729381,1,1
"2210408F21Rik",0.508689876431812,93,0.142019004872428,1.34507232829756,1,1
"2610035D17Rik",0.828070175438597,38,2.41503749927884,10.2078749644415,1,1
"2610037D02Rik",0.36875,64,-0.80145432061792,-4.66137420761231,0.00226326257678723,0.014618618734612
"2610307P16Rik",0.362535564540282,106,-0.795986107978407,4.24523269561881,1,1
"3222401L13Rik",0.400574712643678,29,-0.688055993685259,-4.61727240281263,0.00237491434443991,0.015270376848186
"4632427E13Rik",0.457291666666667,80,-0.110182917750423,31.0697422795713,1,1
"4732440D04Rik",0.323800897170462,92,-0.814785127533092,13.4068098014904,1,1
"4930523C07Rik",0.450793650793651,63,-0.222392421336448,-13.7808475377994,1.52162520808046e-07,3.17974914806225e-06
"5031425E22Rik",0.498717332050665,99,-0.0130561528254464,18.1682874396749,1,1
"5330438D12Rik",0.467509920634921,48,0.234465253637023,-31.2477202795355,2.6706220316887e-15,4.21661545225515e-13
"5430431A17Rik",0.414516129032258,31,-0.295455883526171,-4.29602687875875,0.00337633011623861,0.0207246872361774
"6720427I07Rik",0.577777777777778,45,0.369233809665719,-3.97842254669905,0.00479058463224415,0.028071838195542
"9330159M07Rik",0.117407407407407,45,-3.23946593469539,-8.25067269157437,4.86155653987986e-05,0.000493447988797806
"9530026P05Rik",0.480580810592123,130,0.0745102776302792,-0.245740976625029,0.483266982801809,1
"AU040320",0.583333333333333,48,0.165059246270496,13.7060091855813,1,1
"AW554918",0.426337448559671,81,-0.546282032557096,14.7463479488698,1,1
"Aak1",0.529829290206649,106,-0.0388192488905279,3.84373555527777,1,1
"Abca1",0.420659117305459,82,-0.341036917835067,5.64774598966316,1,1
"Abca8a",0.702118644067797,59,1.03562390973072,1.4784419261332,1,1
"Abca8b",0.454411764705882,34,-0.255257055242075,-24.8516978847123,1.78836122176874e-12,1.27063064806669e-10
"Abca9",0.59375,36,1.1096244911745,2.7544784907333,1,1
