"","AR","N","log2FC","llr_var","pval_var"
"1600010M07Rik",0.483333333333333,10,-0.0544477840223765,-3448.6045591965,0
"1700025G04Rik",0.522463768115942,23,0.0601209924375707,-38.8700848900571,1.17526727831115e-18
"2210408F21Rik",0.505980725623583,42,0.0161196653632769,3021.29147037891,1
"2610037D02Rik",0.541666666666667,16,-0.427421223734676,-1349.66810272697,0
"2610307P16Rik",0.453410553410553,37,-0.409644240508625,3110.0288782775,1
"4632427E13Rik",0.566666666666667,33,0.276840205358825,2093.15479697788,1
"4732440D04Rik",0.35879917184265,46,-0.801095931585922,3051.65066649614,1
"5031425E22Rik",0.454028379028379,42,0.0360692547075219,3006.65593194718,1
"6820431F20Rik",0.788888888888889,15,1.3536369546147,-245.017033799028,1.40087503673269e-108
"9330159M07Rik",0.0652173913043478,23,-4.54432051622381,161.0512343488,1
"9530026P05Rik",0.487206915467785,69,-0.0794344674944049,3442.68351646991,1
"AW554918",0.43010752688172,31,-0.407657968913246,-30.103801867313,8.53618040052685e-15
"Aak1",0.467441860465116,43,-0.112474729258413,2428.45102541964,1
"Abca1",0.503401360544218,21,-0.387023123109247,194.045112812991,1
"Abca8a",0.582460317460317,25,0.409112665321739,3622.33037781723,1
"Abca8b",0.524470899470899,12,0.84799690655495,-3248.77482133077,0
"Abca9",0.75,10,0.938599455335857,-2875.56900075396,0
"Abcc1",0.430555555555556,12,-0.415037499278844,-3147.38590944462,0
"Abcc5",0.472222222222222,18,-0.14086253583985,-136.169090005799,3.5101129611145e-61
"Abcd3",0.549019607843137,17,0.285402218862248,-3091.4357582225,0
"Abhd17b",0.45,10,-0.632268215499513,-4208.5266412311,0
"Abhd18",0.432679738562092,17,-0.495957494662411,191.92811448633,1
"Abi1",0.656529738401083,54,1.17833724125851,3093.03668875387,1
"Abi3bp",0.446428571428571,11,-0.398549376490275,-3304.22025252433,0
"Abl2",0.466666666666667,10,0.106915203916512,-6752.17146830951,0
"Ablim1",0.492400408525641,112,-0.055817214633874,3982.83603294308,1
"Ablim3",0.681818181818182,11,0.956931278108114,-2838.6394042089,0
"Abra",0.37073216638434,23,-0.500428990509489,174.153205773543,1
"Abtb2",0.597760341510342,36,0.309684499132615,3108.86176334602,1
"Acaca",0.383333333333333,10,-0.68805599368526,-72.7651330324047,1.64449680872414e-33
"Acacb",0.446882465360726,46,-0.0483630215613993,3222.68249245439,1
"Acadl",0.546296296296296,18,-0.041820175694627,-288.295216666885,2.06887672868276e-127
"Acadm",0.516666666666667,10,0.362570079384708,-3731.52247715457,0
"Acadsb",0.53030303030303,11,0.584962500721156,-3300.14303801621,0
"Acap2",0.46969696969697,11,0.253756592245783,-6220.00742086108,0
"Acat1",0.477777777777778,10,-0.214124805352847,-2932.36637334171,0
"Acer2",0.47086038961039,48,-0.0677446066358343,3176.05048260999,1
"Acer3",0.546428571428571,14,0.165059246270496,60.4697144659044,1
"Ackr3",0.540277777777778,24,0.373458395527445,5117.46777931906,1
"Aco2",0.470238095238095,28,-0.0703893278913981,3087.0085326796,1
"Acox1",0.513888888888889,18,0.12199052437861,-34.6271304522388,8.65537408150407e-17
"Acsl1",0.430555555555556,12,-0.383328639551505,-3114.20128291691,0
"Acss1",0.67034632034632,33,0.932885804141463,3071.21729035041,1
"Actc1",0.477072310405644,27,-0.20163386116965,-16.933804304731,5.89927336764157e-09
"Actc1dt",0.360606060606061,11,-0.432959407276106,-2952.32471891417,0
