"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1110004F10Rik",0.453846153846154,65,-0.347923303420303,-0.336895105838934,0.411733279525603,0.808096922860665
"1110019D14Rik",0.537581699346405,51,0.241008099503793,-0.0946147383934388,0.66355869240466,0.993559060879363
"1110059E24Rik",0.46,75,-0.200298650485833,-0.308042732736013,0.432505682099144,0.828612556740318
"1500004A13Rik",0.437463126843658,113,-0.330148601692333,-1.00360471127155,0.15655305397297,0.521999287426291
"1600010M07Rik",0.480902777777778,144,-0.11042398969365,-0.215121312857804,0.511869919522595,0.885674487633952
"1600020E01Rik",0.317777777777778,75,-0.974909019037172,-5.2000168481362,0.00126013014226478,0.0196862289358008
"1700025G04Rik",0.530448712044457,235,0.309204587266721,-0.168147822652941,0.561975290137105,0.922851617021985
"2210408F21Rik",0.455569094877444,382,-0.18590350006334,-2.1571627922209,0.0377927487639281,0.233602988501483
"2210408I21Rik",0.596631205673759,94,0.463400520840242,-1.15318166381832,0.128845187014204,0.472308333229765
"2310014F06Rik",0.418154761904762,56,-0.384663850235324,-0.758595958724243,0.218044934915381,0.593576349847594
"2610008E11Rik",0.656378600823045,81,0.977279923499914,-3.44922865142622,0.00862701614422087,0.0834318357843698
"2610035D17Rik",0.712141280353201,151,1.06054154193505,-12.0623160273856,9.02978546929722e-07,3.4780242652431e-05
"2610037D02Rik",0.477245862884161,188,-0.143835772573655,-0.270715381064917,0.461840376405293,0.850578236512304
"2610307P16Rik",0.480233918128655,95,0.0159415438690256,-0.0422274043113475,0.771348773458216,1
"2700049A03Rik",0.535185185185185,90,0.23446525363702,-0.0955247634370693,0.662044537255762,0.992289497637955
"2700097O09Rik",0.546728971962617,107,0.472068444315222,0.0385617165721328,1,1
"3110056K07Rik",0.423469387755102,98,-0.371968777386959,-1.27082512808968,0.110878844379157,0.433246808463704
"3110082I17Rik",0.49390243902439,82,-0.0269670476002664,-0.0286339340103297,0.810867492878533,1
"3222401L13Rik",0.390562248995984,83,-0.763559804177921,-1.46800338016374,0.0866246424949944,0.37609092711421
"4632427E13Rik",0.513495058400719,265,0.12109181691736,0.0623681516433408,1,1
"4732440D04Rik",0.315092771342771,296,-1.09530696009573,-24.2590838834441,3.27243174423044e-12,2.47817373444434e-10
"4732471J01Rik",0.384615384615385,78,-0.459431618637296,-2.04455874292368,0.04316017190901,0.252738726198502
"4833420G17Rik",0.71236559139785,62,1.34792330342031,-4.8309220905774,0.00188134664021349,0.026941848681006
"4921524J17Rik",0.371621621621622,74,-0.788495894806286,-2.63034293132105,0.0218124213114892,0.161087435404518
"4930503L19Rik",0.517441860465116,86,0.115477217419933,-0.0137911987514343,0.868094393407994,1
