"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1110004F10Rik",0.35,0.350000000000105,998.999999999999,389.181715808384,14.9902072780052,2,10
"1110019D14Rik",0.493589743589744,0.529411765851599,998.999999999999,380.238444403506,1.33085075228923,2.61538461538462,13
"1110059E24Rik",0.441176470588235,0.465116279069756,0.73644531368415,1.28085222333738,1.52915001384049,2.52941176470588,17
"1500004A13Rik",0.444047619047619,0.452054794522452,1.71453255929233,1.53330058221575,1.34743220484798,2.60714285714286,28
"1600010M07Rik",0.459677419354839,0.471428571429941,1.29082388668085,2.81744629802276,3.55450179157187,2.25806451612903,31
"1600020E01Rik",0.483333333333333,0.476190477789661,998.999999999999,384.706897718847,8.1556684492528,2.1,10
"1700025G04Rik",0.582378255863104,0.578947368421053,0.583788901385943,0.723978386283342,0.767158759179578,3.26262626262626,99
"2210408F21Rik",0.457676387939546,0.471218206158121,0.443590027413361,0.615320732851677,0.682517650075711,3.52358490566038,212
"2210408I21Rik",0.641203703703704,0.585858585830183,257.012249066128,98.3368045316247,1.12597499628058,2.75,36
"2310014F06Rik",0.442982456140351,0.456521739130411,0.947530032621576,1.63796847604182,1.95215643348736,2.42105263157895,19
"2610008E11Rik",0.680555555555556,0.692307690809448,998.999999999999,383.067610609696,5.6519306045427,2.16666666666667,12
"2610035D17Rik",0.663565891472868,0.620370367958079,2.90630425001453,2.13862563657372,1.58073775725184,2.51162790697674,43
"2610037D02Rik",0.472222222222222,0.470588235294126,0.529706924437765,1.11100436467559,1.38964398347395,2.58695652173913,46
"2610307P16Rik",0.491787439613527,0.51515151514658,0.615955423144385,0.899727073429783,1.01692900472801,2.8695652173913,46
"2700049A03Rik",0.572916666666667,0.567567567962779,5.36002219585643,3.86891027141283,2.8003027476078,2.3125,16
"2700097O09Rik",0.672413793103448,0.671428571428571,4.88223661191124,3.15810718929698,1.9917851455444,2.41379310344828,29
"3110056K07Rik",0.53125,0.514285714285714,0.762834907924636,3.60257283579993,5.05988533128214,2.1875,16
"3110082I17Rik",0.5,0.499999999991865,998.999999999999,385.121903062746,8.78951994450066,2.08695652173913,23
"3222401L13Rik",0.296666666666667,0.310344827586114,0.126685852380168,1.82794054843549,2.71839673659663,2.32,25
"4632427E13Rik",0.515011337868481,0.525597269607447,0.71214947493023,0.980513395792939,1.08452409771488,2.79047619047619,105
"4732440D04Rik",0.319374731874732,0.321212121212122,0.631137549427384,0.721180176252628,0.735422743861964,3.3445945945946,148
"4732471J01Rik",0.571428571428571,0.58064516129033,0.352772791345618,3.01801547919555,4.40490742291088,2.21428571428571,14
"4833420G17Rik",0.726190476190476,0.733333333332844,3.43128191826768,5.51118215371726,6.42726869684892,2.14285714285714,14
"4921524J17Rik",0.366666666666667,0.354838709677427,998.999999999999,385.848395174709,9.89911556350524,2.06666666666667,15
"4930503L19Rik",0.541666666666667,0.538461538453866,998.999999999999,383.067610609696,5.6519306045427,2.16666666666667,12
"4930506C21Rik",0.35,0.375000000514769,1e-06,1e-06,2.06695422456171,2.4,10
"4930523C07Rik",0.364930555555556,0.394736842139702,1.87275353399144,2.17605791545834,2.23736873982834,2.375,48
"4930578G10Rik",0.871794871794872,0.874999999993684,0.275171378290654,2.44993597784323,3.58226948408399,2.25641025641026,39
"4930599N23Rik",0.583333333333333,0.583333332303795,998.999999999999,389.181715808384,14.9902072780052,2,12
"4933406I18Rik",0.41025641025641,0.421875000795755,998.999999999999,380.519321895532,1.75984430844343,2.46153846153846,26
"4933431K23Rik",0.426666666666667,0.411764705882353,998.999999999999,380.332901795617,1.47511867583987,2.55,20
"4933434E20Rik",0.318181818181818,0.31818181930495,0.152959503471676,9.87271308818337,14.9902072780052,2,11
"5031425E22Rik",0.559129612109745,0.544152744629799,0.506380052321064,0.912390900264072,1.09982460465711,2.77483443708609,151
"5031439G07Rik",0.583333333333333,0.590909092032223,2.01082136795817,3.86715660444767,4.74016079377734,2.2,10
"5330438D12Rik",0.391333333333333,0.366666666759358,0.489461924134631,1.5426023219664,2.07218003041859,2.4,25
"5430405H02Rik",0.5,0.521739130434622,998.999999999999,384.992139695705,8.59132802857419,2.09090909090909,11
"5430431A17Rik",0.604938271604938,0.608695652173913,1.54269703082269,1.54268122812152,1.46142418454045,2.55555555555556,27
"5830417I10Rik",0.818181818181818,0.793103447765525,1.07537084052948,1.25295995933961,1.28997242372426,2.63636363636364,11
