"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Abca8a",TRUE,4,324.589137180736,323.438263645564,125,124,0.00354563170279776
"Ablim1",TRUE,3,327.275563116991,326.23496293014,152,151,0.0031795841306973
"Actn2",TRUE,4,296.431111608937,281.803118935263,99,98,0.0493470222955936
"Acyp2",TRUE,3,199.568729923168,199.331125436528,112,111,0.0011905897618919
"Adk",TRUE,3,258.540820482778,253.517687850074,118,117,0.019428779653921
"Airn",TRUE,4,366.280957031096,364.987585177622,113,112,0.00353109226304749
"Akap6",TRUE,3,130.676053415727,130.00257194167,86,85,0.00515382471732861
"Ank2",TRUE,3,298.790197049333,295.563818804593,166,165,0.010798139552777
"Ankrd17",TRUE,4,77.683914319878,77.5245658764344,49,48,0.00205124117185285
"Aopep",TRUE,3,77.2589053993405,77.2142526311836,56,55,0.000577962733565252
"Arhgap24",TRUE,4,203.082535846739,189.424367054388,69,68,0.0672542753880997
"Arhgap26",TRUE,3,114.528669620353,114.356527025006,85,84,0.00150305243147386
"Arl15",TRUE,3,140.285301489867,139.727528353194,55,54,0.00397599128881865
"Asap1",TRUE,4,98.0487389943867,97.9596628721079,61,60,0.000908488198750335
"Atp2a2",TRUE,3,368.611945760988,366.18201379427,181,180,0.00659211399592852
"Bicc1",TRUE,3,154.166677346468,152.776950931456,76,75,0.00901444098642123
"Cacna1c",TRUE,4,369.186069384494,365.038803248547,187,186,0.0112335390738373
"Cacna2d1",TRUE,4,147.115232525435,145.923203769058,65,64,0.00810268750498877
"Cacnb2",TRUE,3,340.761585791162,340.660279550534,156,155,0.000297293606004501
"Camk2d",TRUE,3,92.2333599051824,90.6060857023963,73,72,0.0176430112104661
"Ccdc141",TRUE,4,68.631846128255,66.397833504095,51,50,0.0325506707190318
"Cd36",TRUE,3,199.355086984013,198.791167936273,116,115,0.0028287166195341
"Cdh13",TRUE,4,134.940403224632,131.339159647627,54,53,0.0266876598183102
"Cdh2",TRUE,3,338.091969221161,335.474707051582,145,144,0.0077412728128633
"Celf2",TRUE,3,598.776400814873,598.503665556251,306,305,0.000455487654907771
"Chchd3",TRUE,3,97.0874821592616,92.4205891131543,59,58,0.0480689471218516
"Chrm2",TRUE,4,204.505572195399,202.599194302047,58,57,0.00932188728593808
"Ckmt2",TRUE,4,219.397232537678,216.954884779794,90,89,0.0111320809730996
"Clic4",TRUE,4,122.968770866893,122.926190596051,61,60,0.000346268979858011
"Clip1",TRUE,4,83.7112268141874,83.6910839198337,54,53,0.000240623571296616
"Col4a1",TRUE,4,173.102716164283,165.98558638913,61,60,0.0411150670125766
"Corin",TRUE,4,259.648800716559,256.308766987238,97,96,0.0128636593741374
"Cpeb3",TRUE,3,276.754196432783,274.105083943703,119,118,0.00957207703885188
"Cped1",TRUE,3,161.337176343459,158.909245394519,83,82,0.0150488003073196
"Cyth3",TRUE,3,155.587593107385,153.258983304099,62,61,0.0149665520031441
"D830005E20Rik",TRUE,4,372.35228488567,370.531964343448,154,153,0.00488870517547857
"Dcn",TRUE,3,209.308078962177,208.844222972048,111,110,0.002216139923643
"Dip2c",TRUE,3,149.147174333007,146.754711767628,92,91,0.0160409513360086
"Dlc1",TRUE,3,375.144375402039,366.279493434923,177,176,0.023630587444142
"Dst",TRUE,3,157.088041034069,155.515105567222,94,93,0.0100130821957716
"Ebf1",TRUE,3,388.098959275478,381.240385750229,174,173,0.0176722285935857
"Efna5",TRUE,4,229.113271697331,224.83949019308,71,70,0.0186535745947414
"Egfr",TRUE,4,353.220489898607,352.85827697842,69,68,0.00102545840500812
"Ehbp1",TRUE,3,92.8853537930422,91.788375100001,66,65,0.0118100286885426
"Errfi1",TRUE,4,282.685361724349,281.309127343681,105,104,0.00486843171600226
"Esrrg",TRUE,3,164.137479250871,163.447258793729,80,79,0.00420513620832985
"Ext1",TRUE,4,271.085450889476,269.254355010885,113,112,0.00675468149464842
"Fbxl17",TRUE,3,106.140288215941,106.133924920948,59,58,5.99517402886107e-05
"Fhl2",TRUE,4,1089.80276859169,1088.46461004301,176,175,0.00122789057547157
"Fhod3",TRUE,4,343.510086269122,341.387497677082,154,153,0.0061791157723895
"Filip1",TRUE,3,156.682929381185,156.680369202865,76,75,1.63398675897541e-05
"Fmnl2",TRUE,4,208.504752483141,204.053898998682,66,65,0.0213465325439969
"Fry",TRUE,3,123.232379300019,122.848100655063,59,58,0.00311832529030265
"Gab2",TRUE,3,239.389256542639,238.098361817851,111,110,0.00539245053613135
"Ghr",TRUE,4,436.020800407532,430.586706762698,162,161,0.0124629229609112
"Gm56730",TRUE,20,8.96773894476682,8.43373899378812,51,50,0.0595467769822088
"Gpcpd1",TRUE,3,393.106980259697,392.490616259747,121,120,0.00156792942100281
"Grm1",TRUE,6,35.9261298043945,35.9137230924227,107,106,0.000345339507465514
"Heg1",TRUE,4,367.973530380984,365.110914797466,106,105,0.00777940625390494
"Hivep2",TRUE,4,176.992255055231,176.396014618779,85,84,0.00336873744145749
"Igfbp7",TRUE,3,183.892275517554,182.027894641501,53,52,0.0101384404037959
"Ivns1abp",TRUE,3,61.7278774535412,60.6076420588438,56,55,0.0181479655693745
"Kcnd2",TRUE,4,252.573775618066,252.217465600131,81,80,0.00141071659978786
"Kcnt2",TRUE,3,273.071922770789,272.277805269789,113,112,0.00290808916911778
"Lama2",TRUE,4,665.079091620463,660.797905532614,304,303,0.00643710822034393
"Lamc1",TRUE,4,254.026819577098,249.821957230569,112,111,0.0165528283727266
"Ldb3",TRUE,3,135.611453293137,134.658576600459,102,101,0.00702652076604726
"Lhfpl6",TRUE,4,296.840241622643,296.781087231484,130,129,0.000199280228437182
"Limch1",TRUE,3,264.146513488008,263.635556979044,128,127,0.00193436779542056
"Lmo7",TRUE,3,206.226214631867,206.196491166315,125,124,0.000144130393924802
"Lncpint",TRUE,3,341.871834059686,341.324973425091,174,173,0.00159960716301322
"Lpl",TRUE,4,152.881530726918,145.723270887212,76,75,0.046822266925703
"Lpp",TRUE,4,115.137870091728,115.122102265439,62,61,0.000136947350832917
"Luc7l2",TRUE,3,130.187631876477,129.164744804257,116,115,0.00785702188046966
"Magi1",TRUE,4,129.067608514539,128.990281389245,71,70,0.000599121082228593
"Malat1",TRUE,3,747.273869750896,746.85673498775,408,407,0.000558208683630435
"Man1a",TRUE,4,137.349821803381,136.305120295427,51,50,0.00760613660969756
"Mast2",TRUE,3,154.952240629694,154.892002933274,105,104,0.000388750083088474
"Mast4",TRUE,3,436.673731596789,436.510192493737,184,183,0.000374510970592157
"Mbnl2",TRUE,3,184.902524957431,184.795907906611,133,132,0.000576612195236748
"Mhrt",TRUE,4,182.135755550233,178.98983557062,122,121,0.017272390970733
"Mir99ahg",TRUE,4,303.12007857843,302.195625933233,171,170,0.00304979020041363
"Mlip",TRUE,3,254.007773066545,252.91801456004,110,109,0.00429025652777559
"Msi2",TRUE,3,97.9326956038118,96.8592656324456,59,58,0.0109608947731696
"Msrb3",TRUE,3,80.145282963603,80.1009471177182,54,53,0.000553193453754708
"Myh6",TRUE,4,519.702112639029,517.780719600278,181,180,0.00369710453743299
"Myocd",TRUE,3,301.904712965764,300.577496598077,109,108,0.0043961432554307
"Myom1",TRUE,3,169.94005564879,166.028809819635,123,122,0.0230154439706571
"Myzap",TRUE,4,76.8282342483808,76.5957556859684,59,58,0.00302595217353008
"Neat1",TRUE,3,324.864957313395,318.091407397917,192,191,0.0208503557031642
"Nfia",TRUE,3,366.588103586969,363.625291863688,173,172,0.00808212730934554
"Nfib",TRUE,3,212.513972524483,209.372174147677,118,117,0.0147839614472565
"Ogdh",TRUE,3,195.176601356659,193.001331887667,83,82,0.0111451344775564
"Pakap",TRUE,4,201.626226640164,201.621667326499,83,82,2.26127014376631e-05
"Palld",TRUE,3,235.523724931551,235.389732860534,126,125,0.000568911140718109
"Pam",TRUE,3,213.501915886762,213.481529064831,73,72,9.54877704296697e-05
"Pbx1",TRUE,3,216.82420755483,216.678050595947,105,104,0.000674080447621517
"Pcdh7",TRUE,4,394.558443512122,392.470079763838,189,188,0.00529291359144379
"Pcdh9",TRUE,3,533.069593324931,525.256942357577,129,128,0.0146559681234574
"Pde10a",TRUE,4,191.448039726014,190.991827773608,50,49,0.00238295441968939
"Pde3a",TRUE,3,360.739994798716,354.146485402065,113,112,0.0182777332475422
"Pde4b",TRUE,4,262.165258704687,261.769348286279,113,112,0.00151015592364978
"Pdlim5",TRUE,3,331.083503295513,331.080163132467,193,192,1.00885819247498e-05
"Pdzrn3",TRUE,4,205.424828140487,204.056364064109,51,50,0.00666162940850512
"Pln",TRUE,4,269.44523986469,268.672564301384,130,129,0.00286765341890582
"Plxdc2",TRUE,3,172.970139314553,171.90194094014,70,69,0.00617562302167463
"Prex2",TRUE,3,84.9118333320274,84.9061602006645,71,70,6.68120230158387e-05
"Prkce",TRUE,4,129.754570661128,107.544832872609,52,51,0.171167286634722
"Prkg1",TRUE,5,109.377972980481,109.277369171696,62,61,0.000919781250682594
"Psme4",TRUE,3,115.320048295178,113.630082750886,78,77,0.0146545684750889
"Ptprg",TRUE,3,264.652410640045,263.359298479007,117,116,0.00488607739453595
"Ptprm",TRUE,3,291.815225210624,281.829902108386,159,158,0.0342179647927245
"Qki",TRUE,3,153.106247074335,152.147626263158,102,101,0.0062611475984462
"Rbfox1",TRUE,4,119.519608540751,118.034414919131,57,56,0.0124263594882258
"Rbm20",TRUE,3,340.221096584145,338.54962911543,178,177,0.00491288601881545
"Rbms1",TRUE,3,189.847327310865,186.377582911243,99,98,0.0182764985357999
"Rbms3",TRUE,3,112.497459513379,110.943692196333,66,65,0.0138115769348637
"Rbpms",TRUE,3,106.669683474093,106.57492806982,84,83,0.000888306791457683
"Rhoj",TRUE,4,180.259909823394,180.240639799938,67,66,0.000106901326396569
"Rock2",TRUE,4,163.657213533574,161.638916236718,82,81,0.0123324676821628
"Rora",TRUE,4,518.33357494517,517.26776972441,272,271,0.00205621490151842
"Ryr2",TRUE,3,786.825301172606,779.065513260098,185,184,0.00986214843491184
"Samd4",TRUE,4,134.120567417149,134.069560589896,82,81,0.000380305781844115
"Sik3",TRUE,4,213.995093492303,213.027504105464,96,95,0.0045215494011972
"Slc8a1",TRUE,3,554.749627301929,553.136709886153,198,197,0.00290746912912965
"Slco3a1",TRUE,4,141.912611620554,139.98519824985,56,55,0.0135816919207846
"Slit3",TRUE,4,175.6410605642,168.34582124169,54,53,0.0415349309499468
"Sorbs1",TRUE,3,291.807743401855,291.661484904711,180,179,0.000501215270846567
"Sorbs2",TRUE,3,258.608095811592,258.568954940472,128,127,0.00015135207193484
"Sptbn1",TRUE,3,338.42568236071,337.943209408874,239,238,0.00142563929684747
"Synpo2",TRUE,3,222.010032059652,221.388120744248,83,82,0.00280127573350819
"Tacc2",TRUE,4,73.217897548422,72.9965562625274,49,48,0.00302304891708005
"Tcf4",TRUE,3,151.438360527095,150.713645556391,79,78,0.00478554421866406
"Tnni3k",TRUE,3,161.012464518516,159.581963541404,80,79,0.00888441141119423
"Tnnt2",TRUE,4,113.901652792259,111.193235664438,78,77,0.0237785586198676
"Trdn",TRUE,3,228.821964072236,228.093850770578,148,147,0.0031820079187368
"Ttn",TRUE,3,472.067504381683,469.850169660674,185,184,0.00469707128838059
"Uap1",TRUE,4,212.638055707356,212.202218257988,55,54,0.00204966814579965
"Zbtb16",TRUE,3,240.021722469681,238.390787081938,154,153,0.00679494910278033
"Zeb1",TRUE,4,252.438882568422,252.22986769855,122,121,0.000827982075288558
"Zfpm2",TRUE,3,271.243604737496,271.049377440948,153,152,0.000716062215498803
