"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1700025G04Rik",0.63,0.632653061224457,998.999999999999,380.414297586295,1.59943718013529,1.96,25
"2210408F21Rik",0.561865785275149,0.564971751412429,0.47497992040838,0.386269994482649,0.314474684402971,3.61224489795918,49
"4632427E13Rik",0.525740025740026,0.485294117647058,1.58312635444636,2.37286075043259,2.70593603391515,1.83783783783784,37
"4732440D04Rik",0.272788065843621,0.296551724192732,0.345334029011503,0.467669969920987,0.513994197232648,2.68518518518519,54
"5031425E22Rik",0.547404761904762,0.540983606557371,0.894619549434227,0.753384283561412,0.631789590420945,2.44,50
"5330438D12Rik",0.626436781609195,0.608695651101271,2.18308648052558,9.72898494577715,13.5932128484788,1.58620689655172,29
"5430431A17Rik",0.533333333333333,0.47619047619369,998.999999999999,383.852561963393,6.85081297208877,1.68,25
"9330159M07Rik",0.0752688172043011,0.0447761197445319,1e-06,1e-06,0.942973288249741,2.16129032258065,31
"9530026P05Rik",0.750630110630111,0.716312056737589,0.407177331440701,0.408256457402797,0.387380843704266,3.13333333333333,45
"Aak1",0.474247129681912,0.459459459477393,0.480421479868231,0.607173965907049,0.648712578938458,2.41304347826087,46
"Abca1",0.468693009118541,0.459459459459459,3.85012701668417,1.91114751306496,0.685885631944402,2.36170212765957,47
"Abca9",0.460752688172043,0.428571428570606,1.05236669307123,2.48381336722575,3.18323826756148,1.80645161290323,31
"Abcc5",0.527472527472527,0.514285714362235,2.40855500329199,1.83119563802901,1.39988423590695,2,35
"Abcd3",0.634391534391534,0.6521739129648,0.615086693886332,1.03908755808223,1.23028278125685,2.04444444444444,45
"Abhd18",0.473983739837398,0.440000000071551,2.666869278459,2.86274119735043,2.82557587391366,1.82926829268293,41
"Abi1",0.552083333333333,0.576271186430897,4.31679040888229,3.35968063947158,2.62761379286786,1.84375,32
"Ablim1",0.457401717462499,0.448023426061493,0.120857859752187,0.112220680017771,0.101300826624207,11.0161290322581,62
"Abra",0.273548454469507,0.360759493673755,0.635806489176049,0.421810763117903,0.275477875146635,3.95,40
"Abtb2",0.480492424242424,0.472222222250967,0.67593416237906,0.664743785490858,0.623243527526516,2.45454545454545,44
"Acacb",0.517268324895443,0.494897959310841,0.407232307010973,0.387072537028937,0.354994050155832,3.32203389830508,59
"Acadl",0.497311827956989,0.436619718309859,2.16552543695978,1.31538516239203,0.753026851256758,2.29032258064516,31
"Acadm",0.513477975016437,0.50666666667074,1.02387107205903,1.5932261548315,1.83954219201841,1.92307692307692,39
"Acat1",0.547619047619048,0.492307692307693,0.573182715840563,1.82962763845822,2.46200530461767,1.85714285714286,35
"Aco2",0.500987841945289,0.504201680672319,0.535988753417105,0.585122676773016,0.582803891342733,2.53191489361702,47
"Acot13",0.482608695652174,0.48837209303055,1.02184204324654,1.90824974968831,2.32186506594096,1.8695652173913,23
"Acox1",0.5,0.528735632183908,1.98599636186534,1.91064927702658,1.76632043923004,1.93333333333333,45
"Acsl1",0.456043956043956,0.379746835805446,2.74587058279681,1.89160129683306,1.29650077600754,2.02564102564103,39
"Acss1",0.51357370699476,0.565217391102768,0.327813471294117,0.408203505379261,0.433331007198669,2.92727272727273,55
"Actc1",0.378637566137566,0.351648351648385,0.299616133443591,0.305236500197968,0.29242052390508,3.79166666666667,48
"Actn2",0.490603300631312,0.491416309014511,0.183916473760971,0.15969820304392,0.13724083400105,7.3968253968254,63
"Acyp2",0.428588908538783,0.422018348623853,0.129060149555787,0.144290681472802,0.145525080760436,6.92063492063492,63
"Adam19",0.247916666666667,0.256756756757633,3.80675220895454,3.11410225150737,2.54835589094195,1.85,40
"Adamtsl5",0.443019943019943,0.492753623188408,3.47227525258863,3.88193179750528,3.915084185555,1.76923076923077,39
"Adcy6",0.431862745098039,0.428571428782076,1.6112136064336,2.2567245395236,2.51226672163423,1.85294117647059,34
"Adgre1",0.575396825396825,0.542857142857143,1.45153719952687,5.46547660084436,7.50571301929736,1.66666666666667,21
"Adk",0.472526203178152,0.484787018255566,0.131768836001622,0.140301109978045,0.137860637092194,7.35820895522388,67
"Adprhl1",0.596627647714604,0.542857142857143,0.499171725831332,0.688285815107327,0.761722267291751,2.28260869565217,46
"Adra1a",0.350523756079312,0.347560975609756,1.02414912579844,0.65544359536508,0.407074358357837,3.03703703703704,54
"Aff1",0.504710144927536,0.514563106794562,1.02120532084421,0.922730283911193,0.817017634204054,2.23913043478261,46
"Afg1l",0.481481481481481,0.48000000000001,0.370935730931742,0.870220917829473,1.11397469122447,2.08333333333333,36
"Aftph",0.486111111111111,0.483333333333541,6.8629644433025,7.52044897189839,7.50571301929736,1.66666666666667,36
"Agap1",0.341421568627451,0.357142857143265,1.26828562064142,6.12239323323894,8.61532960492825,1.64705882352941,34
"Agl",0.42918271287976,0.430379746819448,0.484473866637323,1.37043110594324,1.81211026649433,1.92682926829268,41
"Ago3",0.342857142857143,0.393939394341127,6.07742283549491,3.72016735230156,2.15703035816154,1.88571428571429,35
"Agtpbp1",0.562629051620648,0.588235294117647,1.60920655283125,0.897059358693902,0.436768859869696,2.91428571428571,35
"Aig1",0.373029163818638,0.286956521739132,0.594344551916589,0.49377648789236,0.409441449062643,3.02631578947368,38
"Airn",0.28912647342786,0.415472779369528,2.62815625717511,1.12096362292511,0.187754477586057,5.36923076923077,65
"Akap13",0.628559738134206,0.596153846153845,0.454031086152859,0.732176540180143,0.854939605733147,2.21276595744681,47
"Akap6",0.437533989969182,0.430232558140064,0.310899067783627,0.220270460397687,0.156104957199563,6.41791044776119,67
"Alcam",0.37962962962963,0.505882352941176,2.62506882767097,1.24865562708663,0.384573441054491,3.14814814814815,27
"Alpk2",0.41446608946609,0.408163265306123,0.682378427658402,0.599175912703874,0.519361855961177,2.67272727272727,55
