"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.63,25,0.784271308944563,8.05499145282079,1,1
"2210408F21Rik",0.561865785275149,49,0.377069649079823,0.405227907244907,1,1
"4632427E13Rik",0.525740025740026,37,-0.0848888975865129,1.55141990587882,1,1
"4732440D04Rik",0.272788065843621,54,-1.2461605872694,-0.295305879522822,0.442182652753085,0.956892618920698
"5031425E22Rik",0.547404761904762,50,0.237039197300849,9.05250528329101,1,1
"5330438D12Rik",0.626436781609195,29,0.637429920615292,-7.70140042134948,8.68594549617024e-05,0.00247852444739555
"5430431A17Rik",0.533333333333333,25,-0.137503523749935,-3.88657788337057,0.00530283268778982,0.0302631428275261
"9330159M07Rik",0.0752688172043011,31,-4.41503749927884,-0.594227318167313,0.275641496199109,0.650407915069822
"9530026P05Rik",0.750630110630111,45,1.33628338786443,0.0261062663900873,1,1
"Aak1",0.474247129681912,46,-0.234465253637023,-0.0895460748370169,0.672154596303587,1
"Abca1",0.468693009118541,47,-0.234465253637023,4.69968072755758,1,1
"Abca9",0.460752688172043,31,-0.415037499278844,0.127046830632281,1,1
"Abcc5",0.527472527472527,35,0.082462160191973,3.79463020043099,1,1
"Abcd3",0.634391534391534,45,0.906890595608518,-0.274834151444665,0.458453257059959,0.981714042604834
"Abhd18",0.473983739837398,41,-0.347923303420307,2.54886604574752,1,1
"Abi1",0.552083333333333,32,0.443606651475615,10.5014965738964,1,1
"Ablim1",0.457401717462499,62,-0.301032870576013,-0.635856043073986,0.259445739288018,0.619338369856806
"Abra",0.273548454469507,40,-0.825321468587053,-1.00383557824844,0.156505403146031,0.420201596630592
"Abtb2",0.480492424242424,44,-0.160464672193246,6.17800938932358,1,1
"Acacb",0.517268324895443,59,-0.0294437778924819,-0.231673741423208,0.496063664067188,1
"Acadl",0.497311827956989,31,-0.367731784500487,-4.16934936651869,0.00388093849003034,0.0253715883358592
"Acadm",0.513477975016437,39,0.0384741478146359,2.40558204680801,1,1
"Acat1",0.547619047619048,35,-0.0443941193584534,-7.60100692609908,9.66003476574506e-05,0.00269383242217482
"Aco2",0.500987841945289,47,0.0242475462466772,0.665648037368335,1,1
"Acot13",0.482608695652174,23,-0.0671141958585371,-3.70889041938249,0.00645824201287926,0.0346037683397504
"Acox1",0.5,45,0.166009951438929,0.997441087509955,1,1
"Acsl1",0.456043956043956,39,-0.70781924850669,4.34029677802989,1,1
"Acss1",0.51357370699476,55,0.37851162325373,0.0702547469577439,1,1
"Actc1",0.378637566137566,48,-0.882643049361841,1.94918275492401,1,1
"Actn2",0.490603300631312,63,-0.0495394608013151,0.208557897237952,1,1
"Acyp2",0.428588908538783,63,-0.453717967442904,-0.128083331081712,0.612766025859486,1
"Adam19",0.247916666666667,40,-1.53343220008107,2.74419304887945,1,1
"Adamtsl5",0.443019943019943,39,-0.0418201756946269,-2.89786083653242,0.0160652191298118,0.0701495511469007
"Adcy6",0.431862745098039,34,-0.415037499278844,0.198254098746652,1,1
"Adgre1",0.575396825396825,21,0.247927513443586,-1.87181630292254,0.0530090833663143,0.17868721233645
"Adk",0.472526203178152,67,-0.0878178787914172,-2.23993311258685,0.0342964054139417,0.12675207663526
"Adprhl1",0.596627647714604,46,0.247927513443585,-4.66871484147111,0.00224520211491933,0.0180700301026089
"Adra1a",0.350523756079312,54,-0.908576972236405,-1.34967213378767,0.100389527904557,0.294901667703047
"Aff1",0.504710144927536,46,0.0840642647884744,1.14665745327467,1,1
"Afg1l",0.481481481481481,36,-0.115477217419936,0.676120939344536,1,1
"Aftph",0.486111111111111,36,-0.0962153152593033,3.605633364689,1,1
"Agap1",0.341421568627451,34,-0.84799690655495,-6.14229801545581,0.000456712246952685,0.00667126103584457
"Agl",0.42918271287976,41,-0.404390255079335,-2.0041012918358,0.0452793977403614,0.15828439039152
"Ago3",0.342857142857143,35,-0.62148837674627,5.20510200815124,1,1
"Agtpbp1",0.562629051620648,35,0.514573172829758,5.4648382393731,1,1
"Aig1",0.373029163818638,38,-1.31315788525963,0.120198475399107,1,1
"Airn",0.28912647342786,65,-0.492516251956561,-14.6012721577476,6.51935403979233e-08,1.14274962954646e-05
"Akap13",0.628559738134206,47,0.561878887608115,0.0475273100067284,1,1
"Akap6",0.437533989969182,67,-0.405256478486258,-1.30994567764408,0.105531666139234,0.303960925710893
"Alcam",0.37962962962963,27,0.0339473319233375,0.698305200865939,1,1
"Alpk2",0.41446608946609,55,-0.53605290024021,1.07920663272133,1,1
"Alpk3",0.452325581395349,43,-0.381090167355506,1.78984861819554,1,1
"Ambra1",0.40650406504065,41,-0.46394709975979,21.9924558452382,1,1
"Amd1",0.603741496598639,28,-0.0995356735509145,16.806959396892,1,1
"Angpt1",0.456671449067432,41,0,-0.914188693045489,0.176319320825099,0.461287434226859
"Ank",0.430201863354037,60,-0.382469636822413,0.57728781954232,1,1
"Ank2",0.410460391444771,66,-0.30732368197859,-0.926118115562687,0.173523531290595,0.455917286709978
"Ank3",0.588333333333333,50,0.245756414401959,-0.44751670246341,0.344116937975618,0.783861827417022
"Ankhd1",0.470555555555556,45,-0.14017765804826,3.52650661252179,1,1
"Ankrd1",0.459798534798535,26,0,-1.64342589022947,0.0698368075539862,0.220282166757689
"Ankrd11",0.477201257861635,53,-0.278716028066063,1.37860251896468,1,1
"Ankrd17",0.615716374269006,60,0.294183104404458,-3.27952687953875,0.0104351840651168,0.0506085804264754
"Ankrd33b",0.392156862745098,34,-0.146841388329271,9.21922140289088,1,1
"Ankrd44",0.535632183908046,29,0.299560281858908,-4.87014205362144,0.00180273032210048,0.0156875893987042
"Anks1",0.325396825396825,42,-0.765534746362977,-0.44072304685352,0.34780591174748,0.790292321692885
"Ano4",0.419540229885058,29,-0.494764691749578,-5.12054364826883,0.00137346605159212,0.0130026750264862
"Ano6",0.382291666666667,32,-0.624490864907793,2.65001564564062,1,1
"Antxr2",0.545185185185185,45,-0.0931094043914816,5.39709593242101,1,1
"Aopep",0.477421307506053,59,-0.0980320829605267,0.127163936956393,1,1
"Aox1",0.623456790123457,27,0.900464326449085,-6.92376537817765,0.000198257080794937,0.00419416272647221
"Ap2a2",0.575,30,0.540568381362703,16.6900158500195,1,1
"Ap2b1",0.459876543209876,27,0.37851162325373,-6.38227206515029,0.000353251675366457,0.00580856400346122
"Ap3b1",0.616666666666667,35,0.283792966000591,3.85534624466908,1,1
"Apbb2",0.665,20,1.29956028185891,-2.6518265067035,0.0212807486249729,0.0885134866537008
"Apc",0.426599326599327,33,-0.31194400631474,-1.49088344908667,0.0842072997952796,0.254488563667015
"Apoe",0.772222222222222,33,1.50695998871988,0.981595988881391,1,1
"App",0.711500974658869,57,1.40109830832097,-4.45834751666956,0.00282575417392254,0.0204189542960457
"Arb2a",0.411490683229814,46,-0.362570079384708,1.01131386799582,1,1
"Arfgef1",0.540350877192982,38,-0.160464672193246,10.3494943737846,1,1
