N,AR,tot_gene_mean,tot_gene_variance,alpha,beta,bb_mu,bb_theta,phi,id,theta_smoothed,thetaCorrected,theta_common,resid,AR.1,N.1,log2FC,loglik0_disp,loglik1_disp,llr_disp,pval_disp,padj_disp
35,0.5619047619047619,2.257142857142857,2.3142857142857145,0.23507302172349034,0.16863934167120068,0.5822784810126567,2.477011086782958,1.898612930886652,1,0.7914056476587864,1.4587988288910316,0.7914056476587864,1.6856054391241715,NA,35,0.47916783669856,-38.20368881109956,-40.02093799503544,1.8172491839358784,0.86,1
47,0.4475039145251911,3.4255319148936167,6.554116558741906,2.087007282698155,2.5797728911128,0.44720496894411826,0.21428050234973606,1.428354561839752,2,0.33575284575141595,0.30120179208703374,0.33575284575141595,-0.1214723434016799,NA,47,-0.3058084295240852,-60.58256874124273,-60.10853440477548,-0.47403433646724835,0,0
36,0.5323412698412698,2.083333333333333,2.592857142857144,0.2710025855996799,0.29358613439889336,0.480000000000646,1.7712008132265324,1.6924836060158255,3,1.0369004559545907,1.351503881029668,1.0369004559545907,0.7343003572719418,NA,36,-0.1154772174199361,-38.877333193754566,-39.88274330780656,1.0054101140519904,1,1
45,0.3593650793650794,3.088888888888889,6.946464646464647,1.3697889464770812,2.7693559135295254,0.3309352517985792,0.24159579667342299,1.4084542796910744,4,0.4013308406777751,0.3545109577138981,0.4013308406777751,-0.1597350440043521,NA,45,-1.0155968550510184,-52.72917796742769,-52.19316695233691,-0.5360110150907786,0,0
37,0.48155298155298154,2.189189189189189,2.990990990990991,1.04187841669567,1.0679253765445453,0.4938271606268959,0.47397772399688887,1.3819107697175275,5,0.8710264366203789,0.7502838388510964,0.8710264366203789,-0.39704871262349006,NA,37,-0.03562390973072166,-41.5809798318347,-40.848913905283354,-0.7320659265513498,0.02,0.04027972027972029
28,0.04991883116883117,2.5714285714285716,6.994708994708999,83333.33333362619,916666.666666374,0.08333333333362618,1e-6,0.5992181345987525,6,NA,1e-6,0.5847941582563534,-0.5847931582563534,NA,28,-3.4594316186372973,-13.402163131325796,-12.080498944967985,-1.3216641863578111,0.04,0.07731543624161075
30,0.6465873015873016,3.2666666666666666,4.822988505747124,2.0155819557074093,1.070777913969562,0.6530612244897958,0.32400628644276125,1.5461419382962152,7,0.3635141857231774,0.361046157917926,0.3635141857231774,-0.03950789928041615,NA,30,0.9125371587496609,-37.22204291014506,-37.20594699181411,-0.016095918330954362,0.04,0.07731543624161075
39,0.4816886816886817,2.58974358974359,5.932523616734143,2.756798394709023,2.81193436259634,0.4950495049511052,0.17957406892764718,1.2420193800443202,8,0.5778409888319413,0.4465259376756722,0.5778409888319413,-0.3982669199042942,NA,39,-0.028569152196770975,-44.8772288049293,-43.525310448765474,-1.3519183561638286,0,0
42,0.43554421768707485,2.5476190476190474,3.912311265969801,0.6392262760064467,0.8160335433639214,0.4392523365916981,0.6871625167474626,1.6312953733305382,9,0.5953438335592154,0.6507407856434376,0.5953438335592154,0.09181868318824726,NA,42,-0.3523017439308816,-48.00032937932918,-48.32478771971872,0.32445834038954047,0.98,1
30,0.5266666666666666,2.066666666666667,1.4436781609195402,0.8897047273957045,0.7326980107964646,0.5483870967741928,0.6163697684055269,1.4066872067601932,10,1.0727867666140203,0.9364565030265557,1.0727867666140203,-0.45641699820849335,NA,30,0.28010791919273514,-34.291615411470396,-33.673807857096676,-0.6178075543737194,0,0
33,0.5075757575757576,1.8181818181818181,1.5909090909090917,0.027405165365363773,0.029295176764099026,0.4833333333825409,17.636577883722804,1.776345456449302,11,2.886121958513549,8.587082364299068,2.886121958513549,14.750455925209256,NA,33,-0.09621531525930271,-36.25813237197657,-42.560544004458514,6.302411632481942,1,1
29,0.5870910698496905,2.206896551724138,5.169950738916254,0.5502618726619626,0.4279814565148598,0.5625,1.0222405511739963,1.6122402590534077,12,0.8493415988504855,0.9442870701864274,0.8493415988504855,0.1728989523235107,NA,29,0.3625700793847081,-31.21487952653435,-31.545556696536494,0.3306771700021436,0.98,1
35,0.348015873015873,2.142857142857143,3.949579831932772,0.04437160770964472,0.07038255015943934,0.38666666666898075,8.714281195290878,2.0422097043986445,13,0.9338348429173006,3.920635925045402,0.9338348429173006,7.780446352373578,NA,35,-0.665580960929441,-33.93575027651678,-37.15921172083389,3.2234614443171097,0.66,1
32,0.5015625,1.78125,1.7893145161290323,0.17104448284966028,0.16514639723415475,0.5087719298245614,2.9745006757788675,1.5850849380352565,14,3.660758777917606,3.526387496640779,3.660758777917606,-0.6862581021387384,NA,32,0.050626073069968136,-35.97294650652027,-35.789814887546285,-0.183131618973988,0,0
28,0.5416666666666666,1.5,0.6296296296296297,5.005005004476682e-4,5.005005005533337e-4,0.4999999999472201,998.9999999999991,1.660510566431814,15,57.2841619664875,416.87308727618097,57.2841619664875,941.7158380335115,NA,28,0,-36.703413254196796,-44.53704465173128,7.833631397534482,1,1
56,0.41804282127257475,12.625,104.20227272727273,4.180426545316694,5.478271387816977,0.4328147100424327,0.10353362398564625,2.0911724092200368,16,0.07598193710112805,0.08906466980323191,0.07598193710112805,0.0275516868845182,0.41804282127257475,56,-0.3900705837622689,-117.3992725927043,-117.40576499935143,0.006492406647126359,0.36,0.6153115727002967
35,0.3476190476190476,2.5428571428571427,6.020168067226891,0.20172958703518282,0.4173715593829856,0.3258426966292931,1.6152449495297099,1.9636475868025565,17,0.5973460358169582,1.0044880662663838,0.5973460358169582,1.0178989137127517,NA,35,-1.0489096004809466,-36.281602516334196,-37.15266162487103,0.8710591085368335,0.66,1
40,0.5548611111111111,2.5750000000000006,3.63525641025641,0.8501612114346134,0.476605527622445,0.6407766990291213,0.7537119906327365,1.675699917501279,18,0.5839440894637061,0.6685489157774073,0.5839440894637061,0.1697679011690304,NA,40,0.8349407537295035,-46.50083293049248,-47.054258774879564,0.5534258443870854,1,1
47,0.5176798378926039,3.4468085106382977,9.296022201665124,3.0239803411500987,2.67235472168816,0.530864197381565,0.17555147107195263,1.3645984155721052,19,0.3323608502229495,0.28427370369577604,0.3323608502229495,-0.15680937915099685,NA,47,0.17833724125851275,-61.38413591352723,-60.63043508384451,-0.753700829682721,0.02,0.04027972027972029
27,0.508641975308642,1.925925925925926,1.4558404558404563,0.3530375107029785,0.38128051143153385,0.48076923085282675,1.3618077860777602,1.5340815636356016,20,1.6493043695869891,1.597001016267191,1.6493043695869891,-0.2874965835092289,NA,27,-0.11103131238874364,-30.43607867179148,-30.30423793020476,-0.13184074158672132,0,0
27,0.5012345679012346,1.8148148148148149,1.1566951566951558,1.466585747099562,1.52769348654927,0.4897959183694364,0.33397018847216825,1.2040589667052337,21,2.946352642770624,2.055907039775959,2.946352642770624,-2.6123824542984555,NA,27,-0.05889368905356873,-35.27524950721474,-32.82362279790405,-2.4516267093106876,0,0
31,0.5862903225806452,1.8709677419354838,2.382795698924732,0.8603707134958162,0.5653864689351623,0.6034482758339301,0.7013817025245184,1.3632936509371645,22,2.1421390730502763,1.6688828855398279,2.1421390730502763,-1.440757370525758,NA,31,0.6057210608879532,-35.005695392352735,-33.646015897471194,-1.35967949488154,0,0
