"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Atp2a2",TRUE,3,80.1517812429135,80.1339382115405,52,51,0.000222615531387138
"Cacna1c",TRUE,3,132.444939670103,116.782039393615,55,54,0.118259710907054
"Cacnb2",TRUE,4,128.838472502507,128.243454612276,49,48,0.00461832462520018
"D830005E20Rik",TRUE,4,164.660590443891,136.18151001312,50,49,0.172956263268567
"Fhl2",TRUE,4,336.073001558767,332.26324672404,52,51,0.0113360931019667
"Malat1",TRUE,3,145.795403760781,145.720203246726,55,54,0.000515794820109328
"Myh6",TRUE,4,147.758741427136,146.524300690255,55,54,0.00835443456649176
"Neat1",TRUE,3,64.6559658114798,64.5097464649497,53,52,0.00226149814166299
"Rbm20",TRUE,3,129.4159310784,127.004339812804,54,53,0.018634423486355
"Ryr2",TRUE,3,302.660974570292,298.26718206744,55,54,0.0145172085997882
"Slc8a1",TRUE,3,182.868640499552,181.42135935284,55,54,0.0079143211365168
"Sorbs1",TRUE,3,97.9928859834243,97.237750958098,54,53,0.00770601883747046
"Ttn",TRUE,3,124.710016616151,120.677727476155,55,54,0.0323333221292702
