"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"1600010M07Rik",11,0.560606060606061,2.45454545454545,0.672727272727273,0.151161670308949,0.103923648350964,0.592592592561087,3.92025697618932,2.15892157522686,1,1.20712274979019,2.27905180880401,1.20712274979019,2.71313422639913,0.513513513513513,11,0.0489096004809457,-28.5910235896212,-29.1437501777253,0.552726588104107,1
"1700025G04Rik",31,0.507869012707722,3.67741935483871,4.69247311827957,1.65649637346213,1.49084673963915,0.526315788884511,0.317728307357832,1.67346813702101,2,0.306466732171301,0.321311098061224,0.306466732171301,0.0112615751865306,0.501234567901235,31,-0.0554951125917034,-53.9891755350952,-54.1534480885297,0.164272553434436,1
"2210408F21Rik",52,0.486733405483405,3.78846153846154,5.15045248868778,2.65710349845552,2.63026406919708,0.502538071064195,0.189130032517101,1.44370315541326,3,0.293101445295033,0.263725576705555,0.293101445295033,-0.103971412777932,0.506868131868132,52,-0.119581615752673,-83.2447164139205,-83.2526060879492,0.00788967402866092,1
"2610035D17Rik",12,0.819444444444444,2.58333333333333,0.810606060606061,0.745294738882465,0.178870737331977,0.806451612903064,1.08205730005863,1.82286755110498,4,0.85108591706329,0.968144359077236,0.85108591706329,0.230971382995343,0.807692307692308,12,2.63226821549951,-20.7116334655102,-13.6930024399468,-7.01863102556345,0.000179223691886373
"2610037D02Rik",20,0.487261904761905,3.25,2.82894736842105,0.795919509331953,0.872943977973786,0.47692307692399,0.599210185618255,1.84357441118421,5,0.375987310162282,0.473720570375952,0.375987310162282,0.223222875455973,0.399047619047619,20,-0.345135486048688,-46.1112493483789,-45.7304566144928,-0.380792733886096,0.382832809585343
"2610203C22Rik",10,0.541666666666667,2.4,0.488888888888889,0.000542208875542209,0.000458792125458793,0.541666666666666,998.999999999999,2.75404871049088,6,1.4169406948121,380.2948105815,1.4169406948121,997.583059305187,0.625,10,0.275634442613428,-16.6445149631326,-16.2358868086143,-0.408628154518283,0.3659835797386
"2610307P16Rik",27,0.4586860670194,3.81481481481481,5.23361823361823,1.81263987485176,2.15974112748295,0.45631067961165,0.251738189114353,1.56539320202558,7,0.29023908018944,0.285626732786402,0.29023908018944,-0.0385008910750875,0.475885225885226,27,-0.275634442613428,-40.5009907578858,-40.3929367873707,-0.108053970515023,0.642021609691192
"4632427E13Rik",27,0.52283950617284,2.74074074074074,0.737891737891738,0.865453945527711,0.91353472027925,0.486486486486486,0.562117128242857,1.62637747922387,8,0.609580634396595,0.612576540011426,0.609580634396595,-0.0474635061537384,0.451666666666667,27,-0.187627003175771,-44.7441749029434,-44.6350743558874,-0.109100547055995,0.640414026035954
"4732440D04Rik",47,0.318085106382979,3.93617021276596,3.58279370952822,1.42174073212754,2.96195985859903,0.324324324324326,0.22811776929187,1.54428005774545,9,0.278291791171115,0.268834633802095,0.278291791171115,-0.0501740218792443,0.344761904761905,47,-0.789782292609654,-78.3336710138271,-73.7406273159683,-4.59304369785882,0.00243861612481574
"4732471J01Rik",19,0.486842105263158,2.68421052631579,0.450292397660819,0.691700281930393,0.719368295406299,0.490196077667562,0.708682778470938,1.69125643430526,10,0.677050939137802,0.712409614132003,0.677050939137802,0.0316318393331356,0.659090909090909,19,0.347923303420307,-39.6311904344774,-39.9318816659549,0.30069123147755,1
