"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1600010M07Rik",0.571969696969697,0.583333333333338,998.999999999999,547.097925487941,256.18089819525,1.36363636363636,44
"1700025G04Rik",0.521823498139288,0.528571428571428,0.721903021475153,0.637884750069131,0.555558889149997,2.45614035087719,57
"2210408F21Rik",0.516376713564214,0.51111111111111,0.301187366393552,0.385041996842153,0.413398804001989,2.8125,80
"2610035D17Rik",0.85632183908046,0.833333332353974,0.366575850465115,4.22550994948385,6.24114820290857,1.6551724137931,29
"2610037D02Rik",0.377186147186147,0.420000000650319,1.55564642829399,1.9235997385554,2.03570307227644,1.81818181818182,55
"2610203C22Rik",0.631410256410256,0.599999999996863,998.999999999999,394.042585705291,22.4143759005483,1.53846153846154,26
"2610307P16Rik",0.545963995354239,0.487179487179487,0.406490664091714,0.418418557276565,0.403300024640546,2.85365853658537,41
"4632427E13Rik",0.483641975308642,0.475247524752509,1.28318225580618,1.56938936052549,1.65273497494168,1.87037037037037,54
"4732440D04Rik",0.327857142857143,0.326923076923077,0.307869986965323,0.364405502700267,0.37800407868432,2.97142857142857,70
"4732471J01Rik",0.567708333333333,0.5375,5.29512246102688,5.68506832406044,5.61182332621939,1.66666666666667,48
"4833420G17Rik",0.734848484848485,0.702127658074172,3.46519412358936,68.6869157805654,102.898003443835,1.42424242424242,33
"4930523C07Rik",0.397058823529412,0.403846153846154,998.999999999999,395.789697057156,25.0827973052974,1.52941176470588,34
"4933406I18Rik",0.415555555555556,0.394736842131218,1.82498031551738,3.71806672755158,4.62023866554703,1.68888888888889,45
"5031425E22Rik",0.604379108545775,0.619791666666666,0.227398805498614,0.38550015077561,0.456895923095418,2.66666666666667,72
"5033421B08Rik",0.383333333333333,0.377777777777778,998.999999999999,403.294000381034,36.5443699153001,1.5,30
"5430405H02Rik",0.572222222222222,0.511111111111111,998.999999999999,403.294000381034,36.5443699153001,1.5,30
"6820431F20Rik",0.736742424242424,0.730158730105869,0.28138244612026,60.5671421140216,92.3430132367325,1.43181818181818,44
"9330159M07Rik",0.186480186480186,0.114285714932611,0.18968473164104,0.638939407600023,0.865856310855965,2.12121212121212,33
"9530026P05Rik",0.478468122786305,0.521865889159362,0.491419824179525,0.355251146027547,0.257563419008615,3.89772727272727,88
"9630014M24Rik",0.403508771929825,0.371428573278105,5.93684950673093,3.4584447703515,1.83882526534625,1.84210526315789,19
"AU040320",0.550813008130081,0.551724137931073,998.999999999999,456.785673982606,118.243986062767,1.41463414634146,41
"AW554918",0.476900584795322,0.55555555555464,0.753258875083022,1.28251968863922,1.52194492356681,1.89473684210526,57
"Aak1",0.544340924775707,0.546099290780142,2.52312061482816,1.62170419843491,1.01347292247591,2.04347826086956,69
"Abca1",0.495392165704666,0.474926253712784,0.190348491506875,0.264097301316354,0.292962486469857,3.53125,96
"Abca6",0.57521645021645,0.603448275852602,0.738536607057135,0.859716943334181,0.8847231126926,2.10909090909091,55
"Abca8a",0.664317849503035,0.6890756302521,0.0967225472197696,0.181273743727698,0.220766353865972,4.40740740740741,81
"Abca8b",0.565948601662887,0.563758389261452,1.87637798160412,1.11934771694642,0.621317850352444,2.36507936507937,63
"Abca9",0.521497244388811,0.528089887641884,0.473341642804269,0.399505785571868,0.335640350336957,3.21686746987952,83
"Abcc1",0.397321428571429,0.400000000001487,4.702732973224,20.7891176226961,29.0243271912612,1.51785714285714,56
"Abcc4",0.623809523809524,0.648148147277606,0.519852038315333,14.101043946322,21.2354802717929,1.54285714285714,35
"Abcc5",0.423924731182796,0.433628318557681,0.873458184413736,1.63869333197208,1.99622520207206,1.82258064516129,62
"Abcc9",0.272435897435897,0.3125,0.190202334647201,1.25692725565216,1.80942954103736,1.84615384615385,26
"Abcd3",0.604824561403509,0.614285714285715,3.48389076167615,2.52694144944462,1.83882526534625,1.84210526315789,38
"Abce1",0.522988505747126,0.523809523809052,998.999999999999,427.352742712413,73.2900890360923,1.44827586206897,29
"Abhd18",0.394678492239468,0.426829269851029,1.91776407720607,1.46899457986679,1.13134122353701,2,41
"Abi1",0.558798101540037,0.640939597315436,0.800806678932234,0.525149090769236,0.33760983752085,3.20430107526882,93
"Abi2",0.630208333333333,0.604651162790698,31.908336680201,242.892791963519,352.471422317765,1.34375,32
"Abi3bp",0.510964912280702,0.522388059810417,2.70599328077535,2.80006637134374,2.70715860164931,1.76315789473684,38
"Abl2",0.585069444444444,0.549295774647888,998.999999999999,410.883226965328,48.1356486517116,1.47916666666667,48
"Ablim1",0.445770526286157,0.430232558140899,0.0547839943724966,0.0937720204750841,0.111446415869564,7.56043956043956,91
"Ablim3",0.456018518518518,0.467741935483871,2.52622691963193,3.28401927889889,3.55058049858506,1.72222222222222,36
"Abr",0.675438596491228,0.698113207443667,66.9942379216084,129.355815634753,158.712791084947,1.39473684210526,38
"Abra",0.422082228116711,0.39772727345332,1.164210859522,0.681810105778812,0.366109003036745,3.03448275862069,29
"Abtb2",0.511446886446886,0.543689320388353,23.8170217940784,9.82327412723607,1.1895413764331,1.98076923076923,52
"Acaca",0.401709401709402,0.421875000163055,2.22492178642252,5.5266335317145,7.15055697798021,1.64102564102564,39
"Acacb",0.457397959183673,0.458646616553933,0.111019401083676,0.267125486892802,0.343598407685741,3.16666666666667,42
"Acadl",0.507057823129252,0.474358974358321,0.262098984726042,1.23517437877672,1.73450559004387,1.85714285714286,42
"Acadm",0.651550387596899,0.632911393213826,0.750416963260732,1.51310349877266,1.87577157176755,1.83720930232558,43
"Acadsb",0.337301587301587,0.317460317785789,2.17598181170006,24.7532339804143,36.5443699153001,1.5,42
"Acap2",0.519312169312169,0.548387096773754,2.59480334457143,33.7841330934104,50.0946466714841,1.47619047619048,63
"Acat1",0.520175438596491,0.516666666666704,0.873484645762898,9.3976529562003,13.8467275205608,1.57894736842105,38
"Acbd3",0.472222222222222,0.499999999999992,998.999999999999,653.303488884999,418.392195357022,1.33333333333333,42
"Acer2",0.576041666666667,0.546666666666187,0.594965743168434,0.644015284269627,0.638545879803451,2.34375,32
"Acer3",0.565128205128205,0.56692913403457,0.878685259557937,1.17069118174869,1.27839821438056,1.95384615384615,65
"Acin1",0.510416666666667,0.499999999999996,8.29916415507163,143.574043788869,214.471907670258,1.375,48
"Ackr3",0.537581699346405,0.551724137709394,1.02009508550205,0.843148245408537,0.696113270562781,2.27450980392157,51
