"term","estimate","se","z","p","gene"
"sexM",0.419560116601558,0.293670224603083,1.42867775297487,0.159076447268001,"App"
"sexM",-0.0674747911745435,0.260966600024659,-0.258557191487982,0.796609409567216,"Celf2"
"sexM",0.422397247398622,0.290430786886168,1.45438178895331,0.151052010883757,"Dlc1"
"sexM",0.0405832857929131,0.305672177476378,0.132767352684721,0.894861934277329,"Ebf1"
"sexM",-0.629101077204477,0.276380407405891,-2.27621445061618,0.0253772464657176,"Ext1"
"sexM",0.282629004599238,0.253294379146021,1.11581238222545,0.268264747356281,"F13a1"
"sexM",-0.0172121288811208,0.291507045263436,-0.0590453272426613,0.953115543033974,"Frmd4b"
"sexM",-0.570723765309906,0.458898909781629,-1.24368080451856,0.218798231502823,"Gab2"
"sexM",-0.315044913565086,0.376101859457611,-0.837658484378202,0.405984171151089,"Gnaq"
"sexM",-0.486313732650898,0.345251758445939,-1.40857713466808,0.163148128309163,"Lama2"
"sexM",0.55961578793105,0.342405379376803,1.63436622680865,0.107418595890602,"Lncpint"
"sexM",-0.954395995098,0.461771340928776,-2.06681513230854,0.0440564167233362,"Luc7l2"
"sexM",0.0763495471822572,0.0604865376916814,1.26225686071559,0.209388243660117,"Malat1"
"sexM",-0.350322540346517,0.301242548629718,-1.16292516425735,0.249973304567375,"Mast4"
"sexM",-0.631938790780198,0.474252256558665,-1.33249506363082,0.188192095315012,"Mbnl2"
"sexM",0.109414785985867,0.3058113948442,0.35778518338602,0.721681368084217,"Mctp1"
"sexM",0.0618025413184711,0.347334880293688,0.177933587511321,0.859355221584738,"Mir99ahg"
"sexM",-0.245122458007524,0.263749148061602,-0.929377250349533,0.356682576886664,"Mrc1"
"sexM",1.0508808839418,0.357667168951997,2.93815305167929,0.00450489405478395,"Neat1"
"sexM",-0.054067221267964,0.447107141709104,-0.120926767264973,0.904133900962751,"Nfia"
"sexM",0.20953789925795,1.19746360505224,0.174984774797234,0.861827638993182,"Pde7b"
"sexM",0.072714009234828,0.32531542130994,0.223518482284154,0.823855213017134,"Pdlim5"
"sexM",0.0687990542559925,0.273190938507525,0.25183505218676,0.801866660784574,"Pid1"
"sexM",-0.137281926317094,0.322546340924932,-0.425619233265599,0.672141752432675,"Ptprg"
"sexM",0.198007578041539,0.318557063417539,0.621576479633752,0.536499293205789,"Ptprm"
"sexM",-0.0735905807303292,0.291753995726198,-0.252235039822357,0.801853734494996,"Rbms1"
"sexM",0.392086981018474,0.381617461761553,1.02743459172071,0.308633422142475,"Rbpj"
"sexM",0.189388720892167,0.311654322558843,0.607688413679579,0.545159392983983,"Rora"
"sexM",-0.156777857400431,0.279415547789852,-0.561092103286762,0.576634878165581,"Slc8a1"
"sexM",-0.288588025063302,0.243631705265649,-1.18452573628968,0.239945206399911,"Sptbn1"
"sexM",-0.432420918096591,0.323259360395387,-1.33769032261799,0.186502710333073,"Vav3"
"sexM",0.288854921123969,0.327355453454668,0.882389213546337,0.380675048805112,"Zbtb16"
"sexM",-0.738517632003859,0.848400072463703,-0.870482754509023,0.388281316957442,"Zfpm2"
