"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"App",TRUE,4,69.7839218744888,67.478235061159,53,52,0.0330403730744275
"Celf2",TRUE,3,136.075003512241,135.974420959183,85,84,0.000739169946445406
"Dlc1",TRUE,4,101.670474023354,98.5188531612377,61,60,0.0309983885920735
"Ebf1",TRUE,4,97.029283512559,97.001557654817,56,55,0.000285747320172169
"Ext1",TRUE,3,179.616333243946,169.567794706226,85,84,0.0559444587039456
"F13a1",TRUE,3,99.6135050268721,97.9926414286648,72,71,0.0162715246067292
"Frmd4b",TRUE,4,69.6779798221694,69.6741539615764,60,59,5.49077427730582e-05
"Gab2",TRUE,3,73.0820705418664,71.2711656615058,57,56,0.0247790582140553
"Gnaq",TRUE,3,69.4875082444514,68.6527816653809,54,53,0.0120126134921112
"Lama2",TRUE,4,145.121068806448,141.494965592016,75,74,0.0249867455101782
"Lncpint",TRUE,4,92.8104147873884,89.0969613118241,61,60,0.0400111720658842
"Luc7l2",TRUE,3,53.2255195277329,48.9675777739859,50,49,0.0799981248004258
"Malat1",TRUE,3,200.961040957549,198.258104737962,117,116,0.0134500508491968
"Mast4",TRUE,3,126.423709490365,123.744445439894,55,54,0.0211927340312281
"Mbnl2",TRUE,4,92.8823502505728,90.1367163118899,56,55,0.0295603409181172
"Mctp1",TRUE,4,146.112679235324,145.846675241642,65,64,0.0018205401137914
"Mir99ahg",TRUE,3,98.9322203655694,98.8871894671321,63,62,0.000455169188267379
"Mrc1",TRUE,3,148.628526195225,146.648816279417,57,56,0.0133198516226096
"Neat1",TRUE,3,121.082082704548,106.01097655991,69,68,0.124470159481918
"Nfia",TRUE,3,124.774269971709,124.748865670335,64,63,0.000203602083820531
"Pde7b",TRUE,4,105.617487852475,105.561054672419,49,48,0.000534316628842069
"Pdlim5",TRUE,3,143.739237245244,143.638923786253,64,63,0.000697885009777965
"Pid1",TRUE,4,172.558979016522,172.427739635432,75,74,0.000760547969383962
"Ptprg",TRUE,3,83.2518860352847,82.9945556737732,53,52,0.00309098536701513
"Ptprm",TRUE,3,80.4286636809138,79.9796370130045,63,62,0.0055829184193672
"Rbms1",TRUE,3,89.8274030718272,89.7292982865604,53,52,0.00109214762880772
"Rbpj",TRUE,3,117.003307202842,114.949385624126,57,56,0.0175543890836788
"Rora",TRUE,3,135.586048685615,135.011202162669,79,78,0.00423971734937745
"Slc8a1",TRUE,3,170.880033060111,170.168419977798,67,66,0.00416440159549181
"Sptbn1",TRUE,3,98.6475619979528,97.0020975030089,76,75,0.0166802347834816
"Vav3",TRUE,4,85.1921178451783,82.6465434852795,56,55,0.0298803976739374
"Zbtb16",TRUE,3,78.5230801952141,77.7102748852322,69,68,0.0103511643705422
"Zfpm2",TRUE,4,111.288442114064,109.698119554738,50,49,0.0142900963398862
