"","AR","N","log2FC","llr_var","pval_var"
"1600010M07Rik",0.560606060606061,11,0.485426827170242,-11.3857799881248,1.82445755160934e-06
"1700025G04Rik",0.507869012707722,31,0.165059246270497,29.2981799317909,1
"2210408F21Rik",0.486733405483405,52,0.0641303374197156,69.4876341405957,1
"2610035D17Rik",0.819444444444444,12,2.32192809488736,6.13589121375207,1
"2610037D02Rik",0.487261904761905,20,-0.465663572348812,3.93663970290936,1
"2610203C22Rik",0.541666666666667,10,0.584962500721156,-0.09948670635913,0.655550756767347
"2610307P16Rik",0.4586860670194,27,-0.0740005814437769,-28.1587162757,6.16662613946433e-14
"4632427E13Rik",0.52283950617284,27,-0.142957953842043,-47.552306925646,1.80585350310724e-22
"4732440D04Rik",0.318085106382979,47,-1.04182017569463,64.155809075105,1
"4732471J01Rik",0.486842105263158,19,0.216811389073148,-0.589197876015987,0.277682830670209
"4833420G17Rik",0.568181818181818,11,1.23703919730085,-16.8238297909343,6.60543054822524e-09
"4930523C07Rik",0.45,10,-0.561878887608115,-3923.70849239859,0
"4933406I18Rik",0.378260869565217,23,-0.616671360448495,15.0455393959278,1
"5031425E22Rik",0.662882395382395,40,0.704993204427926,-9.01955052538051,2.16414016204399e-05
"5033421B08Rik",0.375,12,-0.719892080807265,-886.297961216302,0
"5430405H02Rik",0.416666666666667,10,0.0641303374197153,-5339.43585825732,0
"6820431F20Rik",0.724358974358974,13,1.43609911480667,0,1
"9330159M07Rik",0.00961538461538462,16,-2.95419631038688,173.989422564511,1
"9530026P05Rik",0.530074211502783,70,0.126263772646173,4329.66183575902,1
"9630014M24Rik",0.266666666666667,10,-0.758991900496205,-3521.27239956794,0
"AU040320",0.506410256410256,13,0.299560281858908,-0.15240202215773,0.580886273333449
"AW554918",0.558045977011494,29,0.321928094887362,-58.6556322386377,2.45372836946235e-27
"Aak1",0.574622531939605,41,0.266786540694901,3.91680850985767,1
"Abca1",0.466078443161776,72,-0.144816552851781,4516.46984499468,1
"Abca6",0.636387163561077,23,0.605721060887953,-3.39855611974326,0.00913054347665327
"Abca8a",0.694087057723421,66,1.14809863898913,79.1717478888531,1
"Abca8b",0.55171130952381,32,0.369949609750306,-41.7422482206093,6.42176295193625e-20
"Abca9",0.488455988455988,62,0.162271428898877,64.4184276238157,1
"Abcc1",0.44047619047619,21,-0.584962500721156,-30.3124313693334,6.90562839344925e-15
"Abcc4",0.602564102564103,13,0.881355503501381,-49.2618782300583,3.2114879917328e-23
"Abcc5",0.447101449275362,23,-0.385290155884792,134.737327518507,1
"Abcc9",0.28030303030303,11,-1.13750352374993,-3688.89930268923,0
"Abcd3",0.52843137254902,17,0.67137725253863,71.4831954745064,1
"Abce1",0.46969696969697,11,0.137503523749935,-11.8086544583239,1.17525596630889e-06
"Abhd18",0.483253588516746,19,-0.425305834732671,-3.1091192286417,0.0126440853050003
"Abi1",0.62242989251186,61,0.835961841634602,4378.42486894258,1
"Abi2",0.516666666666667,10,0.612976876890753,-4304.55563824992,0
"Abi3bp",0.495098039215686,17,0.129283016944967,-1.22226508726453,0.117935191681127
"Abl2",0.442708333333333,16,0.285402218862248,67.310420500798,1
"Ablim1",0.432398875233428,73,-0.405256478486258,-81.6542253725911,2.14208356688082e-37
"Ablim3",0.401041666666667,16,-0.186413124230881,-18.9486605046313,7.45675650961204e-10
"Abr",0.722222222222222,12,1.20945336562895,9.97544840188084,1
"Abra",0.374313186813187,14,-0.598637437618233,2.55720920722069,1
"Abtb2",0.527056277056277,22,0.252766070379967,-253.52871432875,2.76973062082951e-112
"Acaca",0.404761904761905,14,-0.454565863465481,-15.5274039969559,2.50844194460809e-08
"Acacb",0.440357142857143,30,-0.239187663879426,-13.409878683131,2.233422337324e-07
"Acadl",0.393526785714286,16,-0.148098638989134,95.5322004320028,1
"Acadm",0.667460317460317,21,0.785875194647153,-13.6516584561309,1.73912824700445e-07
"Acadsb",0.243589743589744,13,-1.10433665981474,3.82842871817957,1
"Acap2",0.578030303030303,22,0.280107919192735,-129.661373920432,2.41069165725909e-58
"Acat1",0.520512820512821,13,0.0962153152593033,-29.5293719615106,1.53034403511931e-14
"Acbd3",0.569444444444444,12,0,24.6423777164819,1
"Acer2",0.521666666666667,20,0.270089163367744,-86.5077140037588,1.62405203488052e-39
"Acer3",0.548148148148148,36,0.388565287917653,17.9217497411801,1
"Acin1",0.5,13,0,-57.3854611351339,8.83344458270542e-27
"Ackr3",0.600574712643678,29,0.299560281858908,48.346340617175,1
"Aco2",0.541666666666667,28,0.195920209975257,-7.81516673738179,7.70092907924456e-05
"Acot13",0.503846153846154,13,0.610053481683987,-11.5742587302379,1.49958775746872e-06
"Acox1",0.524891774891775,22,0.162271428898877,-9.61786877786972,1.15530251193806e-05
"Acsl1",0.431578947368421,19,-0.228268987673117,-1.04709925268435,0.147859233437828
"Acss1",0.564888468013468,24,0.376148485885249,-4.20280835100402,0.00374063478761878
"Acss3",0.441176470588235,17,-0.547487795302493,57.7409243897082,1
"Actc1",0.479334554334554,26,-0.106915203916512,-5.36210042687526,0.00105743328302141
"Actn2",0.5012768586298,37,0.256775415362112,118.586956547986,1
"Actr1a",0.371794871794872,13,-0.415037499278844,-13.4482949767785,2.14637253627383e-07
"Actr2",0.378730158730159,30,-0.437405312307298,96.853041273152,1
"Actr3",0.479828042328042,36,0,4.12103489836682,1
"Acvr1",0.616666666666667,19,0.491853096329675,64.050360253028,1
"Acvr2a",0.665584415584416,11,0.37851162325373,-3703.48779768792,0
"Acyp2",0.423995309788895,64,-0.365649472316681,123.718419362557,1
"Adam10",0.438505747126437,29,-0.333423733725192,-59.6297948320225,9.18828208137881e-28
"Adam17",0.183333333333333,14,-1.32192809488736,-7.70176154402816,8.68262627827243e-05
"Adam19",0.457619047619048,35,-0.211504105193712,-87.3047005621388,7.2862482148095e-40
"Adam22",0.535714285714286,14,-0.090197808971578,-814.638488027134,0
"Adam9",0.433333333333333,19,-0.184424571137427,21.0289409311517,1
"Adamts1",0.666666666666667,10,1.22239242133645,-3588.37565933825,0
"Adamts10",0.75,10,0.610053481683987,0,1
"Adamts12",0.319047619047619,14,-0.910732661902913,67.0380690571665,1
"Adamts2",0.461111111111111,15,0.46948528330122,-56.2260255544302,2.84461834512795e-26
"Adamts5",0.542592592592593,18,0.0324214776923775,82.5896413759738,1
"Adamts6",0.314102564102564,13,-0.736965594166206,-10.8177357054983,3.2969782545194e-06
"Adamts9",0.457208994708995,24,0.267480310864986,-338.837361666653,2.14089057771564e-149
"Adamtsl3",0.434057971014493,23,-0.337034987277571,-14.378356236427,8.20649915800012e-08
"Adamtsl5",0.240196078431373,17,-0.854149133536545,0,1
"Adap2",0.583333333333333,19,-0.18286405714981,47.6151629846149,1
"Adarb1",0.40530303030303,22,-0.42449782852791,-18.5762069260436,1.09247429881373e-09
"Adcy6",0.409722222222222,12,-0.253756592245783,-27.2217280572127,1.5998556638697e-13
"Adcy7",0.530555555555556,12,0,-151.897377587349,4.9095200272079e-68
"Adcy9",0.567942176870748,28,0.421826664941483,-35.3881281468575,4.00123740531886e-17
"Adgrd1",0.254081632653061,14,-1.29278174922785,41.9452721755551,1
"Adgre1",0.572727272727273,22,0.853158611670729,-20.0806739811828,2.33829226609505e-10
"Adgrf5",0.536666666666667,20,0.112474729258413,-21.0085965475323,9.04744201428551e-11
"Adgrg6",0.462222222222222,30,-0.125530882083859,-33.7689374660872,2.06678379325898e-16
"Adgrl2",0.66474358974359,26,0.608809242675524,11.8922314004876,1
"Adgrl3",0.461538461538462,13,0.0588936890535683,-571.308339723894,1.80530720230893e-250
"Adgrl4",0.472067901234568,36,-0.111031312388744,-4.69355841526931,0.0021851559043009
"Adipor2",0.596153846153846,13,0.343954401217361,157.278994501325,1
"Adk",0.432286694442316,79,-0.310523331615113,64.1894161411483,1
"Adprhl1",0.449019607843137,17,-0.47916783669856,-3.64708491626106,0.00691787276072137
"Adra1a",0.45462345194488,28,-0.197446064206217,84.5266896528046,1
"Aebp2",0.548148148148148,18,-0.0347654181606765,-48.6519222614265,5.94647583717194e-23
