"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"1700025G04Rik",TRUE,4,57.4024747680307,56.677130419134,36,35,0.0126361163317074
"2210408F21Rik",TRUE,3,60.2995927993809,59.648639269847,45,44,0.0107953221458678
"2610037D02Rik",TRUE,3,58.549996005621,57.9442401774365,36,35,0.0103459584886455
"2610307P16Rik",TRUE,4,28.6814430883341,27.8589803753387,17,16,0.0286757786371599
"4632427E13Rik",TRUE,4,43.6623959868188,41.5422039902658,35,34,0.0485587643241814
"4732440D04Rik",TRUE,3,56.456812369011,55.2581699437798,35,34,0.0212311388995299
"4933406I18Rik",TRUE,4,48.115100466129,47.6112334038407,23,22,0.0104721190937359
"5031425E22Rik",TRUE,3,51.9170754919096,50.6361249510761,39,38,0.0246730103476868
"9330159M07Rik",TRUE,18,21.2072283992161,16.0529937219182,29,28,0.243041409290826
"9530026P05Rik",TRUE,4,100.318453704556,100.310925622504,52,51,7.50418469747105e-05
"AW554918",TRUE,4,36.3895293248186,36.2771872489444,29,28,0.00308720881963986
"Aak1",TRUE,4,63.6191584502111,62.8138219677148,45,44,0.012658710082225
"Abca1",TRUE,3,86.9451359092441,86.9157167209056,48,47,0.000338364970401295
"Abca8a",TRUE,4,80.3838433177519,80.3809379076571,36,35,3.61442047918104e-05
"Abca8b",TRUE,4,46.9482183779265,45.5101234255672,24,23,0.0306315128038066
"Abca9",TRUE,3,54.3898006158374,53.6173880707665,40,39,0.0142014226256609
"Abcc1",TRUE,3,37.3438439653857,37.0976458984978,30,29,0.00659273499311275
"Abcc5",TRUE,4,52.8424112959783,51.6835643613677,29,28,0.0219302432684172
"Abcd3",TRUE,4,29.8530863561372,29.0432934876093,25,24,0.0271259346141747
"Abhd18",TRUE,4,53.4392418889432,44.1990301363244,30,29,0.172910606999659
"Abi1",TRUE,4,66.1025600761157,63.0137352610275,40,39,0.0467277638193055
"Abi3bp",TRUE,3,35.0394725577008,33.2886197856434,25,24,0.0499680116238682
"Abl2",TRUE,3,44.1524028823185,44.0725021603627,30,29,0.00180965738532524
"Ablim1",TRUE,3,101.912642104749,100.642305146568,55,54,0.0124649595177417
"Ablim3",TRUE,3,33.841526595743,32.9287831884371,19,18,0.0269711061858742
"Abra",TRUE,3,60.0357441276954,58.517503596049,28,27,0.0252889433404397
"Abtb2",TRUE,3,76.863039605356,76.0079423824847,33,32,0.011124946752843
"Acacb",TRUE,4,55.2374139862547,55.0488212068168,38,37,0.00341422173537742
"Acadm",TRUE,3,34.3371774502014,34.3256703491402,23,22,0.000335120761683183
"Acap2",TRUE,4,45.2274296183514,45.219418142255,28,27,0.000177137550464335
"Acat1",TRUE,4,39.2740601117123,39.1413562225528,25,24,0.00337891954083924
"Acer2",TRUE,4,26.0290096732401,25.8971619802695,18,17,0.00506541334556254
"Acer3",TRUE,4,55.168403113984,55.1592867703483,30,29,0.000165245740696762
"Ackr3",TRUE,4,37.2158492446194,34.2518797567107,25,24,0.0796426669838045
"Aco2",TRUE,3,63.0162711905001,59.4496946872231,37,36,0.0565977077966922
"Acox1",TRUE,3,25.321245166404,25.0597727154585,24,23,0.0103262082582094
"Acss1",TRUE,4,65.7869737907035,58.8044160412558,35,34,0.106138910898412
"Actc1",TRUE,4,42.9484927197324,39.3104558522978,27,26,0.0847069742627585
"Actn2",TRUE,4,58.8681488999483,54.9841195846924,41,40,0.0659784516387137
"Actn4",TRUE,4,32.0911361045806,30.9878916179933,16,15,0.0343784801819437
"Actr2",TRUE,3,48.3670818470708,47.7672963969942,36,35,0.0124006954145603
"Actr3",TRUE,3,60.9357749578009,60.9275645763812,42,41,0.000134738278547486
"Acvr2a",TRUE,4,56.8203629321559,54.7792771796514,36,35,0.0359217302948512
"Acyp2",TRUE,3,94.7891727181956,94.402209952981,54,53,0.00408235196191731
"Adam10",TRUE,4,44.9045239392479,44.7965455060442,30,29,0.00240462260216323
"Adam17",TRUE,4,33.3452760272383,30.8916865384166,22,21,0.0735813218885182
"Adam19",TRUE,3,45.3155865103778,45.1609625457463,38,37,0.0034121585206921
"Adamts12",TRUE,4,32.492248697445,32.4897119558923,17,16,7.80722065847339e-05
"Adamts9",TRUE,3,56.9177854082327,56.8141687530845,33,32,0.00182046181883322
"Adarb1",TRUE,4,36.5879109861826,36.5761411209299,24,23,0.000321687271437776
"Adcy9",TRUE,4,53.2846908512765,52.0411054532687,33,32,0.0233385120217502
"Adgrf5",TRUE,4,38.1520855545195,36.7916953509981,25,24,0.0356570337833146
