"","AR","N","log2FC","llr_mean","pval_mean"
"1700025G04Rik",0.505952380952381,16,0.311944006314741,-0.12429330306702,0.618072054423315
"2010001K21Rik",0.305555555555556,12,-0.523561956057013,0.542514906619935,1
"2210408F21Rik",0.496527777777778,20,-3.88578058618805e-16,0.169476149938738,1
"2610037D02Rik",0.507142857142857,14,-0.16349873228288,0.294495598847483,1
"2610307P16Rik",0.453703703703704,27,-0.332575339086871,0.268851847873997,1
"4632427E13Rik",0.597222222222222,12,0.921997487998727,-1.80027972231485,0.0577601305870487
"4732440D04Rik",0.345833333333333,20,-1,-3.54138923454537,0.00778282421334347
"5031425E22Rik",0.547619047619048,21,0.381870635343644,-0.370824021419153,0.389133462170719
"9330159M07Rik",0.114583333333333,16,-3.1963972128035,-23.2441205922514,9.21699012107237e-12
"9530026P05Rik",0.622856022384324,53,0.613451057680852,-2.86706233497415,0.0166383587010017
"AW554918",0.3,10,-0.678071905112638,1.1605887817719,1
"Aak1",0.572448979591837,21,0.155278225477911,0.553736486521636,1
"Abcc5",0.551282051282051,13,0.192645077942395,0.99298377901237,1
"Abcd3",0.512820512820513,13,0,0.160084280784229,1
"Abhd18",0.470454545454546,11,-0.295455883526171,-0.114591043225687,0.632130963305701
"Abi1",0.909678926515661,49,3.62803122261304,-75.2330136599602,1.37119199808833e-34
"Abi3bp",0.378787878787879,11,-1,-0.892545408321684,0.181525443997052
"Ablim1",0.475231582145792,34,-0.145540842815353,-0.278514912562727,0.455459452710561
"Ablim3",0.303030303030303,11,-1.15754127698648,-1.46245624747195,0.0872219536884098
"Abra",0.293795093795094,12,-1.09114788805819,-1.70532602926812,0.0647768455720175
"Abtb2",0.476190476190476,17,-0.334419039070559,-0.254742710170465,0.475361698554203
"Acacb",0.55,16,0.459431618637296,-0.926948874257505,0.173330742823696
"Acadl",0.422222222222222,12,-0.506959988719882,-0.547114088069129,0.295536276913909
"Acat1",0.478571428571429,10,-0.137503523749934,-0.0361481942423403,0.788022122406468
"Ackr3",0.533333333333333,10,0.231325546106455,0.196608329552735,1
"Aco2",0.456122448979592,14,-0.67137725253863,-0.97018274602442,0.163628855045546
"Acsl1",0.463888888888889,12,-0.211504105193712,-0.0468715854832311,0.759471355909328
"Acss1",0.50995670995671,11,0.383328639551506,-0.0828248591671503,0.684007340050625
"Actc1",0.431372549019608,17,-0.227410496103071,-0.0694279669017277,0.709421028111951
"Actn2",0.430763665261915,23,-0.426264754702098,-1.58314417437814,0.075173102155534
"Acyp2",0.50305944055944,26,-0.244236810379668,-0.270539116074985,0.461986215329076
"Adamts9",0.548611111111111,12,0.229481846122768,0.335435735751734,1
"Adamtsl1",0.501944444444444,30,0.532495080827021,-0.1724521107435,0.557011998986598
"Adamtsl5",0.59,10,-0.0740005814437776,0.257967831760119,1
"Adcy9",0.714102564102564,13,0.199308808223407,1.39052430415926,1
"Adgrd1",0.138888888888889,12,-1.58496250072116,-2.48662469032717,0.0257422428336459
"Adgrl3",0.356666666666667,10,-0.736965594166206,-0.456586545917233,0.339273903539719
"Adk",0.397275691590166,47,-0.588143747965836,-4.85194762853459,0.00183877831170612
"Adra1a",0.150520833333333,16,-2.77760757866355,-9.95971070060709,8.07755769982058e-06
"Aebp1",0.614583333333333,16,0.356143810225275,1.48862397658275,1
"Aebp2",0.404545454545455,11,-0.275634442613427,0.0672649368643761,1
"Aff1",0.39992784992785,21,-0.678071905112637,-1.52977637124347,0.0802637595529251
"Afg1l",0.4125,12,-0.415037499278844,-0.0571675422639153,0.735261671944671
"Afg2a",0.439393939393939,11,-0.33703498727757,-0.131948280619937,0.607455714178654
"Agap1",0.41031746031746,33,-0.34617564113404,-1.12185097112379,0.134159447747831
"Agl",0.463510101010101,12,-0.111031312388744,0.0546020721290859,1
"Ago3",0.607142857142857,14,0.830074998557687,-1.25481871754648,0.113151961715993
"Agtpbp1",0.474242424242424,11,0.610053481683986,-0.363103130726227,0.394115657593622
"Ahnak",0.458333333333333,21,-0.0297473433940523,-0.0585761892648762,0.73214372470244
"Aig1",0.443015873015873,15,-0.569365645670138,-0.707658072401777,0.234175883755132
"Airn",0.323833260040157,37,-0.632695111505258,-5.08983105859544,0.00141998199843042
"Akap13",0.563571428571429,20,0.192645077942396,-0.0805891994444892,0.688073903032578
"Akap6",0.583444117540227,23,0.376148485885249,-0.849784615932784,0.192344321821939
"Akt3",0.48015873015873,21,0.0365258760251138,0.084287486461669,1
"Aldh1a1",0.648611111111111,12,1.04730571477836,-2.11471043763174,0.03972899426596
"Aldh1a2",0.625,12,0.938599455335857,-1.18253081275198,0.12407901327773
"Alpk2",0.570386904761905,16,0.505235308250422,-0.337706680424489,0.411170605372522
"Ambra1",0.575396825396825,21,0.304854581528421,-0.2253842914931,0.501970192382024
"Ank",0.52719298245614,19,-0.0703893278913972,0.0429097954846007,1
"Ank2",0.542154394427122,33,0.0653760088520245,-0.00990733007431288,0.888055944634752
"Ank3",0.410119047619048,14,-0.351472370501378,-0.436645964546358,0.350045572778447
"Ankhd1",0.49,25,0.162271428898877,0.125204000373571,1
"Ankrd11",0.400595238095238,28,-0.525091044743757,-1.16879968154467,0.126284034512752
"Ankrd12",0.6075,20,0.793549122532574,-1.95507324143603,0.0479954137781146
"Ankrd17",0.455346150463879,38,-0.0843921872903725,0.212242668630957,1
"Ankrd44",0.487179487179487,13,-0.561878887608115,-0.669557223462256,0.247190197657044
"Ano1",0.438333333333333,20,-0.175086706558091,-0.219926983507307,0.50719294767924
"Ano4",0.310606060606061,11,-1.32192809488736,-0.892024970441504,0.181652802399189
"Ano6",0.442942176870748,28,-0.0962153152593031,-0.101291030682184,0.652644703396117
"Anxa2",0.393303571428571,16,-0.20945336562895,2.28175843300456,1
"Anxa3",0.608974358974359,13,0.120294233717712,0.610838593458542,1
"Aopep",0.518330773169483,31,-0.15200309344505,0.217336373918172,1
"Ap1g1",0.366666666666667,13,-0.251538766995965,-0.180314137326842,0.548157514753253
"Ap2b1",0.442424242424242,11,-0.395928676331139,0.185763788651062,1
"Ap3b1",0.591269841269841,21,0.247927513443586,0.231721912364009,1
"Ap4e1",0.695238095238095,14,1.09310940439148,-1.78248478531904,0.059010822163505
"Apbb2",0.634972170686456,14,0.637429920615292,0.552472302427617,1
"Apc",0.446969696969697,11,-0.493040011280117,-0.828718370150163,0.197949765692413
"Aplp2",0.488888888888889,12,0.058893689053569,0.956384776757417,1
"App",0.377678571428571,36,-0.633872101202103,-2.0686153522988,0.0419497439496037
"Aqp1",0.540862708719852,14,0.0824621601919733,0.0276823048892219,1
"Arb2a",0.416502463054187,29,-0.0242475462466772,-0.138972216536629,0.598051683979271
"Arf4",0.603125,16,0.0458036896131249,0.710077317858122,1
"Arfgef1",0.505,20,-0.241008099503795,-0.183451509831855,0.544697246286232
"Arfgef2",0.637301587301587,12,0.736965594166205,-0.254331068446373,0.475718580986509
"Arhgap10",0.537068965517241,29,0.316027493447678,-0.223936009156652,0.503347235003073
"Arhgap12",0.7375,12,0.60768257722124,3.69070721948953,1
"Arhgap18",0.590798611111111,32,0.532873989572702,-1.10536450293984,0.137053891986046
"Arhgap21",0.594281045751634,17,0.269186632815388,-0.351027336705592,0.402094154304383
"Arhgap24",0.57989417989418,12,0.472068444315223,-0.750397725313036,0.220549009410895
"Arhgap26",0.458537758537759,33,-0.131244533278253,0.0365486160677477,1
"Arhgap28",0.519230769230769,13,0.163498732282879,0.109697127954725,1
"Arhgap29",0.881818181818182,11,1.39231742277876,-0.2665353454205,0.465318730633206
"Arhgap42",0.615151515151515,11,0.0641303374197155,0.175400783303797,1
"Arhgap44",0.390151515151515,11,-0.526068811667588,1.11952616519847,1
"Arhgap5",0.561538461538462,13,0,1.11533780763477,1
"Arhgef12",0.754575015347929,43,1.86993945943563,-18.6527956126007,1.0099463843495e-09
"Arid1b",0.47547619047619,35,-0.174497731232136,0.204246036995293,1
"Arid2",0.383333333333333,12,-0.106915203916512,0.24220394808799,1
"Arid4b",0.5325,20,0.384663850235325,-0.366896717650569,0.391656345172604
