"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1700025G04Rik",0.551459293394777,0.553846153846153,5.47476418635667,2.98050990134322,1.37686889456468,2.09677419354839,31
"2010001K21Rik",0.46031746031746,0.41025641025641,0.823096669148037,2.37778876866119,3.154279977896,1.85714285714286,21
"2210408F21Rik",0.549329501915709,0.499999999996955,0.59272856809257,0.470410634389215,0.374691272763437,3.31034482758621,29
"2610037D02Rik",0.427272727272727,0.471698113207673,1.11620302637449,11.2200119648859,16.4893005190718,1.60606060606061,33
"2610307P16Rik",0.482954545454545,0.442622950947369,1.33886053526455,0.870095728387297,0.552387098703426,2.77272727272727,44
"4632427E13Rik",0.695402298850575,0.654545454545267,2.17012803770807,2.55431026602336,2.64260895110233,1.89655172413793,29
"4732440D04Rik",0.31359649122807,0.333333333873275,0.722646535789006,0.876624645611663,0.91976305130659,2.28947368421053,38
"5031425E22Rik",0.576923076923077,0.565789473672155,0.582945660659036,1.63242795044333,2.15515313979487,1.94871794871795,39
"9330159M07Rik",0.104938271604938,0.0983606557377308,1e-06,1e-06,0.961496959884152,2.25925925925926,27
"9530026P05Rik",0.586402917006365,0.60472972972973,0.360844290150479,0.25859316440942,0.185668271487376,5.10344827586207,58
"AW554918",0.428571428571429,0.384615384615434,998.999999999999,493.385219655511,174.143692153851,1.39285714285714,28
"Aak1",0.46003861003861,0.526881720430108,0.365665840263859,0.592872773345181,0.693428161802835,2.51351351351351,37
"Abcc5",0.467948717948718,0.533333333319792,998.999999999999,383.571591962634,6.42167812426335,1.73076923076923,26
"Abcd3",0.471264367816092,0.499999999958607,0.968825880196336,7.57696532817058,11.010632700712,1.6551724137931,29
"Abhd18",0.4625,0.448979591836736,1.76457488273681,1.33958202241254,1.02253484357741,2.22727272727273,22
"Abi1",0.919532134532135,0.92517006802709,0.00837718375363783,0.118093495267573,0.175509365194897,5.34545454545455,55
"Abi3bp",0.341269841269841,0.333333333333418,998.999999999999,381.432309020883,3.154279977896,1.85714285714286,21
"Ablim1",0.492043576580394,0.47480106101225,0.0925978127999438,0.104567350162308,0.106002468057264,8.76744186046512,43
"Ablim3",0.32183908045977,0.30952381020103,3.23678507711233,56.8377459428283,84.932848625288,1.44827586206897,29
"Abra",0.396081111870586,0.319444444479767,0.432267773475862,0.352273728892481,0.287324099979116,3.78947368421053,19
"Abtb2",0.413419913419913,0.442307692474566,8.78075084738375,3.87676872190528,0.828282603107416,2.36363636363636,22
"Acacb",0.643478260869565,0.578947368410463,1e-06,1e-06,0.24938168746902,4.1304347826087,23
"Acadl",0.321212121212121,0.413043478323856,0.429173179131838,1.07827094989966,1.39795872025028,2.09090909090909,22
"Acat1",0.471428571428571,0.47619047619047,2.47592589789806,6.91629342064314,9.12744846368141,1.68,25
"Ackr3",0.492753623188406,0.54,998.999999999999,380.114107593723,1.14094699814674,2.17391304347826,23
"Aco2",0.384656084656085,0.385714285714286,0.70477502182514,0.685882177630698,0.638801199976038,2.59259259259259,27
"Acsl1",0.386274509803922,0.463414634146341,3.86137784228076,1.97710164685347,0.780094100104686,2.41176470588235,17
"Acss1",0.573968253968254,0.566037735849057,0.200917220291616,0.290804750040079,0.327623800458743,3.53333333333333,15
"Actc1",0.493333333333333,0.460674157303371,0.63045024533122,0.450757127889749,0.322795244371503,3.56,25
"Actn2",0.381060165424002,0.426666666667648,0.0218702987063824,0.0785782601541053,0.107330422759002,8.65384615384615,26
"Acyp2",0.487987012987013,0.457777777787952,0.185229109662595,0.164155372328394,0.143287088398596,6.42857142857143,35
"Adamts9",0.486111111111111,0.53968253968177,147.925862162613,57.0684140869837,1.36549106120415,2.1,30
"Adamtsl1",0.556851851851852,0.591240875912409,1.42929444352425,0.835693938473608,0.447392431451294,3.04444444444444,45
"Adamtsl5",0.445,0.487179487179487,0.877744719247556,1.73785554941243,2.14519277197233,1.95,20
"Adcy9",0.477604166666667,0.534482758696645,1.0896889899786,3.00400808772507,3.95610207179784,1.8125,32
"Adgrd1",0.30952380952381,0.250000000000018,1.22645541542256,2.53096297610721,3.154279977896,1.85714285714286,28
"Adgrl3",0.434848484848485,0.37500000000064,1.58739174344883,1.04109235357847,0.669407843498534,2.54545454545455,22
"Adk",0.339171681116169,0.399470899470899,0.120424079949918,0.138241539583504,0.141294945086253,6.51724137931035,58
"Adra1a",0.126754385964912,0.127272728111493,0.0950874073343377,0.365881660739527,0.503672560248922,2.89473684210526,19
"Aebp1",0.477011494252874,0.561403508769011,1.55597377311784,1.92054545951316,2.03084831008809,1.96551724137931,29
"Aebp2",0.498,0.452380952380952,1.68693811017935,6.61667780505376,9.12744846368142,1.68,25
"Aff1",0.378907496012759,0.384615384615402,0.27212818074508,0.624773441223197,0.796402957729416,2.39473684210526,38
"Afg1l",0.4625,0.428571428571429,1.10507451947476,1.60621585090944,1.812283788327,2,28
"Afg2a",0.451388888888889,0.441860465244966,3.79334969138077,4.34516261806446,4.43636888432294,1.79166666666667,24
"Agap1",0.38978835978836,0.440298507464302,0.164938051603924,0.370860373688847,0.470763340817156,2.97777777777778,45
"Agl",0.407720057720058,0.480769230769415,0.239752724686859,0.564829611609262,0.723626513146168,2.47619047619048,21
"Ago3",0.660714285714286,0.64,1.74936375636739,3.66887101015841,4.58895801082219,1.78571428571429,28
"Agtpbp1",0.623717948717949,0.604166666666667,1.87426698227642,2.89021453488118,3.3272461498882,1.84615384615385,26
"Ahnak",0.491477272727273,0.494845360824742,1.19999813909183,1.15547503327972,1.06879661348931,2.20454545454545,44
"Aig1",0.407910906298003,0.40259740261793,1.09857637983804,0.886824125680514,0.717301747649974,2.48387096774194,31
"Airn",0.274153541597761,0.392086330935252,0.994645185225551,0.490012164107694,0.171517704549664,5.45098039215686,51
"Akap13",0.530272108843537,0.533333333551908,0.468061987939414,0.98140993959998,1.22746416141084,2.14285714285714,42
"Akap6",0.55458518090097,0.564814814814815,0.0819364981968573,0.104180031383159,0.111594465645034,8.30769230769231,26
"Akt3",0.531862745098039,0.506329113916551,0.408167283787351,0.727578628295043,0.874518067019298,2.32352941176471,34
"Aldh1a1",0.722435897435897,0.67391304347826,1.32386726399411,3.81075766918923,5.05245420029177,1.76923076923077,26
"Aldh1a2",0.725,0.657142855317366,998.999999999999,383.086320788871,5.6805072848696,1.75,20
"Alpk2",0.570703933747412,0.586666666644028,0.49806239810411,0.442191955145397,0.386498321925019,3.26086956521739,23
"Ambra1",0.563008130081301,0.552631578942087,1.41619131039809,2.6378674295186,3.20751189398719,1.85365853658537,41
"Ank",0.435507246376812,0.48780487804878,0.244883200248941,0.303733577090185,0.321870160598024,3.56521739130435,23
