"","AR","N","log2FC","llr","pval"
"1700025G04Rik",0.505952380952381,16,0.31194400631474,-7.61024582552902,9.56597627386823e-05
"2010001K21Rik",0.305555555555556,12,-0.523561956057013,-17.4945085547026,3.31570273370813e-09
"2210408F21Rik",0.496527777777778,20,0,-10.962857882276,2.83410550493958e-06
"2610037D02Rik",0.507142857142857,14,-0.16349873228288,-4.32496576133714,0.00327073649169746
"2610307P16Rik",0.453703703703704,27,-0.332575339086871,-9.72713378112831,1.03037361677456e-05
"4632427E13Rik",0.597222222222222,12,0.921997487998727,-16.0893637402278,1.40621996274357e-08
"4732440D04Rik",0.345833333333333,20,-1,-6.39135384181577,0.000349838191035322
"5031425E22Rik",0.547619047619048,21,0.381870635343644,-13.945543432179,1.28339606098253e-07
"9330159M07Rik",0.114583333333333,16,-3.1963972128035,-4.43905909342833,0.00288608875105592
"9530026P05Rik",0.622856022384324,53,0.613451057680852,-0.127549435338651,0.613507470263956
"AW554918",0.3,10,-0.678071905112638,-12.5104238639504,5.67137678346519e-07
"Aak1",0.572448979591837,21,0.155278225477911,-8.71617722669627,2.97715064658745e-05
"Abcc5",0.551282051282051,13,0.192645077942396,-17.694940689794,2.69885335939282e-09
"Abcd3",0.512820512820513,13,0,-7.52259496739444,0.000104967424288289
"Abhd18",0.470454545454546,11,-0.295455883526171,-15.4968276580084,2.58873292903094e-08
"Abi1",0.909678926515661,49,3.62803122261304,-3.02808166793709,0.0138578430896037
"Abi3bp",0.378787878787879,11,-1,-13.1816761750725,2.82856707641304e-07
"Ablim1",0.475231582145792,34,-0.145540842815353,-16.0954157559937,1.3974866405863e-08
"Ablim3",0.303030303030303,11,-1.15754127698648,-20.0984075144457,2.2962230299179e-10
"Abra",0.293795093795094,12,-1.0911478880582,-17.5632856224223,3.08956198261892e-09
"Abtb2",0.476190476190476,17,-0.334419039070559,-7.72300102217869,8.48963425878446e-05
"Acacb",0.55,16,0.459431618637297,-9.59052879811532,1.18887296399962e-05
"Acadl",0.422222222222222,12,-0.506959988719883,-16.5939649953548,8.36682712649441e-09
"Acat1",0.478571428571429,10,-0.137503523749935,-13.606111539234,1.82302492811188e-07
"Ackr3",0.533333333333333,10,0.231325546106456,-14.7339604847187,5.68499196809092e-08
"Aco2",0.456122448979592,14,-0.67137725253863,-20.6462065303072,1.31076659517677e-10
"Acsl1",0.463888888888889,12,-0.211504105193712,-16.3350550341311,1.09203683507346e-08
"Acss1",0.50995670995671,11,0.383328639551506,-16.7411449075929,7.19158595880626e-09
"Actc1",0.431372549019608,17,-0.227410496103072,-5.62507556906947,0.000796165326467594
"Actn2",0.430763665261915,23,-0.426264754702098,-14.6679725217382,6.08563042690419e-08
"Acyp2",0.50305944055944,26,-0.244236810379668,-15.6923648367312,2.11638895679539e-08
"Adamts9",0.548611111111111,12,0.229481846122767,-17.0356139645376,5.31311007719428e-09
"Adamtsl1",0.501944444444444,30,0.532495080827021,-12.9749338817307,3.5039943919798e-07
"Adamtsl5",0.59,10,-0.074000581443777,-13.4638530824339,2.11209349863703e-07
"Adcy9",0.714102564102564,13,0.199308808223407,-16.5230491066274,8.99994784909311e-09
"Adgrd1",0.138888888888889,12,-1.58496250072116,-11.0016263661588,2.72188788244225e-06
"Adgrl3",0.356666666666667,10,-0.736965594166206,-14.9692536249484,4.45967406818473e-08
"Adk",0.397275691590166,47,-0.588143747965836,0.236213023348597,1
"Adra1a",0.150520833333333,16,-2.77760757866355,-7.25012595554548,0.00014014080092348
"Aebp1",0.614583333333333,16,0.356143810225275,-4.21912242484518,0.00367410689241616
"Aebp2",0.404545454545455,11,-0.275634442613427,-15.5932483716052,2.34390844731804e-08
