"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.355376344086021,31,-0.625604485218502,-1.49035984346574,0.0842617973362186,0.623176822010644
"2210408F21Rik",0.470481310803891,31,0.247927513443586,0.215102667276582,1,1
"2610037D02Rik",0.388157894736842,38,-0.662965012722429,-0.757455283413535,0.218391303826041,0.923654963888118
"2610307P16Rik",0.468794326241135,47,-0.284729476933113,-0.180647360553046,0.547788058388857,1
"4632427E13Rik",0.502873563218391,29,-0.415037499278844,0.464537383168228,1,1
"4732440D04Rik",0.334072871572872,44,-0.940293753875732,-3.0512946420025,0.013498395734974,0.209755969679428
"5031425E22Rik",0.537857142857143,40,0.514573172829758,0.129465988435641,1,1
"9330159M07Rik",0.0921052631578947,19,-2.53605290024021,-9.88108208496124,8.77017249896133e-06,0.000505381190252646
"9530026P05Rik",0.648650599841076,63,0.679821687062598,-3.5758705191738,0.00748912511932792,0.149698139396079
"AU040320",0.591954022988506,29,0.415037499278843,-0.26152379180543,0.469544556940592,1
"Aak1",0.433227513227513,45,-0.415037499278844,-0.612005513534996,0.268574920291786,0.967289361363385
"Abca8a",0.712103174603175,16,0.825970600224952,-1.53016139826826,0.0802257302872989,0.612995497167593
"Abcc5",0.401836734693878,35,-0.537656785942799,-0.749175808626319,0.220925166817237,0.924489365070986
"Abhd18",0.457692307692308,26,-0.142019004872428,-0.0824357205530966,0.684710532520263,1
"Abi1",0.894260461760462,55,3.2337971846087,-55.4998678826471,5.91785864134546e-26,2.72813283366025e-23
"Abi3bp",0.631944444444444,24,1.09953567355091,-0.138775323309492,0.598311122016108,1
"Ablim1",0.493841694102878,59,0.22404027421793,0.521879938141126,1,1
"Ablim3",0.365151515151515,22,-0.53051471669878,-1.00497559806734,0.156270345076621,0.815554291475347
"Abra",0.350925925925926,18,-1.02748073642211,-2.5727104108943,0.0233077605324584,0.287223916819501
"Abtb2",0.49847619047619,25,0.415037499278843,0.0889143025921264,1,1
"Acaca",0.349206349206349,21,-0.514573172829759,-0.790335857185223,0.208663964997212,0.910354143820644
"Acacb",0.452136752136752,27,-0.568283759574526,-0.409157646576119,0.365673195371975,1
"Aco2",0.583015873015873,30,0.234465253637023,-0.165632107371565,0.564915619178938,1
"Acss1",0.634826526130874,23,0.514573172829759,-0.58025347413357,0.281360428641685,0.986078342231861
"Actc1",0.483516483516483,26,-0.599462070416271,-0.0865192506707047,0.677425393822353,1
"Actn2",0.552165347423968,29,0.0680184234286512,-0.0210955850273891,0.837255797745707,1
"Actr3",0.45045045045045,37,-0.33257533908687,-0.287132375949582,0.448569176977,1
"Acyp2",0.432579446268494,40,-0.518236386920344,-1.43740284361337,0.0899758348561435,0.640562068331202
"Adam10",0.445039682539683,36,-0.197939377611909,-0.33981582800142,0.409713590896131,1
"Adamts9",0.516908212560386,23,-0.222392421336448,-0.0825032355291668,0.684588391222608,1
"Adamtsl1",0.462772817460318,48,0.270089163367744,0.410345535601842,1,1
"Adamtsl5",0.513461538461538,26,-0.176877762084079,0.0943240281642197,1,1
"Adcy9",0.746666666666667,25,1.65711228647699,-3.07835300696741,0.0130914781944818,0.209755969679428
"Adgrd1",0.533854166666667,32,0.381870635343644,0.210244059031297,1,1
"Adgrg6",0.666666666666667,29,1.25375659224578,-0.746571733730342,0.221729372953835,0.924489365070986
