"","AR","N","log2FC","llr","pval","padj"
"4933406I18Rik",0.380092592592593,36,-0.367731784500487,7.71624612327589,1,1
"5031425E22Rik",0.57,30,0.321928094887362,-0.204389126016338,0.522590268580727,1
"Abca1",0.539952496642637,71,0.095860015407516,0.714444769029512,1,1
"Abca9",0.537414965986395,35,-0.201633861169651,-7.43610926066966,0.000115044889628673,0.00167065187547725
"Abi1",0.495757575757576,55,0.321928094887362,35.1190597759921,1,1
"Abl2",0.421212121212121,33,-0.295455883526171,-9.75912930323884,9.96426938135273e-06,0.000229521791267022
"Ablim1",0.511934156378601,27,-0.229481846122767,2.20655763039844,1,1
"Acer3",0.536630036630037,39,0.187627003175771,3.19664312162807,1,1
"Actr2",0.478682170542636,43,0.118644496498619,-0.0880335306183895,0.674775162429295,1
"Actr3",0.653703703703704,36,0.724365557386573,-5.57931960812524,0.000836412518512358,0.0075503184103548
"Adam19",0.444444444444444,27,-0.700439718141092,4.63789360085352,1,1
"Adam9",0.458064516129032,31,-0.559427408614019,-2.57521193109741,0.0232406993634653,0.0995178665050949
"Adgre1",0.4296875,32,-0.271302021817394,5.23199019492149,1,1
"Adgrg6",0.54952380952381,40,0.514573172829758,4.64119625624732,1,1
"Aff1",0.421317829457364,43,0.0331668639351993,2.14531676940683,1,1
"Aftph",0.47008547008547,39,-0.0506260730699677,1.67782495303742,1,1
"Agfg1",0.435470085470085,39,-0.46394709975979,-2.17682455872998,0.0369297369885,0.140735327174954
"Agmo",0.551282051282051,39,0.527247002864869,13.5460479614003,1,1
"Ago3",0.485714285714286,35,0.15200309344505,0.183817742671216,1,1
"Agps",0.397619047619048,35,-0.70626879694329,4.71923441799711,1,1
"Ahnak",0.36984126984127,42,-0.426264754702098,15.7477886880959,1,1
"Aig1",0.280952380952381,35,-1.33703498727757,5.2005926919061,1,1
"Airn",0.541269841269841,21,0.526068811667588,6.05432413639158,1,1
"Akap13",0.535,50,0.0577154978562875,5.22889629471732,1,1
"Akt3",0.481720430107527,31,-0.356143810225275,3.47981505392612,1,1
"Alcam",0.415327096364248,57,-0.404390255079336,-10.41504972227,5.01879882721681e-06,0.000145763374633949
"Alpk1",0.32156862745098,34,-1.51937415909358,4.67294434340698,1,1
"Ambra1",0.551470588235294,34,0.245112497836532,-4.05927574434933,0.00438145529775661,0.0284156518339943
"Ank2",0.279761904761905,42,-1.54432051622381,2.27574295176457,1,1
"Ankhd1",0.425193798449612,43,-0.084888897586513,3.62619673201063,1,1
"Ankrd11",0.494365079365079,60,-0.102361717629678,-0.0332711105639305,0.796439484101667,1
"Ankrd17",0.562345679012346,54,0.0995356735509143,3.12296792730126,1,1
"Ankrd33b",0.36359649122807,38,-1,0.333327130456873,1,1
"Ankrd44",0.493269230769231,52,-0.0565835283663675,8.40721854769833,1,1
"Anks1",0.343780369290573,49,-1,-7.31942788997837,0.000130202230124068,0.00181198103589328
"Ano6",0.410119047619048,56,-0.86102358685119,-1.6582186383456,0.068590319227905,0.223504064606051
"Antxr2",0.546504157218443,42,0.143364175171177,-0.759213404527166,0.217857719243871,0.608907767593747
"Aoah",0.510301132975552,43,-0.15200309344505,0.158062244944645,1,1
"Aopep",0.495614035087719,57,0.303780748177103,-1.71529283731282,0.0639994014713725,0.216743436930271
"Ap2a2",0.606909430438842,51,0.39231742277876,7.67912756916395,1,1
"Ap2b1",0.564035087719298,38,0.199308808223407,-11.0527784699947,2.58061634803912e-06,9.57695400272297e-05
"Ap3b1",0.397435897435897,39,-0.700439718141092,9.8814510421319,1,1
"Apaf1",0.505208333333333,32,-0.111031312388744,10.9730135351713,1,1
"Apba1",0.571428571428571,28,0.761840262805235,17.1825391618916,1,1
"Apc",0.491379310344828,29,-0.0671141958585371,5.06721326898691,1,1
"Apoe",0.881944444444444,42,2.49185309632967,-5.4556567303373,0.000955787328978653,0.00840086757575973
"App",0.694064153439153,72,1.69726547034595,-1.06702828430848,0.144059067903661,0.416634848430677
"Arb2a",0.638499149659864,56,0.666262602823004,5.33363473605056,1,1
"Arfgef1",0.434684684684685,37,-0.398549376490275,-4.63613689708545,0.00232648706180835,0.0176552401646411
"Arhgap10",0.466216216216216,37,-0.192645077942396,-5.22303036430874,0.00122911302511763,0.0102630937597322
"Arhgap12",0.496913580246914,27,0.137503523749935,-3.92837659240693,0.00506312323519457,0.0304699668568466
"Arhgap15",0.549272486772487,36,0.0384741478146358,-4.73213275702602,0.00209513306671799,0.0162738242856699
"Arhgap18",0.53015873015873,42,0,0.459988696325702,1,1
"Arhgap26",0.378,50,-0.655351828612554,1.72780757680062,1,1
"Arhgef12",0.553418803418803,39,0.68965987938785,6.09836987200998,1,1
"Arhgef3",0.600757575757576,44,0.517848304862619,-5.70093403203348,0.000733702900196693,0.00680713246293599
"Arid1b",0.475641025641026,52,-0.286881147788162,2.96270576366945,1,1
"Arih1",0.540058479532164,57,0.178970141045319,1.5771711101202,1,1
"Arl15",0.42536231884058,46,-0.909802191028422,7.6069855708848,1,1
"Arpc2",0.420833333333333,40,-0.400537929583729,-1.94342091425585,0.0486658558211719,0.175723198316448
"Asap1",0.512619047619048,50,0.321928094887362,16.9651066054788,1,1
"Ascc3",0.494623655913978,31,0,-6.40461008028973,0.00034491531000503,0.00391868974383276
"Ash1l",0.461240310077519,43,-0.31315788525963,33.1048758728329,1,1
"Asxl1",0.473214285714286,28,-0.0524674198941357,4.16611895844861,1,1
"Asxl2",0.394444444444444,27,-0.770518153877233,4.57093442146717,1,1
"Atad2b",0.494252873563218,29,-0.131244533278253,5.85915245454026,1,1
"Ate1",0.493589743589744,26,-0.15200309344505,-2.45906681875168,0.0265762118981907,0.110699531108894
"Atf6",0.478260869565217,23,0.304854581528421,0.72066381019517,1,1
"Atg10",0.445833333333333,24,-0.678071905112637,0.596607688127992,1,1
"Atp10d",0.530666666666667,25,0.125530882083859,1.66116554211247,1,1
"Atp13a3",0.466071428571429,20,-0.15200309344505,4.59606606250601,1,1
"Atp1b3",0.511904761904762,28,0.120294233717712,-6.48263540893159,0.000317322555264649,0.00371879766520677
"Atp2b1",0.457446808510638,47,-0.0317088597273382,-0.394217291170058,0.374573893510086,0.947785457820976
"Atp6v0b",0.424418604651163,43,-0.499571009490512,-4.34477680616061,0.00320038996057735,0.0222693801423508
"Atp8a1",0.348275862068966,29,-0.807354922057604,-2.22191230727514,0.0350276942945318,0.137638234051454
"Atp8b4",0.585964912280702,38,0.815575428862573,-1.2510536663965,0.113694073411207,0.343654484337948
"Atp9b",0.319047619047619,35,-0.866733469136536,-1.77398796629127,0.0596181326671926,0.20683427640737
"Atxn1",0.427358490566038,53,-0.34577483684173,6.9960149641334,1,1
"Atxn2",0.47283950617284,27,-0.251538766995964,3.97923339575805,1,1
"Atxn7",0.589285714285714,28,0.137503523749935,5.39625955993568,1,1
"Atxn7l1",0.46969696969697,33,0,-3.66166750231214,0.00680649905278969,0.0388610373270386
"B4galt1",0.555151515151515,55,0.254572827085598,2.94140647034606,1,1
"B4galt6",0.438095238095238,35,-0.15754127698648,-0.426897049718853,0.355481216577561,0.913313279514656
"Babam2",0.449537037037037,36,-0.263034405833794,-13.9701840988212,1.25112177498035e-07,6.42884112066827e-06
