"","AR","N","log2FC","llr_var","pval_var","padj_var"
"4933406I18Rik",0.380092592592593,36,-0.367731784500487,8.07512646778194,1,1
"5031425E22Rik",0.57,30,0.321928094887362,-7.49297346761421,0.000108314805413974,0.000882369390445544
"Abca1",0.539952496642637,71,0.095860015407516,-0.119773047738093,0.624534140863539,1
"Abca9",0.537414965986395,35,-0.201633861169651,-0.439370877043238,0.348546534508011,1
"Abi1",0.495757575757576,55,0.321928094887362,26.2152748801881,1,1
"Abl2",0.421212121212121,33,-0.295455883526171,-3.94774040907092,0.00495584621446021,0.0265274398243217
"Ablim1",0.511934156378601,27,-0.229481846122767,3.13020705483601,1,1
"Acer3",0.536630036630037,39,0.187627003175771,3.33113340541045,1,1
"Actr2",0.478682170542636,43,0.118644496498619,3.63456487494502,1,1
"Actr3",0.653703703703704,36,0.724365557386573,-2.34881084611789,0.0302043860416301,0.134151175782875
"Adam19",0.444444444444444,27,-0.700439718141092,0.282174974461668,1,1
"Adam9",0.458064516129032,31,-0.559427408614019,-11.6628220769275,1.36764357761867e-06,1.82717181969854e-05
"Adgre1",0.4296875,32,-0.271302021817394,5.09290604541104,1,1
"Adgrg6",0.54952380952381,40,0.514573172829758,0.495123297160788,1,1
"Aff1",0.421317829457364,43,0.0331668639351993,2.96791180306859,1,1
"Aftph",0.47008547008547,39,-0.0506260730699677,-4.82350701510909,0.00189659632714495,0.0112117375799365
"Agfg1",0.435470085470085,39,-0.46394709975979,-19.2782078246791,5.31936243036441e-10,2.45011244227851e-08
"Agmo",0.551282051282051,39,0.527247002864869,-17.5806647997981,3.03490597465852e-09,1.06700904793257e-07
"Ago3",0.485714285714286,35,0.15200309344505,2.72496525749294,1,1
"Agps",0.397619047619048,35,-0.70626879694329,-0.167269784642656,0.562998173020408,1
"Ahnak",0.36984126984127,42,-0.426264754702098,11.5063903247614,1,1
"Aig1",0.280952380952381,35,-1.33703498727757,-10.0035576190612,7.71545378800157e-06,8.73546293285601e-05
"Airn",0.541269841269841,21,0.526068811667588,-3.37408832000237,0.00938435394340056,0.0478480859128444
"Akap13",0.535,50,0.0577154978562875,5.83850988903103,1,1
"Akt3",0.481720430107527,31,-0.356143810225275,5.17362411490389,1,1
"Alcam",0.415327096364248,57,-0.404390255079336,-0.0381211985862393,0.782455701251657,1
"Alpk1",0.32156862745098,34,-1.51937415909358,5.90813355414458,1,1
"Ambra1",0.551470588235294,34,0.245112497836532,-0.0655177139109924,0.717360878436116,1
"Ank2",0.279761904761905,42,-1.54432051622381,1.96981041081608,1,1
"Ankhd1",0.425193798449612,43,-0.084888897586513,-8.78515175872669,2.76878564468933e-05,0.000253362850774311
"Ankrd11",0.494365079365079,60,-0.102361717629678,1.72991380051664,1,1
"Ankrd17",0.562345679012346,54,0.0995356735509143,3.3067918372049,1,1
"Ankrd33b",0.36359649122807,38,-1,3.80926446726123,1,1
"Ankrd44",0.493269230769231,52,-0.0565835283663675,11.7328254141976,1,1
"Anks1",0.343780369290573,49,-1,-5.22030041965497,0.00123275162318978,0.00742831354055969
"Ano6",0.410119047619048,56,-0.86102358685119,0.635557025589776,1,1
"Antxr2",0.546504157218443,42,0.143364175171177,-0.0152279782532148,0.861459682285561,1
"Aoah",0.510301132975552,43,-0.15200309344505,0.0101943285752739,1,1
"Aopep",0.495614035087719,57,0.303780748177103,3.44226185216216,1,1
"Ap2a2",0.606909430438842,51,0.39231742277876,6.67651344580641,1,1
"Ap2b1",0.564035087719298,38,0.199308808223407,-7.13858422685997,0.000157766950339162,0.00122139400358758
"Ap3b1",0.397435897435897,39,-0.700439718141092,-8.90514089037872,2.44060824726894e-05,0.000226434209607729
"Apaf1",0.505208333333333,32,-0.111031312388744,0.0297964200888998,1,1
"Apba1",0.571428571428571,28,0.761840262805235,0.119642302985355,1,1
"Apc",0.491379310344828,29,-0.0671141958585371,-0.0726981120017811,0.702974296742739,1
"Apoe",0.881944444444444,42,2.49185309632967,-8.14047459245904,5.46102462253356e-05,0.000467687749724669
"App",0.694064153439153,72,1.69726547034595,1.63739268564562,1,1
"Arb2a",0.638499149659864,56,0.666262602823004,6.66281003257673,1,1
"Arfgef1",0.434684684684685,37,-0.398549376490275,-9.17960273175485,1.82932987763514e-05,0.000179704758567687
"Arhgap10",0.466216216216216,37,-0.192645077942396,0.226638434959852,1,1
"Arhgap12",0.496913580246914,27,0.137503523749935,-2.18470063236742,0.0365898462823896,0.158714398159976
"Arhgap15",0.549272486772487,36,0.0384741478146358,-3.32681265535793,0.00989542838369875,0.049329448957543
"Arhgap18",0.53015873015873,42,0,2.34431226247465,1,1
"Arhgap26",0.378,50,-0.655351828612554,1.341201373258,1,1
