"","AR","N","log2FC","llr_mean","pval_mean"
"1700025G04Rik",0.470448179271709,34,-0.0907654639231819,0.460848182881904,1
"2210408F21Rik",0.514678318135765,94,0.181065559047512,-0.48557029104137,0.324395885686605
"2310014F06Rik",0.348958333333333,16,-0.400537929583728,-0.221850167028606,0.505341847703436
"2610037D02Rik",0.521428571428571,21,-0.106915203916512,0.531331742182374,1
"2610307P16Rik",0.467666666666667,25,-0.16349873228288,-0.0776669689327321,0.69348929552591
"2700097O09Rik",0.542207792207792,11,0.847996906554948,-1.75918269578754,0.0606922778974549
"3222401L13Rik",0.288888888888889,18,-0.497499659470817,0.43043970332792,1
"4632427E13Rik",0.521376811594203,46,0.260062839302503,-0.138632772457029,0.598499102139087
"4732440D04Rik",0.286167800453515,63,-1.41078802627749,-18.6431434620232,1.01999311797496e-09
"4833422C13Rik",0.5625,12,0.974909019037169,-2.10791036355602,0.0400486876001643
"4933431K23Rik",0.457407407407407,18,0.0365258760251135,0.310309499960027,1
"5031425E22Rik",0.547524565381708,63,0.321928094887362,-0.886661671334863,0.182971323426744
"5330438D12Rik",0.551282051282051,13,-0.357552004618083,1.3385719405032,1
"5430431A17Rik",0.513157894736842,19,-0.134301091711589,-0.00149913703256743,0.956332458000457
"6720427I07Rik",0.716666666666667,10,0.662965012722429,-0.114477124065161,0.632300324131282
"6820431F20Rik",0.75,10,1.94341647163363,-9.50017939385877,1.30693876476318e-05
"9330159M07Rik",0.0761904761904762,35,-3.265344566521,-51.5123916687444,3.30981732107826e-24
"9530026P05Rik",0.578354532071222,186,0.52083216330144,-6.50358331076006,0.000310301102570389
"AU040320",0.666666666666667,10,0.31315788525963,2.38835577418873,1
"AW554918",0.447916666666667,24,-0.134929580086108,0.080510789605853,1
"Aak1",0.388262322472849,57,-0.18601198560995,0.98454272092502,1
"Abca1",0.435897435897436,13,-0.115477217419937,-0.0258065816396922,0.820279653073304
"Abca6",0.678947368421053,19,1.11547721741994,-1.61277956100671,0.072497035417037
"Abca8a",0.651661628601284,58,0.944656966156226,-9.5145689571017,1.28737527114827e-05
"Abca8b",0.677248677248677,21,0.847996906554949,-2.81790151287478,0.0175972829641853
"Abca9",0.708333333333333,12,0.476438043942987,1.10412084963173,1
"Abcc5",0.475308641975309,27,-0.072756342435313,0.0956594081439022,1
"Abcc9",0.430434782608696,92,-0.314108590428063,-0.410571287514728,0.364846315439233
"Abcd3",0.69040404040404,33,0.730813367184612,-0.763232861115213,0.2166436527709
"Abhd17b",0.270833333333333,12,-0.736965594166206,2.37088337561213,1
"Abhd18",0.542080745341615,46,-0.0489096004809448,0.170735524117319,1
"Abi1",0.721130952380952,56,1.15527822547791,-2.87085347369752,0.016566684899494
"Abi2",0.401515151515151,22,-0.0601209924375712,1.51336332587023,1
"Ablim1",0.492779107305155,140,0.0554951125917031,0.235319613632441,1
"Abra",0.305082736798423,45,-0.908077510558961,-2.90755836043614,0.0158889988825778
"Abtb2",0.500340136054422,49,0.181606806489947,-0.19592557688469,0.531327958331394
"Acaca",0.513888888888889,12,-0.152003093445049,0.589235084284766,1
"Acacb",0.490732892838156,95,-0.00702042767777222,0.0110676165207053,1
"Acad10",0.444444444444444,15,-0.0443941193584538,0.555839269548223,1
"Acad11",0.482142857142857,14,0.415037499278844,0.688558335324764,1
"Acadl",0.441812865497076,38,-0.289506617194985,-0.563959468093344,0.288219669211518
"Acadm",0.529885057471264,29,0.374395514781497,-0.662767081100512,0.249601251538929
"Acadsb",0.485294117647059,17,4.44089209850063e-16,-0.000933411145688012,0.965536733195433
"Acap2",0.519607843137255,17,0.197036847059554,-0.130041393516571,0.610063284713086
"Acat1",0.62952380952381,35,0.56768450928932,-2.13526549782743,0.0387788106363457
"Acbd3",0.58,10,0.24511249783653,-0.186864035819831,0.540979129584758
"Acer2",0.48974358974359,26,-0.339486466271667,-0.434907264257262,0.351006660097535
"Acer3",0.590909090909091,11,0.724365557386573,-1.40408554509131,0.0937852405279329
"Acin1",0.493055555555556,12,0.0356239097307203,0.000587061655195953,1
"Ackr3",0.670138888888889,24,1.02106161552783,-0.742813080777715,0.222896327580184
"Aco2",0.468057677616501,68,-0.173767067736706,-0.39350684863976,0.375004648075858
"Acot13",0.494444444444444,18,-0.3536369546147,-0.176370961889255,0.55256508240304
"Acot7",0.55,10,0.137503523749934,0.0767325558072329,1
"Acox1",0.407456140350877,38,-0.482392767080607,-1.18587063596047,0.123549173547455
"Acsl1",0.44546485260771,49,-0.456064767538898,-1.67953116010763,0.0668361147698215
"Acss1",0.646528720036183,67,0.725492809722257,-1.25607354913163,0.112971917903644
"Actc1",0.401305346700084,76,-0.390182310592566,-2.31736366984731,0.0313311224728044
"Actc1dt",0.336842105263158,19,-0.94937392693003,-1.62771641060825,0.0711871411251571
"Actn2",0.467487033858529,126,-0.0821267667135614,-0.579669087791927,0.281602839275459
"Actn4",0.575757575757576,11,0.175086706558091,0.102113863830532,1
"Actr2",0.636363636363636,11,0.313157885259631,0.765196843036591,1
"Actr3",0.514285714285714,35,-0.154328146391294,0.402748062673965,1
"Actr3b",0.783333333333333,10,0.796466605914867,-0.69228219850482,0.23932519198087
"Acvr1",0.345238095238095,14,0.15200309344505,4.49081840505209,1
"Acvr2a",0.359375,16,-0.169925001442313,0.653911594363073,1
"Acyp2",0.439510995327192,137,-0.406059903159587,-3.91508496296134,0.00513812690828982
"Adam10",0.387878787878788,11,-0.4262647547021,-0.815642094239593,0.201525519226441
"Adam17",0.361111111111111,12,-0.710493382805014,-0.473070218192326,0.33070366561301
"Adam19",0.404761904761905,29,-0.874469117916142,-3.48755729427803,0.00826509301920087
"Adam22",0.575,30,0.723482364802583,-1.73506900673695,0.0624860969752998
"Adam9",0.346153846153846,13,-0.450661409009564,0.453343006800765,1
"Adamts1",0.677083333333333,12,0.963474123974886,0.284439873922274,1
"Adamts12",0.415,25,-0.443606651475615,-1.14364104035437,0.130438159909224
"Adamts2",0.519298245614035,19,0.257797757467647,-0.236512543553033,0.491598769032241
"Adamts6",0.411458333333333,16,-0.427421223734676,-0.607412294034845,0.27037872518479
"Adamts9",0.618554443053817,47,0.438884241233212,-1.07074063340458,0.143363405528143
"Adamtsl5",0.399090909090909,40,-0.424885285235191,1.50567076366829,1
"Adap2",0.474747474747475,33,0.219313028404475,-0.122729087281655,0.620291430574224
"Adarb1",0.4375,16,0.144389909335175,0.299031917075496,1
"Adcy5",0.325757575757576,11,-0.584962500721156,-0.18284412923645,0.545363968930163
"Adcy6",0.427142857142857,35,-0.485426827170243,-1.09341030824501,0.139196381320839
"Adcy9",0.456878306878307,36,0.0968615392525887,0.229287027027681,1
"Adgra3",0.633333333333333,10,0.0962153152593026,2.42949363296385,1
"Adgrl2",0.513657407407407,36,0.0984037040609944,0.53570365156871,1
"Adgrl3",0.521583850931677,46,-0.422942697364191,-0.825142678257208,0.198920096998142
"Adgrl4",0.514285714285714,14,-0.415037499278842,-0.233525604424443,0.494346887395017
"Adk",0.469154398233346,130,-0.139095609665661,-1.1375881368597,0.131460177467421
"Adprhl1",0.474901920995671,64,-0.296981737757131,-0.475010954047946,0.329713720858539
"Adra1a",0.336154401154401,75,-1.00636952487573,-9.1316827165832,1.92371399990508e-05
"Aebp2",0.477777777777778,15,-0.101879614019214,0.249112945549221,1
"Afap1",0.417647058823529,17,-0.527247002864868,-1.01864450238105,0.15348297296569
"Aff1",0.461525189786059,69,-0.12644833524094,-0.236630664321012,0.491490618594664
"Aff4",0.466666666666667,20,0.216811389073149,0.615402113378181,1
"Afg1l",0.524621212121212,44,0.243925582886089,1.04440615993391,1
"Afg2a",0.506666666666667,25,0.103093492964104,-0.0397571928812823,0.777956581684605
"Afg3l2",0.355913978494624,31,-0.685126662646589,-2.74072645179011,0.0192192780240373
"Aftph",0.378205128205128,13,-0.216811389073149,1.54002033558009,1
"Agap1",0.473106060606061,44,-0.584962500721157,-1.84726003505284,0.0545914854939713
"Agfg1",0.444444444444444,18,0.101879614019214,0.421720704003661,1
"Agl",0.534591194968553,53,0.0976107966264226,-0.132463353762404,0.606755464889883
"Agmo",0.62047619047619,35,0.871675903024461,-3.42549320045839,0.00885923469388446
"Ago3",0.473106060606061,44,0.0331668639351987,0.302011207868048,1
"Agps",0.533333333333333,10,0.641546029087524,-0.873323402139391,0.186298831673354
