"","AR","N","log2FC","llr","pval"
"1700025G04Rik",0.470448179271709,34,-0.0907654639231821,2.29101978466166,1
"2210408F21Rik",0.514678318135765,94,0.181065559047513,1.58110965931036,1
"2310014F06Rik",0.348958333333333,16,-0.400537929583729,-15.5729544712347,2.39343255217857e-08
"2610037D02Rik",0.521428571428571,21,-0.106915203916512,-11.5287744890279,1.57223974169666e-06
"2610307P16Rik",0.467666666666667,25,-0.163498732282879,-9.92446190771575,8.38099030294291e-06
"2700097O09Rik",0.542207792207792,11,0.84799690655495,-13.9034872399899,1.34042026380165e-07
"3222401L13Rik",0.288888888888889,18,-0.497499659470817,-6.79391741167302,0.000227656060619916
"4632427E13Rik",0.521376811594203,46,0.260062839302503,-4.3178512200941,0.0032963811317463
"4732440D04Rik",0.286167800453515,63,-1.41078802627749,-11.6033559449719,1.45488660080735e-06
"4833422C13Rik",0.5625,12,0.97490901903717,-15.6245698265821,2.26948040943244e-08
"4933431K23Rik",0.457407407407407,18,0.0365258760251144,-4.89900204024931,0.00174701381609689
"5031425E22Rik",0.547524565381708,63,0.321928094887362,-4.45299954837836,0.0028423532314818
"5330438D12Rik",0.551282051282051,13,-0.357552004618084,-15.8722623867188,1.75844289555949e-08
"5430431A17Rik",0.513157894736842,19,-0.134301091711591,-6.27681317611964,0.000395438170859493
"6720427I07Rik",0.716666666666667,10,0.66296501272243,-17.8786001320858,2.23504402255924e-09
"6820431F20Rik",0.75,10,1.94341647163363,-16.0456731336336,1.47091052581272e-08
"9330159M07Rik",0.0761904761904762,35,-3.26534456652099,-0.663828217350904,0.249222568753801
"9530026P05Rik",0.578354532071222,186,0.52083216330144,-2.27401562229556,0.0329566200410048
"AU040320",0.666666666666667,10,0.31315788525963,-12.1212677818142,8.49356131311021e-07
"AW554918",0.447916666666667,24,-0.134929580086109,-12.7360631419202,4.48820593066781e-07
"Aak1",0.388262322472849,57,-0.186011985609949,-5.64486048316421,0.000779373942497803
"Abca1",0.435897435897436,13,-0.115477217419936,-2.08445463320287,0.041172297070481
"Abca6",0.678947368421053,19,1.11547721741994,-1.8483535694818,0.0545199639330563
"Abca8a",0.651661628601284,58,0.944656966156225,-2.26731717617503,0.033215552124308
"Abca8b",0.677248677248677,21,0.84799690655495,-4.31980606942421,0.00328931450738739
"Abca9",0.708333333333333,12,0.476438043942987,-4.39903295034783,0.00301550055957771
"Abcc5",0.475308641975309,27,-0.0727563424353141,-8.85915408434167,2.5614938608627e-05
"Abcc9",0.430434782608696,92,-0.314108590428063,-5.93821388954878,0.000568488723015611
"Abcd3",0.69040404040404,33,0.730813367184611,-8.69076642522163,3.05782593342066e-05
"Abhd17b",0.270833333333333,12,-0.736965594166207,-16.4487192647719,9.71511890738494e-09
"Abhd18",0.542080745341615,46,-0.0489096004809464,0.287680398578914,1
"Abi1",0.721130952380952,56,1.15527822547791,-1.61247995520543,0.0725235724121836
"Abi2",0.401515151515151,22,-0.0601209924375707,12.6664616847138,1
"Ablim1",0.492779107305155,140,0.0554951125917036,-3.9271543342374,0.0050699735165172
"Abra",0.305082736798423,45,-0.908077510558961,-8.85989274900033,2.55950536320782e-05
"Abtb2",0.500340136054422,49,0.181606806489948,0.933985441330265,1
"Acaca",0.513888888888889,12,-0.15200309344505,-15.8493818928771,1.80036761596777e-08
"Acacb",0.490732892838156,95,-0.00702042767777222,-3.26332204466021,0.0106270271594898
"Acad10",0.444444444444444,15,-0.0443941193584534,-5.04719806822715,0.00148720887635875
"Acad11",0.482142857142857,14,0.415037499278844,-3.10088225212617,0.0127623020693149
"Acadl",0.441812865497076,38,-0.289506617194985,-15.0175355228261,4.2430254018541e-08
"Acadm",0.529885057471264,29,0.374395514781498,-17.8381320765867,2.32985487424393e-09
"Acadsb",0.485294117647059,17,0,-0.854622786488001,0.19108328280835
"Acap2",0.519607843137255,17,0.197036847059554,-29.9599453940885,9.87979110316264e-15
"Acat1",0.62952380952381,35,0.567684509289321,-10.5762724554474,4.24137651601251e-06
