"","AR","N","log2FC","llr_mean","pval_mean"
"1700025G04Rik",0.425449988607883,19,-0.502500340529183,-1.04696513712406,0.147885187414516
"2210408F21Rik",0.377513227513228,24,-0.465663572348812,-0.772379884496331,0.213910711256082
"2610037D02Rik",0.453030303030303,11,-0.719892080807265,-0.623582414116097,0.264094671364752
"2610307P16Rik",0.524285714285714,20,0.0544477840223759,0.0316584063693881,1
"4632427E13Rik",0.408771929824561,19,-0.229481846122767,0.260790113862171,1
"4732440D04Rik",0.329824561403509,19,-1.16992500144231,-1.93292597438,0.0492781696765276
"5031425E22Rik",0.518421052631579,19,0.0384741478146355,0.0567710519373748,1
"9530026P05Rik",0.469481539702128,36,-0.153246260295682,-0.285666923195393,0.449729367694545
"AW554918",0.613095238095238,14,-0.103093492964104,1.86225656448728,1
"Aak1",0.47953514739229,14,-0.0848888975865125,0.268978409405776,1
"Abca1",0.58030303030303,22,0.633872101202102,-0.713787526305993,0.23216059918756
"Abca6",0.618518518518518,18,0.756728848987636,-0.859268389129284,0.189881502717331
"Abca8a",0.667565365171384,43,1.12233554292405,-12.9552697594673,3.57611295315582e-07
"Abca8b",0.620868347338936,17,0.308122295362332,-0.237027664169631,0.491127419909644
"Abca9",0.57156862745098,17,0.975752453753323,0.396549387403958,1
"Abcc5",0.5,16,-0.0931094043914815,-0.000696576556826756,0.970225899084199
"Abi1",0.706860623037094,34,1.37614848588525,-5.92584357478982,0.00057609128799889
"Ablim1",0.465821192612147,55,-0.158697746019058,-0.515549241008245,0.30990080543075
"Ablim3",0.502272727272727,22,-0.137503523749935,0.00770234293239014,1
"Acacb",0.472916666666667,16,-0.263034405833794,-0.217811392620206,0.509242752340155
"Acadl",0.43452380952381,14,-0.415037499278845,0.185155136789728,1
"Acap2",0.642857142857143,14,0.784271308944563,-1.46927840427445,0.0864879756788121
"Acer3",0.522727272727273,11,0.251538766995965,-0.0921367475584383,0.667726100336938
"Ackr3",0.729761904761905,20,1.14295795384204,-4.87342102694399,0.0017963103750693
"Aco2",0.532936507936508,12,0.231325546106455,-0.0366098465297355,0.786705329000919
"Acox1",0.483333333333333,12,0.612976876890753,-0.22950611574317,0.498085970220149
"Actc1",0.409036796536797,16,-0.523561956057013,-1.07488233003868,0.142591744907973
"Actn2",0.512906926406926,20,0.421137698815262,-0.296309091133864,0.441408466044143
"Actr2",0.4875,12,0.295455883526171,-0.127057207748294,0.614192775832625
"Actr3",0.455128205128205,13,0.103093492964104,0.180576099047226,1
"Acvr2a",0.513888888888889,12,-0.637429920615292,-0.00400367751717567,0.928697407356984
"Acyp2",0.340246630734247,34,-0.991488500144483,-6.51689042192385,0.000305922311136686
"Adam10",0.425757575757576,11,-0.628031222613042,-0.988432572935714,0.159721047027229
"Adam19",0.478021978021978,13,0,0.0568592179553669,1
"Adamts12",0.225274725274725,14,-1.03394733192334,-0.571291309769975,0.285107267737707
"Adamts5",0.542222222222222,15,0.454565863465482,-0.190891786048343,0.536650241136861
"Adamts9",0.55870076425632,27,0.280107919192735,-0.41408849145558,0.362800203617985
"Adamtsl3",0.379861111111111,24,-0.573185332944803,-1.57108877720008,0.076291887606876
"Adarb1",0.507407407407407,18,-0.148098638989133,0.361676184384258,1
"Adcy9",0.52,10,0.115477217419937,0.13471090818847,1
"Adgrd1",0.429573934837093,19,-0.444784842672895,-0.651650428483975,0.253611163288202
"Adgrf5",0.427380952380952,14,-0.192645077942396,0.758646696706222,1
"Adgrl2",0.394047619047619,28,-0.62148837674627,-0.0687632413396315,0.710752511568092
"Adgrl4",0.60657715676691,31,0.164119379761107,-0.166145384986997,0.564313303009268
"Adk",0.495261942918193,32,0.0536379636020726,0.30176015537981,1
"Adprhl1",0.443434343434343,12,-0.321928094887362,-0.0110605846017009,0.881765212170811
"Adra1a",0.335714285714286,14,-0.921997487998727,-1.48278859347799,0.0850540988002727
"Aebp2",0.382034632034632,11,-0.736965594166207,-0.471372683691417,0.331572802105952
"Aff1",0.52726574500768,31,0,-0.0128997843994014,0.872390778426723
