"","AR","N","log2FC","llr_var","pval_var"
"1700025G04Rik",0.425449988607883,19,-0.502500340529183,-15.9581233666704,1.60965189052443e-08
"2210408F21Rik",0.377513227513228,24,-0.465663572348812,-69.2738346843439,5.53116138037528e-32
"2610037D02Rik",0.453030303030303,11,-0.719892080807265,-40.8477741113927,1.58750677746506e-19
"2610307P16Rik",0.524285714285714,20,0.0544477840223763,116.442707867601,1
"4632427E13Rik",0.408771929824561,19,-0.229481846122767,87.8407020718721,1
"4732440D04Rik",0.329824561403509,19,-1.16992500144231,-30.9279678911425,3.69526795320341e-15
"5031425E22Rik",0.518421052631579,19,0.0384741478146355,26.036876369825,1
"9530026P05Rik",0.469481539702128,36,-0.153246260295682,31.0118802189672,1
"AW554918",0.613095238095238,14,-0.103093492964103,-64.1205378986458,9.94048933030508e-30
"Aak1",0.47953514739229,14,-0.084888897586513,25.2198282400748,1
"Abca1",0.58030303030303,22,0.633872101202103,-4.92398375119478,0.0017001950284517
"Abca6",0.618518518518518,18,0.756728848987636,-14.139140061342,1.05068318894776e-07
"Abca8a",0.667565365171384,43,1.12233554292405,81.4214553930833,1
"Abca8b",0.620868347338936,17,0.308122295362332,41.362039572834,1
"Abca9",0.57156862745098,17,0.975752453753323,-1.582829962902,0.0752020373148357
"Abcc5",0.5,16,-0.0931094043914813,-18.5961593372783,1.07034558468559e-09
"Abi1",0.706860623037094,34,1.37614848588525,1980.84485381019,1
"Ablim1",0.465821192612147,55,-0.158697746019058,2417.72435040335,1
"Ablim3",0.502272727272727,22,-0.137503523749935,-1.90769946599085,0.0507835105873148
"Acacb",0.472916666666667,16,-0.263034405833794,0,1
"Acadl",0.43452380952381,14,-0.415037499278844,-35.1433424663353,5.12826740082858e-17
"Acap2",0.642857142857143,14,0.784271308944563,-57.3952377568919,8.74677152389656e-27
"Acer3",0.522727272727273,11,0.251538766995964,-20.3752145139067,1.72965463234734e-10
"Ackr3",0.729761904761905,20,1.14295795384204,-45.905214307739,9.53904345293247e-22
"Aco2",0.532936507936508,12,0.231325546106456,-11.0697577332567,2.53536833974306e-06
"Acox1",0.483333333333333,12,0.612976876890753,-34.1095207075739,1.46306103978481e-16
"Actc1",0.409036796536797,16,-0.523561956057013,-4.43681777205802,0.00289318398143945
"Actn2",0.512906926406926,20,0.421137698815262,0.0656798829841136,1
"Actr2",0.4875,12,0.295455883526171,262.729053086327,1
"Actr3",0.455128205128205,13,0.103093492964103,-443.027780702901,1.0548733635044e-194
"Acvr2a",0.513888888888889,12,-0.637429920615292,-42.7832374045231,2.24041868337426e-20
"Acyp2",0.340246630734247,34,-0.991488500144482,-6.73646327778442,0.00024203050409097
"Adam10",0.425757575757576,11,-0.628031222613042,-2094.43039991253,0
"Adam19",0.478021978021978,13,0,-17.142125654575,4.76219885746889e-09
"Adamts12",0.225274725274725,14,-1.03394733192334,44.0165844201208,1
"Adamts5",0.542222222222222,15,0.454565863465481,-11.8412558532946,1.13610254792007e-06
"Adamts9",0.55870076425632,27,0.280107919192735,2214.96209807085,1
"Adamtsl3",0.379861111111111,24,-0.573185332944802,80.9868687913654,1
"Adarb1",0.507407407407407,18,-0.148098638989134,-74.7553704184431,2.21769220084801e-34
"Adcy9",0.52,10,0.115477217419936,-2025.19282113172,0
"Adgrd1",0.429573934837093,19,-0.444784842672896,64.7552164958165,1
"Adgrf5",0.427380952380952,14,-0.192645077942396,-39.2324537243783,8.14320642680401e-19
"Adgrl2",0.394047619047619,28,-0.62148837674627,37.5717934804936,1
"Adgrl4",0.60657715676691,31,0.164119379761107,11.2676831367539,1
"Adk",0.495261942918193,32,0.0536379636020733,121.465547807743,1
"Adprhl1",0.443434343434343,12,-0.321928094887362,-7.9723100061417,6.52228903273649e-05
"Adra1a",0.335714285714286,14,-0.921997487998727,-12.1920557967142,7.89168799971939e-07
"Aebp2",0.382034632034632,11,-0.736965594166206,-2.70705139335496,0.0199747161942455
"Aff1",0.52726574500768,31,0,-32.5982376138977,6.77906717145241e-16
"Afg1l",0.647777777777778,15,0.825970600224951,-24.356259567156,2.96368570130303e-12
"Afg2a",0.535897435897436,13,0.146841388329271,-26.3135427494228,4.03288859919527e-13
"Agap1",0.384778911564626,28,-0.321928094887362,90.388127662603,1
"Agmo",0.772916666666667,16,1.61297687689075,29.2094597809928,1
"Ago3",0.5625,16,0.222392421336448,-10.5072911694515,4.55800976673864e-06
"Agtpbp1",0.427777777777778,12,-0.222392421336448,52.8615421834581,1
"Ahnak",0.453819444444444,24,-0.192645077942396,-41.0400833406993,1.30677357709014e-19
"Airn",0.322144151701568,55,-1.10433665981474,2396.18203961751,1
"Akap13",0.465262515262515,39,-0.199937570508752,77.8677804394279,1
"Akap6",0.478401500460324,22,0.259087221317131,-5.20369208718103,0.00125512409248714
"Akt3",0.575057118807119,36,0.0395283641866375,11.5013664858693,1
"Aldh1a1",0.55,12,0.584962500721156,17.2036559205167,1
"Alpk1",0.458333333333333,12,-0.275634442613427,-3182.68590590496,0
"Alpk2",0.53030303030303,11,-0.0671141958585368,-14.1508010707801,1.03810030570599e-07
"Ambra1",0.56750700280112,17,0.330148601692331,0,1
"Amotl1",0.35,10,0.459431618637297,-1975.5915798276,0
"Anapc1",0.378787878787879,11,-0.0671141958585368,40.7401319282226,1
"Angpt1",0.319047619047619,14,-0.465663572348812,-8.36636673492626,4.30320986525342e-05
"Ank",0.445233211233211,25,-0.132450296023649,32.3461818516594,1
"Ank2",0.510732424756815,41,-0.0708213371896966,143.997365527646,1
"Ank3",0.604725274725275,10,0.0995356735509145,-7.25222703920144,0.000139828539509512
"Ankhd1",0.370595238095238,20,-0.47916783669856,26.658604428894,1
"Ankib1",0.363095238095238,14,-0.169925001442313,-26.2081845100304,4.48966074946019e-13
"Ankrd11",0.649786324786325,26,0.637429920615291,70.58755409678,1
"Ankrd12",0.642857142857143,14,0.750021746991653,-18.4968160172182,1.18515677741847e-09
"Ankrd17",0.51471028971029,44,0.0740005814437767,2099.35593931727,1
"Ankrd28",0.416666666666667,10,-0.716207033999409,-1941.25863665082,0
"Ankrd44",0.609504132231405,11,0.15200309344505,-6.37385030020232,0.000356447099940012
"Anks1",0.627777777777778,10,0.308122295362332,-1898.02649296658,0
"Ano6",0.526374859708193,27,0.21864028647534,-48.180590473947,9.57257617311198e-23
"Antxr2",0.558974358974359,13,0.299560281858908,-28.809500702235,3.18137387117105e-14
"Anxa2",0.604636591478697,19,0.509013647487858,2.97629132481666,1
"Anxa3",0.3375,12,-0.584962500721156,175.156076435336,1
"Aopep",0.453145188145188,35,-0.377235466566459,-8.75058822441042,2.87129957786826e-05
"Aox1",0.772727272727273,11,1.52356195605701,-1659.49010151611,0
"Ap2b1",0.5,13,0.485426827170242,-1941.95311116741,0
"Ap3b1",0.53531746031746,18,0.459431618637297,-50.5667236407592,8.59905349823239e-24
"Apba1",0.521153846153846,13,-0.214124805352847,16.0180775217543,1
"Apbb1ip",0.454166666666667,12,-0.632268215499513,63.6182663164961,1
"Apbb2",0.547730972730973,39,0.222392421336448,1989.26232454424,1
"Apc",0.515555555555556,15,-0.502500340529183,-8.97217442646843,2.27458744315742e-05
"Aplp2",0.651515151515151,11,0.440572591385981,-3.43020864151958,0.0088125966606842
"Apoe",0.232142857142857,14,-0.853158611670729,75.2993844394218,1
"App",0.517519883217558,43,-0.0857298740258841,23.6864420547618,1
"Appl1",0.359090909090909,11,-0.632268215499513,14.3545313732845,1
"Aqp1",0.653061224489796,14,0.15200309344505,-84.8650286916647,8.47471135755823e-39
"Arb2a",0.453216862502577,35,-0.232660756790275,88.6865360612533,1
"Arf4",0.577777777777778,12,-0.176877762084079,-85.2505271843074,5.75085127364042e-39
"Arfgef1",0.456439393939394,28,-0.286881147788161,-25.5713960486871,8.58854651301668e-13
"Arhgap10",0.530676328502415,23,-0.070389327891398,19.7727070611231,1
"Arhgap12",0.529761904761905,14,-0.106915203916512,-392.96546258564,6.17966672400088e-173
"Arhgap18",0.456495098039216,16,-0.169925001442312,28.845976932723,1
"Arhgap21",0.461589706589707,30,-0.0888092669578559,2.94863076998627,1
"Arhgap24",0.568072618072618,37,0.321928094887362,84.0869433935372,1
"Arhgap26",0.548115773115773,35,-0.0303736490435187,53.3291188486041,1
"Arhgap29",0.597132034632035,22,0.37851162325373,2.19433865996189,1
"Arhgap32",0.260416666666667,16,-1.4262647547021,18.1661358655122,1
"Arhgap35",0.484848484848485,11,0,-1829.81164069871,0
"Arhgap42",0.503374655647383,22,-0.301655699861101,-16.185229217614,1.27408730442681e-08
"Arhgap5",0.525925925925926,18,0.0489096004809466,-66.0549227553679,1.41565244577921e-30
"Arhgef11",0.445454545454545,11,0.251538766995964,19.9794215679058,1
"Arhgef12",0.602232027232027,39,0.507603618014916,1937.50036029779,1
"Arhgef3",0.413725490196078,17,-0.565597175854225,-39.0004972999172,1.02988684232986e-18
"Arid1b",0.487873931623932,36,-0.125530882083859,121.850511222192,1
"Arid2",0.561111111111111,15,0.299560281858908,28.6574452785076,1
"Arid4b",0.628240740740741,18,0.120294233717712,191.171565362932,1
"Arih1",0.435939510939511,37,-0.105353000146229,-1.1377706211731,0.131429235153825
"Arl15",0.404640755246292,51,-0.415037499278844,2438.39512329545,1
"Armh3",0.578125,16,0.540568381362703,6.39054297269013,1
"Arnt",0.598484848484849,11,0.0641303374197155,-1915.69398895593,0
"Arrdc3",0.491666666666667,10,0.334419039070559,-2149.52756906609,0
"Art1",0.394897959183673,14,-0.84799690655495,-2.35138366953879,0.0301140922184031
"Art3",0.41025641025641,13,0.131244533278252,-61.2810960466595,1.73878549636598e-28
"Asap1",0.523155379973562,44,-0.251538766995964,2239.78282300491,1
"Ascc3",0.469298245614035,19,-0.371968777386958,6.0361078769547,1
"Ash1l",0.597047619047619,25,0.303392143449935,6.73959507280847,1
"Asph",0.503463203463204,22,-0.158697746019058,55.2308233041522,1
"Asxl2",0.477272727272727,11,-0.241008099503795,-24.1163919628318,3.78506855947255e-12
"Atad2b",0.466770186335404,23,-0.292781749227846,51.1060265243564,1
"Ate1",0.538405797101449,23,0.347923303420307,-26.5690631439702,3.10899070469797e-13
"Atf2",0.606060606060606,11,0.556393348524385,-18.5623964213341,1.10805888313722e-09
"Atf6",0.583333333333333,15,0.447458976971222,38.9613196681139,1
"Atf7",0.502083333333333,16,0.180572245641821,11.3223974726579,1
"Atg10",0.581696428571429,16,0.604071323668861,-16.968994834365,5.68968239064286e-09
"Atosa",0.2875,16,-0.966833136064801,78.7029359984406,1
"Atp10d",0.58974358974359,13,0.111031312388744,-46.0106381810172,8.57495784779637e-22
"Atp11b",0.466666666666667,10,-0.180572245641821,0.0453610793038024,1
"Atp13a3",0.551282051282051,13,-0.20163386116965,-406.182072001403,1.10636696503595e-178
"Atp1a1",0.582738095238095,16,0.428843298803874,51.9869238792048,1
"Atp2a2",0.437193218916623,30,0.00761318410987544,59.2929189848751,1
"Atp2b1",0.491111111111111,15,0.432959407276106,-48.6477297703607,5.97171098796286e-23
"Atp2c1",0.5,14,-0.321928094887362,-7.82587066732867,7.61424391266657e-05
"Atp5f1a",0.48452380952381,14,-0.111031312388744,-18.8760386065701,8.03311346829396e-10
"Atp5f1c",0.458333333333333,10,-0.3536369546147,-31.6879683646557,1.70791694367417e-15
"Atp6v0b",0.531060606060606,22,0.222392421336448,38.1176266726382,1
"Atp8a1",0.75,12,1.69187770463767,36.0097267554102,1
"Atp9b",0.49537037037037,18,0.125530882083859,22.5208542570244,1
"Atrnl1",0.711352657004831,23,1.19930880822341,89.0899632079861,1
"Atxn1",0.503729603729604,39,0.0414199273799808,2203.43024827347,1
"Atxn2",0.42051282051282,13,-0.0506260730699679,-21.857596234345,3.798118785557e-11
"Atxn7",0.464912280701754,19,-0.222392421336448,-38.3061113949127,2.08048005543226e-18
"Atxn7l1",0.341666666666667,10,0,-1967.86443763859,0
"Auts2",0.615656565656566,33,0.37851162325373,3.7933181652536,1
"Axl",0.379761904761905,20,-0.633872101202103,-250.650042471554,4.95562893854089e-111
"B2m",0.598484848484849,11,0.637429920615292,-1930.78790469902,0
"B3galt1",0.299338624338624,27,-0.584962500721156,-51.1070721205879,4.9832825659466e-24
"B4galt1",0.565178571428571,24,0.397335497545385,39.2238785355164,1
"B4galt5",0.444805194805195,11,-0.415037499278844,-1984.58286799961,0
"Babam2",0.611190476190476,20,0.545434136534519,36.6633376641662,1
"Bach1",0.590277777777778,12,-0.0588936890535687,-1851.81968940595,0
"Bach2",0.546666666666667,20,0.216811389073148,-6.28003716674834,0.000394076073071141
"Baz1b",0.552564102564103,13,0.678071905112637,-8.6696167848047,3.12664569870944e-05
"Baz2b",0.532034632034632,22,-0.166009951438929,7.8680406687281,1
"Bbs9",0.545238095238095,14,0.289506617194985,0.697847219190862,1
"Bbx",0.533333333333333,13,0.547487795302493,12.167837318606,1
"Bcas3",0.441025641025641,26,-0.369233809665719,44.2641565876716,1
"Bckdhb",0.55,10,0.160464672193246,-3609.79269453054,0
"Bcl2",0.476050420168067,17,-0.104336659814736,44.1984182203532,1
"Bclaf1",0.554444444444444,15,0.605721060887954,-35.8894989416212,2.40700564383029e-17
"Bdp1",0.442307692307692,13,-0.632268215499513,-61.1016200458298,2.08361914060572e-28
"Bicc1",0.388123930333233,43,-0.502500340529183,2373.21999496859,1
"Birc6",0.508528884310134,32,-0.060541541935051,0.585926963226939,1
"Bmper",0.467777777777778,15,-0.374395514781498,14.2365863613861,1
