"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1700025G04Rik",0.50094696969697,0.428571428571429,1.33000690593098,0.875579140812948,0.565897202295008,2.625,24
"2210408F21Rik",0.380645161290323,0.443037974683495,0.196187806866937,0.478005939419997,0.616285476824652,2.54838709677419,31
"2610307P16Rik",0.612238095238095,0.603174603170344,0.138715487535938,0.470414892235117,0.638025362636259,2.52,25
"4732440D04Rik",0.22768759018759,0.318181818181819,0.143716227752436,0.323383998894937,0.410559748882454,3,22
"5031425E22Rik",0.682430213464696,0.687499999999953,0.142730923200308,0.779401000153238,1.1076211921112,2.20689655172414,29
"9530026P05Rik",0.434629028379028,0.50887573964497,0.358679999597412,0.26945413866491,0.20351188802104,4.69444444444444,36
"Abca1",0.344285714285714,0.369565217391308,0.968113743040088,0.961209282776749,0.906581006931103,2.3,20
"Abca6",0.521014492753623,0.548387096612232,0.294004258435776,0.457049239204618,0.527544068119103,2.69565217391304,23
"Abca8a",0.618596570912747,0.683962264150939,0.366447651270684,0.251881855104604,0.172167915626102,5.3,40
"Abca8b",0.484057971014493,0.396825396978585,6.30214528154985,2.72502348065219,0.50677493281719,2.73913043478261,23
"Abca9",0.25297619047619,0.428571428571443,3.7455524119868,2.5395097346588,1.70625746911652,2.04166666666667,24
"Abi1",0.656896551724138,0.708333333333322,0.477693240837123,0.404903048008507,0.341359842306128,3.31034482758621,29
"Ablim1",0.520822211611685,0.525316455696188,0.073112106549458,0.0928232171844305,0.0993669719143346,8.54054054054054,37
"Ablim3",0.38015873015873,0.449999999863777,1.58201594106184,2.38746115513571,2.72887975846141,1.9047619047619,21
"Acacb",0.317592592592593,0.372093023255814,0.341263240508833,0.634042066046586,0.770460902713362,2.38888888888889,18
"Acadsb",0.543859649122807,0.548387096773219,998.999999999999,387.117388706038,11.8372916836892,1.63157894736842,19
"Acss1",0.526041666666667,0.48780487804878,998.999999999999,379.763961629886,0.606157396045703,2.5625,16
"Actn2",0.557665945165945,0.56976744186038,0.0368740806503484,0.164301919022688,0.229556830876784,4.3,20
"Acyp2",0.252442047200112,0.363636363636364,0.124002091646603,0.199450338172464,0.232705936680381,4.25806451612903,31
"Adamts5",0.681746031746032,0.538461538461538,24.0646370824611,9.51898580349538,0.581174809377857,2.6,15
"Adamts9",0.569176319176319,0.538461538459049,0.269657688041149,0.344787530543763,0.370204029253308,3.16216216216216,37
"Adamtsl3",0.286630036630037,0.322580645485796,1.02090443352193,0.895721984733587,0.775941473240382,2.38461538461538,26
