"","AR","N","log2FC","llr_var","pval_var"
"1700025G04Rik",0.376420454545455,16,-0.415037499278844,27.6311714074786,1
"2210408F21Rik",0.463157894736842,19,-0.330148601692331,96.4172052192964,1
"2610307P16Rik",0.59328231292517,14,0.604071323668861,-1109.32615998041,0
"4732440D04Rik",0.308394383394383,13,-1.09953567355091,-1313.89772010795,0
"5031425E22Rik",0.693557422969188,17,1.13750352374994,-12.666163269977,4.82553436765848e-07
"9530026P05Rik",0.46289760963674,23,0.0512253233551733,1357.36448461745,1
"Abca1",0.353246753246753,11,-0.770518153877233,-1205.48875463917,0
"Abca6",0.46025641025641,13,0.280107919192735,-1288.26588911007,0
"Abca8a",0.67839608104314,35,1.11381989955716,1503.96410516412,1
"Abca8b",0.408888888888889,15,-0.604071323668861,-56.2070280154619,2.89965723639368e-26
"Abca9",0.507142857142857,10,-0.415037499278844,-1213.23121615497,0
"Abi1",0.6525,20,1.28010791919274,26.4607622535248,1
"Ablim1",0.523346116049465,33,0.146220740851044,1654.74381844192,1
"Ablim3",0.498611111111111,12,-0.289506617194985,-1125.88984300958,0
"Acacb",0.371666666666667,10,-0.754887502163469,-1142.39463845247,0
"Acadsb",0.575757575757576,11,0.280107919192735,-1882.39049292911,0
"Acss1",0.492424242424242,11,-0.0703893278913981,12.1765310468199,1
"Actn2",0.564073272406606,18,0.405256478486258,26.875447386933,1
"Acyp2",0.31025924832743,22,-0.807354922057604,95.4231293249254,1
"Adamts5",0.622619047619048,10,0.222392421336448,-2265.75579402424,0
"Adamts9",0.540750915750916,26,0.222392421336448,1195.78803259699,1
"Adamtsl3",0.286967418546366,19,-1.0703893278914,21.3211597017882,1
"Adarb1",0.381746031746032,12,-0.169925001442313,-1148.35647647387,0
"Adcy9",0.5,10,0.321928094887362,-1159.84801976953,0
"Adgrf5",0.527380952380952,14,0.176877762084079,-1126.98694634399,0
"Adgrl2",0.5875,16,0.823122237915921,14.7806355782584,1
"Adgrl4",0.490542328042328,24,0.15200309344505,1229.51722516042,1
"Adk",0.463905127268299,17,-0.453717967442904,69.067622130467,1
"Aff1",0.513333333333333,20,0.263034405833794,-21.1499000037147,7.83005665795058e-11
"Agap1",0.430555555555556,12,-0.347923303420307,-1172.31360415154,0
"Agmo",0.826515151515152,12,2.35755200461808,-1156.1396036133,0
"Ago3",0.466666666666667,15,-0.231325546106456,-1089.811008062,0
"Ahnak",0.492424242424242,11,0,-1167.30324897925,0
"Airn",0.729125188536953,36,1.6924909650256,2044.10305404325,1
"Akap13",0.44783950617284,18,-0.256339753259786,-1190.67801872098,0
"Akap6",0.501111111111111,15,-0.229481846122767,-1213.92400809119,0
"Akt3",0.545849802371541,23,0.25831199559139,-117.781989132148,3.64748240057058e-53
"Ambra1",0.642592592592593,18,0.761840262805235,-49.8939007914128,1.69631834675427e-23
"Ank",0.308974358974359,13,-0.719892080807265,-1114.2743372928,0
"Ank2",0.467266265480551,28,-0.159656665988485,1500.49762815961,1
"Ank3",0.462121212121212,11,-0.263034405833794,-1183.43355567042,0
"Ankrd11",0.524716553287982,21,-0.0687127500840144,1033.36605497662,1
"Ankrd12",0.758333333333333,10,1.25375659224578,-1041.5557139467,0
"Ankrd17",0.531379731379731,26,0.254572827085598,1275.23197992574,1
"Ankrd44",0.583333333333333,11,0.263034405833794,-1154.05062085842,0
"Ano6",0.536274509803922,17,0.0418201756946273,17.0474174434362,1
"Aopep",0.461011904761905,20,0.169925001442312,1361.67633906842,1
"Ap1g1",0.67,10,0.321928094887362,-1146.38409289171,0
"Ap3b1",0.383333333333333,10,-0.082462160191973,-1137.68614882126,0
"Apbb2",0.507980599647266,18,0.350497247084133,-1198.3226869918,0
"Apc",0.396153846153846,13,-0.362570079384708,-1208.46688730981,0
"App",0.481286884411884,24,0.120294233717712,34.2959950100735,1
"Aqp1",0.563725490196078,17,0.289506617194985,-1145.8947112462,0
"Arb2a",0.480988455988456,24,-0.0291463456595163,1159.48805316442,1
"Arfgef1",0.55,11,0.430634354329862,-1021.69276791177,0
"Arhgap10",0.570748299319728,14,0.6463630453853,-1205.59448830644,0
"Arhgap21",0.658771929824561,19,0.768674453893544,25.4867295854306,1
"Arhgap24",0.635008150285928,27,0.25583890442959,1262.14105264803,1
"Arhgap26",0.426085982982535,29,-0.373814836552331,1358.06502912914,1
"Arhgap29",0.484444444444444,15,-0.231325546106456,-1163.70027440093,0
"Arhgap42",0.516483516483517,13,0.175086706558091,-1207.04018167572,0
"Arhgef12",0.545238095238095,24,-0.0297473433940522,1067.73828694511,1
"Arhgef3",0.587755102040816,14,0.0524674198941355,-1101.63743552726,0
"Arid1b",0.550320512820513,26,0.310340120612151,1216.43133102849,1
"Arid2",0.487179487179487,13,-0.612976876890753,-1119.41095376011,0
"Arid4b",0.44047619047619,14,0.337034987277571,-1136.35677005182,0
"Arih1",0.502529761904762,16,0.192645077942396,-120.560624972901,2.23988290764683e-54
"Arl15",0.432417553456453,31,-0.406625259462643,1389.24395357332,1
"Asap1",0.485829493087558,31,0.0660891904577725,1275.49387785781,1
"Asb3",0.683333333333333,10,0.884522782580064,-1128.99543304049,0
"Ascc3",0.423953823953824,15,-0.129283016944967,-1200.69359071209,0
"Ash1l",0.585087719298246,19,0.665580960929441,-73.441325443112,8.32500292078363e-34
"Asph",0.544444444444444,15,0.351472370501378,-153.109320627096,1.45540653083025e-68
"Atad2b",0.433531746031746,12,-0.369233809665719,-1197.4837954564,0
"Ate1",0.378787878787879,11,-0.341036917835067,-1087.72731073054,0
"Atf6",0.41547619047619,14,-0.0544477840223767,-1213.73832696888,0
"Atf7",0.560606060606061,11,-0.169925001442313,-1243.83920131834,0
"Atosa",0.6,15,0.637429920615292,-1183.77826604065,0
"Atp2a2",0.553912182401885,23,0.355094958822562,36.8576663456856,1
"Atp2c1",0.4,11,0.0565835283663674,-1197.95192204927,0
"Atp5f1a",0.295,10,-0.823122237915921,-1126.92792456197,0
"Atp6v0b",0.363636363636364,11,-0.192645077942396,-1134.70416634831,0
"Atrnl1",0.350125313283208,19,-0.499571009490511,8.7996368222482,1
"Atxn1",0.551572039072039,26,0.34617564113404,1174.24479564497,1
"Atxn2",0.54,10,0.304854581528421,-979.917270470709,0
"Atxn7",0.566666666666667,10,0.275634442613427,-1162.95807298745,0
"Auts2",0.57422619047619,20,0.442518235700951,61.7600508580861,1
"B3galt1",0.56984126984127,15,0.146841388329271,-25.6711601005497,7.75849244330065e-13
"B4galt1",0.519607843137255,17,0.115477217419936,-1218.68639351518,0
"Babam2",0.60978835978836,18,0.502500340529183,-31.0709147704233,3.19590259834703e-15
"Bach1",0.336666666666667,10,-0.341036917835067,-1110.18499194974,0
"Baz2b",0.434090909090909,11,-0.0995356735509143,-1232.94849448178,0
"Bbx",0.425595238095238,16,-0.398549376490275,-1150.89091128128,0
"Bcas3",0.48051948051948,11,-0.540568381362703,-1183.32124354347,0
"Bicc1",0.387614237614238,27,-0.420331798948357,-89.9447944348713,5.12303810447563e-41
"Birc6",0.552994227994228,22,0.122856747785534,1425.83578903264,1
"Bmpr1a",0.515151515151515,11,-0.46948528330122,-1380.83844310303,0
"Bmpr2",0.462745098039216,17,-0.478047296804644,-59.641073435603,9.08438805580135e-28
