gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
1500004A13Rik,0.451904761904762,0.0298644085019474,0.511232888217015,0.852655497468526
1600014C10Rik,0.403041825095057,0.0353093298652483,0.496739130434783,1
2310002L09Rik,0.442632850241546,0.00508259724751019,0.468960863697706,0.548831484851598
2310057M21Rik,0.562401433691756,0.015535347576446,0.510580524344569,1
2500002B13Rik,0.632098765432099,3.82345331592128e-5,0.592352092352092,0.135573438105393
4921524J17Rik,0.432428099952852,0.00429826510641665,0.452808988764045,0.100423765375804
4930470G03Rik,0.596314907872697,0.02416575831944,0.523923444976077,1
4930512H18Rik,0.456814580031696,0.0648293495739187,0.483644859813084,0.527494338405287
4932441J04Rik,0.42020202020202,0.016433320056761,0.453763440860215,0.514284818460597
4933431K23Rik,0.448408250805511,0.0075767923738275,0.459910581222057,0.220504048809907
5430431A17Rik,0.534172588417871,0.0564264410279961,0.539021615472127,0.120767336380134
9630050E16Rik,0.411024305555556,0.0117978872851907,0.586580086580087,0.381522574864061
A430046D13Rik,0.591880341880342,0.00642306962725379,0.55668016194332,0.256300913183582
Aars1,0.41822429906542,0.0771112390884416,0.46448087431694,0.736617311578166
Abcc1,0.552059276366436,0.0538071787002694,0.517926225820963,0.651517917456539
Abcf3,0.426229508196721,0.0141919513317962,0.474308300395257,0.884127789008228
Abi2,0.404320987654321,0.0373534537386604,0.451206140350877,0.152320284496258
Abtb2,0.47870819040014,0.0471390565839451,0.501287151738798,1
Acacb,0.473960975346179,6.5287255155015e-4,0.488393954783323,0.164275302299496
Acadl,0.454226814415494,0.00239914798541849,0.476784258935848,0.566803376217849
Acin1,0.470064724919094,0.0902826225198576,0.500536130536131,1
Acot13,0.4502776297086,0.0052087879173504,0.485192899343843,0.429718653596545
Acox1,0.536693590961884,0.00195685376922228,0.534493334906217,0.152168002899029
Actr1a,0.450597176981542,0.0647759292978254,0.458480565371025,0.177183678384607
Adamts9,0.554266984389106,0.00687466729002904,0.557079855431504,0.252953710909585
Adamtsl4,0.429551539491299,0.0202062014975043,0.485594456601021,0.547645632335333
Adcy6,0.439875919622269,1.3473707453855e-4,0.472876203621545,1
Ahcyl1,0.440639269406393,0.0783886318295623,0.510283687943262,1
Ahdc1,0.570289855072464,0.0609382916432791,0.5101246105919,1
Ak3,0.440974529346622,0.0373534537386604,0.453629764065336,0.170962341740633
Ak6,0.406177156177156,0.0415079170287444,0.422737306843267,0.190080145729543
Akr1b10,0.417059748427673,0.0613715437596467,0.464227642276423,0.664057764531377
Akt3,0.427018633540373,0.0949563166386758,0.52073732718894,0.640495683558661
Aldh4a1,0.593851132686084,0.0798798785788042,0.56989247311828,0.173480801313453
Aldh6a1,0.567962003454231,0.0035462734985031,0.542334739803094,0.381534199285783
Alkbh1,0.582150101419878,0.00311297752984037,0.516302765647744,0.578215277214574
Alpk3,0.469675255336826,0.0153877606773586,0.491904491553203,1
Ambra1,0.5341255284212,0.0649028776953988,0.504322249477605,1
Ank2,0.487969984207604,1.18963558973143e-5,0.496703791617903,0.16107082252258
Ankmy2,0.418367346938776,0.0791112623531361,0.438709677419355,0.558427620884083
Ano6,0.620197740112994,8.9435971103652e-4,0.547833333333333,0.391268987541802
Antxr2,0.545543595543596,0.0188968512891459,0.515650942375815,0.655979310065546
Anxa11,0.447154471544715,0.0486823230611661,0.47739221871714,0.367702601964664
Ap1m1,0.452542372881356,0.09659578335052,0.481256332320162,1
Ap4b1,0.563936781609195,0.0822736480318803,0.552592592592593,0.720972246091702
Aplp2,0.444612653804691,0.0200938084483496,0.483354822073234,0.724791606331421
Arcn1,0.461799410029498,0.0821177515235318,0.473190235690236,0.223932805848331
Arfgef2,0.552737752920235,8.8312671254828e-4,0.525405046917478,0.105616038689918
Arid2,0.534356398809524,0.0270271531631627,0.508389749474087,1
Ark2n,0.469202898550725,0.0314118148694576,0.51519299940946,1
Arpc3,0.591522157996146,0.0247769301431398,0.56401766004415,0.395280821612125
Art3,0.53191926822906,0.00369632318142145,0.515746998330238,0.87789662074956
Ate1,0.524760760989744,0.0984735330674687,0.497642792384406,0.417020157685059
Atf3,0.553909383580664,0.0221335533955804,0.527397260273973,1
Atg3,0.595848161328589,0.0732123051534587,0.504337050805452,1
Atg4c,0.58704253214639,0.0142422857757034,0.567424242424242,0.107053025963001
Atg7,0.426811594202899,0.0302329723472622,0.448148148148148,0.250482279774196
Atl2,0.556259930092151,9.5397430021901e-4,0.512049689440994,0.731509582148074
Atp1a1,0.479141671663255,0.0423336193302949,0.493376090443084,0.42742431346642
Atp2c1,0.439283928124888,5.03982974090984e-5,0.479058074949773,0.161460750700682
Atp6v0b,0.46908144210065,0.0890772848291075,0.47798824000047,0.106393136751483
Atp6v1d,0.619674185463659,0.00343346839823951,0.57843137254902,0.269794945874601
Atpaf2,0.427849927849928,0.0275048055358204,0.467136150234742,0.308995689930094
Atxn2l,0.446172248803828,0.0311500448441113,0.457097933513028,0.13835366658418
Azi2,0.54373060211049,0.0911991117467593,0.538404689092763,0.270210493694025
B430010I23Rik,0.609103260869565,5.43843354736516e-5,0.539345063538612,0.564412662028946
Bace1,0.450789229340761,0.065282225924541,0.460159362549801,0.273890177564416
Bag3,0.518542126753796,0.0531325766251839,0.513071971390487,0.437534595106476
Bbof1,0.59930997876857806,0.0214280001645851,0.560836501901141,0.32628133328096
Bbs2,0.376016260162602,0.00305790976207178,0.447427293064877,0.211586001375308
Bbs7,0.392330383480826,0.0806425136232952,0.49390243902439,1
Bhlhe40,0.418358395989975,0.0220590643598955,0.514844587352626,0.515463233439954
Bltp2,0.561458333333334,0.0393031989548519,0.507243916242218,1
Bmal1,0.427899877899878,0.02349537493876,0.41958041958042,0.214020224609392
Brd3,0.623820754716981,0.033729670805296,0.571428571428572,0.762953743481133
Brd7,0.556133540372671,0.0253661464577599,0.543161726469059,0.211591530241429
Bri3bp,0.552748538011696,0.0352007608640541,0.569114470842333,0.315019704759803
Brix1,0.629310344827586,0.00303937158295096,0.561349693251534,0.839293529894546
Btbd7,0.474101751207729,0.0786284050926267,0.505796879779749,1
Cabcoco1,0.448086377408106,0.0101150330722893,0.468756885787734,0.154670267914224
Cabin1,0.622964867180806,2.42793414007323e-5,0.586666666666667,0.12969537023759
Cacul1,0.458937198067633,0.0613715437596467,0.466002530044276,0.222865905909304
Calcoco1,0.438709677419355,0.0689331317668705,0.498175182481752,0.882206753038065
Calu,0.450133868808568,0.0551241459686128,0.502001633986928,1
Casd1,0.427672955974843,0.0760344727656732,0.50188679245283,1
Casq2,0.447885690219899,0.0109982955947252,0.475443791907206,0.292992270492075
Cav1,0.342447916666667,0.0360361696851039,0.559360730593607,0.609363740747902
Cbfb,0.588524590163935,0.00421862923494234,0.566393442622951,0.216023456667313
Cbl,0.402572523262178,4.50459764228448e-6,0.45636310566258,0.185551809656769
Cc2d2a,0.415789473684211,0.0205712792667445,0.447198275862069,0.144976261501098
Ccar1,0.448785164230709,0.00128293535891226,0.486081173100404,1
Ccdc146,0.429824561403509,0.0684648418772553,0.426666666666667,0.185551809656769
Ccdc159,0.616379310344828,0.0191359397280066,0.514583333333333,1
Ccdc47,0.545420207743154,0.0428329459250296,0.512286324786325,1
Ccdc57,0.433208489388265,0.0847428237577478,0.475071225071225,0.363592306660777
Ccdc88a,0.394126449682005,0.00279640668832717,0.453389830508475,0.128652678730058
Ccnk,0.434472934472934,0.0568952243653789,0.543458781362007,0.990042930175938
Cct4,0.559139784946237,0.0706355957923841,0.508424408014572,1
Cd46,0.407060518731988,0.00852038754927719,0.462324393358876,0.400658379949065
Cdc123,0.580230496453901,0.0107752619543698,0.542832167832168,0.26553555686235
Cdc14b,0.444186046511628,0.0279308686175615,0.488219895287958,1
Cdc42se2,0.612085769980507,0.00774556297411307,0.554347826086957,0.431785501636617
Cdc5l,0.460089399744572,0.0512343009648094,0.465442764578834,0.108253415140763
Cdh2,0.489133876817639,2.5819753238806e-4,0.50011397381133,0.168263493883686
Cdk5rap2,0.6,0.0164245360548008,0.523529411764706,1
Cemip2,0.38239656518345,0.0156391113809587,0.421332046332046,0.228106864791952
Cenpc1,0.593229166666667,0.00318392544222505,0.548881431767338,0.323401266457124
Cep135,0.42962962962963003,0.0326155752710758,0.478494623655914,1
Cep295,0.63265306122449,0.064558298781263,0.573170731707317,0.410153586094593
Cep70,0.625,0.00369632318142145,0.496415770609319,0.736744116927105
Cert1,0.535025473071325,0.0495599261539621,0.505959492518632,0.900508238373444
Cfap61,0.640589569160998,0.0158840158041582,0.573008849557522,0.183635183843027
Chchd6,0.629464285714286,0.0174787670093382,0.569135802469136,0.277322226702373
Chrm2,0.484490868700687,0.023586393398606,0.493981651849455,0.115587716259135
Chsy1,0.431623931623932,0.0781102149514167,0.466524216524217,0.630049878080692
Clcn7,0.397916666666667,0.0931840521582557,0.49390243902439,0.779894353783313
Clic5,0.540378045864541,7.6915782829936e-4,0.522507978224141,0.143709771211591
Clptm1,0.441368078175896,0.0188193608906967,0.457381776239908,1
Clpx,0.529637582853017,0.0694995973522866,0.523107553972002,0.205159521449244
Cmss1,0.478803054804069,0.0613482509157751,0.496863026476286,1
Cmtm4,0.61764705882353,0.0118605926819406,0.580357142857143,0.246619023252154
Cnep1r1,0.588347659980898,0.00987057591854005,0.52924944812362,0.555517071168825
Coa8,0.577879714576962,0.0523835181356571,0.570804195804196,0.16675477574885
Cog8,0.421641791044776,0.0393031989548519,0.427489177489177,0.117824166669308
Col3a1,0.349056603773585,0.00772148867518978,0.504944178628389,1
Copg2,0.583333333333333,0.00394293674873924,0.544185260311021,1
Cops5,0.54247311827957,0.0900773877210442,0.53968253968254,0.389446359868789
Cops8,0.438492063492064,0.0515633637499859,0.473684210526316,1
Coq10b,0.421243978988697,1.2173188883227e-14,0.455881892881893,0.149965587273191
Coq7,0.583820662768031,0.0379939374791076,0.542372881355932,1
