gene,condition
2610035D17Rik,F1_Aged
Acsm5,F1_Aged
Adcy8,F1_Aged
Adk,F1_Aged
Adra1a,F1_Aged
Ankrd1,F1_Aged
Arhgap20,F1_Aged
Arhgap35,F1_Aged
Asap1,F1_Aged
Auts2,F1_Aged
Ccdc85a,F1_Aged
Cpeb3,F1_Aged
Cst3,F1_Aged
Eln,F1_Aged
Gm32027,F1_Aged
Heatr5a,F1_Aged
Itpr2,F1_Aged
Kcnip4,F1_Aged
Kif1b,F1_Aged
Ly6a,F1_Aged
Mgat5,F1_Aged
Myl2,F1_Aged
Myot,F1_Aged
Pam,F1_Aged
Pde4dip,F1_Aged
Picalm,F1_Aged
Ppp1r3a,F1_Aged
Rapgef4,F1_Aged
Rasa1,F1_Aged
Rbm20,F1_Aged
Resf1,F1_Aged
Rhoq,F1_Aged
Rusc2,F1_Aged
Smap1,F1_Aged
Synpo2,F1_Aged
Tmem144,F1_Aged
Trim54,F1_Aged
Ank2,F1_Young
Cald1,F1_Young
Camkmt,F1_Young
Celf2,F1_Young
Coro6,F1_Young
Etv6,F1_Young
Ext1,F1_Young
Fsd2,F1_Young
Fyn,F1_Young
Gja1,F1_Young
Grk5,F1_Young
Gys1,F1_Young
Igf2r,F1_Young
Magi1,F1_Young
Malt1,F1_Young
Man1a,F1_Young
Mbnl1,F1_Young
Mhrt,F1_Young
Mrtfb,F1_Young
Nt5dc1,F1_Young
Pfkfb2,F1_Young
Serinc3,F1_Young
Smc6,F1_Young
Sparc,F1_Young
Svil,F1_Young
Tlr4,F1_Young
Tnfaip8,F1_Young
Cdcp3,F1_Young
Fam20a,F1_Young
Kcnc2,F1_Young
Rp1,F1_Young
